External ID,default_code,Article/Nom,Lieu/Nom de l'emplacement,lot_name,Lot/numéro de série/Date de péremption,quantity,Unité de mesure/Nom affiché,Coût unitaire
__export__.stock_quant_77448_83ed90b3,8071548,PIGNON CP345 MEPLAT GAUCHE NM D3270046/,EOF196,,,3.00,Unité,12.15
__export__.stock_quant_77534_74226c1e,7311890,PINCE BIPOLAIRE pour COAGULASEM T200,EOH111,,,1.00,Unité,313.00
__export__.stock_quant_77660_c399cb0b,5068527,CHEMISE RX 30x40cm 250PCS,M.42.01.E.01,,,1.00,Unité,13.89
__export__.stock_quant_77741_81879b39,8030928,PIPETTE REFLOTRON,M.41.09.G.03,,,1.00,Unité,216.75
__export__.stock_quant_77893_3f6f63b9,8058861,"COUVERCLE PLAST P/CUVE STARSONIC 3,5L /",M.39.03.E.02,,,1.00,Unité,14.51
__export__.stock_quant_77902_6925ff57,5260051,COUVRE-TOUT DE VELAGE KRUTEX MEDIUM,M.43.07.G.07,,,2.00,Unité,82.05
__export__.stock_quant_77985_0853cfc1,7737008,RACCORD RUSCH ALU MALE OD 22mm,M.45.01.G.06,,,2.00,Unité,9.20
__export__.stock_quant_78003_1f950c71,7530563,RECHARGE SPRAY ANTI ABOIEMENT INODORE 75ml,M.62.05.B.03,,,4.00,Unité,6.10
__export__.stock_quant_78007_c667d3ef,7330166,RECHARGE AEROSOL MASTER PLUS /,PROBLEME_QUALITE,,,3.00,Unité,5.96
__export__.stock_quant_78085_dc1f4db6,5063344,DISTRIBUTEUR MURALE PR BROSSE A ONGLE,M.41.03.G.01,,,2.00,Unité,12.00
__export__.stock_quant_78180_b6310e1e,8042682,SHOR LINE CAILLEBOTIS PVC 762xP718mm,AK09C1,,,2.00,Unité,113.12
__export__.stock_quant_78198_8bf4d640,8042883,SHOR LINE CHASSIS MOBILE INOX L457xP718,EXP000,,,1.00,Unité,115.44
__export__.stock_quant_78202_e4fdec87,8042966,SHOR LINE CHASSIS MOBILE INOX L914xP718,EXP000,,,1.00,Unité,114.23
__export__.stock_quant_78235_b4250e1e,8042802,"SHOR LINE PORTE ETIQUETTE INOX 12,7x20,3cm",M.40.05.G.04,,,1.00,Unité,11.43
__export__.stock_quant_78275_d61ee299,8333304,GRILLE 24x30cm RAPPORT 10,M.39.05.E.06,,,1.00,Unité,129.17
__export__.stock_quant_78313_a4a36e4e,8059079,KIT DE VIDANGE P/ CUVE STARSONIC/,M.44.07.C.02,,,1.00,Unité,10.20
__export__.stock_quant_78363_ed703b7a,5910500,MANCHON PROTECTION METACAM 250ml,M.42.08.D.04,,,11.00,Unité,0.00
__export__.stock_quant_78366_b612877e,7923002,SONY CAMERA SSC DC38P,EXU000,,,1.00,Unité,630.10
__export__.stock_quant_78368_aac43be4,7923010,SONY OBJECTIF POUR CAMERA SSC DC38P,EXU000,,,1.00,Unité,204.65
__export__.stock_quant_78375_5c244e44,8341611,MATRX VMS : JOINT INFERIEUR ABSORBEUR,SA00V0,,,3.00,Unité,20.84
__export__.stock_quant_78377_9c9c13e5,8341605,MATRX VMS : JOINT SUPERIEUR ABSORBEUR,SA00V0,,,2.00,Unité,20.84
__export__.stock_quant_78562_ef287111,5422225,PINCE D'ACCOUCHEMENT PORC 52CM,M.56.01.D.01,,,1.00,Unité,15.90
__export__.stock_quant_78598_b6a789e0,5355001,PLATEAU INOX POUR TABLE 60x150cm,AK07C3,,,1.00,Unité,375.00
__export__.stock_quant_78632_0355e0e8,5240250,RESSORT BLITZ 215(21cm) + CAOUTCH 216,EOH191,,,1.00,Unité,10.30
__export__.stock_quant_78793_6f0008cf,8015202,SERINGUE ROUX 10ml: CYLINDRE VERRE N12,EOI154,,,1.00,Unité,1.09
__export__.stock_quant_78822_6d193840,8061596,SERINGUE SOCOREX AUTOMAT 1ml + tuyau,M.43.07.E.04,,,1.00,Unité,65.00
__export__.stock_quant_78834_3502a2e3,5110012,SERINGUE VAXIMATE INTERVET (1),QB05D2,,,6.00,Unité,0.00
__export__.stock_quant_78858_68ece40b,8042736,SHOR LINE CAILLEBOTIS PVC 1524xP718mm 2P,AK09D3,,,6.00,Unité,283.07
__export__.stock_quant_78874_880f32ff,8366114,SHOR LINE MONTAGE BANDE H914mm,SA00V0,,,8.00,Unité,5.43
__export__.stock_quant_79008_4404d48e,5504150,SOURCE DE LUMIERE HALOGENE 150w + POMPE,M.49.03.G.03,,,1.00,Unité,700.00
__export__.stock_quant_79102_ae00e9cc,5655000,"THRIVE 8000 TETE DE COUPE #000 0,25mm",EOB100,,,4.00,Unité,14.95
__export__.stock_quant_79107_dbf453f8,5655030,THRIVE 8000 TETE DE COUPE #30 1mm,EOH127,,,3.00,Unité,14.95
__export__.stock_quant_79115_0aa80e68,5045262,TONDEUSE A5 1 VITESSE : FILTRE A AIR,M.51.03.E.06,,,8.00,Unité,0.00
__export__.stock_quant_79135_a9b1fb95,8035558,"TROUSSE DIAGNOSTIQUE:AMPOULE 2,2V 0,25A",EOF206,,,1.00,Unité,111.12
__export__.stock_quant_79422_fa51f676,1731322,COENZYME COMP 5AMP 5ML HEEL,PROBLEME_QUALITE,745660870,2021-01-31 00:00:00,4.00,Unité,20.52
__export__.stock_quant_80229_4dc325ce,5006565,"AMPOULE LED 3,5V W/A 6500LED MACROVIEW",EOB229,,,1.00,Unité,47.60
__export__.stock_quant_80412_5c5f9c27,5052540,BLOUSE DE VELAGE MANCHE LONGUE 140cm,M.41.09.C.01,,,1.00,Unité,108.00
__export__.stock_quant_80494_ba63b5d5,5439904,BOLUS GUN METAL VETOQUINOL,M.46.08.B.02,,,3.00,Unité,31.28
__export__.stock_quant_80499_96a8a964,5439903,BOLUS GUN PLASTIC VETOQUINOL,M.56.08.E.04,,,4.00,Unité,8.69
__export__.stock_quant_80522_b1826c52,5639610,BOUCLE FIXATION VACHE WOPA,M.43.07.D.07,,,1.00,Unité,7.00
__export__.stock_quant_80589_4acf355c,8425058,CACHE INTERRUTEUR FAVORITA GT104,EOA114,,,5.00,Unité,0.64
__export__.stock_quant_80697_47d92718,5549411,CARTE FILTRE SECT PUMAX PR COCOONSPRAY,EOF132,,,1.00,Unité,25.31
__export__.stock_quant_80904_d65ce558,5634634,CONTRE ANGLE CORPS DE BASE VERTE 4/1,EOB184,,,1.00,Unité,110.83
__export__.stock_quant_80948_7574cc39,5307958,COUTEAU A AUTOPSIE : MANCHE PLASTIQUE,M.39.03.D.04,,,2.00,Unité,7.23
__export__.stock_quant_80957_8efb4243,8212977,CR35 VET ADAPTATEUR ECRAN DENTAIRE T2 FD2002,EOG134,,,1.00,Unité,27.76
__export__.stock_quant_80960_faaf9bed,8212983,CR35 VET ADAPTATEUR ECRAN DENTAIRE T4 FD2004,EOG135,,,1.00,Unité,37.08
__export__.stock_quant_80991_842aa586,8004026,CUTIMETRE AVEC POIGNEE,M.46.09.G.04,,,1.00,Unité,162.00
__export__.stock_quant_81001_2a202c29,5991054,CYTOSPIN CYTOSLIDE DOUBLE NC (x100),EOD125,,,2.00,Unité,48.62
__export__.stock_quant_81005_6a8ea37c,5991059,CYTOSPIN CYTOSLIDE SIMPLE NC (x100),EOD100,,,2.00,Unité,43.51
__export__.stock_quant_81025_4042882f,8401974,DERMOJET SAV AXE DE LEVIER 29,SA01A1,,,5.00,Unité,9.52
__export__.stock_quant_81037_68284e3c,8408539,DERMOJET SAV ECROU D'APPUI 17,SA01A4,,,9.00,Unité,13.83
__export__.stock_quant_81045_e765c71a,8349357,DERMOJET SAV ECROU TETE 22,SA01A6,,,3.00,Unité,38.63
__export__.stock_quant_81049_8ac9a149,8408924,DERMOJET SAV ENSEMBLE PISTON 2,SA01B1,,,6.00,Unité,70.36
__export__.stock_quant_81073_eadfc595,6400116,DERMOJET SAV JOUE D'APPUI,SA01C3,,,11.00,Unité,9.50
__export__.stock_quant_81110_d07abce2,5373164,DETARTREUR LIARRE CARTE MDP00164,EOD161,,,1.00,Unité,100.00
__export__.stock_quant_81181_e3985daa,5848974,EMBOUT DE CONTACT POWER PRO,EOB112,,,1.00,Unité,0.00
__export__.stock_quant_81359_92a38e21,5051421,"FUSIBLE 0,5A POUR COCOON SPRAY",EOE110,,,4.00,Unité,2.54
__export__.stock_quant_81486_d90adea4,8290897,HALLOWELL BRAS EXTENSION VMS,EXD600,,,2.00,Unité,39.23
__export__.stock_quant_81491_ac6bb5c9,5291866,HALLOWELL CLOCHE PLEXI 1600/3000ml,EXD600,,,1.00,Unité,326.45
__export__.stock_quant_81496_a00dd8ec,5291867,HALLOWELL SOUFFLET 1600/3000ml,EXD600,,,1.00,Unité,243.21
__export__.stock_quant_81555_d0305021,8352661,"AMPOULE HALOG 3,5V W/A 4900 OPHTALM",EOD171,,,1.00,Unité,38.94
__export__.stock_quant_81565_7f98f315,8120372,AMPOULE MICROSCOPE NIKON SE 240V/20W,EOH104,,,2.00,Unité,9.00
__export__.stock_quant_81651_1b6edef9,5074578,"BATTERIE 7,2V PR BALANCE KRUUSE",M.46.01.G.07,,,1.00,Unité,39.42
__export__.stock_quant_81954_fd80c840,5104609,LANCE BOL ELECTROPIDOLATE,M.56.02.A.05,,,6.00,Unité,0.00
__export__.stock_quant_81964_4ea86ca0,1053611,CAPNOSTREAM CLAMP PACKAGED X 1,M.47.09.E.03,,,5.00,Unité,69.50
__export__.stock_quant_82051_d4373f7f,5927103,MATRX VMS/VME : BOUTON POUR DEBITMETRE,EOG116,,,3.00,Unité,10.78
__export__.stock_quant_82063_60629278,5320145,MATRX VMS/VME JOINT VALVE APL/REP. AIR,EOC141,,,8.00,Unité,1.53
__export__.stock_quant_82068_a71eb897,5928400,MATRX VMS/VME : ROUE POUR PIED,SA00V0,,,5.00,Unité,6.53
__export__.stock_quant_82092_b1fefcad,5020132,MELAG SAV VALVE CLAPET POMPE PISTON 23VS,EOA173,,,4.00,Unité,11.00
__export__.stock_quant_82146_1e061027,8363363,MONITEUR BM3 CABLE PATIENT COMPLET,EOH163,,,1.00,Unité,149.91
__export__.stock_quant_82295_6895e51e,4004191,DETARTREUR CV400 CORDON TURBINE MOTEUR3,EXE500,,,2.00,Unité,30.68
__export__.stock_quant_82302_1064ad76,4004275,DETARTREUR CV400 RACCORD VALVE PNEUM,EOC127,,,5.00,Unité,0.82
__export__.stock_quant_82307_58a82590,4007607,DETARTREUR CV400 VALVE PNEUMATIQUE,EOD157,,,1.00,Unité,26.78
__export__.stock_quant_82374_466cad0c,5200158,DR MACH TRANSFO LED130 SWING,EOG156,,,1.00,Unité,105.84
__export__.stock_quant_82414_d703038b,8258034,PAX PINCE A CONTOURNER PLAQUES DE RECONSTRUCTION 007185,EOF177,,,1.00,Unité,418.60
__export__.stock_quant_82415_fa7646da,8269055,ECORNEUR HORN'UP : FIL CHAUFFANT,EOA200,,,1.00,Unité,21.22
__export__.stock_quant_82420_f66ff71c,8269061,ECORNEUR HORN'UP : TETE CERAMIQUE,EOB114,,,1.00,Unité,10.71
__export__.stock_quant_82462_7c235db4,5845794,PIECE DE CONNECTION DOUBLE POWER PRO,EOB109,,,1.00,Unité,0.00
__export__.stock_quant_82487_fb68c511,5611560,EOL KIT PROMO DEMANGEAISON (10 KITS),RETOUR_FOURNISSEUR,,,5.00,boîte,179.78
__export__.stock_quant_82491_c7df4da9,5170005,PILLEN PLANNER NOVARTIS NL,M.41.03.G.05,,,79.00,Unité,0.00
__export__.stock_quant_82492_5e76639d,5610105,EQUIDES CHARGEUR BATTERIE LIFE,M.51.03.G.02,,,1.00,Unité,119.00
__export__.stock_quant_82512_e70b6eba,8425236,ETRIER DE SUSPENSION FAVORITA,EOC219,,,5.00,Unité,0.60
__export__.stock_quant_82631_2d68592f,8455213,GAINE ANTIFLAMBAGE POUR CABLE FAVORITA,EOC180,,,2.00,Unité,2.13
__export__.stock_quant_82644_b4d04904,5000191,RACCORD PORTEX AS156 3mm-3mm,EOB164,,,6.00,Unité,1.18
__export__.stock_quant_82647_289d288a,5000192,RACCORD UNIVERSEL BICONIQUE DROIT,EOB230,,,5.00,Unité,2.43
__export__.stock_quant_82661_f4d8e3c3,8019826,RASOIR PLIANT AESCULAP,EOB128,,,4.00,Unité,30.69
__export__.stock_quant_82678_9afc4571,5845840,RESSORT DE CONTACT POWER PRO,EOB111,,,1.00,Unité,0.00
__export__.stock_quant_82682_7f0b2c2c,5588462,ROBINET CLIPPARD,EOC197,,,3.00,Unité,34.23
__export__.stock_quant_82734_fd511be3,5728222,IM3 SAV CONNECTEUR ENTREE EAU ELECTROVANNE U8222,SC01C4,,,6.00,Unité,36.40
__export__.stock_quant_82744_3ef748fc,8264572,SERINGUE GENIAPLEX   1ml STANDARD CENTREE,M.43.01.E.04,,,2.00,Unité,36.89
__export__.stock_quant_82767_80c30e57,8378583,SHOR LINE CHARNIERE METAL POUR CAGE,EOH236,,,8.00,Unité,0.55
__export__.stock_quant_82770_314065ee,5702004,SHOR LINE PIED POUR CHASSIS FIXE,M.43.03.B.01,,,8.00,Unité,14.89
__export__.stock_quant_82845_02719dc9,1020650,KIT REPARATION COLLIMATEUR RADIO ORANGE,EOC191,,,1.00,Unité,18.13
__export__.stock_quant_82883_21dda518,8248490,SUREFLAP ADAPTATEUR VIT/MUR GD CT/CN MAR,EXP000,,,1.00,Unité,8.53
__export__.stock_quant_82910_1b722e99,9212091,TABLE ELEC 5 ROUL 140x60cm PLAT + PESEE,SA00V0,,,1.00,Unité,"1,462.50"
__export__.stock_quant_82962_815f7cd3,5206510,TONDEUSE ANDIS : BLADE DRIVE ASSEMBLY,EOE185,,,3.00,Unité,2.75
__export__.stock_quant_82964_727dec9b,5020185,MELAG SAV 23EN CAPTEUR DE PRESSION,SC01E2,,,1.00,Unité,255.44
__export__.stock_quant_82968_b1693187,8289916,TONDEUSE HEINIGER EXPLORER BOVIN 1bat,FARIN CÉLINE,,,1.00,Unité,292.15
__export__.stock_quant_82977_dcf11085,8366339,TRANSFORMATEUR POUR BZ90 NEXTGEN 10/,EOG132,,,1.00,Unité,57.00
__export__.stock_quant_82987_a65083ef,5933501,MELAG SAV EUROKLAV 23V RESIST CHAUFFANTE,SB01B2,,,2.00,Unité,53.11
__export__.stock_quant_83013_0217225f,5000040,MOTEUR VERIN HANNING,SA00V0,,,1.00,Unité,93.86
__export__.stock_quant_83015_6db08f96,2321200,MOTIC ADAPTATEUR PR CAMERA SUR OBJECTIF,EOI151,,,1.00,Unité,34.20
__export__.stock_quant_83026_23882713,5166101,TUYAU POUR SPRAY EXTERNE DE CONTRE ANGLE,EOC111,,,1.00,Unité,2.05
__export__.stock_quant_83056_1b51ad2f,3381332,NUTRACTIV BOLI APPLICATEUR,M.56.08.E.02,,,5.00,Unité,31.00
__export__.stock_quant_83070_0f1b126b,8077137,VETTEST GODET CRISTAL 2ML (x250),M.51.03.G.01,,,1.00,Unité,7.02
__export__.stock_quant_83088_302cf7b9,5258514,VIS BOITIER TONDEUSE OSTER A5,EOA147,,,4.00,Unité,0.06
__export__.stock_quant_83161_d9b1660c,5355808,RESSORT PR CHARBON TONDEUSE OSTER GA,EOB147,,,2.00,Unité,0.27
__export__.stock_quant_83188_50ce79a7,4451042,SONDE TEMPERATURE POUR FRIGO PORTABLE,EOC130,,,3.00,Unité,10.20
__export__.stock_quant_83207_e237ed5b,5244045,SAV TABLE CK CABLE ALIMENTATION,EOI119,,,2.00,Unité,15.00
__export__.stock_quant_83232_abb543d4,5299914,TUE-MOUCHES BALAST 2030 2x15W,EOE193,,,1.00,Unité,2.89
__export__.stock_quant_83233_13887098,5299912,TUE-MOUCHES BALAST 2040 2x20W,EOC224,,,2.00,Unité,3.20
__export__.stock_quant_83238_9c30f048,5385055,VALLEYLAB ELECTRODE SPATULE,EOF184,,,3.00,Unité,8.47
__export__.stock_quant_83239_b6734dbd,5973631,VETASSURE B23 CARTE MERE ANCIEN MODELE,M.44.09.E.05,,,1.00,Unité,165.00
__export__.stock_quant_83247_469d64f6,5151515,VETNAR 1100 : KIT DE FIXATION POUR CUVE,EOD172,,,2.00,Unité,15.90
__export__.stock_quant_121126_734768c3,8008260,APPOSE AGRAFEUSE 35 AGRAFES STANDARD,PROBLEME_QUALITE,J9A0271LY,2023-12-31 01:00:00,3.00,blister,3.90
__export__.stock_quant_156791_fe6f1589,1079100,BOITE SYMPATHIE BLEU,M.41.05.D.02,,,1.00,boîte,13.19
__export__.stock_quant_169521_405d9470,8279639,IM3 UNITE DENTAIRE GS DELUXE LED U3019,CVBA VETERINAIR QUADRANT,,,1.00,Unité,"3,379.33"
__export__.stock_quant_169966_4d0d3175,1034990,MISTRAL PIED A ROULETTES AVEC PANIER,PE06A1,,,1.00,Unité,260.00
__export__.stock_quant_179966_bd048a3b,5146919,COMPTE GOUTTE PRIMUCELL FIP (1),QE09B6,,,"2,100.00",Unité,0.00
__export__.stock_quant_180167_76deb422,6795006,LEUKOCLIP RECHARGE 20 AGRAFES /,PROBLEME_QUALITE,578194,2020-02-29 01:00:00,10.00,Unité,7.38
__export__.stock_quant_210148_4c68ac55,0098467,VMP 50CP,PROBLEME_QUALITE,170627A,2019-11-30 00:00:00,39.00,Unité,12.47
__export__.stock_quant_212312_e0104caa,6508111,MALLETTE RUSTICANA GD 2P CUIR NOIR,Dr Vét. VAN LIERDE FABRICE,,,1.00,Unité,334.33
__export__.stock_quant_214665_f7a313cc,7110007,BOVILIS BVD  10ml  5D,PROBLEME_QUALITE,A150B01,2019-01-31 01:00:00,5.00,Unité,17.21
__export__.stock_quant_248558_2d0965b8,3664471,EKIMUD 8ml,PROBLEME_QUALITE,112019,2019-11-30 01:00:00,4.00,Unité,25.86
__export__.stock_quant_248927_693f6a6b,5038052,SERINGUE TBC HSW HENKEJECT: CYLINDRE 2ml,EOB169,,,15.00,Unité,4.30
__export__.stock_quant_251028_67499e1c,2900146,MICROSCOPE  RED132 BINO LED,DAP GUNST THIJS,,,1.00,Unité,343.80
__export__.stock_quant_266983_7caf1e3f,5386001,BOUCHON A VIS BAYCOX BOVIS,M.43.07.C.01,,,35.00,Unité,2.10
__export__.stock_quant_273269_a6f97a9e,8223449,CATHETER VENOCAN PLUS-W 22Gx25mm BLEU,PROBLEME_QUALITE,20180329,2021-03-28 00:00:00,73.00,Unité,0.80
__export__.stock_quant_281108_e89610bc,3686623,PESTIGON COMBO CHIEN 40/60KG 3PIP,RETOUR_FOURNISSEUR,7492502C,2019-11-30 00:00:00,19.00,Unité,15.56
__export__.stock_quant_324351_6ed34ce1,8276397,IM3 POMPE A EAU 5L POUR DETARTREUR U2010,DR MARCHAND FABIENNE PA - Livraison,,,1.00,Unité,50.45
__export__.stock_quant_348640_54c3a75e,5192727,BONUTRON SPORT PRO 18KG AUDEVARD,RETOUR_FOURNISSEUR,SC28,2020-03-31 02:00:00,1.00,Unité,267.54
__export__.stock_quant_355002_41ead669,5721910,IM3 MASQUE ANESTHESIE SET 5pcs D1910,S.C. CENTRE VETER. DES 4 BRAS,,,1.00,boîte,114.30
__export__.stock_quant_367972_dbd826b9,5551042,"VIS 2,4mm INOX AUTOT. 40mm      1042",EOC155,,,2.00,Unité,4.10
__export__.stock_quant_369029_ca8e57be,6100853,MOTICAM BTU8 CAMERA AVEC TABLETTE 20cm,EZ01E1,,,1.00,Unité,362.40
__export__.stock_quant_372470_5db5fdab,5700022,DIGAVET TEST CHIEN DIROFILARIA AG x10/,PROBLEME_QUALITE,31007210618,2020-05-31 02:00:00,1.00,Unité,58.18
__export__.stock_quant_373372_61a74363,5700028,DIGAVET TEST CHAT FPV AG (x10),PROBLEME_QUALITE,31003270518,2019-10-31 01:00:00,1.00,boîte,60.42
__export__.stock_quant_408820_5865264c,8017980,LARYNGOSCOPE DE MILLER: LAME N°0 80mm,EOF134,,,4.00,Unité,47.25
__export__.stock_quant_409419_fe238250,5611530,EOL OLIGO 100ML,RETOUR_FOURNISSEUR,18010401,2019-12-31 00:00:00,5.00,Unité,5.53
__export__.stock_quant_410032_751a92f3,8287805,EPONGE OPHTALMIQUE CYLINDRIQUE x10,PROBLEME_QUALITE,15B0562,2020-02-28 00:00:00,13.00,Unité,2.24
__export__.stock_quant_411735_74a90004,8168704,PIED A ROULETTES LAMPE VISIANO,Dr Vét. GERMYNS DELPHINE *,,,1.00,Unité,88.56
__export__.stock_quant_412115_99778136,5760362,"CAPROTEC C-TEC USP3/0 EP2 DS25 12x0,75m",RETOUR_FOURNISSEUR,18E28,2023-05-31 02:00:00,7.00,boîte,-5.84
__export__.stock_quant_419542_2800b720,5044144,RHEUMOCAM CHIEN 200ml,PROBLEME_QUALITE,E34292/B,2020-05-31 02:00:00,9.00,Unité,22.50
__export__.stock_quant_423730_c92a3872,5710101,COLLIER CHAINE GOURMETTE 70cm,M.47.09.C.01,,,10.00,Unité,5.37
