"D_No Fournisseur","D_Fournisseur","D_Profession fourn","UTILISATEUR","Temps de revision (jours)","Revision Lundi","Revision Mardi","Revision Mercredi","Revision Jeudi","Revision Vendredi"
"63610","CALINOBIO","Matériel","X",1,,,,,
"63645","DAIRY SPARES","Matériel","X",,,,,,
"63668","P.J.DAHLHAUSEN & CO GMBH","Matériel","X",,,,,,
"63771","DELVO S.A","Matériel","X",5,"X",,,,
"63919","SYBIOMED SARL","Matériel","X",3,"X",,,"X",
"63935","DIALEX BIOMEDICA","Matériel","X",5,"X",,,,
"63945","VET.DIEU & DELECOLLE","Autres marchandises","X",1,"X","X","X","X","X"
"63948","DIDACTIC","Matériel","X",1,"X","X","X","X","X"
"63950","DIMAVET","Matériel","X",5,"X",,,,
"63961","DISTRIFARM BVBA","Matériel","X",5,,,"X",,
"63963","DISTRIMED","Matériel","X",5,,"X",,,
"63975","GROUPE VAL D'HONY-VERDIFARM","Médicament","CHRISTOPHE",3,"X",,,"X",
"63983","DECHRA VETERINARY PRODUCT","Médicament","HEINEVI",1,"x",,,"x",
"63984","DECHRA VETERINARY PRODUCTS","Matériel","HEINEVI",3,,"X",,,"X"
"63988","DISTINJECT","Matériel","X",5,,"X",,,
"63989","DISPOMED WITT","Matériel","X",5,"X",,,,
"63991","DE VILBISS HEALTHCARE SAS","Matériel","X",5,"X",,,,
"63992","DEVRY","Matériel","X",5,,"X",,,
"64000","AKRA DERMO JET","Matériel","X",5,,"X",,,
"64010","DUMONT VERRERIES","Fourniture","X",5,"X",,,,
"64215","FOSFOR","Matériel","X",3,"X",,,"X",
"64257","DL MEDICAL","Matériel","X",3,"X",,,"X",
"64275","DOPHARMA VETERINAIRE FARMACA","Médicament","HEINEVI",3,"X",,,"X",
"64290","DOYEN","Matériel","X",3,"X",,,"X",
"64295","DOVO STAHLWAREN GMBH & CO.KG","Matériel","X",5,,,,,"X"
"64350","DR MACH","Matériel","X",1,"X","X","X","X","X"
"64355","DIGAVET","Matériel","X",1,"x","x","x","x","x"
"64405","DRÄGER MEDICAL BELGIUM","Matériel","X",3,"X",,,"X",
"64460","FRERE MICHEL SPRL","Médicament","X",1,"X","X","X","X","X"
"64488","SIOEN","Matériel","X",5,,,"X",,
"64500","INSTRUMENT DE CHIRURGIE MORIN","Matériel","X",3,,"X",,,"X"
"64502","INSTRUMA NV","Matériel","X",3,"X",,,"X",
"64505","INSTRULIFE NV","Matériel","X",1,"X","X","X","X","X"
"65000","DURASOL","Matériel","X",1,"X","X","X","X","X"
"65010","DURR NDT GMBH & CO","Matériel","X",5,,"X",,,
"65020","DURR DENTAL BELGIUM","Matériel","X",5,,"X",,,
"66006","EASYTRAC - ID","Matériel","X",1,"X","X","X","X","X"
"66008","ECUPHAR ANIMAL HEALTH SA","Médicament","CHRISTOPHE",3,"X",,,"X",
"66011","ECORAY CO LTD","Matériel","X",1,"X","X","X","X","X"
"66017","EDDY CALLIER","Matériel","X",1,"X","X","X","X","X"
"66050","ERBRICH INSTRUMENTE (DEM)","Médicament","X",1,"X","X","X","X","X"
"66108","ERGRA ENGELEN","Matériel","X",1,"x",,,"x",
"66150","EICKEMEYER, MEDIZINTECHNIK","Matériel","X",5,"x",,,"x",
"66155","EICKEMEYER MEDISCHE TECHNIEK","Matériel","X",5,"X",,,,
"66185","E.I MEDICAL IMAGING","Matériel","X",5,"X",,,,
"66200","ELI LILLY/ELANCO","Médicament","HEINEVI",3,"X",,,"X",
"66248","EMS France","Matériel","X",1,"x","x","x","x","x"
"66249","EMGEE TRADING BVBA","Aliment","HEINEVI",1,"x",,,"x",
"66250","ENDOSCOPIE RICHARD WOLF","Matériel","X",3,"x",,,"x",
"66310","EQUIDES.PRO","Matériel","X",1,,"x",,,"x"
"66445","EUROMEX","Matériel","X",5,,,,"X",
"66550","EBIMEX","Matériel","X",1,"X","X","X","X","X"
"66666","OLYMPIC VET CORP","Matériel","X",3,,"x",,,"x"
"66722","EXAM PACKAGING","Matériel","X",1,"X","X","X","X","X"
"66723","EWALD BACHER MEDIZINTECHN","Matériel","X",3,,"x",,,"x"
"66901","BUFA / FEDERA","Médicament","HEINEVI",3,"x",,,"x",
"66906","FENDIGO","Médicament","CHRISTOPHE",3,"X",,,"X",
"66928","FISSETTE","Matériel","X",5,,"X",,,
"66935","FLERON FRANCIS","Matériel","X",1,"X","X","X","X","X"
"66944","FIERS NV","Matériel","X",1,"x",,,"x",
"66992","DR FRITZ","Matériel","X",1,"x",,,"x",
"66999","FSSB CHIRURGISCHE NADELN GMBH","Matériel","X",1,"x","x","x","x","x"
"67390","G.A.S","Matériel","X",5,,"X",,,
"67530","GENIA","Matériel","X",1,"X","X","X","X","X"
"67538","GIERTH X-RAY INTERNATIONAL","Matériel","X",1,,"x",,,"x"
"67575","GÖBEL BELGIUM","Matériel","X",1,"X","X","X","X","X"
"67582","ETS JACK GOHY","Matériel","X",5,,,"X",,
"67588","GROVET","Médicament","HEINEVI",3,"x",,,"x",
"67592","GRIMED S.R.O","Matériel","X",1,"X","X","X","X","X"
"67625","GROUPE MULLIEZ FLORY","Matériel","X",1,"X","X","X","X","X"
"67635","GROOMING TECHNICAL ENTERPRISES","Matériel","X",5,"X",,,,
"67640","GUERRA","Matériel","X",3,,"x",,,"x"
"67655","ALLTECH FRANCE-WR GRACE FRANCE","Matériel","X",5,,"X",,,
"67800","G-TEEK","Matériel","X",1,"x",,,"x",
"68133","H3D","Matériel","X",5,"X",,,,
"68150","HALLOWELL EMC","Matériel","X",5,,,,,"X"
"68170","HEEL BELGIUM","Médicament","CHRISTOPHE",3,"X",,,"X",
"68215","ECOLAB BVBA","Médicament","X",3,"X",,,"X",
"68234","HIPRA","Médicament","HEINEVI",3,,"X",,,"X"
"68250","HILL'S PET PRODUCTS BENELUX","Aliment","HEINEVI",5,,,,"X",
"68257","HEYER BENELUX",,"X",1,,"x",,,"x"
"68301","H&O EQUIPMENTS","Matériel","X",,,,,,
"68302","HARTMANN PAUL","Matériel","CHRISTOPHE",2,"x",,"x",,"X"
"68303","HAUPTNER UND R.HERBERHOLZ","Matériel","X",1,"X","X","X","X","X"
"68317","HERBALGEM","Médicament","HEINEVI",1,,"x",,,"x"
"68318","HENVART PIERRE","Matériel","X",1,"X","X","X","X","X"
"68320","HOMEODEN","Médicament","HEINEVI",1,,"x",,,"x"
"68322","HOKANSON D.E, INC.","Matériel","X",5,"X",,,,
"68370","HENKE SASS WOLF GMBH","Matériel","X",5,"X",,,,
"68403","HORSE PRODUCTS","Médicament","CHRISTOPHE",3,,"X",,,"X"
"69000","HOSPITHERA","Médicament","CHRISTOPHE",5,,"x",,,"x"
"69005","HOSPIRA BENELUX","Matériel","X",1,"X","X","X","X","X"
"69106","HUCKERT'S INTERNATIONAL","Matériel","X",5,"X",,,,
"69115","VISSERS","Matériel","X",5,"X",,,,
"69603","HUVESEARCH BVBA","Matériel","X",5,,,,"X",
"69611","HUVEPHARMA","Médicament","HEINEVI",3,"X",,,"X",
"69650","HYMETEC SA","Matériel","X",5,,,,,"X"
"70295","ICU MEDICAL","Matériel","X",1,"X","X","X","X","X"
"70312","IDEXX LABORATORIES SPRL","Matériel","X",1,"x",,"x",,"x"
"70315","I.D. PHAR","Médicament","HEINEVI",3,"X",,,"X",
"71020","IM3 DENTAL LTD","Matériel","X",1,"X","X","X","X","X"
"71045","IMO","Matériel","X",1,"X","X","X","X","X"
"71050","IMMUNOPHARM BENELUX","Médicament","HEINEVI",1,"x",,,"x",
"71066","IMV TECHNOLOGIES","Matériel","X",3,,"x",,,"x"
"71100","MSD ANIMAL HEALTH","Médicament","HEINEVI",3,,"X",,,"X"
"71155","INTECH S.L","Matériel","X",1,,,"x",,
"71212","INTERSURGICAL BENELUX","Matériel","X",,,,,,
"71400","JOHNSON ET JOHNSON MEDICAL","Médicament","X",1,"X","X","X","X","X"
"71409","JORG&SOHN GMBH","Matériel","X",1,"x",,,,
"71450","COVIDIEN (ANC. TYCO)","Médicament","X",1,"X","X","X","X","X"
"72294","JMB NATSIKA SARL","Matériel","X",5,,,,,"X"
"73616","LA MAISON DES VINS","Aliment","HEINEVI",3,,"x",,,"x"
"73625","LAMERIS","Matériel","X",2,"X",,"X",,"X"
"73626","ARSEUS DENTAL","Matériel","X",5,,,"X",,
"73657","LAROY-DUVO","Aliment","CHRISTOPHE",5,,,"X",,
"73671","LABELVAGE","Matériel","X",5,"X",,,,
"73684","LABOR+ TECHNIK","Matériel","X",1,,"x",,,
"73688","LEFORT","Matériel","X",5,,,,"X",
"73728","LEYS MARC","Matériel","X",5,,"X",,,
"73800","ARSEUS MEDICAL","Matériel","X",5,,,"X",,
"73840","LJ LEATHERS BVBA","Autres marchandises","HEINEVI",2,"X",,"X",,"X"
"73900","LUDECO","Médicament","HEINEVI",3,,"x",,,"x"
"73940","LPG","Autres marchandises","HEINEVI",3,,"X",,,"X"
"74026","MANKAÏA","Matériel","X",5,"X",,,,
"74050","MAFFETONE A ET F","Matériel","X",1,"X","X","X","X","X"
"74105","MARTIN SELLIER DISTR.(DYNAVET)","Matériel","X",5,,,"X",,
"74130","MATERNE-DORMAL","Fourniture","X",3,"X",,,"X",
"74140","MATRX MEDICAL INC.","Matériel","X",1,"X","X","X","X","X"
"74146","ACERTYS HEALTHCARE N.V","Matériel","X",1,"X","X","X","X","X"
"74147","MEDIPOST","Fourniture","X",5,"X",,,,
"74153","CERTA S.A. (MEDEVA)","Médicament","HEINEVI",3,"X",,,"X",
"74154","MEDVET","Autres marchandises","X",3,,"X",,,"X"
"74156","MAXAM","Matériel","X",1,"X","X","X","X","X"
"74157","MEDINI-INSTRULIFE","Matériel","X",5,,,"X",,
"74158","MEDICAL PROMOTION","Matériel","CHRISTOPHE",2,"X",,"x",,"x"
"74159","MEDEX LONCIN","Matériel","X",5,,,"X",,
"74161","MEDILOR","Matériel","X",5,,"X",,,
"74162","MEDLINE INTERNATIONAL BELGIUM","Matériel","X",5,"X",,,,
"74164","MEDSYS","Matériel","X",5,,"X",,,
"74166","MELAG FRANCE","Matériel","X",1,"X","X","X","X","X"
"74168","MEDICOM HEALTHCARE","Matériel","X",5,"X",,,,
"74169","MEDIFROID SAS","Matériel","X",,,,,,
"74170","MEDICO CARE","Matériel","X",5,"X",,,,
"74180","MDC EXPORTS LIMITED","Matériel","X",5,"X",,,,
"74200","MERIAL BELGIUM SA","Médicament","HEINEVI",3,"X",,,"X",
"74205","MEVEMAT","Matériel","X",5,,,"X",,
"74215","MEDTRONIC","Matériel","X",1,"x",,,"x",
"74218","KLS MARTIN GROUP","Matériel","X",1,"X","X","X","X","X"
"74221","MAQUET BELGIUM","Matériel","X",5,,"X",,,
"74290","MICHIELS S.A.","Matériel","X",3,,"X",,,"X"
"74303","MILA INTERNATIONAL INC.","Matériel","X",5,,,,"X",
"74308","MILLPLEDGE MEDICAMENTS","Médicament","CHRISTOPHE",3,,"X",,,"X"
"74311","MILWAUKEE ELECTRONICS KFT","Matériel","X",5,,,,"X",
"74312","MILLPLEDGE MATERIEL","Matériel","CHRISTOPHE",3,,"X",,,"x"
"74314","MIKAN BELPHORE INTERNATIONAL","Matériel","X",5,,,,"X",
"74320","MILOA","Médicament","HEINEVI",2,"X",,"X",,"X"
"74330","MILLER MANUFACTURING COMPANY","Matériel","X",,,,,,
"74411","MOTIC SPAIN SLU","Matériel","X",5,,"X",,,
"74450","MÜLLER GMBH","Matériel","X",1,"X","X","X","X","X"
"74500","MP LABO","Médicament","CHRISTOPHE",3,"X",,,"X",
"74505","MPC RUBBER","Matériel","X",1,"X","X","X","X","X"
"74520","MXR PODOBLOCK","Matériel","X",5,"X",,,,
"74550","MU-PET","Matériel","X",1,"X","X","X","X","X"
"74560","MULTIPHARMA","Médicament","HEINEVI",1,"x",,,"x",
"74565","MULTIVET S.A.R.L","Matériel","X",1,"X","X","X","X","X"
"75000","RUNLITE S.A.","Fourniture","X",1,"X","X","X","X","X"
"76005","OPTI AMENAGEMENT","Matériel","X",1,"X","X","X","X","X"
"76105","OBIONE","Médicament","CHRISTOPHE",3,,"X",,,"X"
"76205","OLYMPUS BELGIUM","Matériel","X",5,"X",,,,
"76240","OMEGA PHARMA","Médicament","HEINEVI",1,,"x",,,"x"
"76256","ONIS SA","Matériel","X",1,,,"x",,
"77020","ORIGINAL PROCESS","Médicament","HEINEVI",3,,"X",,,"X"
"77050","ORCOVET NUTRITION","Médicament","HEINEVI",1,"X","X","X","X","X"
"77100","ORFFA BELGIUM (IDAC)","Médicament","HEINEVI",1,,"x",,,"x"
"77207","OXYCURE BELGIUM","Matériel","X",1,,,"x",,
"77210","OYSTERSHELL","Médicament","HEINEVI",3,"X",,,"X",
"77308","KING BELGIUM","Matériel","X",,,,,,
"77316","KRUUSE","Matériel","X",1,"X","X","X","X","X"
"77320","PHARMA BELGIUM","Médicament","X",1,"X","X","X","X","X"
"77325","POUMAY VICTOR ETS","Matériel","X",1,"X","X","X","X","X"
"77326","PAVESCO AG","Médicament","HEINEVI",3,,"X",,,"X"
"77340","PHARMA SANTE OFFICINE 31","Médicament","HEINEVI",1,,,"x",,
"77350","PHARMACIE SANTE","Médicament","HEINEVI",1,,,"x",,
"77372","PARKS MEDICAL ELECTRONICS INC.","Matériel","X",5,"X",,,,
"77376","PARAZART","Matériel","X",1,"X","X","X","X","X"
"77415","PHARMAGAL-BIO S.R.O","Médicament","CHRISTOPHE",3,"X",,,"X",
"77420","PHARMAMED AGP DISTRIBUTION","Matériel","X",5,,,,,"X"
"77450","PHARMA FOR FIDO","Médicament","HEINEVI",1,,,"x",,
"77500","PET'S CONCEPT","Matériel","X",1,"X","X","X","X","X"
"77593","P.M.D.","Matériel","X",1,"X","X","X","X","X"
"77596","PLANET ID","Matériel","X",1,"X","X","X","X","X"
"77602","VETOQUINOL","Médicament","HEINEVI",3,,"X",,,"X"
"77603","PRODIVET PHARMACEUTICALS SA","Médicament","CHRISTOPHE",3,"X",,,"X",
"77605","PHARMA LOGISTICS","Médicament","HEINEVI",1,,"x",,,
"77614","POLYSEM SAS","Matériel","X",5,"X",,,,
"77618","PRODIVET MATERIEL","Matériel","CHRISTOPHE",3,,"X",,,"X"
"77631","THERMO FISHER SCIENTIFIC","Matériel","X",1,"X","X","X","X","X"
"77633","THOMAS M. LANG","Matériel","X",5,"X",,,,
"77640","PHYTOVET ANIMAL HEALTH","Médicament","CHRISTOPHE",3,"X",,,"X",
"77645","PHYSIA GMBH","Matériel","X",1,"X","X","X","X","X"
"77666","PHARMACIE DU SOUVERAIN","Médicament","HEINEVI",1,,"x",,,
"78525","RAYTEC","Matériel","X",1,"X","X","X","X","X"
"78650","ROYAL CANIN  *","Aliment","HEINEVI",5,"X","X","X",,
"79000","ALCYON SITE ARRAS MATERIEL.","Matériel","CHRISTOPHE",5,"X",,"X",,"X"
"79001","ALCYON SITE ARRAS MEDICAMENTS","Matériel","CHRISTOPHE",5,"X","x",,,"X"
"79003","ALCYON ITALIA","Matériel","X",5,"X",,,,
"79038","SARSTEDT BVBA","Matériel","X",1,,,"x",,
"79050","SATELEC - ACTEON GROUP","Matériel","X",1,"X","X","X","X","X"
"79055","X-SANATEC","Matériel","X",5,,,,"X",
"79100","CEVA","Médicament","HEINEVI",3,"X",,,"X",
"79105","SCS BOEHRINGER INGELHEIM COMM.","Médicament","CHRISTOPHE",3,,"X",,,"X"
"79142","SAVIC","Matériel","X",5,"X",,,,
"79152","SCIL ANIMAL CARE COMPANY","Matériel","X",1,"X","X","X","X","X"
"79157","BONDWAY ELECTRONICS CO LTD","Matériel","X",5,,,,"X",
"79158","SCHNABEL MEDISCHE GROOTHANDEL","Matériel","X",1,"X","X","X","X","X"
"79159","HENRY SCHEIN","Matériel","X",5,,,"X",,
"79160","SCHREURS GROUP","Médicament","X",5,"X",,,,
"79188","SEPAC FLACOVER","Matériel","X",1,"X","X","X","X","X"
"79192","SECUROS EUROPE GMBH","Matériel","CHRISTOPHE",3,,"X",,,"X"
"79193","SERVOPRAX G.M.B.H.","Matériel","X",5,,,"X",,
"79200","SMI SA","Matériel","CHRISTOPHE",3,,"x",,,"X"
"79201","ZOETIS BELGIUM","Médicament","HEINEVI",3,"X",,,"X",
"79202","SHOR-LINE LIMITED","Matériel","X",5,,"X",,,
"79204","MINDRAY","Matériel","X",5,,,,"X",
"79214","HIPRA LABORATORIOS SA","Médicament","HEINEVI",3,"X",,,"X",
"79215","SEXMOOR LABORATOIRES","Médicament","HEINEVI",5,"x",,,,
"79217","SHIRLEY ALDRED & CO LIMITED","Matériel","X",1,"X","X","X","X","X"
"79224","SKYLED","Matériel","X",1,,,"x",,
"79226","SONOSCAPE EUROPE S.R.L","Matériel","X",5,"X",,,,
"79232","SONOGEL VERTRIEBS GMBH","Matériel","X",5,,,,,"X"
"79244","SMART PRACTICE","Matériel","X",,,,,,
"79245","SMITH & NEPHEW","Fourniture","X",5,"X",,,,
"79248","SMITHS MEDICAL BELGIUM","Médicament","X",5,"X",,,,
"79249","STALLERGENES","Médicament","HEINEVI",1,,,"x",,
"79264","STOPLER BELGIUM","Matériel","X",1,"X","X","X","X","X"
"79301","LOHMANN & RAUSCHER","Fourniture","CHRISTOPHE",3,"X",,,"X",
"79402","SOUDOMAN S.C","Matériel","X",5,,"X",,,
"79462","SURGICON LTD","Matériel","X",1,"X","X","X","X","X"
"79510","SYNTHES","Matériel","X",1,"X","X","X","X","X"
"79582","TECHNIMED BVBA","Matériel","X",5,,,"X",,
"79583","TELEFLEX","Matériel","X",3,,"X",,,"X"
"79592","TERWAGNE MATERIEL D'ELEVAGE","Matériel","X",1,"X","X","X","X","X"
"79595","TETRAEUROPE GMBH","Matériel","X",5,,"X",,,
"79612","TERUMO BCT EUROPE","Matériel","X",5,,,,,"X"
"80150","TAVAR","Matériel","X",5,,,,"X",
"80300","3M BELGIUM","Matériel","X",5,,"X",,,
"81200","VIRBAC BELGIUM    *","Médicament","HEINEVI",5,"X",,"X","x",
"81201","VIRBAC BELGIUM ALIMENTS   *","Aliment","HEINEVI",5,,,"X",,
"81206","VIRBAC NEDERLAND","Médicament","HEINEVI",3,"X",,,"X",
"81250","VIYO INTERNATIONAL","Médicament","HEINEVI",3,,"X",,,"X"
"81500","PHARMACIA UPJOHN SA","Médicament","HEINEVI",3,,"x",,,"x"
"81580","UNIDENT","Matériel","X",1,"X","X","X","X","X"
"81581","ULTRAGEL HUNGARY 2000 KFT","Matériel","X",5,"X",,,,
"81583","ULG FMV PHR (REPROBIOL SPRL)","Médicament","CHRISTOPHE",5,,,"X",,
"81585","UNDA","Médicament","X",1,,,"x",,
"81620","VABO","Matériel","X",5,"X",,,,
"81635","VACCIFAR BV","Médicament","HEINEVI",3,,"X",,,"X"
"81699","VACCIFAR SPRL","Médicament","HEINEVI",3,"X",,,"X",
"82395","VWR INTERNATIONAL","Matériel","X",1,,,"x",,
"82400","VYGON","Matériel","X",1,"X","X","X","X","X"
"82410","VTRADE INT.",,"X",1,,,"x",,
"82446","VETEQ CZECH SRO","Matériel","X",5,,,,"X",
"82450","VETICOM","Matériel","X",1,"X","X","X","X","X"
"82460","JORIS DE SWERT","Matériel","X",,,,,,
"82505","VEREECKE COSMETICS","Matériel","X",5,,,"X",,
"82540","VETINOX","Matériel","X",1,,"x",,"x",
"82550","VET I PHARMA","Matériel","X",5,"X",,,,
"82593","VAL D'HONY-VERDIFARM","Matériel","CHRISTOPHE",3,,"X",,,"X"
"82595","VERSELE-LAGA  *","Aliment","CHRISTOPHE",3,,"X",,,"X"
"82598","VEDIFA","Médicament","HEINEVI",1,"X","X","X","X","X"
"82599","VARTA BV","Matériel","X",5,"X",,,,
"82630","VETALIS TECHNOLOGIES","Autres marchandises","HEINEVI",3,,"X",,,"X"
"82638","VETIN-AACOFARMA","Matériel","X",1,,,"x",,
"82640","VETERINARY INSTRUMENTATION LTD","Matériel","X",1,"X","X","X","X","X"
"82655","VETMEDCARE","Matériel","X",1,,,"x",,
"82660","VETRIA BVBA","Médicament","HEINEVI",1,"X","X","X","X","X"
"82670","VEXO","Médicament","CHRISTOPHE",5,,,"X",,
"82680","VETWEB SURGICALS","Matériel","X",1,,,"x",,
"82701","V.M.D.   *","Médicament","HEINEVI",3,,"X",,,"X"
