id,name,description
__import__.report_intrastat_code_1023910,1023910,Live domestic buffalo (excl. pure-bred for breeding)
__import__.report_intrastat_code_1023990,1023990,Live buffalo (excl. domestic species and pure-bred for breeding)
__import__.report_intrastat_code_1029020,1029020,Bovine pure-bred breeding animals (excl. cattle and buffalo)
__import__.report_intrastat_code_1029091,1029091,Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding)
__import__.report_intrastat_code_1029099,1029099,"Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)"
__import__.report_intrastat_code_1031000,1031000,Pure-bred breeding swine
__import__.report_intrastat_code_1039110,1039110,"Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)"
__import__.report_intrastat_code_1039190,1039190,"Live non-domestic swine, weighing < 50 kg"
__import__.report_intrastat_code_1039211,1039211,"Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)"
__import__.report_intrastat_code_1039219,1039219,"Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)"
__import__.report_intrastat_code_1039290,1039290,"Live non-domestic swine, weighing >= 50 kg"
__import__.report_intrastat_code_1041010,1041010,Pure-bred sheep for breeding
__import__.report_intrastat_code_1041030,1041030,"Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)"
__import__.report_intrastat_code_1041080,1041080,Live sheep (excl. lambs and pure-bred breeding animals)
__import__.report_intrastat_code_1042010,1042010,Pure-bred breeding goats
__import__.report_intrastat_code_1042090,1042090,Live goats (excl. pure-bred for breeding)
__import__.report_intrastat_code_1051111,1051111,Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g
__import__.report_intrastat_code_1051119,1051119,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)
__import__.report_intrastat_code_1051191,1051191,"Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)"
__import__.report_intrastat_code_1051199,1051199,Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks)
__import__.report_intrastat_code_1051200,1051200,"Live domestic turkeys, weighing <= 185 g"
__import__.report_intrastat_code_1051300,1051300,"Live domestic ducks, weighing <= 185 g"
__import__.report_intrastat_code_1051400,1051400,"Live domestic geese, weighing <= 185 g"
__import__.report_intrastat_code_1051500,1051500,"Live domestic guinea fowls, weighing <= 185 g"
__import__.report_intrastat_code_1059400,1059400,"Live fowls of the species Gallus domesticus, weighing > 185"
__import__.report_intrastat_code_1059910,1059910,"Live domestic ducks, weighing > 185 g"
__import__.report_intrastat_code_1059920,1059920,"Live domestic geese, weighing > 185 g"
__import__.report_intrastat_code_1059930,1059930,"Live domestic turkeys, weighing > 185 g"
__import__.report_intrastat_code_1059950,1059950,"Live domestic guinea fowls, weighing > 185 g"
__import__.report_intrastat_code_1061100,1061100,Live primates
__import__.report_intrastat_code_1061200,1061200,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
__import__.report_intrastat_code_1061300,1061300,Live camels and other camelids [Camelidae]
__import__.report_intrastat_code_1061410,1061410,Live domestic rabbits
__import__.report_intrastat_code_1061490,1061490,Live rabbits and hares (excl. domestic rabbits)
__import__.report_intrastat_code_1061900,1061900,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
__import__.report_intrastat_code_1062000,1062000,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
__import__.report_intrastat_code_1063100,1063100,Live birds of prey
__import__.report_intrastat_code_1063200,1063200,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
__import__.report_intrastat_code_1063300,1063300,"Live ostriches, and emus [Dromaius novaehollandiae]"
__import__.report_intrastat_code_1063910,1063910,Live pigeons
__import__.report_intrastat_code_1063980,1063980,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)"
__import__.report_intrastat_code_1064100,1064100,Live bees
__import__.report_intrastat_code_1064900,1064900,Live insects (excl. bees)
__import__.report_intrastat_code_1069000,1069000,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
__import__.report_intrastat_code_2011000,2011000,"Carcases or half-carcases of bovine animals, fresh or chilled"
__import__.report_intrastat_code_2012020,2012020,"""Compensated"" quarters of bovine animals with bone in, fresh or chilled"
__import__.report_intrastat_code_2012030,2012030,"Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled"
__import__.report_intrastat_code_2012050,2012050,"Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled"
__import__.report_intrastat_code_2012090,2012090,"Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)"
__import__.report_intrastat_code_2013000,2013000,"Fresh or chilled bovine meat, boneless"
__import__.report_intrastat_code_2021000,2021000,Frozen bovine carcases and half-carcases
__import__.report_intrastat_code_2022010,2022010,"Frozen ""compensated"" bovine quarters, with bone in"
__import__.report_intrastat_code_2022030,2022030,"Frozen unseparated or separated bovine forequarters, with bone in"
__import__.report_intrastat_code_2022050,2022050,"Frozen unseparated or separated bovine hindquarters, with bone in"
__import__.report_intrastat_code_2022090,2022090,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)"
__import__.report_intrastat_code_2023010,2023010,"Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, in one piece"
__import__.report_intrastat_code_2023050,2023050,"Frozen bovine boneless crop, chuck and blade and brisket cuts"
__import__.report_intrastat_code_2023090,2023090,"Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin, in one piece, crop, chuck and blade and brisket cuts)"
__import__.report_intrastat_code_2031110,2031110,Fresh or chilled domestic swine carcases and half-carcases
__import__.report_intrastat_code_2031190,2031190,Fresh or chilled non-domestic swine carcases and half-carcases
__import__.report_intrastat_code_2031211,2031211,"Fresh or chilled with bone in, domestic swine hams and cuts thereof"
__import__.report_intrastat_code_2031219,2031219,"Fresh or chilled with bone in, domestic swine shoulders and cuts thereof"
__import__.report_intrastat_code_2031290,2031290,"Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine"
__import__.report_intrastat_code_2031911,2031911,Fresh or chilled fore-ends and cuts thereof of domestic swine
__import__.report_intrastat_code_2031913,2031913,Fresh or chilled loins and cuts thereof of domestic swine
__import__.report_intrastat_code_2031915,2031915,"Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine"
__import__.report_intrastat_code_2031955,2031955,Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)
__import__.report_intrastat_code_2031959,2031959,"Fresh or chilled meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)"
__import__.report_intrastat_code_2031990,2031990,"Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, with bone in)"
__import__.report_intrastat_code_2032110,2032110,Frozen domestic swine carcases and half-carcases
__import__.report_intrastat_code_2032190,2032190,Frozen non-domestic swine carcases and half-carcases
__import__.report_intrastat_code_2032211,2032211,"Frozen hams and cuts thereof of domestic swine, with bone in"
__import__.report_intrastat_code_2032219,2032219,"Frozen shoulders and cuts thereof of domestic swine, with bone in"
__import__.report_intrastat_code_2032290,2032290,"Frozen hams, shoulders and cuts thereof of non-domestic swine, with bone in"
__import__.report_intrastat_code_2032911,2032911,Frozen fore-ends and cuts thereof of domestic swine
__import__.report_intrastat_code_2032913,2032913,"Frozen loins and cuts thereof of domestic swine, with bone in"
__import__.report_intrastat_code_2032915,2032915,"Frozen bellies ""streaky"" and cuts thereof of domestic swine"
__import__.report_intrastat_code_2032955,2032955,Frozen boneless meat of domestic swine (excl. bellies and cuts thereof)
__import__.report_intrastat_code_2032959,2032959,"Frozen meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)"
__import__.report_intrastat_code_2032990,2032990,"Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof, with bone in)"
__import__.report_intrastat_code_2041000,2041000,Fresh or chilled lamb carcases and half-carcases
__import__.report_intrastat_code_2042100,2042100,Fresh or chilled sheep carcases and half-carcases (excl. lambs)
__import__.report_intrastat_code_2042210,2042210,Fresh or chilled sheep short forequarters
__import__.report_intrastat_code_2042230,2042230,Fresh or chilled sheep chines and/or best ends
__import__.report_intrastat_code_2042250,2042250,Fresh or chilled sheep legs
__import__.report_intrastat_code_2042290,2042290,"Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
__import__.report_intrastat_code_2042300,2042300,Fresh or chilled boneless cuts of sheep
__import__.report_intrastat_code_2043000,2043000,Frozen lamb carcases and half-carcases
__import__.report_intrastat_code_2044100,2044100,Frozen sheep carcases and half-carcases (excl. lambs)
__import__.report_intrastat_code_2044210,2044210,Frozen sheep short forequarters
__import__.report_intrastat_code_2044230,2044230,Frozen sheep chines and/or best ends
__import__.report_intrastat_code_2044250,2044250,Frozen sheep legs
__import__.report_intrastat_code_2044290,2044290,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
__import__.report_intrastat_code_2044310,2044310,"Frozen meat of lambs, boneless, frozen"
__import__.report_intrastat_code_2044390,2044390,"Frozen meat of sheep, boneless (excl. lamb)"
__import__.report_intrastat_code_2045011,2045011,Fresh or chilled goat carcases and half-carcases
__import__.report_intrastat_code_2045013,2045013,Fresh or chilled goat short forequarters
__import__.report_intrastat_code_2045015,2045015,Fresh or chilled goat chines and/or best ends
__import__.report_intrastat_code_2045019,2045019,Fresh or chilled legs of goat
__import__.report_intrastat_code_2045031,2045031,"Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
__import__.report_intrastat_code_2045039,2045039,Fresh or chilled boneless cuts of goat
__import__.report_intrastat_code_2045051,2045051,Frozen goat carcases and half-carcases
__import__.report_intrastat_code_2045053,2045053,Frozen goat short forequarters
__import__.report_intrastat_code_2045055,2045055,Frozen goat chines and/or best ends
__import__.report_intrastat_code_2045059,2045059,Frozen goat legs
__import__.report_intrastat_code_2045071,2045071,"Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
__import__.report_intrastat_code_2045079,2045079,Frozen boneless cuts of goat
__import__.report_intrastat_code_2050020,2050020,"Fresh or chilled meat of horses, asses, mules or hinnies"
__import__.report_intrastat_code_2050080,2050080,"Frozen meat of horses, asses, mules or hinnies"
__import__.report_intrastat_code_2061010,2061010,Fresh or chilled edible bovine offal for manufacture of pharmaceutical products
__import__.report_intrastat_code_2061095,2061095,Fresh or chilled edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)
__import__.report_intrastat_code_2061098,2061098,"Fresh or chilled edible bovine offal (excl. for manufacture of pharmaceutical products, thick and thin skirt)"
__import__.report_intrastat_code_2062100,2062100,Frozen edible bovine tongues
__import__.report_intrastat_code_2062200,2062200,Frozen edible bovine livers
__import__.report_intrastat_code_2062910,2062910,Frozen edible bovine offal for manufacture of pharmaceutical products (excl. tongues and livers)
__import__.report_intrastat_code_2062991,2062991,Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)
__import__.report_intrastat_code_2062999,2062999,"Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)"
__import__.report_intrastat_code_2063000,2063000,Fresh or chilled edible offal of swine
__import__.report_intrastat_code_2064100,2064100,Frozen edible livers of swine
__import__.report_intrastat_code_2064900,2064900,"Edible offal of swine, frozen (excl. livers)"
__import__.report_intrastat_code_2068010,2068010,"Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies, for manufacture of pharmaceutical products"
__import__.report_intrastat_code_2068091,2068091,"Fresh or chilled edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)"
__import__.report_intrastat_code_2068099,2068099,Fresh or chilled edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)
__import__.report_intrastat_code_2069010,2069010,"Frozen edible offal of sheep, goats, horses, mules and hinnies, for manufacture of pharmaceutical products"
__import__.report_intrastat_code_2069091,2069091,"Frozen edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)"
__import__.report_intrastat_code_2069099,2069099,Frozen edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)
__import__.report_intrastat_code_2071110,2071110,"Fresh or chilled, plucked and gutted fowls of species Gallus domesticus, with heads and feet, known as ""83% chickens"""
__import__.report_intrastat_code_2071130,2071130,"Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens"""
__import__.report_intrastat_code_2071190,2071190,"Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fresh or chilled fowl, not cut in pieces (excl. ""83% and 70% chickens"")"
__import__.report_intrastat_code_2071210,2071210,"Frozen fowls of species Gallus domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens"""
__import__.report_intrastat_code_2071290,2071290,"Frozen fowls of species Gallus domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fowl, not cut in pieces (excl. ""70% chickens"")"
__import__.report_intrastat_code_2071310,2071310,Fresh or chilled boneless cuts of fowls of the species Gallus domesticus
__import__.report_intrastat_code_2071320,2071320,Fresh or chilled halves or quarters of fowls of the species Gallus domesticus
__import__.report_intrastat_code_2071330,2071330,"Fresh or chilled whole wings, with or without tips, of fowls of the species Gallus domesticus"
__import__.report_intrastat_code_2071340,2071340,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus"
__import__.report_intrastat_code_2071350,2071350,"Fresh or chilled breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in"
__import__.report_intrastat_code_2071360,2071360,"Fresh or chilled legs and cuts thereof of fowls of the species Gallus domesticus, with bone in"
__import__.report_intrastat_code_2071370,2071370,"Fresh or chilled cuts of fowls of the species Gallus domesticus, with bone in (excl. halves and quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and parts thereof)"
__import__.report_intrastat_code_2071391,2071391,Fresh or chilled edible livers of fowls of the species Gallus domesticus
__import__.report_intrastat_code_2071399,2071399,Fresh or chilled edible offal of fowls of the species Gallus domesticus (excl. livers)
__import__.report_intrastat_code_2071410,2071410,Frozen boneless cuts of fowls of the species Gallus domesticus
__import__.report_intrastat_code_2071420,2071420,Frozen halves or quarters of fowls of the species Gallus domesticus
__import__.report_intrastat_code_2071430,2071430,"Frozen whole wings, with or without tips, of fowls of the species Gallus domesticus"
__import__.report_intrastat_code_2071440,2071440,"Frozen backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus"
__import__.report_intrastat_code_2071450,2071450,"Frozen breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in"
__import__.report_intrastat_code_2071460,2071460,"Frozen legs and cuts thereof of fowls of the species Gallus domesticus, with bone in"
__import__.report_intrastat_code_2071470,2071470,"Frozen cuts of fowls of the species Gallus domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
__import__.report_intrastat_code_2071491,2071491,Frozen edible livers of fowls of the species Gallus domesticus
__import__.report_intrastat_code_2071499,2071499,Frozen edible offal of fowls of the species Gallus domesticus (excl. livers)
__import__.report_intrastat_code_2072410,2072410,"Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys"""
__import__.report_intrastat_code_2072490,2072490,"Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""73% turkeys"", and other forms of fresh or chilled turkeys, not cut in pieces (excl. ""80% turkeys"")"
__import__.report_intrastat_code_2072510,2072510,"Frozen turkeys of the species domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys"""
__import__.report_intrastat_code_2072590,2072590,"Frozen turkeys of the species domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""73% turkeys"", and other forms of turkeys, not cut in pieces (excl. ""80% turkeys"")"
__import__.report_intrastat_code_2072610,2072610,Fresh or chilled boneless cuts of turkeys of the species domesticus
__import__.report_intrastat_code_2072620,2072620,Fresh or chilled halves or quarters of turkeys of the species domesticus
__import__.report_intrastat_code_2072630,2072630,"Fresh or chilled whole wings, with or without tips, of turkeys of the species domesticus"
__import__.report_intrastat_code_2072640,2072640,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of turkeys of the species domesticus"
__import__.report_intrastat_code_2072650,2072650,"Fresh or chilled breasts and cuts thereof of turkeys of the species domesticus, with bone in"
__import__.report_intrastat_code_2072660,2072660,"Fresh or chilled drumsticks and cuts thereof of turkeys of the species domesticus, with bone in"
__import__.report_intrastat_code_2072670,2072670,"Fresh or chilled legs and cuts thereof of turkeys of the species domesticus, with bone in (excl. drumsticks)"
__import__.report_intrastat_code_2072680,2072680,"Fresh or chilled cuts of turkeys of the species domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
__import__.report_intrastat_code_2072691,2072691,Fresh or chilled edible livers of turkeys of the species domesticus
__import__.report_intrastat_code_2072699,2072699,Fresh or chilled edible offal of turkeys of the species domesticus (excl. livers)
__import__.report_intrastat_code_2072710,2072710,Frozen boneless cuts of turkeys of the species domesticus
__import__.report_intrastat_code_2072720,2072720,Frozen halves and quarters of turkeys of the species domesticus
__import__.report_intrastat_code_2072730,2072730,"Frozen whole wings, with or without tips, of turkeys of the species domesticus"
__import__.report_intrastat_code_2072740,2072740,"Frozen backs, necks, backs with necks attached, rumps and wing-tips of turkeys of the species domesticus"
__import__.report_intrastat_code_2072750,2072750,"Frozen breasts and cuts thereof of turkeys of the species domesticus, with bone in"
__import__.report_intrastat_code_2072760,2072760,"Frozen drumsticks and cuts thereof of turkeys of the species domesticus, with bone in"
__import__.report_intrastat_code_2072770,2072770,"Frozen legs and cuts thereof of turkeys of the species domesticus, with bone in (excl. drumsticks)"
__import__.report_intrastat_code_2072780,2072780,"Frozen cuts of turkeys of the species domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
__import__.report_intrastat_code_2072791,2072791,Frozen edible livers of turkeys of the species domesticus
__import__.report_intrastat_code_2072799,2072799,Frozen edible offal of turkeys of the species domesticus (excl. livers)
__import__.report_intrastat_code_2074120,2074120,"Fresh or chilled domestic ducks, not cut in pieces, plucked, bled, gutted but not drawn, with heads and feet ""85 % ducks"""
__import__.report_intrastat_code_2074130,2074130,"Fresh or chilled domestic ducks, not cut in pieces, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzard ""70 % ducks"""
__import__.report_intrastat_code_2074180,2074180,"Fresh or chilled domestic ducks, not cut in pieces, plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, ""63 % ducks"" or otherwise presented"
__import__.report_intrastat_code_2074230,2074230,"Frozen domestic ducks, not cut in pieces, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards ""70 % ducks"""
__import__.report_intrastat_code_2074280,2074280,"Frozen domestic ducks, not cut in pieces, plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, ""63 % ducks"" or otherwise presented"
__import__.report_intrastat_code_2074300,2074300,"Fatty livers of domestic ducks, fresh or chilled"
__import__.report_intrastat_code_2074410,2074410,"Fresh or chilled cuts of domestic ducks, boneless"
__import__.report_intrastat_code_2074421,2074421,Fresh or chilled halves or quarters of domestic ducks
__import__.report_intrastat_code_2074431,2074431,Fresh or chilled whole wings of domestic ducks
__import__.report_intrastat_code_2074441,2074441,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of domestic ducks"
__import__.report_intrastat_code_2074451,2074451,"Fresh or chilled breasts and cuts thereof, of domestic ducks, with bone in"
__import__.report_intrastat_code_2074461,2074461,"Fresh or chilled legs and cuts thereof, of domestic ducks, with bone in"
__import__.report_intrastat_code_2074471,2074471,"Fresh or chilled paletots of domestic ducks, with bone in"
__import__.report_intrastat_code_2074481,2074481,"Fresh or chilled cuts of domestic ducks, with bone in, n.e.s."
__import__.report_intrastat_code_2074491,2074491,Fresh or chilled livers of domestic ducks (excl. fatty)
__import__.report_intrastat_code_2074499,2074499,Fresh or chilled edible offal of domestic ducks (excl. livers)
__import__.report_intrastat_code_2074510,2074510,"Frozen cuts of domestic ducks, boneless"
__import__.report_intrastat_code_2074521,2074521,Frozen halves or quarters of domestic ducks
__import__.report_intrastat_code_2074531,2074531,Frozen whole wings of domestic ducks
__import__.report_intrastat_code_2074541,2074541,"Frozen  backs, necks, backs with necks attached, rumps and wing-tips of domestic ducks"
__import__.report_intrastat_code_2074551,2074551,"Frozen breasts and cuts thereof, of domestic ducks, with bone in"
__import__.report_intrastat_code_2074561,2074561,"Frozen legs and cuts thereof, of domestic ducks, with bone in"
__import__.report_intrastat_code_2074571,2074571,"Frozen paletots of domestic ducks, with bone in"
__import__.report_intrastat_code_2074581,2074581,"Frozen cuts of domestic ducks, with bone in, n.e.s."
__import__.report_intrastat_code_2074593,2074593,Frozen fatty livers of domestic ducks
__import__.report_intrastat_code_2074595,2074595,Frozen livers of domestic ducks (excl. fatty)
__import__.report_intrastat_code_2074599,2074599,Frozen edible offal of domestic ducks (excl. livers)
__import__.report_intrastat_code_2075110,2075110,"Fresh or chilled domestic geese, not cut in pieces, plucked, bled, not drawn, with heads and feet ""82 % geese"""
__import__.report_intrastat_code_2075190,2075190,"Fresh or chilled domestic geese, not cut in pieces, plucked and drawn, without heads and feet, with or without hearts and gizzards, ""75 % geese"" or otherwise presented"
__import__.report_intrastat_code_2075210,2075210,"Frozen domestic geese, not cut in pieces, plucked, bled, not drawn, with heads and feet ""82 % geese"""
__import__.report_intrastat_code_2075290,2075290,"Frozen domestic geese, not cut in pieces, plucked and drawn, without heads and feet, with or without hearts and gizzards, ""75 % geese"" or otherwise presented"
__import__.report_intrastat_code_2075300,2075300,"Fatty livers of domestic geese, fresh or chilled"
__import__.report_intrastat_code_2075410,2075410,"Fresh or chilled cuts of domestic geese, boneless"
__import__.report_intrastat_code_2075421,2075421,Fresh or chilled halves or quarters of domestic geese
__import__.report_intrastat_code_2075431,2075431,Fresh or chilled whole wings of domestic geese
__import__.report_intrastat_code_2075441,2075441,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of domestic geese"
__import__.report_intrastat_code_2075451,2075451,"Fresh or chilled breasts and cuts thereof, of domestic geese, with bone in"
__import__.report_intrastat_code_2075461,2075461,"Fresh or chilled legs and cuts thereof, of domestic geese, with bone in"
__import__.report_intrastat_code_2075471,2075471,"Fresh or chilled paletots of domestic geese, with bone in"
__import__.report_intrastat_code_2075481,2075481,"Fresh or chilled cuts of domestic geese, with bone in, n.e.s."
__import__.report_intrastat_code_2075491,2075491,Fresh or chilled livers of domestic geese (excl. fatty)
__import__.report_intrastat_code_2075499,2075499,Fresh or chilled edible offal of domestic geese (excl. livers)
__import__.report_intrastat_code_2075510,2075510,"Frozen cuts of domestic geese, boneless"
__import__.report_intrastat_code_2075521,2075521,Frozen halves or quarters of domestic geese
__import__.report_intrastat_code_2075531,2075531,Frozen whole wings of domestic geese
__import__.report_intrastat_code_2075541,2075541,"Frozen  backs, necks, backs with necks attached, rumps and wing-tips of domestic geese"
__import__.report_intrastat_code_2075551,2075551,"Frozen breasts and cuts thereof, of domestic geese, with bone in"
__import__.report_intrastat_code_2075561,2075561,"Frozen legs and cuts thereof, of domestic geese, with bone in"
__import__.report_intrastat_code_2075571,2075571,"Frozen paletots of domestic geese, with bone in"
__import__.report_intrastat_code_2075581,2075581,"Frozen cuts of domestic geese, with bone in, n.e.s."
__import__.report_intrastat_code_2075593,2075593,Frozen fatty livers of domestic geese
__import__.report_intrastat_code_2075595,2075595,Frozen livers of domestic geese (excl. fatty)
__import__.report_intrastat_code_2075599,2075599,Frozen edible offal of domestic geese (excl. livers)
__import__.report_intrastat_code_2076005,2076005,"Fresh, chilled or frozen domestic guinea fowls, not cut in pieces"
__import__.report_intrastat_code_2076010,2076010,"Fresh, chilled or frozen cuts of domestic guinea fowls, boneless"
__import__.report_intrastat_code_2076021,2076021,"Fresh, chilled or frozen halves or quarters of domestic guinea fowls"
__import__.report_intrastat_code_2076031,2076031,"Fresh, chilled or frozen whole wings of domestic guinea fowls"
__import__.report_intrastat_code_2076041,2076041,"Fresh, chilled or frozen backs, necks, backs with necks attached, rumps and wing-tips of domestic guinea fowls"
__import__.report_intrastat_code_2076051,2076051,"Fresh, chilled or frozen breasts and cuts thereof, of domestic guinea fowls, with bone in"
