id,additional_product_id/id
__import__.product_2966422,__import__.product_2966430
__import__.product_3016516,__import__.product_5173360
__import__.product_3035938,__import__.product_5920101
__import__.product_3038825,__import__.product_5620096
__import__.product_3038841,__import__.product_5620096
__import__.product_3041944,__import__.product_5173360
__import__.product_3044047,__import__.product_5173360
__import__.product_3044054,__import__.product_5173360
__import__.product_3044351,__import__.product_5173360
__import__.product_3052115,__import__.product_5173360
__import__.product_3054996,__import__.product_5690601
__import__.product_3055001,__import__.product_5690601
__import__.product_3120250,__import__.product_5620096
__import__.product_3133162,__import__.product_5173360
__import__.product_3157617,__import__.product_5451843
__import__.product_3179181,__import__.product_5179207
__import__.product_3179207,__import__.product_5179207
__import__.product_3228855,__import__.product_5054799
__import__.product_3237740,__import__.product_5130475
__import__.product_3237765,__import__.product_5130475
__import__.product_3296407,__import__.product_5173360
__import__.product_3296415,__import__.product_5173360
__import__.product_3296423,__import__.product_5173360
__import__.product_3296431,__import__.product_5173360
__import__.product_3309200,__import__.product_5690605
__import__.product_3309218,__import__.product_5853265
__import__.product_3424389,__import__.product_5173360
__import__.product_3424397,__import__.product_5173360
__import__.product_3444759,__import__.product_5173360
__import__.product_3457199,__import__.product_5457199
__import__.product_3495033,__import__.product_5173360
__import__.product_3495041,__import__.product_5173360
__import__.product_3498987,__import__.product_5173360
__import__.product_3498995,__import__.product_5173360
__import__.product_3499001,__import__.product_5173360
__import__.product_3535846,__import__.product_5173360
__import__.product_3535853,__import__.product_5173360
__import__.product_3535861,__import__.product_5173360
__import__.product_3535879,__import__.product_5173360
__import__.product_3581949,__import__.product_5173360
__import__.product_3581956,__import__.product_5173360
__import__.product_3597283,__import__.product_5173360
__import__.product_3597309,__import__.product_5173360
__import__.product_3606720,__import__.product_5173360
__import__.product_3641875,__import__.product_5903189
__import__.product_3641883,__import__.product_5903189
__import__.product_3672342,__import__.product_5173360
__import__.product_4990900,__import__.product_5990900
__import__.product_4990950,__import__.product_5990900
__import__.product_4990951,__import__.product_5990900
__import__.product_4990952,__import__.product_5990900
__import__.product_4990953,__import__.product_5990900
__import__.product_5003360,__import__.product_5173360
__import__.product_5004437,__import__.product_5204437
__import__.product_5013465,__import__.product_5173360
__import__.product_5025329,__import__.product_5011734
__import__.product_5042200,__import__.product_5042806
__import__.product_5045130,__import__.product_5045131
__import__.product_5046919,__import__.product_5146919
__import__.product_5073378,__import__.product_5173360
__import__.product_5110004,__import__.product_5000429
__import__.product_5110009,__import__.product_5173360
__import__.product_5110025,__import__.product_5173360
__import__.product_5111330,__import__.product_5120980
__import__.product_5130259,__import__.product_5120259
__import__.product_5157494,__import__.product_5173360
__import__.product_5160208,__import__.product_5049207
__import__.product_5160209,__import__.product_5049207
__import__.product_5204429,__import__.product_5204437
__import__.product_5270226,__import__.product_5070226
__import__.product_5300227,__import__.product_5173360
__import__.product_5300235,__import__.product_5173360
__import__.product_5420000,__import__.product_5054799
__import__.product_5427501,__import__.product_5427502
__import__.product_5655001,__import__.product_5637611
__import__.product_5760210,__import__.product_5760211
__import__.product_6040000,__import__.product_5048004
__import__.product_6040006,__import__.product_5040000
__import__.product_6350330,__import__.product_5350330
__import__.product_6420002,__import__.product_5173360
__import__.product_6600874,__import__.product_5600876
__import__.product_6600876,__import__.product_5600876
__import__.product_7110025,__import__.product_5173360
__import__.product_7110026,__import__.product_5204437
__import__.product_7420005,__import__.product_5173360
__import__.product_7420009,__import__.product_5173360
__import__.product_7420012,__import__.product_5420014
__import__.product_7420013,__import__.product_5420014
__import__.product_7420014,__import__.product_5420014
__import__.product_7924351,__import__.product_7929999
__import__.product_8025330,__import__.product_5010683
__import__.product_8055408,__import__.product_5120981
__import__.product_8120002,__import__.product_5173360
__import__.product_8120004,__import__.product_5173360
__import__.product_8120005,__import__.product_5173360
__import__.product_8231503,__import__.product_1019140
__import__.product_8270109,__import__.product_5270209
__import__.product_8278522,__import__.product_5700093
__import__.product_8289075,__import__.product_5120981
__import__.product_8289081,__import__.product_5120981
__import__.product_8289098,__import__.product_5120981
__import__.product_8289106,__import__.product_5120981
