id,type,active
__import__.customer_262,invoice,1
__import__.customer_265,invoice,1
__import__.customer_266,invoice,1
__import__.customer_268,invoice,1
__import__.customer_272,invoice,1
__import__.customer_276,invoice,1
__import__.customer_7590,invoice,1
__import__.customer_281,invoice,1
__import__.customer_284,invoice,1
__import__.customer_4600,invoice,1
__import__.customer_294,invoice,1
__import__.customer_2339,invoice,1
__import__.customer_298,invoice,1
__import__.customer_300,invoice,1
__import__.customer_303,invoice,1
__import__.customer_305,invoice,1
__import__.customer_307,invoice,1
__import__.customer_309,invoice,1
__import__.customer_2551,invoice,1
__import__.customer_3077,invoice,1
__import__.customer_3125,invoice,1
__import__.customer_187,invoice,1
__import__.customer_7861,invoice,1
__import__.customer_3560,invoice,1
__import__.customer_7964,invoice,1
__import__.customer_8103,invoice,1
__import__.customer_8242,invoice,1
__import__.customer_9145,invoice,1
__import__.customer_9371,invoice,1
__import__.customer_7162,invoice,1
__import__.customer_6994,invoice,1
__import__.customer_8832,invoice,1
__import__.customer_8537,invoice,1
__import__.customer_5522,invoice,1
__import__.customer_7385,invoice,1
__import__.customer_7952,invoice,1
__import__.customer_2267,invoice,1
__import__.customer_6997,invoice,1
__import__.customer_6848,invoice,1
__import__.customer_8394,invoice,1
__import__.customer_7931,invoice,1
__import__.customer_8300,invoice,1
__import__.customer_6516,invoice,1
__import__.customer_7042,invoice,1
__import__.customer_5574,invoice,1
__import__.customer_5575,invoice,1
__import__.customer_5576,invoice,1
__import__.customer_5577,invoice,1
__import__.customer_5578,invoice,1
__import__.customer_9189,invoice,1
__import__.customer_5581,invoice,1
__import__.customer_5582,invoice,1
__import__.customer_5583,invoice,1
__import__.customer_5584,invoice,1
__import__.customer_5585,invoice,1
__import__.customer_5586,invoice,1
__import__.customer_5587,invoice,1
__import__.customer_5588,invoice,1
__import__.customer_5589,invoice,1
__import__.customer_5590,invoice,1
__import__.customer_5591,invoice,1
__import__.customer_5592,invoice,1
__import__.customer_5593,invoice,1
__import__.customer_5594,invoice,1
__import__.customer_5595,invoice,1
__import__.customer_5596,invoice,1
__import__.customer_5597,invoice,1
__import__.customer_5598,invoice,1
__import__.customer_5599,invoice,1
__import__.customer_5600,invoice,1
__import__.customer_5601,invoice,1
__import__.customer_5602,invoice,1
__import__.customer_5603,invoice,1
__import__.customer_5604,invoice,1
__import__.customer_5605,invoice,1
__import__.customer_8304,invoice,1
__import__.customer_5608,invoice,1
__import__.customer_5610,invoice,1
__import__.customer_5611,invoice,1
__import__.customer_5612,invoice,1
__import__.customer_5614,invoice,1
__import__.customer_5615,invoice,1
__import__.customer_5617,invoice,1
__import__.customer_5618,invoice,1
__import__.customer_7613,invoice,1
__import__.customer_329,invoice,1
__import__.customer_3150,invoice,1
__import__.customer_3108,invoice,1
__import__.customer_3109,invoice,1
__import__.customer_3110,invoice,1
__import__.customer_3111,invoice,1
__import__.customer_3113,invoice,1
__import__.customer_3116,invoice,1
__import__.customer_3117,invoice,1
__import__.customer_3118,invoice,1
__import__.customer_3119,invoice,1
__import__.customer_3120,invoice,1
__import__.customer_3121,invoice,1
__import__.customer_3122,invoice,1
__import__.customer_3123,invoice,1
__import__.customer_8862,invoice,1
__import__.customer_8863,invoice,1
__import__.customer_8790,invoice,1
__import__.customer_2125,invoice,1
__import__.customer_2130,invoice,1
__import__.customer_2131,invoice,1
__import__.customer_2136,invoice,1
__import__.customer_2139,invoice,1
__import__.customer_2141,invoice,1
__import__.customer_2112,invoice,1
__import__.customer_2144,invoice,1
__import__.customer_2145,invoice,1
__import__.customer_2147,invoice,1
__import__.customer_2148,invoice,1
__import__.customer_2150,invoice,1
__import__.customer_2151,invoice,1
__import__.customer_2154,invoice,1
__import__.customer_2156,invoice,1
__import__.customer_2157,invoice,1
__import__.customer_2158,invoice,1
__import__.customer_2159,invoice,1
__import__.customer_2161,invoice,1
__import__.customer_2162,invoice,1
__import__.customer_2167,invoice,1
__import__.customer_2169,invoice,1
__import__.customer_2171,invoice,1
__import__.customer_2115,invoice,1
__import__.customer_7262,invoice,1
__import__.customer_2116,invoice,1
__import__.customer_2118,invoice,1
__import__.customer_2121,invoice,1
__import__.customer_2122,invoice,1
__import__.customer_2124,invoice,1
__import__.customer_2138,invoice,1
__import__.customer_7257,invoice,1
__import__.customer_5335,invoice,1
__import__.customer_5334,invoice,1
__import__.customer_8456,invoice,1
__import__.customer_6922,invoice,1
__import__.customer_5336,invoice,1
__import__.customer_3358,invoice,1
__import__.customer_4596,invoice,1
__import__.customer_5338,invoice,1
__import__.customer_3355,invoice,1
__import__.customer_8267,invoice,1
__import__.customer_8268,invoice,1
__import__.customer_8269,invoice,1
__import__.customer_8270,invoice,1
__import__.customer_8271,invoice,1
__import__.customer_8272,invoice,1
__import__.customer_8273,invoice,1
__import__.customer_8274,invoice,1
__import__.customer_8275,invoice,1
__import__.customer_9352,invoice,1
__import__.customer_5973,invoice,1
__import__.customer_5974,invoice,1
__import__.customer_5975,invoice,1
__import__.customer_5976,invoice,1
__import__.customer_5977,invoice,1
__import__.customer_5978,invoice,1
__import__.customer_5979,invoice,1
__import__.customer_5980,invoice,1
__import__.customer_5981,invoice,1
__import__.customer_5982,invoice,1
__import__.customer_5983,invoice,1
__import__.customer_5984,invoice,1
__import__.customer_5986,invoice,1
__import__.customer_5987,invoice,1
__import__.customer_5988,invoice,1
__import__.customer_5989,invoice,1
__import__.customer_5990,invoice,1
__import__.customer_5991,invoice,1
__import__.customer_5992,invoice,1
__import__.customer_5993,invoice,1
__import__.customer_5994,invoice,1
__import__.customer_5995,invoice,1
__import__.customer_5996,invoice,1
__import__.customer_5997,invoice,1
__import__.customer_5998,invoice,1
__import__.customer_5999,invoice,1
__import__.customer_6000,invoice,1
__import__.customer_6001,invoice,1
__import__.customer_6004,invoice,1
__import__.customer_6011,invoice,1
__import__.customer_6012,invoice,1
__import__.customer_6013,invoice,1
__import__.customer_6014,invoice,1
__import__.customer_6030,invoice,1
__import__.customer_6037,invoice,1
__import__.customer_6032,invoice,1
__import__.customer_6025,invoice,1
__import__.customer_6045,invoice,1
__import__.customer_6033,invoice,1
__import__.customer_6034,invoice,1
__import__.customer_6044,invoice,1
__import__.customer_6054,invoice,1
__import__.customer_6056,invoice,1
__import__.customer_6057,invoice,1
__import__.customer_6058,invoice,1
__import__.customer_6061,invoice,1
__import__.customer_6035,invoice,1
__import__.customer_6036,invoice,1
__import__.customer_6070,invoice,1
__import__.customer_6068,invoice,1
__import__.customer_6079,invoice,1
__import__.customer_6081,invoice,1
__import__.customer_5985,invoice,1
__import__.customer_6029,invoice,1
__import__.customer_6020,invoice,1
__import__.customer_6038,invoice,1
__import__.customer_6046,invoice,1
__import__.customer_6047,invoice,1
__import__.customer_6051,invoice,1
__import__.customer_6066,invoice,1
__import__.customer_6072,invoice,1
__import__.customer_6175,invoice,1
__import__.customer_6083,invoice,1
__import__.customer_6082,invoice,1
__import__.customer_6002,invoice,1
__import__.customer_6003,invoice,1
__import__.customer_6005,invoice,1
__import__.customer_6006,invoice,1
__import__.customer_6007,invoice,1
__import__.customer_6008,invoice,1
__import__.customer_6009,invoice,1
__import__.customer_6015,invoice,1
__import__.customer_6016,invoice,1
__import__.customer_6017,invoice,1
__import__.customer_6018,invoice,1
__import__.customer_6024,invoice,1
__import__.customer_6019,invoice,1
__import__.customer_6021,invoice,1
__import__.customer_6022,invoice,1
__import__.customer_6023,invoice,1
__import__.customer_6027,invoice,1
__import__.customer_6026,invoice,1
__import__.customer_6060,invoice,1
__import__.customer_6059,invoice,1
__import__.customer_6039,invoice,1
__import__.customer_6040,invoice,1
__import__.customer_6041,invoice,1
__import__.customer_6031,invoice,1
__import__.customer_6052,invoice,1
__import__.customer_6028,invoice,1
__import__.customer_6042,invoice,1
__import__.customer_6043,invoice,1
__import__.customer_6048,invoice,1
__import__.customer_6049,invoice,1
__import__.customer_6050,invoice,1
__import__.customer_6053,invoice,1
__import__.customer_6055,invoice,1
__import__.customer_6078,invoice,1
__import__.customer_6062,invoice,1
__import__.customer_6063,invoice,1
__import__.customer_6064,invoice,1
__import__.customer_6065,invoice,1
__import__.customer_6069,invoice,1
__import__.customer_6067,invoice,1
__import__.customer_6071,invoice,1
__import__.customer_6074,invoice,1
__import__.customer_6075,invoice,1
__import__.customer_6076,invoice,1
__import__.customer_7640,invoice,1
__import__.customer_7641,invoice,1
__import__.customer_7610,invoice,1
__import__.customer_7296,invoice,1
__import__.customer_7297,invoice,1
__import__.customer_7833,invoice,1
__import__.customer_7832,invoice,1
__import__.customer_7831,invoice,1
__import__.customer_5135,invoice,1
__import__.customer_8519,invoice,1
__import__.customer_5136,invoice,1
__import__.customer_5026,invoice,1
