id,active,ref,suite,call_name,name,street,zip,city,fax,email,vat,vet_depot_number,vet_subscription_number,help_with_fee,alcyon_category_id/id,country_id/id,title/id,legal_entity_id/id,is_company,discount_pricelist_id/id,property_delivery_carrier_id/id,supplier_promotion_sale_allowed,user_id/id,lang,is_sale_back_order_accepted,property_payment_term_id/id,customer_payment_mode_id/id,is_price_on_labels,is_passport_required,invoice_frequency,invoice_grouping,invoice_sending_method,company_type,phone,mobile,property_product_pricelist/id,category_id/id,pharmacist_id/id,property_account_position_id/id,comment
__import__.customer_13,True,13,,GILLETYVAN,GILLET YVAN,Rue du Bon Air 14,1340,OTTIGNIES,,yvangillet@skynet.be,BE0693421722,2/1340/24152,02378,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_100,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_20,fr_BE,True,__setup__.account_payment_term_d7,,,,10_days,all_at_once,letter,person,010410988,0497/481088,specific_data.product_pricelist_pb1,__setup__.customer_category_petits_animaux,__import__.supplier_77666,__setup__.fiscal_position_nat,"En cas d'absence: déposer colis dans garage. Si garage
fermé déposer devant la porte d'entrée sur le balcon."
__import__.customer_14,False,14,,BL GILLETANDRE*,GILLET ANDRE,Route de Bastogne 37,6970,TENNEVILLE,084455673,,BE0694308776,8/6970/1532,00821,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_cr,,,,10_days,all_at_once,letter,person,084/455378,0475/875438,specific_data.product_pricelist_pb1,__setup__.customer_category_grands_animaux,__import__.supplier_77340,__setup__.fiscal_position_nat,
__import__.customer_15,False,15,,BL GILLETPATRICK,GILLET PATRICK,Route de la Barrière 12,6970,TENNEVILLE,084456161,gillet.patrick@skynet.be,BE0694309667,8/6970/2775,02624,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_cr,,,,10_days,all_at_once,email,person,084455378,0498/129458,specific_data.product_pricelist_pb1,"__setup__.customer_category_petits_animaux,__setup__.customer_category_grands_animaux",__import__.supplier_77340,__setup__.fiscal_position_nat,
__import__.customer_17,True,17,,EPC007,EPC 007,Rue de la Station 66,5060,TAMINES,071744532,tamines@epc-familia.be,BE0401388176,APB952903,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,071/771390,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_18,True,18,,EPC008,EPC 008,Rue du Commerce 21,5590,CINEY,083217729,ciney.centre@epc-familia.be,BE0401388176,APB913005,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,083/211229,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_19,True,19,,GLOWACKIJEANLUC,GLOWACKI JEAN-LUC,Rue de l'Invasion 35 A,1340,OTTIGNIES,010410593,jlglowacki@hotmail.com,BE0693421623,2/1340/31919,02650,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_100,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_20,fr_BE,True,__setup__.account_payment_term_d7,,,,10_days,all_at_once,email,person,010419595,0477/362508,specific_data.product_pricelist_pb1,"__setup__.customer_category_petits_animaux,__setup__.customer_category_equins,__setup__.customer_category_grands_animaux",__import__.supplier_77666,__setup__.fiscal_position_nat,"Déposer tout dans salle d'attente. Si salle d'attente fermée
aller sonner au privé. Si personne: mettre tout sous la
boîte méttalique à gauche de la maison. Mettre galçon si
colis frigo! 0477/362 508"
__import__.customer_20,True,20,,EPC009,EPC 009,Rue Lucien Burnotte,6840,NEUFCHATEAU,061278971,neufchateau@epc-familia.be,BE0401388176,APB844302,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,061/277175,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_23,False,23,,BL MARNEFFE(HUYNEN),MARNEFFE  (DR HUYNEN),Rue du Broux 2a,4280,HANNUT,081740511,,BE0595543178,,,0,,base.be,,__setup__.legal_entity_2,True,,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_cr,,,,10_days,all_at_once,letter,company,,,specific_data.product_pricelist_pb2,__setup__.customer_category_sous_veto,__import__.supplier_77340,__setup__.fiscal_position_nat,
__import__.customer_24,True,24,,GODINFABIENNE,GODIN FABIENNE,"Rue Emile Vandervelde, 112",6182,SOUVRET,,fabienne.godin@gmail.com,BE0663360828,5/6182/14962,02908,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_100,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_20,fr_BE,True,__setup__.account_payment_term_cr,,True,,10_days,all_at_once,email,person,071462047,0478/322372,specific_data.product_pricelist_pb1,"__setup__.customer_category_comportementaliste,__setup__.customer_category_petits_animaux,__setup__.customer_category_nac",__import__.supplier_77666,__setup__.fiscal_position_nat,"CONTRE REMBOURSEMENT!!
Déposer la marchandise dans le passage; si passage fermé,
déposer chez la voisine au nr 111."
__import__.customer_25,True,25,,GODISIABOISYVES,GODISIABOIS YVES,"Boulevard Sainte Beuve, 2",4000,LIEGE,042541657,cabinet.godisiabois@gmail.com,BE0601883515,6/4000/0666,02728,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_312,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_20,fr_BE,True,__setup__.account_payment_term_d7,,True,,10_days,all_at_once,email,person,04/2541658,,specific_data.product_pricelist_pb1,__setup__.customer_category_petits_animaux,__import__.supplier_77666,__setup__.fiscal_position_nat,"Déposer la marchandise dans le local situé à droite avant
l'entrée du cabinet.
clé dispo"
__import__.customer_27,True,27,,GODISSARTPATRICK*,GODISSART PATRICK *,"Rue Winston Churchill, 310",6180,COURCELLES,071454284,patrick.godissart@skynet.be,BE0663361224,5/6180/8111,01828,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_312,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_20,fr_BE,True,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,True,,10_days,all_at_once,letter,person,071/458452,,specific_data.product_pricelist_pb1,"__setup__.customer_category_petits_animaux,__setup__.customer_category_nac",__import__.supplier_77666,__setup__.fiscal_position_nat,"DOIT ÊTRE LIVRÉ AVANT 19h00 !!!
En cas de retard 071/458452 - En cas d'absence  0495/506 747
NE PAS LIVRER SANS AVOIR PRIS CONTACT AVANT; Ensuite,
déposer la marchandise dans le passage latérale."
__import__.customer_28,False,28,,BL GOUDERSJEANPIERRE,GOUDERS JEAN-PIERRE,Grand Rue 393,4610,BEYNE HEUSAY,,,BE0723258031,,01034,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_cr,,,,10_days,all_at_once,letter,person,04/3586726,,specific_data.product_pricelist_pb1,,__import__.supplier_77340,__setup__.fiscal_position_nat,
__import__.customer_31,False,31,,BL EPC010,EPC 010,Rue Saint-Gilles 26,4000,LIEGE,042237515,,BE0401388176,,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_d7,,,,10_days,all_at_once,letter,company,041/231681,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_32,True,32,,GONZALEZJACQUELINE,GONZALEZ JACQUELINE  *,Rue Gadiot 22,4690,BASSENGE,043693671,gonzjack@hotmail.com,BE0754251115,6/4690/0771,03076,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_107,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_20,fr_BE,True,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,True,,10_days,all_at_once,email,person,04/2865586,,specific_data.product_pricelist_pb1,__setup__.customer_category_petits_animaux,__import__.supplier_77666,__setup__.fiscal_position_nat,"si absente, livrer au n°24 & indiquer les colis a mettre au
frigo"
__import__.customer_33,False,33,,BL MARLIER,MARLIER DIDIER,Rue du Baty Des Monts 211,5300,VILLE-EN-WARET,,,BE0602966252,,,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_cr,,,,10_days,all_at_once,letter,person,081/588578,,specific_data.product_pricelist_pb1,,__import__.supplier_77340,__setup__.fiscal_position_nat,
__import__.customer_34,True,34,,EPC011,EPC 011,Grand-Rue 21,6760,VIRTON,063577903,virton@epc-familia.be,BE0401388176,APB854502,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,063/577803,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_35,True,35,,GROSJEANCHRISTIAN*,GROSJEAN CHRISTIAN *,Rue de la Bouteille 56/2,4100,SERAING,,christian.grosjean@hotmail.be,BE0601883416,6/4100/0247,00807,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_105,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_20,fr_BE,True,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,True,,10_days,all_at_once,email,person,043720053,0475/791079,specific_data.product_pricelist_pb1,__setup__.customer_category_petits_animaux,__import__.supplier_77666,__setup__.fiscal_position_nat,"Clef à disposition.
Déposer la marchandise sur la table de consultation et les
produits froids dans le frigo."
__import__.customer_36,True,36,,EPC012,EPC 012,Avenue Molière 8,1300,WAVRE,010228320,wavre@epc-familia.be,BE0401388176,APB274504,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,010/222331,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_38,False,38,,BL MARCOTTYLOUISPHILIPPE*,MARCOTTY LOUIS-PHILIPPE*,Rue Tesniere 13,4122,PLAINEVAUX,042474562,marcottylouisphilippe@hotmail.com,BE0601884406,6/4121/0512,02078,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_cr,,True,,10_days,all_at_once,email,person,04/3712847,0475/290451,specific_data.product_pricelist_pb1,__setup__.customer_category_petits_animaux,__import__.supplier_77340,__setup__.fiscal_position_nat,
__import__.customer_40,True,40,,MARTINPHILIPPE,MARTIN PHILIPPE,Rue Grand Puits 73,4040,HERSTAL,,francoise.martin.vet@gmail.com,BE0604845577,6/4040/0302,01006,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_100,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_20,fr_BE,True,__setup__.account_payment_term_d7,,,,10_days,all_at_once,email,person,04/2640231,0495/751054,specific_data.product_pricelist_pb1,__setup__.customer_category_petits_animaux,__import__.supplier_77666,__setup__.fiscal_position_nat,"Si absent: sonner 5 minutes avant d'arriver (pas de sonnette
). GSM: 0495/751054. Si personne: déposer à la pizzeria à
côté. Signaler les produits frigos."
__import__.customer_42,True,42,,GROSJEANCARL,GROSJEAN CARL,Rue Beaugrand 16,7190,ECAUSSINES,,grosjean.carl@skynet.be,BE0669305839,5/7190/6196,01200,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_108,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_20,fr_BE,True,__setup__.account_payment_term_d7,,,,10_days,all_at_once,letter,person,067/485338,,specific_data.product_pricelist_pb1,"__setup__.customer_category_petits_animaux,__setup__.customer_category_grands_animaux",__import__.supplier_77666,__setup__.fiscal_position_nat,"Déposer les commandes à droite du garage ""passage latéral""
à côté du congel  un bac en plastique est dispo pour y
déposer les medocs. OU déposer dans le fond du garage si
garage ouvert."
__import__.customer_43,True,43,,BL MATHOTMARCEL,MATHOT MARCEL,Rue de Virelles 20,5630,CERFONTAINE,,,BE0615340878,9/5630/9827,00599,1,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_105,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_2,fr_BE,True,__setup__.account_payment_term_d7,,,,10_days,all_at_once,letter,person,071/644242,,specific_data.product_pricelist_pb1,,__import__.supplier_77666,__setup__.fiscal_position_nat,
__import__.customer_44,True,44,,EPC013,EPC 013,"Route d'Arlon, 188",6780,MESSANCY,063384690,messancy@epc-familia.be,BE0401388176,APB810202,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,063/370599,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_45,False,45,,BL MAHIEUPATRICK,MAHIEU PATRICK,"Rue Max Fassiaux, 39 A",7062,NAAST,,mahieu-patrick@skynet.be,BE0669304948,5/7062/8206,01616,1,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_105,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_20,fr_BE,False,__setup__.account_payment_term_d7,,,,10_days,all_at_once,email,person,067333424,0494/278770,specific_data.product_pricelist_pb1,"__setup__.customer_category_petits_animaux,__setup__.customer_category_equins,__setup__.customer_category_grands_animaux",__import__.supplier_77666,__setup__.fiscal_position_nat,Livrer dans la salle d'attente; y compris les frigos.
__import__.customer_46,True,46,,DEGOTTEJEANMARIE*,DEGOTTE JEAN-MARIE *,"Route d'Aubel, 34",4890,FROIDTHIER - THIMISTER,087686146,vt.degotte@acenet.be,BE0713257628,6/4890/0433,01596,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_312,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_2,fr_BE,True,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,email,person,087688515,0495/323597,specific_data.product_pricelist_pb1,__setup__.customer_category_grands_animaux,__import__.supplier_77666,__setup__.fiscal_position_nat,Déposer les vaccins dans le frigo de la buanderie.
__import__.customer_47,True,47,,EPC014,EPC 014,Rue Saint-Laurent 13,6900,MARCHE,084311473,marche@epc-familia.be,BE0401388176,APB833401,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,084/311504,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_48,True,48,,EPC015,EPC 015,Rue de la Fraternité 10,6792,HALANZY,063675078,halanzy@epc-familia.be,BE0401388176,APB811001,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,063/677241,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_51,False,51,,BL GRAFFARTTHIERRY*,GRAFFART THIERRY *,Voie de l'Air Pur 165,4052,BEAUFAYS,043688812,thierrygraffart@tiscali.be,BE0723258526,,02412,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_cr,,True,,10_days,by_delivery,email,person,04/3688810,0495/534013,specific_data.product_pricelist_pb1,__setup__.customer_category_petits_animaux,__import__.supplier_77340,__setup__.fiscal_position_nat,!!! Contre remboursement !!!
__import__.customer_52,True,52,,EPC016,EPC 016,Rue de l'Eglise 12,6980,LA ROCHE,084412792,la.roche@epc-familia.be,BE0401388176,APB833102,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,084/411181,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_53,False,53,,BL GRAFFROGER,GRAFF ROGER,Rue Jean-Charles de Hugo 69,6730,BELLEFONTAINE,,,BE0695236513,8/6730/2426,02106,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_cr,,,,10_days,all_at_once,letter,person,063/444745,,specific_data.product_pricelist_pb1,,__import__.supplier_77340,__setup__.fiscal_position_nat,
__import__.customer_54,True,54,,EPC017,EPC 017,"Chaussée de Rochefort, 105",6900,MARLOIE,084314984,marloie@epc-familia.be,BE0401388176,APB835301,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,084/311406,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_55,True,55,,EPC018,EPC 018,"Rue Saint-Georges, 33",1400,NIVELLES,067221984,nivelles@epc-familia.be,BE0401388176,APB270407,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,067/213601,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_57,True,57,,EPC019,EPC 019,Rue de la Gare 29,6880,BERTRIX,061413111,bertrix@epc-familia.be,BE0401388176,APB840903,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,061/411470,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_59,False,59,,BL GRAUWELSMAGDA,GRAUWELS MAGDA,Holenteerstraat 4,3700,TONGEREN,,,BE0780095378,,01285,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,,__setup__.deliver_carrier_by_client,,,nl_BE,False,__setup__.account_payment_term_cr,,,,10_days,all_at_once,letter,person,012/262226,,specific_data.product_pricelist_pb1,,__import__.supplier_77340,__setup__.fiscal_position_nat,
__import__.customer_60,True,60,,EPC020,EPC 020,Chaussée de Brunehault 415,7141,CARNIERES,064447238,morlanwelz@epc-familia.be,BE0401388176,APB565702,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,064/442187,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_61,False,61,,BL MATHIEUPIERRE,MATHIEU PIERRE,Rue du Chaufour 18,5190,SPY,071780088,,BE0689345247,,01789,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_cr,,,,10_days,by_delivery,letter,person,071/780078,,specific_data.product_pricelist_pb1,,__import__.supplier_77340,__setup__.fiscal_position_nat,
__import__.customer_63,True,63,,EPC021,EPC 021,Rue Oscar Quertinmont 53,7100,TRIVIERE,064223078,trivieres@epc-familia.be,BE0401388176,APB554601,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,064/222731,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_64,True,64,,GROOSMANVERONIQUE*,GROOSMAN VERONIQUE *,Avenue des Alliés 63,4960,MALMEDY,080337980,verocabvet@gmail.com,BE0652442883,6/4960/0660,02712,0,specific_partner.partner_category_veterinary,base.be,__setup__.res_partner_title_dctveter,,,__setup__.pricelist_107,__setup__.deliver_carrier_alcyon,True,__setup__.res_user_2,fr_BE,True,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,person,080337980,0496/454748,specific_data.product_pricelist_pb1,__setup__.customer_category_petits_animaux,__import__.supplier_77666,__setup__.fiscal_position_nat,"Déposer (ou reprendre) les colis ds la boîte derrière la
plante dans la salle d'attente et glisser la note d'envoi
sous la porte du cabinet."
