id,date_end
__import__.supplierinfo_promo_79100-1660380-20180101,2018-09-30
__import__.supplierinfo_promo_79100-2450427-20180101,2018-09-30
__import__.supplierinfo_promo_79100-2713998-20180501,2018-09-30
__import__.supplierinfo_promo_79201-0045666-20180601,2018-07-31
__import__.supplierinfo_promo_79201-0470021-20140701,2018-07-31
__import__.supplierinfo_promo_79201-0470039-20140701,2018-07-31
__import__.supplierinfo_promo_79201-0676643-20170101,2018-07-31
__import__.supplierinfo_promo_79201-1211358-20141004,2018-07-31
__import__.supplierinfo_promo_79201-1211366-20141004,2018-07-31
__import__.supplierinfo_promo_79201-1211374-20141004,2018-07-31
__import__.supplierinfo_promo_79201-1211382-20141004,2018-07-31
__import__.supplierinfo_promo_79201-1354349-20180317,2018-07-31
__import__.supplierinfo_promo_79201-1384023-20180601,2018-07-31
__import__.supplierinfo_promo_79201-1403294-20180317,2018-07-31
__import__.supplierinfo_promo_79201-1416700-20180601,2018-07-31
__import__.supplierinfo_promo_79201-2099919-20180401,2018-07-31
__import__.supplierinfo_promo_79201-2099927-20180331,2018-07-31
__import__.supplierinfo_promo_79201-2123420-20160101,2018-07-31
__import__.supplierinfo_promo_79201-2363919-20170101,2018-07-31
__import__.supplierinfo_promo_79201-2920445-20170801,2018-07-31
__import__.supplierinfo_promo_79201-3002912-20170801,2018-07-31
__import__.supplierinfo_promo_79201-3116480-20180331,2018-07-31
__import__.supplierinfo_promo_79201-3150869-20160901,2018-07-31
__import__.supplierinfo_promo_79201-3268174-20160701,2018-07-31
__import__.supplierinfo_promo_79201-3297744-20180601,2018-07-31
__import__.supplierinfo_promo_79201-3334778-20170101,2018-07-31
__import__.supplierinfo_promo_79201-5310365-20180301,2018-07-31
__import__.supplierinfo_promo_79201-6420006-20140401,2018-07-31
__import__.supplierinfo_promo_79201-6420010-20180317,2018-07-31
__import__.supplierinfo_promo_81200-0026963-20180115,2018-08-31
__import__.supplierinfo_promo_81200-0384503-20180426,2018-08-31
__import__.supplierinfo_promo_81200-0384511-20180426,2018-08-31
__import__.supplierinfo_promo_81200-1013432-20180115,2018-08-31
__import__.supplierinfo_promo_81200-1013465-20180115,2018-08-31
__import__.supplierinfo_promo_81200-1204783-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2203164-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2342087-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2342095-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2342103-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2342111-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2342129-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2342145-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2342160-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2342178-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2342186-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2342194-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2410959-20180601,2018-08-31
__import__.supplierinfo_promo_81200-2433878-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2510485-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2565596-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2576874-20180601,2018-08-31
__import__.supplierinfo_promo_81200-2599827-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2599850-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2617231-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2617256-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2617272-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2617330-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2617348-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2617363-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2617371-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2617389-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2617397-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2691723-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2709707-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2709715-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2709822-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2718252-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2769369-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2769388-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2783363-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2788917-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2788958-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2788966-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2788982-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2789030-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2789048-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2876050-20180401,2018-08-31
__import__.supplierinfo_promo_81200-2917029-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2917037-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2917045-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2948412-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2963767-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2963775-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2963783-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2963791-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2967107-20180115,2018-08-31
__import__.supplierinfo_promo_81200-2967115-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3026168-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3074234-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3179181-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3179207-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3220449-20180501,2018-08-31
__import__.supplierinfo_promo_81200-3237740-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3237765-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3247970-20180501,2018-08-31
__import__.supplierinfo_promo_81200-3247988-20180501,2018-08-31
__import__.supplierinfo_promo_81200-3280906-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3280914-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3280922-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3280930-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3280948-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3364338-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3364346-20180501,2018-08-31
__import__.supplierinfo_promo_81200-3364353-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3364361-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3381829-20180601,2018-08-31
__import__.supplierinfo_promo_81200-3427309-20180401,2018-08-31
__import__.supplierinfo_promo_81200-3427317-20180401,2018-08-31
__import__.supplierinfo_promo_81200-3501228-20180301,2018-08-31
__import__.supplierinfo_promo_81200-3507415-20180401,2018-08-31
__import__.supplierinfo_promo_81200-3535846-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3535853-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3535861-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3535879-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3604204-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3604212-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3604220-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3604238-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3604246-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3632668-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3632676-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3664232-20180115,2018-08-31
__import__.supplierinfo_promo_81200-3672342-20180601,2018-08-31
__import__.supplierinfo_promo_81200-3748910-20180426,2018-08-31
__import__.supplierinfo_promo_81200-5065361-20180401,2018-08-31
__import__.supplierinfo_promo_81200-5120017-20180115,2018-08-31
__import__.supplierinfo_promo_81200-5165352-20180401,2018-08-31
__import__.supplierinfo_promo_81200-8120001-20180115,2018-08-31
__import__.supplierinfo_promo_81200-8120002-20180115,2018-08-31
__import__.supplierinfo_promo_81200-8120007-20180401,2018-08-31
__import__.supplierinfo_promo_81699-2420685-20170601,2018-07-31
__import__.supplierinfo_promo_81699-2626885-20180201,2018-07-31
__import__.supplierinfo_promo_81699-2626893-20150701,2018-07-31
__import__.supplierinfo_promo_81699-2703239-20150701,2018-07-31
__import__.supplierinfo_promo_81699-2703262-20180201,2018-07-31
__import__.supplierinfo_promo_81699-2945590-20161108,2018-07-31
__import__.supplierinfo_promo_81699-3048675-20180601,2018-07-31
__import__.supplierinfo_promo_81699-3048683-20180101,2018-07-31
__import__.supplierinfo_promo_81699-3048691-20180101,2018-07-31
__import__.supplierinfo_promo_81699-3057213-20151201,2018-07-31
__import__.supplierinfo_promo_81699-3550100-20170301,2018-07-31
__import__.supplierinfo_promo_81699-5163500-20171201,2018-07-31
__import__.supplierinfo_promo_81699-5163501-20170601,2018-07-31
__import__.supplierinfo_promo_81699-5169900-20180401,2018-07-31
__import__.supplierinfo_promo_81699-5169901-20180606,2018-07-31
__import__.supplierinfo_promo_81699-6350338-20180601,2018-07-31
__import__.supplierinfo_promo_81699-6350345-20170401,2018-07-31
__import__.supplierinfo_promo_82670-5267019-20180410,2018-08-31
__import__.supplierinfo_promo_82701-3133154-20180201,2018-07-31
__import__.supplierinfo_promo_82701-8270105-20180522,2018-07-31
__import__.supplierinfo_promo_82702-2975811-20180601,2018-07-31
__import__.supplierinfo_promo_82702-2977122-20180601,2018-07-31
__import__.supplierinfo_promo_82702-2977130-20180601,2018-07-31
__import__.supplierinfo_promo_82702-2977148-20180601,2018-07-31
__import__.supplierinfo_promo_82702-2977155-20180601,2018-07-31
__import__.supplierinfo_promo_83300-0874131-20180301,2018-06-13
__import__.supplierinfo_promo_83300-2404341-20180301,2018-08-31
__import__.supplierinfo_promo_83300-2404358-20180301,2018-08-31
__import__.supplierinfo_promo_83300-2926251-20180501,2018-08-31
__import__.supplierinfo_promo_83300-3126703-20180301,2018-08-31
__import__.supplierinfo_promo_83300-3319886-20180501,2018-08-31
__import__.supplierinfo_promo_83300-3443199-20180501,2018-08-31
__import__.supplierinfo_promo_83300-3541737-20180430,2018-08-31
__import__.supplierinfo_promo_83300-3606761-20180430,2018-08-31
__import__.supplierinfo_promo_83311-2874352-20180501,2018-07-31
__import__.supplierinfo_promo_83311-3198124-20180501,2018-07-31
__import__.supplierinfo_promo_83311-3198132-20180501,2018-07-31
__import__.supplierinfo_promo_83311-3198140-20180501,2018-07-31
__import__.supplierinfo_promo_83311-3276623-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3276631-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3276649-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3276656-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3276664-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3276672-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3308723-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3308731-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3308749-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3308756-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3308764-20180501,2018-08-31
__import__.supplierinfo_promo_83311-3308772-20180501,2018-08-31
