id,name/id,sequence,price,product_tmpl_id/id,min_qty_sale,product_code
__import__.supplierinfo_74140-1405069,__import__.supplier_74140,100,5.36,__import__.product_1405069_product_template,1,8380462 / 92315069
__import__.supplierinfo_74154-5052291,__import__.supplier_74154,100,79.20,__import__.product_5052291_product_template,1,36 1702 544
__import__.supplierinfo_74290-5032405,__import__.supplier_74290,100,58.60,__import__.product_5032405_product_template,1,
__import__.supplierinfo_77666-1414394,__import__.supplier_77666,100,0,__import__.product_1414394_product_template,1,
__import__.supplierinfo_77666-2661544,__import__.supplier_77666,100,0,__import__.product_2661544_product_template,1,
__import__.supplierinfo_77666-3584919,__import__.supplier_77666,100,0,__import__.product_3584919_product_template,1,
__import__.supplierinfo_77690-5512020,__import__.supplier_77690,100,12.72,__import__.product_5512020_product_template,1,
__import__.supplierinfo_79000-1019370,__import__.supplier_79000,100,0.93,__import__.product_1019370_product_template,1,400BAMSAC S/M
__import__.supplierinfo_79000-1039880,__import__.supplier_79000,100,35.33,__import__.product_1039880_product_template,1,
__import__.supplierinfo_79000-1039890,__import__.supplier_79000,100,30.36,__import__.product_1039890_product_template,1,
__import__.supplierinfo_79000-1039900,__import__.supplier_79000,100,24.70,__import__.product_1039900_product_template,1,
__import__.supplierinfo_79000-1071490,__import__.supplier_79000,100,7.80,__import__.product_1071490_product_template,1,1071490
__import__.supplierinfo_79000-8024164,__import__.supplier_79000,100,35.19,__import__.product_8024164_product_template,1,19839
__import__.supplierinfo_79000-8180289,__import__.supplier_79000,100,6.74,__import__.product_8180289_product_template,1,8180289
__import__.supplierinfo_79000-8245882,__import__.supplier_79000,100,21.69,__import__.product_8245882_product_template,1,019449
__import__.supplierinfo_79000-8269894,__import__.supplier_79000,100,21.69,__import__.product_8269894_product_template,1,019447
__import__.supplierinfo_79001-1823960,__import__.supplier_79001,100,7.61,__import__.product_1823960_product_template,1,
__import__.supplierinfo_79001-7595114,__import__.supplier_79001,100,10.96,__import__.product_7595114_product_template,1,
__import__.supplierinfo_79200-5016540,__import__.supplier_79200,100,22.03,__import__.product_5016540_product_template,1,16351540
__import__.supplierinfo_79200-5021726,__import__.supplier_79200,100,22.08,__import__.product_5021726_product_template,1,16200126
__import__.supplierinfo_79200-5022028,__import__.supplier_79200,100,22.03,__import__.product_5022028_product_template,1,16301436
__import__.supplierinfo_79245-5924502,__import__.supplier_79245,100,34.46,__import__.product_5924502_product_template,1,66974939
__import__.supplierinfo_82540-8181321,__import__.supplier_82540,100,98.91,__import__.product_8181321_product_template,1,PERCHOIR CHAT
__import__.supplierinfo_82540-8181322,__import__.supplier_82540,100,2576.83,__import__.product_8181322_product_template,1,SUR MESURE
__import__.supplierinfo_82595-2417483,__import__.supplier_82595,100,5.35,__import__.product_2417483_product_template,1,460083
__import__.supplierinfo_82595-3038213,__import__.supplier_82595,100,14.23,__import__.product_3038213_product_template,1,460122
__import__.supplierinfo_82660-5266005,__import__.supplier_82660,100,63.70,__import__.product_5266005_product_template,1,
__import__.supplierinfo_83322-5232398,__import__.supplier_83322,100,11.65,__import__.product_5232398_product_template,1,32398
__import__.supplierinfo_83322-5232399,__import__.supplier_83322,100,11.65,__import__.product_5232399_product_template,1,32399
__import__.supplierinfo_83322-5323190,__import__.supplier_83322,100,24.50,__import__.product_5323190_product_template,1,3210455
__import__.supplierinfo_83322-5324580,__import__.supplier_83322,100,25.10,__import__.product_5324580_product_template,1,324580
__import__.supplierinfo_83322-8024655,__import__.supplier_83322,100,0.60,__import__.product_8024655_product_template,1,321146
