id,default_code,name,weight,volume,type
scenario.product_8452138,8452138,||| CANINE PUPPY 415GR POULET           ,0,0,product
scenario.product_8450814,8450814,||| CANINE LIGHT ADULT 415GR POULET     ,0,0,product
scenario.product_8450820,8450820,||| CANINE PERFORMANCE 415GR            ,0,0,product
scenario.product_8450808,8450808,||| CANINE SENIOR 415GR POULET          ,0,0,product
scenario.product_7194088,7194088,||| CANINE GROWTH 2KG                   ,0,0,product
scenario.product_7389739,7389739,||| CANINE GROWTH 2KG AGNEAU/RIZ        ,0,0,product
scenario.product_7389745,7389745,"||| CANINE PUPPY 7,5KG AGNEAU           ",7.5,18.64766,product
scenario.product_8041553,8041553,||| STERILISATEUR POUPINEL 60L          ,0,0,product
scenario.product_7194160,7194160,||| CANINE MAINTENANCE 2KG POULET       ,0,0,product
scenario.product_7194237,7194237,||| CANINE MAINTENANCE LIGHT 2KG        ,0,0,product
scenario.product_7389774,7389774,||| CANINE MAINTENANCE 2KG AGNEAU/RIZ   ,0,0,product
scenario.product_8041661,8041661,"||| SONDE VESICALE+MAND 1,3mmx70cm CH4  ",0,0,product
scenario.product_4855585,4855585,||| CANINE MAINTENANCE 500GR BOEUF      ,0,0,product
scenario.product_7490102,7490102,||| CANINE MAINTENANCE 2KG BOEUF        ,0,0,product
scenario.product_7490119,7490119,"||| CANINE ADULT 7,5KG BOEUF            ",7.5,18.64766,product
scenario.product_7490125,7490125,||| CANINE ADULT 15KG BOEUF             ,15,38.75879,product
scenario.product_7194289,7194289,||| CANINE PERFORMANCE 2KG              ,0,0,product
scenario.product_7196265,7196265,||| CANINE SENIOR  2KG                  ,0,0,product
scenario.product_7302514,7302514,"||| CANINE PUPPY 7,5KG POULET           ",7.5,18.64766,product
scenario.product_7296191,7296191,||| CANINE PUPPY 15KG POULET            ,15,38.75879,product
scenario.product_7389751,7389751,||| CANINE PUPPY 15KG AGNEAU            ,15,38.75879,product
scenario.product_7302537,7302537,"||| CANINE ADULT 7,5KG POULET           ",7.5,18.64766,product
scenario.product_7302543,7302543,||| CANINE ADULT 15KG POULET            ,15,38.75879,product
scenario.product_7389780,7389780,"||| CANINE ADULT 7,5KG AGNEAU           ",7.5,18.64766,product
scenario.product_7389797,7389797,||| CANINE ADULT 15KG AGNEAU            ,15,38.75879,product
scenario.product_8041872,8041872,CHAMP OP NON TISSE ROULEAU 50mx90cm     ,3.9,0,product
scenario.product_7302572,7302572,"CANINE LIGHT ADULT 7,5KG POULET         ",7.5,18.64766,product
scenario.product_7296216,7296216,||| CANINE LIGHT ADULT 15KG POULET      ,15,38.75879,product
scenario.product_7296222,7296222,"||| CANINE PERFORMANCE 7,5KG            ",0,0,product
scenario.product_8044818,8044818,"COUPE ONGLE CHIEN ROBUSTE 16,5cm        ",0.13,0.1584,product
scenario.product_7302589,7302589,||| CANINE PERFORMANCE 15KG/            ,15,38.75879,product
scenario.product_8044847,8044847,COUPE ONGLE CHIEN MILLER                ,84,0,product
scenario.product_7302632,7302632,"CANINE SENIOR 7,5KG POULET/             ",7.5,18.64766,product
scenario.product_7302626,7302626,||| CANINE SENIOR 15KG POULET           ,15,38.75879,product
scenario.product_8453362,8453362,||| CANINE GROWTH MED/LARG PUPPIES 500GR,0,0,product
scenario.product_7385836,7385836,||| CANINE GROWTH MED/LARG PUPPIES 2KG  ,0,0,product
scenario.product_7385842,7385842,"||| CANINE PUPPY LARGE BREED 7,5KG      ",7.5,18.64766,product
scenario.product_7385859,7385859,||| CANINE PUPPY LARGE BREED 15KG       ,15,38.75879,product
scenario.product_8045373,8045373,||| HARNAIS HALTI T3 (marron)           ,0,0,product
scenario.product_8494438,8494438,||| DD FELIN 156GR                      ,0,0,product
scenario.product_8450702,8450702,||| CANINE SENIOR 500GR                 ,0,0,product
scenario.product_8494504,8494504,||| FELINE LIGHT ADULT 8x500GR POULET   ,0,0,product
scenario.product_8451297,8451297,||| CANINE MAINTENANCE LIGHT 500GR GRAN.,0,0,product
scenario.product_8451742,8451742,||| CANINE GROWTH 500GR GRAN.           ,0,0,product
scenario.product_8046846,8046846,||| |||SONDE EXPLORATRICE               ,0,0,product
scenario.product_8450903,8450903,||| CANINE MAINTENANCE 500GR POULET     ,0,0,product
scenario.product_8046869,8046869,DAVIER DE WITZEL 16cm CONTRE COUDE      ,105,0,product
scenario.product_8046929,8046929,||| |||CURETTE DENTAIRE AILE GAUCHE     ,23,0,product
scenario.product_7380477,7380477,||| WD CANIN 14KG                       ,14,0,product
scenario.product_8494409,8494409,||| CD FELIN 400GR                      ,0,0,product
scenario.product_8494415,8494415,||| CD FELIN 156GR                      ,0,0,product
scenario.product_7520903,7520903,||| XD FELIN EMINCE 156GR               ,0,0,product
scenario.product_8494421,8494421,||| DD FELIN 400GR                      ,0,0,product
scenario.product_8450754,8450754,||| HD FELIN 24X156GR                   ,0,0,product
scenario.product_8494467,8494467,||| KD FELIN 400GR                      ,0,0,product
scenario.product_8450760,8450760,||| RD FELIN EMINCE 156GR               ,0,0,product
scenario.product_8494645,8494645,||| SD FELIN 400GR                      ,0,0,product
scenario.product_8494639,8494639,||| SD FELIN 156GR                      ,0,0,product
scenario.product_8494651,8494651,||| WD FELIN 400GR                      ,0,0,product
scenario.product_8494668,8494668,||| WD FELIN 156GR                      ,0,0,product
scenario.product_8048897,8048897,CARCAN BUSTER CLIC TRANSP 40cm          ,0.55,1.01928,product
scenario.product_7196928,7196928,||| CD FELIN 2KG POULET                 ,2.06,5.56467,product
scenario.product_7197052,7197052,||| RD FELIN 2KG                        ,2.06,5.56467,product
scenario.product_7197000,7197000,||| KD FELIN 2KG                        ,2.06,5.56467,product
scenario.product_7197135,7197135,||| WD FELIN  2KG                       ,2.06,5.56467,product
scenario.product_7196934,7196934,CD FELIN 5KG POULET                     ,5,12728,product
scenario.product_7520895,7520895,CD FELIN 10KG POULET                    ,10,0,product
scenario.product_7197017,7197017,KD FELIN 5KG                            ,5,12728,product
scenario.product_7197069,7197069,RD FELIN 5KG                            ,5,12728,product
scenario.product_7197098,7197098,||| SD FELIN 2KG                        ,2.06,5.56467,product
scenario.product_7197106,7197106,SD FELIN 5KG                            ,5,12728,product
scenario.product_7196874,7196874,TD CANIN 3KG                            ,3,9657,product
scenario.product_7196880,7196880,TD CANIN 10KG                           ,10,25.7298,product
scenario.product_7228315,7228315,TD MINI CANIN 3kg                       ,3,12.3453,product
scenario.product_7197141,7197141,WD FELIN  5KG                           ,5,12728,product
scenario.product_7369547,7369547,||| TD FELIN 2KG                        ,2.06,5.56467,product
scenario.product_8846570,8846570,||| FELINE KITTEN 156GR POULET          ,0,0,product
scenario.product_8452724,8452724,||| FELINE GROWTH 400GR                 ,0,0,product
scenario.product_8494510,8494510,||| FELINE LIGHT ADULT 156GR POULET     ,0,0,product
scenario.product_8452718,8452718,||| FELINE MAINTENANCE LIGHT 400GR      ,0,0,product
scenario.product_7241333,7241333,FELINE KITTEN 2KG POULET                ,2,5.3766,product
scenario.product_7241356,7241356,FELINE ADULT 2KG POULET                 ,2,5.3766,product
scenario.product_7241362,7241362,||| FELINE LIGHT ADULT 2KG POULET       ,2.06,5.56467,product
scenario.product_8452865,8452865,||| FELINE ADULT 8X500GR THON           ,0,0,product
scenario.product_7351518,7351518,FELINE ADULT 2KG THON                   ,2,5.3766,product
scenario.product_7351524,7351524,FELINE ADULT 5KG THON                   ,5,12728,product
scenario.product_8014680,8014680,LETTRE RX EN LAITON 15x15mm DROITE (D)  ,2,0,product
scenario.product_8454077,8454077,||| FELINE ADULT 8X500GR AGNEAU         ,0,0,product
scenario.product_8015521,8015521,FIXATEUR MACHINE TETENAL SUPERFIX 2x20l ,13.94,21.7439,product
scenario.product_7416643,7416643,FELINE ADULT 2KG AGNEAU                 ,2,5.3766,product
scenario.product_8015538,8015538,||| |||REVELATEUR MACHINE POUR 2x20l    ,13.68,20.23353,product
scenario.product_7416666,7416666,FELINE ADULT 5KG AGNEAU                 ,5,12728,product
scenario.product_8454338,8454338,||| FELINE ADULT 8X500GR LAPIN          ,0,0,product
scenario.product_8027004,8027004,CALF DRENCHER 2l TUBE RIGIDE            ,0.24,6.37572,product
scenario.product_7437119,7437119,FELINE ADULT 2KG LAPIN                  ,2,5.3766,product
scenario.product_8016992,8016992,"CATHETER CENTRACATH VERT 30cm 2,0x70mm  ",18,0,product
scenario.product_7437125,7437125,|||FELINE ADULT 5KG LAPIN/              ,5,12728,product
scenario.product_8494444,8494444,||| |||FELINE KITTEN 8x500GR POULET     ,0,0,product
scenario.product_8494496,8494496,||| |||FELINE ADULT 500GR POULET        ,0,0,product
scenario.product_8017709,8017709,BALLON CAOUTCHOUC OVALE 4l KRUUSE       ,111,0,product
scenario.product_7196549,7196549,CD CANIN 2KG                            ,2,5.3766,product
scenario.product_7196644,7196644,ID CANIN  2KG                           ,2,5.3766,product
scenario.product_7196696,7196696,KD CANIN 2KG                            ,2,5.3766,product
scenario.product_7196762,7196762,||| RD CANIN 2KG                        ,2,0,product
scenario.product_7196845,7196845,||| WD CANIN  2KG                       ,2,4.44371,product
scenario.product_8019074,8019074,||| |||APALERT SURVEILLANCE RESPIRATOIRE,0,0,product
scenario.product_8494473,8494473,||| KD FELIN 156GR                      ,0,0,product
scenario.product_8494591,8494591,||| FELINE ADULT 156GR POULET/FOIE      ,0,0,product
scenario.product_8019418,8019418,CISEAUX A IRIDECTOMIE COURBE 11cm       ,18,0,product
scenario.product_8494556,8494556,||| FELINE ADULT 156GR BOEUF            ,0,0,product
scenario.product_8019795,8019795,BISTOURI POUR AUTOPSIE MANCHE           ,0.06,0,product
scenario.product_8494579,8494579,||| FELINE ADULT 156GR POISSON          ,0,0,product
scenario.product_8452687,8452687,||| FELINE MAINTENANCE 400GR BOEUF      ,0,0,product
scenario.product_8450748,8450748,||| FELINE MAINTENANCE 400GR POULET/FOIE,0,0,product
scenario.product_8019944,8019944,PORTE AIG OLSEN HEGAR CISE 14cm GENIA   ,41,0,product
scenario.product_8452701,8452701,||| FELINE MAINTENANCE 400GR POISSON    ,0,0,product
scenario.product_8450719,8450719,||| CANINE ADULT 415GR POULET           ,0,0,product
scenario.product_8450777,8450777,||| CANINE ADULT 415GR DINDE            ,0,0,product
scenario.product_8450783,8450783,||| CANINE ADULT 415GR BOEUF            ,0,0,product
scenario.product_8027524,8027524,TECHNOVIT/DEMOTEC SEMELLE BOIS          ,0.08,0.13774,product
scenario.product_8020781,8020781,PINCE DEBAKEY GENIA 15cm                ,0.03,0,product
scenario.product_8027010,8027010,CALF DRENCHER 2l TUBE FLEXIBLE          ,0.21,9724,product
scenario.product_8027553,8027553,TECHNOVIT LIQUIDE 500ml                 ,0.84,1.55682,product
scenario.product_8027576,8027576,TECHNOVIT POUDRE 1kg                    ,1.12,2.39,product
scenario.product_8021556,8021556,CORDON BIPOLAIRE POUR MB100/MB1MC       ,84,0,product
scenario.product_8027151,8027151,TROCART A RUMEN BUFF                    ,0.09,0.8925,product
scenario.product_8029109,8029109,||| |||PINCE COUPE DENTS PORCELETS ACIER,0,0,product
scenario.product_8021562,8021562,||| |||BISTOURI SU140:PINCE BIP CDE 6mmx,0,0,product
scenario.product_7330166,7330166,RECHARGE AEROSOL MASTER PLUS /          ,0.11,0.18007,product
scenario.product_8021622,8021622,||| BISTOURI ELECTRONIQUE MB1MC         ,0,0,product
scenario.product_8030733,8030733,||| AIGUILLE BIOPSIE TISSU MOU 2x76mm UU,0,0,product
scenario.product_8021763,8021763,BISTOURI STERILE LAME N 24 par 10       ,0.11,0.56725,product
scenario.product_6508248,6508248,||| RECHARGE CITRONNELLE pour ABOISTOP  ,0,0,product
scenario.product_8030756,8030756,||| AIGUILLE BIOPSIE TISSU MOU 2x114mm  ,0,0,product
scenario.product_6508231,6508231,ABOISTOP COLLIER KIT STANDARD + CITRON. ,0.38,1.29675,product
scenario.product_8022722,8022722,||| |||COAPTATEUR 12mm BARRE2mmBROCHE1/1,0,0,product
scenario.product_8023064,8023064,CURETTE VOLKMAN 18cm 4mm                ,44,0,product
scenario.product_8043693,8043693,"CARCAN BUSTER CLASSIC OPAQUE 12,5cm     ",0,0.12795,product
scenario.product_8043730,8043730,CARCAN BUSTER CLASSIC OPAQUE 30cm       ,0.33,0.50889,product
scenario.product_8043724,8043724,CARCAN BUSTER CLASSIC OPAQUE 25cm       ,0.23,0.15412,product
scenario.product_8043687,8043687,CARCAN BUSTER CLASSIC OPAQUE 10cm       ,0.04,0.0861,product
scenario.product_8043701,8043701,CARCAN BUSTER CLASSIC OPAQUE 15cm       ,0.09,0.18257,product
scenario.product_8023696,8023696,"||SONDE LACRYMALE INOX COURBE 15mm 0,6mm",2,0,product
scenario.product_8023704,8023704,"SONDE LACRYMALE INOX DROITE 10mm 0,6mm  ",2,0,product
scenario.product_8043718,8043718,CARCAN BUSTER CLASSIC OPAQUE 20cm       ,0.15,0.26541,product
scenario.product_8031201,8031201,SONDE NASO-OESOPHAGIENNE 2mmx50cm CH6   ,0,0,product
scenario.product_8043670,8043670,"CARCAN BUSTER CLASSIC OPAQUE  7,5cm     ",0.03,0.06859,product
scenario.product_8038568,8038568,GANT POLYSEM POLYTACTYL JAUNE 92cm (100),1.15,3.30855,product
scenario.product_8031224,8031224,SONDE NASO-OESOPHAGIENNE 5mmx80cm CH14  ,0.02,286,product
scenario.product_8048880,8048880,"CARCAN BUSTER CLIC TRANSP 12,5cm        ",0.05,0.12729,product
scenario.product_8024141,8024141,ECOUVILLON JUMENT 70cm /10 PRELEVEMENT  ,53,0,product
scenario.product_8043902,8043902,CARCAN BUSTER CLIC TRANSP 20cm          ,0.15,0.26973,product
scenario.product_8031448,8031448,SONDE VESICALE INOX LL COURBE 2mmx18cm  ,6,0,product
