id,lang,name,street2,street,zip,city,phone,fax,company_type,supplier,customer
scenario.supplier_63750,fr_BE,DEJEOND-DELARGE,Ferr. d'Art,Rue St Léonard 460,4000,LIEGE,04/2276610,42278373,company,TRUE,FALSE
scenario.supplier_63850,fr_BE,DE WITTE LIETAER,,Koningin Astridlaan 48,8930,LAUWE,056/430211,56430211,company,TRUE,FALSE
scenario.supplier_63900,fr_BE,AHP PHARMA,,Generaal de Wittelaan 17,2800,MECHELEN,015/294459,15294455,company,TRUE,FALSE
scenario.supplier_63910,fr_BE,SANOFI SYNTHELABO S.A.,,Avenue de la Métrologie 5,1130,BRUXELLES,015/509680,15509660,company,TRUE,FALSE
scenario.supplier_63960,fr_BE,DISTRIBAL,,Adm. de Boisotstraat 19-21,2000,ANTWERPEN,03/2384315,32160686,company,TRUE,FALSE
scenario.supplier_63980,fr_BE,DECKERS,,Interleuvenlaan 12,3001,HEVERLEE,016/400402,16401066,company,TRUE,FALSE
scenario.supplier_64010,fr_BE,DUMONT VERRERIES,,Chaussée d'Ivoz 2,4400,IVOZ-RAMET,04/3369440,43379513,company,TRUE,FALSE
scenario.supplier_64200,fr_BE,FORT DODGE *,,B.P.46,4720,LA CALAMINE,0800/50327,80050328,company,TRUE,FALSE
scenario.supplier_64290,fr_BE,DOYEN,,Rue du Charbonnage,4100,SERAING,04/3859595,43370016,company,TRUE,FALSE
scenario.supplier_64350,fr_BE,DR MACH,Postfach 12 49,Baldestrasse 31,85560,EBERSBERG,49809220930,498092209350,company,TRUE,FALSE
scenario.supplier_64400,fr_BE,DRAECK OPTICS,,Boomsesteenweg 11,2630,AARTSELAAR,03/8708877,38708870,company,TRUE,FALSE
scenario.supplier_64450,fr_BE,FRANCO BELGE DE CAOUTCHOUC,,Bvd M. Lemonnier 167,1000,BRUXELLES,02/5112450,25115100,company,TRUE,FALSE
scenario.supplier_64500,fr_BE,INSTRUMENT DE CHIRURGIE MORIN,,Rue Maurice Arnoux 50Bis,92120,MONTROUGE,0033/146550555,33146550540,company,TRUE,FALSE
scenario.supplier_65000,fr_BE,DURASOL,,Barbarastrasse 14,30952,RONNENBERG,495114387470,495114387477,company,TRUE,FALSE
scenario.supplier_65100,fr_BE,DYNAVET,,Rue Chappe 51,63100,CLERMONT FERRAND,0033/473422550,33473628172,company,TRUE,FALSE
scenario.supplier_66008,fr_BE,ECUPHAR ANIMAL HEALTH SA,,Legeweg, 157 i,8020,Médicament                    ,050/314269,company,TRUE,FALSE
scenario.supplier_66050,fr_BE,ERBRICH INSTRUMENTE,,Eugenstrabe 33,78532,TUTLINGEN-NENDINGE,497461965730,4974619657320,company,TRUE,FALSE
scenario.supplier_66150,fr_BE,EICKEMEYER, MEDIZINTECHNIK,FUR TIERARZTE KG,Eltastrasse 8,78532,Matériel                      ,497461965800,company,TRUE,FALSE
scenario.supplier_66200,fr_BE,ELI LILLY/ELANCO,,Rue du Marquis 1,1000,BRUXELLES,80081316,27007425,company,TRUE,FALSE
scenario.supplier_66250,fr_BE,ENDOSCOPIE RICHARD WOLF,BELGIUM,Landegemstraat 6,9031,DRONGEN-GENT,09/2829215,92829216,company,TRUE,FALSE
scenario.supplier_66255,fr_BE,EPC,,Rue Edouard Dinot 32,5590,CINEY,083/231211,83231250,company,TRUE,FALSE
scenario.supplier_66400,fr_BE,EUREPS,,Getestraat 85,3350,NEERLINTER,011/785093,11785092,company,TRUE,FALSE
scenario.supplier_66500,fr_BE,ELMA OBREG,,Avenue Carton de Wiart 74,1090,BRUXELLES,02/4261063,24241882,company,TRUE,FALSE
scenario.supplier_66550,fr_BE,EBIMEX,,Im Westesch 19,49849,WILSUM,0049/5945-655,495945699,company,TRUE,FALSE
scenario.supplier_66600,fr_BE,E.M.B.I.,,Kerkhofstraat 32A,3440,HALLE BOOIENHOVEN,011/784264,11783186,company,TRUE,FALSE
scenario.supplier_66700,fr_BE,EUROTEST,,Dieweg 186,1180,BRUXELLES,02/3747732,23753254,company,TRUE,FALSE
scenario.supplier_66830,fr_BE,FAES,ROOTVEN 4 MB BLADEL,Postbus 232,5530,AE BLADEL,0031/497381165,31497382276,company,TRUE,FALSE
scenario.supplier_66900,fr_BE,FETON,,Rue Gabrielle Petit 4 bte 9,1080,BRUXELLES,02/4205200,24206161,company,TRUE,FALSE
scenario.supplier_66901,fr_BE,BUFA / FEDERA,,Rue du Bruel 55,1130,HAREN-BRUXELLES,02/2452315,22452551,company,TRUE,FALSE
scenario.supplier_66905,fr_BE,FERAUCHE ET GILLET,,Rue de Roumont 21,6890,GLAIREUSE-LIBIN,061/655139,61656434,company,TRUE,FALSE
scenario.supplier_66906,fr_BE,FENDIGO,,Avenue Hermann Debroux,17,1160,Médicament                    ,02/7344690,company,TRUE,FALSE
scenario.supplier_66940,fr_BE,FOREVER PRODUCTS,,Rue de la Glacerie 122,6180,COURCELLES,071/468515,071/468519,company,TRUE,FALSE
scenario.supplier_67400,fr_BE,G.E.R,,Rue de Bourgogne 1,89140,CUY,0033/386640731,33386659003,company,TRUE,FALSE
scenario.supplier_67450,fr_BE,GEMERS MARC ETS,,Chemin de la Prairie 77,7830,HELLEBESQ,068/552941,68552945,company,TRUE,FALSE
scenario.supplier_67490,fr_BE,G.E.R. BENELUX AGENCE KEMMINK,,Libel 4,3831,LEUSDEN,0031/334941422,31334946575,company,TRUE,FALSE
scenario.supplier_67530,fr_BE,GENIA,Parc d'Act. Le Pont Béranger,Rue J-Fr. Champollion,12,44680,Matériel                      ,0033/240032417,company,TRUE,FALSE
scenario.supplier_67630,fr_BE,GOWLLANDS LIMITED,,Morland Road,CR9 6BN,CROYDON,441816543011,441816551839,company,TRUE,FALSE
scenario.supplier_67950,fr_BE,BEIERSDORF,,Boulevard Industriel 30,1070,BRUXELLES,02/5265281,25265299,company,TRUE,FALSE
scenario.supplier_68150,fr_BE,HALLOWELL EMC,,239 West ST,1201,PITTSFIELD MASSACHUSETTS,001/4134454263,14134969254,company,TRUE,FALSE
scenario.supplier_68230,fr_BE,HP AGILENT TECHNOLOGIES,BEL. MEDICAL CENTER,Bvd de Woluwé 100,1200,BRUXELLES,02/4049000,24049900,company,TRUE,FALSE
scenario.supplier_68240,fr_BE,HANEL,,Postfach 82 03 09,81803,MUNCHEN,0049/8942096-0,498942096200,company,TRUE,FALSE
scenario.supplier_68300,fr_BE,INTERVET BELGIUM HRV,,Raghenopark - Delingstr.32/1,2800,MECHELENS,015/436728,83212876,company,TRUE,FALSE
scenario.supplier_68302,fr_BE,HARTMANN PAUL,,Avenue Paul Hartmann 1,1480,SAINTES,02/3914466,43775039,company,TRUE,FALSE
scenario.supplier_68320,fr_BE,HOMEODEN,,Kasteellaan 76,9000,GENT,09/2258733,92230076,company,TRUE,FALSE
scenario.supplier_68325,fr_BE,HEEL,,Wilhelminastraat 54-56,4571,JN AXEL,0031/115563200,31115564774,company,TRUE,FALSE
scenario.supplier_68400,fr_BE,HORSE FITFORM INTERNATIONAL,,Rue de l'Expansion 13,4460,GRACE-HOLLOGNE,04/2463615,42463625,company,TRUE,FALSE
scenario.supplier_68600,fr_BE,HOECHST MARION ROUSSEL,,Rue Colonel Bourg 155,1140,BRUXELLES,02/7197777,27197649,company,TRUE,FALSE
scenario.supplier_69000,fr_BE,HOSPITHERA,,Rue de la petite île 3,1070,BRUXELLES,02/5350202,25350259,company,TRUE,FALSE
scenario.supplier_69300,fr_BE,HUMBLET DEPOT DENTAIRE,,Rue du Parc  25,4020,LIEGE,04/3435229,43410799,company,TRUE,FALSE
scenario.supplier_69600,fr_BE,HYDRAVET,,SINTE VEERLEDREEF 7,1820,STEENOKKERZEEL,02/7516501,27516502,company,TRUE,FALSE
scenario.supplier_69700,fr_BE,HYGENIC EUROPE,,Avenue de l'Aulne 11,1180,BRUXELLES,02/2702250,22700233,company,TRUE,FALSE
scenario.supplier_71050,fr_BE,IMMUNOPHARM BENELUX,Départ. Matériel et Hygiéne,Avenue Charles-Quint 164,1083,BRUXELLES,02/4654333,24651447,company,TRUE,FALSE
scenario.supplier_71100,fr_BE,MSD ANIMAL HEALTH,,Clos du Lynx 5,1200,BRUXELLES,02/3709421,23709335,company,TRUE,FALSE
scenario.supplier_71400,fr_BE,JOHNSON ET JOHNSON MEDICAL,,Leonardo Da Vincilaan 15,1831,DIEGEM,02/7463333,27463344,company,TRUE,FALSE
scenario.supplier_71450,fr_BE,COVIDIEN (ANC. TYCO),,Général De wittelaan 9/5,2800,MECHELEN,02/2008260,02/2008261,company,TRUE,FALSE
scenario.supplier_71900,fr_BE,J. J. MAES SYGMA,,Avenue de l'Europe 14,4430,ANS,04/2472095,,company,TRUE,FALSE
scenario.supplier_72300,fr_BE,JANSSEN ELI ELANCO,,Turnhoutseweg 30,2340,Beerse,014/608000,14608020,company,TRUE,FALSE
scenario.supplier_72400,fr_BE,JEMA-ELEC,Parc Scientifique,Avenue J. Lenoir 16,1348,LOUVAIN LA NEUVE,010/454333,10454359,company,TRUE,FALSE
scenario.supplier_73600,fr_BE,LAMBERT M. MICHEL,,Route du Condroz 475,4031,ANGLEUR,04/3671515,43676588,company,TRUE,FALSE
scenario.supplier_73680,fr_BE,LECOQ ET FILS,,Rue Fond du Village 39,1315,PIETREBAIS,010/842929,10842811,company,TRUE,FALSE
scenario.supplier_73700,fr_BE,LAMBERT HENRI,Parc Industriel Hauts Sarts,Rue de l'Abbaye 55,4040,HERSTAL,04/2400644,42400725,company,TRUE,FALSE
scenario.supplier_73710,fr_BE,LE VET,,Willeskop 206A,3421,OUDEWATER,0031/348565858,31348565454,company,TRUE,FALSE
scenario.supplier_73900,fr_BE,LUDECO,,Rue Conraets 64,1060,BRUXELLES,02/5350667,25350680,company,TRUE,FALSE
scenario.supplier_74100,fr_BE,MARQUETTE HELLIGE,,Général de Witte Laan 9/9,2800,MECHELEN,015/208818,15204142,company,TRUE,FALSE
scenario.supplier_74130,fr_BE,MATERNE-DORMAL,,Voie des Boeufs 27,4630,SOUMAGNE,04/3772072,43773701,company,TRUE,FALSE
scenario.supplier_74140,fr_BE,MATRX MEDICAL INC.,Orchard Park,Mid County Drive 145,14127,NEW YORK,17166626650,441730815812,company,TRUE,FALSE
scenario.supplier_74147,fr_BE,MEDIPOST,,Rue Ernest Solvay 27,4000,LIEGE,04/2530539,42540194,company,TRUE,FALSE
scenario.supplier_74148,fr_BE,MEDI LINE,Parc Scientifique,Avenue du Pré Aily,4031,LIEGE,04/3660278,43660207,company,TRUE,FALSE
scenario.supplier_74149,fr_BE,MEDISCH LABO SERVICE,,Wervikstraat 341 P.B. 53,8930,MENEN,056/518383,56518480,company,TRUE,FALSE
scenario.supplier_74151,fr_BE,MERCK-EUROLAB,,Geldenaaksebaan 464b,3001,LEUVEN,02/6860711,26879120,company,TRUE,FALSE
scenario.supplier_74160,fr_BE,MEDICAL SUPPLIES & SERVICE LTD,,UNIT 5 VALLEY ROAD BUSINESS PK,BD21 4LZ,KEIGHLEY,441535692424,441535692525,company,TRUE,FALSE
scenario.supplier_74200,fr_BE,MERIAL BELGIUM SA,,Leonardo Da Vincilaan 19,1831,DIEGEM,80032369,80094905,company,TRUE,FALSE
scenario.supplier_74217,fr_BE,MARECHAL MARCEL,,Rue de l'Industrie 37,4540,AMAY,085/312711,85312711,company,TRUE,FALSE
