id;type;default_code;name;categ_id;weight
test_product_8000169;product;8000169;AIGUILLE BD 25Gx5/8 orange (100);Materiel;0.11
test_product_1275460;product;1275460;ACATAR SIROP 200ML;Medicaments;0
test_product_8030791;product;8030791;AIGUILLE BIO MOELLE JAMSHIDI 2,4x89mm;Materiel;38
test_product_600189;product;600189;ACETYLCYSTEINE EG 200MG 30GEL;Medicaments;0
test_product_8030816;product;8030816;AIGUILLE BIO MOELLE JAMSHIDI 3,2x101,5mm;Materiel;41
test_product_1286277;product;1286277;ACETYLCYSTEINE EG 600MG 30SACHETS;Medicaments;0
test_product_8030822;product;8030822;AIGUILLE BIO MOELLE JAMSHIDI 4x101,5mm;Materiel;48
test_product_1679000;product;1679000;ACICLOVIR BEXAL 35CP 800MG;Medicaments;0
test_product_8035392;product;8035392;AIGUILLE BIOPSIE MOELLE 1,6mm REGLABLE;Materiel;36
test_product_164459;product;164459;ACIDE ACETYLSALICYLIQUE 500MG 1000CP;Medicaments;0
test_product_5430809;product;5430809;WOUNDWASH 6x45ml;Medicaments;0
test_product_5438805;product;5438805;VETCIDE 500ml DESINFECTANT;Medicaments;0.52
test_product_1786151;product;1786151;ACIDUM LACTICUM INJEEL FORTE 10amp 1,1ml;Medicaments;0
test_product_1001510;product;1001510;ACNERYNE 4% gel 30gr;Medicaments;0
test_product_5461298;product;5461298;COMPLETE RAT  500gr;Aliments;0.5
test_product_8025330;product;8025330;AIGUILLON VILLETTE 9V SS PILE 6000 V;Materiel;0.36
test_product_16501;product;16501;ACTAPULGITE 30 SACH 3GR;Medicaments;0
test_product_8033068;product;8033068;AIGUISEUR COUTEAU MV;Materiel;81
test_product_125427;product;125427;ACTIFED 30CP;Medicaments;0
test_product_8026921;product;8026921;AIMANT CAGE BOVIVET BOVIN;Materiel;1.26
test_product_842047;product;842047;ACTIFED NEW SIROP 180 ML;Medicaments;0
test_product_8026996;product;8026996;AIMANT NU /12;Materiel;1.07
test_product_1198837;product;1198837;ACULARE 5MG/ML 10ml;Medicaments;0
test_product_6823501;product;6823501;ALARM COLLYRE 10ml;Medicaments;0.02
test_product_1375138;product;1375138;AD-CURE SOL 10ML;Medicaments;0
test_product_4970044;product;4970044;URINARY CHIEN S/O POUCH 10x150GR;Aliments;1.5
test_product_8007148;product;8007148;ALGOPLAQUE PANSEMENT 10x10cm (16);Materiel;0.24
test_product_1380112;product;1380112;ADEQUAD GOUTTES OCULAIRES 10ml;Medicaments;0
test_product_8007154;product;8007154;ALGOPLAQUE PATE 30gr;Materiel;0.04
test_product_1781509;product;1781509;ADERMA EXOMEGA CREME 100ml;Medicaments;0
test_product_7764039;product;7764039;ALLERPHYT 150GR;Medicaments;0
test_product_1799881;product;1799881;ADERMA EXOMEGA HUILE DOUCHE 500ml;Medicaments;0
test_product_8270548;product;8270548;AMINOLITE 3KG EQUISTRO;Medicaments;0
test_product_2335842;product;2335842;ADERMA GEL MOUSSANT SURGRAS 750ml;Medicaments;0
test_product_1238082;product;1238082;JACK RUSSEL JUNIOR 1,5KG;Aliments;1.5
test_product_16261;product;16261;ADRIBLASTINA RD 5 AMP 10MG;Medicaments;0
test_product_251454;product;251454;ADRIBLASTINE RTU CS 50MG 25ML;Medicaments;0
test_product_1075316;product;1075316;ADVANTAN CREME 15GR;Medicaments;0
test_product_444240;product;444240;ANETHOL ESSENCE 100ML;Medicaments;0
test_product_1635879;product;1635879;AERIUS 30CP 5MG;Medicaments;0
test_product_5903001;product;5903001;EDHYA KIT GASTRIQUE;Medicaments;1.14
test_product_8025407;product;8025407;ANNEAU ANTI TETE LEGEARD ADULTE 60B /2;Materiel;252
test_product_100685;product;100685;AFEBRYL 16COMP EFERVESCENTS;Medicaments;0
test_product_8025413;product;8025413;ANNEAU ANTI TETE LEGEARD après 9mois x5;Materiel;0.44
test_product_18028;product;18028;ALBICORT 10 5ML 10MG/ML;Medicaments;0
test_product_6894725;product;6894725;APRALAN POUDRE ORALE 50x2gr;Medicaments;0.1
test_product_471201;product;471201;ALCOOL CAMPHRE 1L;Medicaments;0
test_product_8110679;product;8110679;ARA 3000 BETA CHIEN  6 x5ML;Medicaments;0
test_product_75705;product;75705;ALCOOL DE MENTHE 100ML RICLES;Medicaments;0
test_product_8110685;product;8110685;ARA 3000 BETA CHIEN  6x10ML;Medicaments;0
test_product_1511906;product;1511906;ALCOOL ISOPROPYLIQUE 1L;Medicaments;0
test_product_2271179;product;2271179;ARK-VITS 50GR VETARK;Medicaments;0.08
test_product_1511907;product;1511907;ALCOOL ISOPROPYLIQUE 5L;Medicaments;0
test_product_2176238;product;2176238;SEBIUM GEL MOUSSANT 200ml;Medicaments;0
test_product_5100980;product;5100980;ASPIRATEUR CHIRURGICAL 80L/MIN 2x4L;Materiel;0
test_product_5100920;product;5100920;ASPIRATEUR CHIRURGICAL PORTABLE;Materiel;0
test_product_8055029;product;8055029;ASPIRATEUR POLIVAC 2L;Materiel;1164
test_product_5361784;product;5361784;EUKANUBA VDIET DERMATOSIS FP DOG 12x400G;Aliments;4.8
test_product_5461296;product;5461296;COMPLETE HAMSTER  500gr;Aliments;0.5
test_product_6350504;product;6350504;BIO PLUS 100GR;Frigo;0.14
test_product_5823675;product;5823675;METABOLIC TREATS COUNTER DISPLAY;Aliments;3
test_product_7735027;product;7735027;ETHER 1L;Medicaments;0.77
test_product_49478;product;49478;ISOBETADINE BUCCALE 200ml;Medicaments;0.36
test_product_2582823;product;2582823;ANARTHRON 100MG/ML 10ml;Frigo;0.01
test_product_2152445;product;2152445;HY 50 VET 3ml;Frigo;0.04
test_product_6991434;product;6991434;COLICILLINE 100ML;Medicaments;0.1
test_product_6780401;product;6780401;DUPLOCILLINE SUSP INJ 100ML;Frigo;0.1
test_product_6837354;product;6837354;AVIFFA RTI 10x1000d;Frigo;1
test_product_6760723;product;6760723;SYNULOX IM 24 TUBES;Medicaments;0.49
test_product_6989408;product;6989408;PENIJECTYL 100ml;Medicaments;0.1
test_product_6989414;product;6989414;PENIJECTYL 250ML;Medicaments;0.25
test_product_6706008;product;6706008;SHOTAPEN 250ML;Frigo;0.25
test_product_6968518;product;6968518;CHORULON 5 FLACONS /5 SOLVANTS (cascade);Frigo;0.1
test_product_6824498;product;6824498;MULTIBIO SUSP INJ 100ml;Medicaments;0.1
test_product_8110656;product;8110656;ARA 3000 ALPHA 6x5ML;Frigo;0.04
test_product_6771773;product;6771773;ARA 3000 ALPHA CHIEN 30 SERINGUES 5ml;Medicaments;0
test_product_6980956;product;6980956;ARA 3000 BETA CHIEN 30 SERINGUES  2ml;Medicaments;0
test_product_6980979;product;6980979;ARA 3000 BETA CHIEN 30 SERINGUES  5ml;Medicaments;0.37
test_product_6980985;product;6980985;ARA 3000 BETA CHIEN 30 SERINGUES 10ml;Medicaments;0.65
test_product_6763704;product;6763704;ARA ARTHRITE VEAU 10 SACHETS 6x5ML;Frigo;0
test_product_8110610;product;8110610;ARA ARTHRITE VEAU 6x5ML;Frigo;0
test_product_6975116;product;6975116;SERUM ANTITETANIQUE 300 5ml;Frigo;0.02
test_product_6819273;product;6819273;SERUM TRIVALENT EQUIN 10ml;Frigo;0.03
test_product_6980689;product;6980689;DERMAFLON SOLUTION 100ml;Medicaments;0
test_product_6908657;product;6908657;IMOCOLIBOV MEGA 50ml;Frigo;0.05
test_product_9512048;product;9512048;INSOL TRICHOPHYTON 100ML;Frigo;0.1
test_product_5055127;product;5055127;INSOL DERMATOPHYTON 2ML;Frigo;0
test_product_6826681;product;6826681;SALMOPAST MEGA 50ml;Frigo;0.11
test_product_6869176;product;6869176;TASVAX 8 50ML;Frigo;0.05
test_product_6869182;product;6869182;TASVAX 8 SOL INJ 200ml;Frigo;0
test_product_6984954;product;6984954;ECTHYBEL 25doses;Frigo;0
test_product_6977322;product;6977322;LANDAVAX 1000d 500ml;Frigo;0
test_product_6786533;product;6786533;BOVILIS RINGVAC 40ml;Frigo;0.04
test_product_6903200;product;6903200;CASTOREX 20ml 40d;Frigo;0.02
test_product_6799613;product;6799613;COLOMBOVAC PMV/POX 50D (cascade);Frigo;0.06
test_product_6713592;product;6713592;CUNICAL LAPIN  5ml 10D;Frigo;0.02
test_product_6765548;product;6765548;DERCUNIMIX 1x10d;Frigo;0.02
test_product_6771098;product;6771098;DERVAXIMYXO SG 33 40D;Frigo;0
test_product_8105508;product;8105508;DIFTOSEC 10x1000d;Frigo;0
test_product_6741737;product;6741737;LAPIMUNE HVD 10d 10ml;Frigo;0.01
test_product_6781435;product;6781435;LAPINJECT 1x10d;Frigo;0.02
test_product_6781429;product;6781429;LAPINJECT 1x5d;Frigo;0
test_product_6828556;product;6828556;LYOMYXOVAX 1x10d;Frigo;0.02
test_product_6756911;product;6756911;MERILYM 1 valence 1dose;Frigo;0.01
test_product_6777356;product;6777356;NOBILIS ERYSIPELAS SUSP INJ 1x500d;Frigo;0
test_product_6778835;product;6778835;OVILIS CHLAMYDIA 1x20d;Frigo;0
test_product_6891721;product;6891721;OVILIS PASTOVAX SUSP INJ 50d 100ml;Frigo;0
test_product_6954692;product;6954692;PALMIVAX 500d;Frigo;0
test_product_6775854;product;6775854;PARVOKAN 1x500d;Frigo;0
test_product_6791675;product;6791675;PIRODOG 1 dose;Frigo;0.02
test_product_8105218;product;8105218;SPIROVAC LEPTO 1x25d;Frigo;0
test_product_6760628;product;6760628;TRIVACTON 10x5ML;Frigo;0.05
test_product_6729021;product;6729021;TRIVACTON 6 50ml (1x10d);Frigo;0.11
test_product_6954350;product;6954350;VAXIDUK 1x500d;Frigo;0
test_product_6725224;product;6725224;CUNICAL LAPIN 25ml 50D;Frigo;0.03
test_product_5801748;product;5801748;HIPRAVIAR AP 100d;Frigo;0
test_product_5043400;product;5043400;OVIPAST 100ml;Frigo;0.2
test_product_5043401;product;5043401;OVIPAST 500ml;Frigo;0.6
test_product_6789537;product;6789537;PNEUMEQUINE 10x1d;Frigo;0
test_product_5749000;product;5749000;ZYLEXIS 5x2ml;Frigo;0
test_product_5741500;product;5741500;DIFTOVAC 1x50d;Frigo;0
test_product_5512036;product;5512036;ZOOSAL T 20 doses 10ml;Frigo;0.01
test_product_5512034;product;5512034;ZOOSAL T 50 doses 25ml;Frigo;0
test_product_5512004;product;5512004;ZYLEXIS 10x1ml;Frigo;0
test_product_5427500;product;5427500;PHARMAVAC COLUMBI 2 50d 15ml;Frigo;0
test_product_6741714;product;6741714;COGLAMUNE 50ml;Frigo;0.05
test_product_6789827;product;6789827;COGLAVAX 250ml;Frigo;0.25
test_product_1388750;product;1388750;CODIVIT BECK3 5L;Medicaments;0
test_product_2836336;product;2836336;KAMINOX 60ML;Medicaments;0.09
test_product_7764053;product;7764053;EQUI PROTECT 5X15GR;Frigo;0
test_product_3041803;product;3041803;OROZYME RF2 STICKS LARGE 2x14 STICKS;Aliments;0
test_product_3041829;product;3041829;OROZYME RF2 STICKS MEDIUM 2x14 STICKS;Aliments;0
test_product_3041811;product;3041811;OROZYME RF2 STICKS SMALL 2x14 STICKS;Aliments;2.34
test_product_7764003;product;7764003;PROTECT PLUS 5X15GR;Frigo;0
test_product_7764027;product;7764027;TONICA 100ML;Medicaments;0
test_product_6600839;product;6600839;SELEVIT E 1,5KG;Medicaments;1.65
test_product_6600817;product;6600817;PUPPYLAC 450GR;Medicaments;0.6
test_product_1662865;product;1662865;COLOSTRIVAL H12 SACHET 73GR;Medicaments;0.08
test_product_2198448;product;2198448;DOGIMMUN SERINGUE 15ML;Frigo;0.05
test_product_1399534;product;1399534;FERMENTS LACTIQUES 1,4KG PRODIVET;Medicaments;1.43
test_product_1203108;product;1203108;FERMENTS LACTIQUES 250GR PRODIVET;Medicaments;0.31
test_product_5197000;product;5197000;HEPATEX 500ml;Medicaments;0.5
test_product_8259830;product;8259830;PORCIFAP 10L;Medicaments;0
test_product_5512010;product;5512010;PRIMEVAL OMEGA 3-6-9 CHIEN 500ml;Frigo;0.57
test_product_6350563;product;6350563;VOLOSTRUM CALF 450GR;Medicaments;0.57
test_product_9512033;product;9512033;VT PHAK SIROP 50ML;Medicaments;0.1
test_product_6350568;product;6350568;VOLOSTRUM AGNEAU CHEV 10X50G;Medicaments;0
test_product_5192027;product;5192027;IMMUNOFOAL 300ml AUDEVARD;Frigo;0.75
test_product_2975837;product;2975837;TROVET VMS CHIEN/CHAT 250GR;Aliments;1.02
test_product_6350501;product;6350501;P3 CIDE PLUS 20L;Medicaments;
test_product_6600899;product;6600899;FLOGIMINT 400ML;Medicaments;0.45
test_product_2565554;product;2565554;DEXA 0,2% 100ML SOL KELA;Medicaments;0.1
test_product_8270120;product;8270120;PREDNISOLONE 1% 100ML SOL VMD;Medicaments;0.2
test_product_2797249;product;2797249;PREDNISOLONE 2,5%  50ML VMD;Medicaments;0.11
test_product_2503845;product;2503845;LEVENTA 30ml;Frigo;0.09
test_product_1451843;product;1451843;CANINSULIN  40UI/ML  10X2,5ML;Frigo;0.1
test_product_3157617;product;3157617;CANINSULIN 1x10ml;Frigo;0.1
test_product_8270102;product;8270102;COLISTINE SULF INJ 40ML;Medicaments;0.1
test_product_136465;product;136465;ETOSOL SE 100 ML;Medicaments;0.21
test_product_97576;product;97576;VITAMINE AD3E 100ML VMD;Medicaments;0.2
test_product_1013168;product;1013168;DUPHAFRAL ADE  FORTE 50ML;Medicaments;0.11
test_product_491357;product;491357;PROCAINE 4% + ADREN 250ml KELA;Medicaments;0.43
test_product_8270063;product;8270063;PROCAINE 4% + ADREN 250ml VMD;Medicaments;0.41
test_product_8270208;product;8270208;PROCAINE 4% 250ml VMD SANS ADRENALINE;Medicaments;0.42
test_product_815761;product;815761;LIGNOCAINE 2% + ADR 100ML;Medicaments;0.2
test_product_64725;product;64725;OTOSPECTRINE 15ML;Medicaments;0.04
test_product_2251858;product;2251858;PUREVAX RCP FELV 10x1D;Medicaments;
test_product_2736072;product;2736072;TROVET GHF COBAYE 2,5KG;Aliments;2.5
test_product_2736080;product;2736080;TROVET GHF COBAYE 275GR;Aliments;0.28
test_product_2975803;product;2975803;TROVET RHF LAPIN 10KG;Aliments;2.4
test_product_2736064;product;2736064;TROVET RHF LAPIN 275GR/;Aliments;0.28
test_product_3297736;product;3297736;TROVET RHF LAPIN 5KG;Aliments;5
test_product_2736106;product;2736106;TROVET RSH RECOVERY SMALL HERBIVORES 20G;Aliments;0.02
test_product_8458313;product;8458313;FOIN DE CRAU LAPIN/RONGEUR 400gr;Aliments;0.4
test_product_8105276;product;8105276;FOIN TIMOTHY RONGEUR 1KG;Aliments;1
test_product_8458336;product;8458336;FOIN DE CRAU LAPIN/RONGEUR 700gr;Aliments;0.7
test_product_8454108;product;8454108;LAPIN EXTRUDE RONGIS 1KG;Aliments;1
test_product_5461251;product;5461251;COMPLETE CAVIA COBAYE  500gr;Aliments;0.5
test_product_5461312;product;5461312;COMPLETE CAVIA COBAYE 1,75KG;Aliments;1.75
test_product_5611296;product;5611296;LAPIN CRISPY MUESLI RABBITS 20KG;Aliments;20
test_product_5461313;product;5461313;COMPLETE CHINCHILLA 1,75KG;Aliments;1.75
test_product_5461317;product;5461317;COMPLETE FERRET FURET 2,5KG;Aliments;2.5
test_product_5461301;product;5461301;COMPLETE FERRET FURET 10KG;Aliments;10
test_product_5461255;product;5461255;COMPLETE CHINCHILLA  500gr;Aliments;0.5
test_product_5461316;product;5461316;COMPLETE FERRET FURET 750GR;Aliments;0.75
test_product_5461250;product;5461250;COMPLETE CUNI LAPIN  500gr;Aliments;0.5
test_product_8080932;product;8080932;COBAYE CAVIA NATURE 750gr;Aliments;0.75
test_product_5461328;product;5461328;COMPLETE CUNI LAPIN 1,75KG;Aliments;1.75
test_product_5461294;product;5461294;COMPLETE CAVIA COBAYE 8KG;Aliments;8
test_product_5461295;product;5461295;COMPLETE CHINCHILLA 8KG;Aliments;8
test_product_5461293;product;5461293;COMPLETE CUNI LAPIN 8KG;Aliments;8
test_product_5461297;product;5461297;COMPLETE HAMSTER 10KG;Aliments;10
test_product_8457130;product;8457130;HAMSTER EXTRUDE RONGIS 450gr;Aliments;0
test_product_5451003;product;5451003;CUNI TOP PLUS 20KG;Aliments;20
test_product_5422014;product;5422014;NUTRIBIRD A19 3KG;Aliments;3
test_product_5422068;product;5422068;NUTRIBIRD B18 4KG;Aliments;4
test_product_5422034;product;5422034;NUTRIBIRD C19 5KG;Aliments;5
test_product_5422087;product;5422087;NUTRIBIRD F16 10KG;Aliments;10
test_product_5259501;product;5259501;NUTRIBIRD G14 ORIGINAL 10KG;Aliments;10
test_product_1445956;product;1445956;NUTRIBIRD P15 ORIGINAL 10KG;Aliments;10
test_product_1445964;product;1445964;NUTRIBIRD P15 ORIGINAL 4KG;Aliments;4.34
test_product_5422062;product;5422062;NUTRIBIRD UNI KOMPLET 1KG;Aliments;1
test_product_1445931;product;1445931;NUTRIBIRD A21 800gr;Aliments;0.8
test_product_5422026;product;5422026;NUTRIBIRD G14 TROPICAL 5x1KG;Aliments;5
test_product_5259500;product;5259500;NUTRIBIRD G18 ORIGINAL 10KG;Aliments;10
test_product_5422036;product;5422036;NUTRIBIRD P15 TROPICAL 5x1KG;Aliments;5
test_product_5424049;product;5424049;LORI ORLUX 3KG;Aliments;3
test_product_5424154;product;5424154;ORLUX PATEE INSECTIVORE 10KG;Aliments;10
test_product_5424136;product;5424136;ORLUX PATEE OEUFS GRANDE PERRUCHE 4x4KG;Aliments;16
test_product_1202403;product;1202403;SUPREME SCIENCE DEGOE OCTODON 5x350gr;Aliments;1.75
test_product_1202405;product;1202405;SUPREME SCIENCE SOURIS 5x350GR;Aliments;1.75
test_product_2017545;product;2017545;SUPREME SCIENCE COBAYE 1,5KG;Aliments;1.5
test_product_1200585;product;1200585;SUPREME SCIENCE CHINCHILLA 1,5KG;Aliments;2
test_product_1201088;product;1201088;SUPREME SCIENCE CHINCHILLA 5x350GR;Aliments;1.75
test_product_1200583;product;1200583;SUPREME SCIENCE COBAYE 10KG;Aliments;10
test_product_1201092;product;1201092;SUPREME SCIENCE COBAYE 5x350GR;Aliments;1.75
test_product_1201091;product;1201091;SUPREME SCIENCE FURET 2KG;Aliments;2
test_product_1201090;product;1201090;SUPREME SCIENCE FURET 5x350GR;Aliments;2.19
test_product_1202404;product;1202404;SUPREME SCIENCE HAMSTER 5x350GR;Aliments;1.75
