id,ref,name,street,zip,city,phone,fax,email,vat,delivery_lead_time,customer,supplier,alcyon_category_id/id,category_id/id,country_id/id,lang,is_purchase_back_order_accepted,supplier_discount,mobile,property_account_position_id/id,property_supplier_payment_term_id/id,supplier_payment_mode_id/id
__import__.supplier_79000,79000,ALCYON SITE ARRAS MATERIEL.,Boulevard Jules César BP3,62051,ST LAURENT BLANGY CEDEX,0033321246563,0033321242934,,FR05409166691,5,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,0,,__setup__.fiscal_position_intra,__setup__.account_payment_term_f5,__setup__.account_payment_mode_out_sep
__import__.supplier_78650,78650,ROYAL CANIN  *,Kleine Kloosterstraat 8,1932,Zaventem,02/4215337,080095124,,BE0418907861,9,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_d10,__setup__.account_payment_mode_out_man
__import__.supplier_77602,77602,VETOQUINOL,KONTICHSESTEENWEG 42,2630,AARTSELAAR,03/8774434,038774438,,BE0403086072,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,13.10,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_77603,77603,PRODIVET PHARMACEUTICALS SA,Hagbenden 39C,4731,EYNATTEN,087/852025,087866820,,,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,13.10,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_77640,77640,PHYTOVET ANIMAL HEALTH,Leuvensebaan 164,2580,PUTTE,015/753347,015760905,,BE0464339493,7,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_immediate,__setup__.account_payment_mode_out_sep
__import__.supplier_79100,79100,CEVA,Avenue de la Métrologie 6,1130,HAREN,02/2441296,,,BE0418894795,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,13.10,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_79200,79200,SMI SA,Steinerberg 8,4780,ST-VITH,080/227292,080226918 *,,BE0432408182,7,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_79201,79201,ZOETIS BELGIUM,Mercuriusstraat 20,1930,ZAVENTEM,02/7468270,027468853,,BE0401953350,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_d14,__setup__.account_payment_mode_out_man
__import__.supplier_79245,79245,SMITH & NEPHEW,Hector Henneaulaan 366,1930,ZAVENTEM,02/7022911,,,BE0474619911,7,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_79600,79600,TERUMO EUROPE,Interleuvenlaan 15/A,3001,LOUVAIN,016/392880,016/392599,,BE0408270327,0,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_f120,__setup__.account_payment_mode_out_man
__import__.supplier_80300,80300,3M BELGIUM,Hermeslaan 7,1831,DIEGEM,02/7225133,027225022 *,,,4,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_81200,81200,VIRBAC BELGIUM    *,Esperantolaan 4,3001,LEUVEN,016/387260,016387261,order@virbac.be,BE0453392252,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,13.10,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_82595,82595,VERSELE-LAGA  *,Kapellestraat 70,9800,DEINZE,09/3813200,093816882,,,3,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_d10,__setup__.account_payment_mode_out_man
__import__.supplier_82701,82701,V.M.D.   *,HOGE MAUW 900,2370,ARENDONK,014/672051,014672152,,BE0413622648,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_d60,__setup__.account_payment_mode_out_man
__import__.supplier_83300,83300,KELA VETERINARIA   *,Industriepark West 68,9100,SINT NIKLAAS,03/7806390,037806391,,BE0412402527,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,13.10,,__setup__.fiscal_position_nat,__setup__.account_payment_term_d5,__setup__.account_payment_mode_out_man
__import__.supplier_95150,95150,DIVERS,Rue Le Marais 17,4530,VILLERS-LE-BOUILLET,04/338 34 90,043383479,,BE0421801233,0,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_62900,62900,BECTON DICKINSON BENELUX,POB13 - Erembodegem-Dorp 86,9320,EREMBODEGEM-AALST,053/720211,053720549 *,order@europe.bd.com,BE0400292967,10,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_15days,__setup__.account_payment_mode_out_sep
__import__.supplier_63195,63195,ALPHA REPARTITION,Rue de Mulhouse 2,4020,LIEGE,09/2809040,043492229,,,1,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_15days,__setup__.account_payment_mode_out_sep
__import__.supplier_79152,79152,SCIL ANIMAL CARE COMPANY,Rue Jacqueline Auriol 3,67120,ALTORF,0033390201640,0033390201645 *,Stephane.Garcia@scilvet.com,FR23420248171,3,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,0,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_61800,61800,NESTLE PURINA PET CARE,Rue de Birmingham 221,1070,BRUXELLES,02/529.55.72,025295684,,BE0402231383,6,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_82670,82670,VEXO,"Aulnoit, 80",7890,ELLEZELLES,,068543136,info@vexo.be,BE0874668992,5,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,0495/533546,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_79105,79105,SCS BOEHRINGER INGELHEIM COMM.,ZI de Petit Rechain,4800,VERVIERS,02/7733331,027733329,,BE0435953632,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_f15,__setup__.account_payment_mode_out_man
__import__.supplier_81201,81201,VIRBAC BELGIUM ALIMENTS   *,Esperantolaan 4,3001,LEUVEN,016/387260,016387261,order@virbac.be,BE0453392252,7,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_60425,60425,AGORA SANA SCRL,Rue Porte à Camp 10-12,7971,BASECLES,069/773854,069224028,commandes@agorasana.be,,3,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_77340,77340,PHARMA SANTE OFFICINE 31,Rue des Ecoliers 138,4100,SERAING,04/3371774,043301427,officine31@pharmasante.be,BE0475346619,1,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_73660,73660,PHARMACIE LELEUX,Rue Massau 32,4860,PEPINSTER,087/460235,087463362,,,1,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_60422,60422,DECHRA VETERINARY PRODUCTS *,Achterstenhoek 48,2275,LILLE,014/443670,014443679,,BE0408216679,7,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_d5,__setup__.account_payment_mode_out_man
__import__.supplier_61593,61593,"ANDOVER HEALTHCARE,INC",FANARAS DRIVE 9,MA01952,SALISBURY,0019784650044,0019784620003,,,30,False,True,specific_partner.partner_category_supplier,,base.us,fr_BE,True,0,,__setup__.fiscal_position_extra,account.account_payment_term_immediate,__setup__.account_payment_mode_out_man
__import__.supplier_61920,61920,AUDEVARD S.A.S,Rue Mederic 42/46,92110,CLICHY,0033/147563826,0033147563839,,FR19317002178,7,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,0,,__setup__.fiscal_position_intra,__setup__.account_payment_term_f30,__setup__.account_payment_mode_out_sep
__import__.supplier_74500,74500,MP LABO,Bd Marcel Pagnol 45,06130,GRASSE,0033493098579,043629654,mp-labo@wanadoo.fr,FR38343262671,10,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,0,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_77316,77316,KRUUSE,Havretoften 4,5550,LANGESKOV,004572141516,004572141500*,export@kruuse.com,DK37581968,15,False,True,specific_partner.partner_category_supplier,,base.dk,fr_BE,True,0,,__setup__.fiscal_position_intra,__setup__.account_payment_term_d45,__setup__.account_payment_mode_out_sep
__import__.supplier_77614,77614,POLYSEM SAS,Rue Jean Moulin,78120,RAMBOUILLET,0033/233346439,0033233341198*,,FR19639804889,42,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,0,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_79101,79101,CEVA FRANCE,Z.I de la Ballastière B.P 126,33501,LIBOURNE CEDEX,0033557554040,0033557554198,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,0,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_64275,64275,DOPHARMA VETERINAIRE FARMACA,Postbus 205,4940AE,RAAMSDONKSVEER,0031/162582000,0031162582025,,NL001327641B01,3,False,True,specific_partner.partner_category_supplier,,base.nl,fr_BE,True,0,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_76105,76105,OBIONE,La Valette,69220,CHARENTAY,0033373720450,,,FR16508328275,7,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,0,,__setup__.fiscal_position_intra,__setup__.account_payment_term_f30,__setup__.account_payment_mode_out_sep
__import__.supplier_79001,79001,ALCYON SITE ARRAS MEDICAMENTS,Boulevard Jules César BP3,62051,ST LAURENT BLANGY CEDEX,0033321246563,0033321242934,,FR05409166691,3,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,0,,__setup__.fiscal_position_intra,__setup__.account_payment_term_f5,__setup__.account_payment_mode_out_sep
__import__.supplier_74158,74158,MEDICAL PROMOTION,Av.Bourgmestre J.Neybergh 41/7,1090,BRUXELLES,02/4259211,024259945,,BE0411580797,15,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_74312,74312,MILLPLEDGE MATERIEL,Verrekijker 38,8750,WINGENE,051/703021,051568271*,,,3,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_61645,61645,ASP INTERNATIONAL,Herentalsesteenweg 54,2270,HERENTHOUT,015/249846,015245458,info@asp-international.be,,3,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,17.50,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_73657,73657,LAROY-DUVO,Industrieweg 98-100,9032,WONDELGEM,09/2571335,092581288,info@laroyduvo.be,BE0423800819,6,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_74320,74320,MILOA,"Résidence du Bois Madame, 7",4130,ESNEUX,,043552941,info@miloa.be,BE0833813483,0,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,,0476/993132,__setup__.fiscal_position_nat,__setup__.account_payment_term_cr,__setup__.account_payment_mode_out_man
__import__.supplier_79003,79003,ALCYON ITALIA,Via Marconi 115,12030,MARENE(CN),00390172743111,00390172743678*,,IT02241700042,21,False,True,specific_partner.partner_category_supplier,,base.it,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_62779,62779,B.BRAUN VET CARE GMBH,Am Aesculap Platz,78532,TUTTLINGEN,00497461952329,0049746171512*,yasmin.wiech@aesculap.de,DE206695205,15,False,True,specific_partner.partner_category_supplier,,base.de,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_61582,61582,ALANINE LABORATORY,Route de Wallonie 138 boîte 1,7011,GHLIN,065/450560,065450564,info@alanine.be,BE0426265015,1,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_68370,68370,HENKE SASS WOLF GMBH,KELTENSTRASSE 1,78532,TUTTLINGEN,0049746294660,,,DE142927433,42,False,True,specific_partner.partner_category_supplier,,base.de,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_62685,62685,BIOVETA A.S,Komenskeho 212,683 23,IVANOVICE NA HANE,420/517318599,420517363294,,CZ25304046,15,False,True,specific_partner.partner_category_supplier,,base.cz,fr_BE,True,,,__setup__.fiscal_position_extra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_67475,67475,EUKANUBA,,,,,,,,15,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,,,__setup__.fiscal_position_nat,account.account_payment_term_immediate,__setup__.account_payment_mode_out_man
__import__.supplier_77666,77666,PHARMACIE DU SOUVERAIN,Boulevard du Souverain 264,1160,BRUXELLES(AUDERGHEM),02/6728249,,orders.alcyon@pharmaciesouverain.be,BE0885751837,15,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_83311,83311,KRKA BELGIUM,Avenue Louise 221t 75,1020,BRUXELLES,03/7805318,,isabelle.de-smet@krka.biz,BE0508714223,15,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_67588,67588,GROVET,Otto Hahnweg 24,3542 AX,UTRECHT,0031/302479100,0031302411350,,NL853589239B01,15,False,True,specific_partner.partner_category_supplier,,base.nl,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_77800,77800,VETOQUINOL FRANCE,Rue des Jeûneurs 31,75002,PARIS,,,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_74215,74215,MEDTRONIC,Av.du Bourgmestre E.Demunter 5,1090,BRUXELLES,02/4560999,024606963*,customer.be@medtronic.com,BE0415262839,15,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_83322,83322,KERBL FRANCE SARL,Rue H. Rouby 3 BP 46 ZI SOULTZ,68501,GUEBWILLER CEDEX,0033/389621500,0033389830446*,YB@kerbl-france.com,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_62681,62681,BIOLUZ,,,,,,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_62683,62683,BIOVE,,,,,,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_63602,63602,CALIER,,,,,,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_66168,66168,ELANCO EUROPE,,,,,,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_71205,71205,INTERVET FRANCE,,,,,,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_74313,74313,MERIAL SAS FRANCE,,,,,,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_79645,79645,VETO PHARMA,,,,,,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_79642,79642,TVM,,,,,,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_95012,95012,ZOETIS FRANCE,,,,,,,,15,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_77690,77690,PROPHAC SARL,BP 2063,L-1020,LUXEMBOURG,003524824821,00352482482482,contact@prophac.lu,LU11714218,4,False,True,specific_partner.partner_category_supplier,,base.lu,fr_BE,True,,,__setup__.fiscal_position_intra,__setup__.account_payment_term_f30,__setup__.account_payment_mode_out_sep
__import__.supplier_62758,62758,BOEHRINGER INGELHEIM A.H BELG.,Avenue Ariane 16,1200,BRUXELLES,02/7733331,027733329,orders@boehringer-ingelheim.com,DE313150497,2,False,True,specific_partner.partner_category_supplier,,base.de,fr_BE,True,,,__setup__.fiscal_position_intra,__setup__.account_payment_term_d14,__setup__.account_payment_mode_out_sep
