id,width,depth,length,weight
__import__.product_1180071,26.00,11.00,31.00,3.00
__import__.product_1180083,0,0,0,3.00
__import__.product_1200584,0,0,0,2.00
__import__.product_1202406,0,0,0,2.00
__import__.product_1202408,26.00,9.00,34.00,2.00
__import__.product_1202852,5.20,9.80,5.20,0.20
__import__.product_1205186,0,0,0,0.50
__import__.product_1227271,10.30,4.70,12.70,0.10
__import__.product_1230062,19.00,8.50,25.00,1.50
__import__.product_1232002,0,0,0,1.00
__import__.product_1232203,17.00,7.00,21.00,1.00
__import__.product_1232322,0,0,0,18.00
__import__.product_1232511,0,0,0,3.00
__import__.product_1234002,0,0,0,1.00
__import__.product_1234051,0,0,0,1.00
__import__.product_1234052,24.00,12.00,32.00,4.00
__import__.product_1234321,0,0,0,18.00
__import__.product_1234404,24.00,12.00,32.00,4.00
__import__.product_1234410,39.00,12.00,65.00,10.00
__import__.product_1237092,0,0,0,15.00
__import__.product_1237532,0,0,0,18.00
__import__.product_1238069,0,0,0,1.50
__import__.product_1238081,0,0,0,0.50
__import__.product_1238082,0,0,0,1.50
__import__.product_1238089,0,0,0,1.50
__import__.product_1238090,0,0,0,3.00
__import__.product_1238096,0,0,0,3.00
__import__.product_1239078,0,0,0,0.50
__import__.product_1239081,0,0,0,3.00
__import__.product_1239083,0,0,0,14.00
__import__.product_1239093,0,0,0,14.00
__import__.product_1239333,26.00,11.00,31.00,3.00
__import__.product_1239353,0,0,0,3.00
__import__.product_1239361,0,0,0,3.00
__import__.product_1239363,0,0,0,14.00
__import__.product_1239370,0,0,0,3.00
__import__.product_1239381,0,0,0,3.00
__import__.product_1239391,0,0,0,3.00
__import__.product_1239401,0,0,0,3.00
__import__.product_1239412,0,0,0,1.50
__import__.product_1239451,0,0,0,1.00
__import__.product_1239472,0,0,0,12.00
__import__.product_1239492,0,0,0,14.00
__import__.product_1239580,0,0,0,1.50
__import__.product_1239586,0,0,0,15.00
__import__.product_1246776,10.10,20.90,10.10,1.40
__import__.product_1250802,19.00,10.00,28.00,2.00
__import__.product_1250840,0,0,0,10.00
__import__.product_1250862,19.00,10.00,28.00,2.00
__import__.product_1250864,24.00,12.00,32.00,4.00
__import__.product_1250901,0,0,0,0.50
__import__.product_1250931,0,0,0,2.00
__import__.product_1250932,0,0,0,10.00
__import__.product_1250937,0,0,0,2.00
__import__.product_1251004,26.20,12.00,30.10,4.00
__import__.product_1288125,8.50,8.20,10.90,0.10
__import__.product_1300334,7.10,14.80,7.10,0.49
__import__.product_1302264,5.60,10.50,5.60,0.20
__import__.product_1305119,11.60,12.10,11.60,1.00
__import__.product_1306200,36.30,9.80,57.00,7.50
__import__.product_1335200,20.00,9.00,24.00,3.00
__import__.product_1338995,4.30,7.50,4.30,0.10
__import__.product_1354331,6.20,23.50,12.20,0.60
__import__.product_1360004,40.10,13.80,59.90,10.00
__import__.product_1388164,0,0,0,1.50
__import__.product_1388545,5.20,9.80,5.20,0.20
__import__.product_1388610,5.20,9.80,5.20,0.20
__import__.product_1388636,7.70,18.30,7.70,0.80
__import__.product_1388768,5.20,9.70,5.20,0.20
__import__.product_1399492,4.50,20.20,8.30,0.30
__import__.product_1406511,22.50,15.40,27.50,5.10
__import__.product_1409564,2.90,8.50,2.90,0.05
__import__.product_1417963,26.90,25.20,26.90,5.40
__import__.product_1466804,5.00,15.90,5.00,0.20
__import__.product_1499086,29.00,9.00,37.00,3.00
__import__.product_1505000,10.00,9.20,15.50,0.50
__import__.product_1513613,10.80,0.80,12.80,0.03
__import__.product_1531078,8.30,2.80,14.70,0.10
__import__.product_1616040,39.60,34.50,57.00,9.80
__import__.product_1616333,0,0,0,2.00
__import__.product_1654144,5.20,9.80,5.20,0.20
__import__.product_1740224,7.50,21.50,7.50,0.60
__import__.product_1806140,0,0,0,0.10
__import__.product_1808740,0,0,0,0.20
__import__.product_1809860,0,0,0,4.00
__import__.product_1812580,0,0,0,0.20
__import__.product_1815910,0,0,0,0.10
__import__.product_1816970,0,0,0,0.10
__import__.product_1819070,0,0,0,0.20
__import__.product_1821820,0,0,0,0.40
__import__.product_1823170,0,0,0,0.20
__import__.product_1823210,0,0,0,0.50
__import__.product_2006228,0,0,0,0.10
__import__.product_2023772,0,0,0,3.00
__import__.product_2029329,0,0,0,0.40
__import__.product_2029330,0,0,0,0.40
__import__.product_2051403,0,0,0,0.50
__import__.product_2056852,3.90,2.80,22.50,0.04
__import__.product_2097529,5.40,11.60,5.40,0.50
__import__.product_2098572,0,0,0,0.10
__import__.product_2100527,0,0,0,1.00
__import__.product_2112500,22.60,11.10,30.60,4.80
__import__.product_2115500,22.60,11.10,30.40,4.80
__import__.product_2150132,0,0,0,16.50
__import__.product_2150843,0,0,0,16.50
__import__.product_2152424,0,0,0,6.40
__import__.product_2152592,20.00,9.00,24.00,3.00
__import__.product_2152595,0,0,0,7.50
__import__.product_2152746,36.30,8.00,57.00,7.50
__import__.product_2152849,0,0,0,6.40
__import__.product_2152863,36.00,8.00,55.00,7.50
__import__.product_2152866,20.00,9.00,24.00,3.00
__import__.product_2158676,0,0,0,1.00
__import__.product_2158677,0,0,0,1.00
__import__.product_2211001,0,0,0,0.10
__import__.product_2220937,6.90,8.40,7.10,0.10
__import__.product_2228070,5.30,8.80,5.30,0.07
__import__.product_2241412,18.20,2.30,19.10,0.60
__import__.product_2262111,6.00,11.00,6.00,0.10
__import__.product_2266104,12.30,9.70,15.70,0.44
__import__.product_2282300,16.50,23.00,28.80,0.90
__import__.product_2288967,0,0,0,1.00
__import__.product_2289056,0,0,0,1.00
__import__.product_2289239,0,0,0,1.00
__import__.product_2289254,0,0,0,1.00
__import__.product_2319036,5.40,9.40,9.90,0.14
__import__.product_2320604,13.40,6.20,15.20,0.60
__import__.product_2329597,9.80,5.60,10.40,0.10
__import__.product_2374437,40.40,13.30,72.70,15.00
__import__.product_2378032,13.10,2.50,14.50,0.05
__import__.product_2378057,13.20,2.50,14.40,0.05
__import__.product_2378073,13.20,2.00,14.30,0.06
__import__.product_2378099,13.20,2.50,14.50,0.06
__import__.product_2378107,13.20,3.30,14.50,0.10
__import__.product_2378131,13.20,2.50,14.40,0.04
__import__.product_2379717,0,0,0,1.00
__import__.product_2385987,8.20,16.00,24.50,0.33
__import__.product_2408789,5.00,18.50,5.00,0.20
__import__.product_2413409,0,0,0,0.01
__import__.product_2440469,5.90,15.50,9.70,0.21
__import__.product_2440477,5.30,11.60,7.10,0.05
__import__.product_2441657,0,0,0,1.00
__import__.product_2458107,5.60,14.20,5.60,0.30
__import__.product_2484699,0,0,0,0.10
__import__.product_2488641,0,0,0,0.80
__import__.product_2488732,7.90,12.10,17.10,0.29
__import__.product_2488740,5.50,11.80,5.20,0.07
__import__.product_2488757,6.70,10.20,12.10,0.16
__import__.product_2496867,4.30,7.60,4.30,0.10
__import__.product_2506020,0,0,0,0.10
__import__.product_2511200,42.20,16.50,76.00,13.00
__import__.product_2511300,38.00,11.00,76.80,14.00
__import__.product_2511500,43.70,13.80,76.80,14.00
__import__.product_2511600,38.00,11.00,76.80,14.00
__import__.product_2511700,38.00,11.00,76.80,14.00
__import__.product_2511800,38.00,11.00,76.80,14.00
__import__.product_2537157,0,0,0,10.00
__import__.product_2540912,0,0,0,1.00
__import__.product_2549145,4.90,9.50,4.90,0.12
__import__.product_2549517,5.00,16.40,5.00,0.14
__import__.product_2550457,0,0,0,0.30
__import__.product_2550531,0,0,0,0.50
__import__.product_2550580,0,0,0,1.50
__import__.product_2552206,0,0,0,0.40
__import__.product_2552610,4.90,14.40,5.00,0.14
__import__.product_2556496,0,0,0,0.50
__import__.product_2556934,8.20,8.20,4.10,0.10
__import__.product_2582013,0,0,0,5.00
__import__.product_2586469,0,0,0,1.00
__import__.product_2591873,7.50,14.00,7.50,0.50
__import__.product_2597680,19.30,24.50,15.00,5.00
__import__.product_2598324,0,0,0,3.00
__import__.product_2612034,8.70,2.80,5.40,0.01
__import__.product_2612448,5.60,10.50,5.60,0.21
__import__.product_2633378,7.00,1.80,15.40,0.02
__import__.product_2634343,7.50,18.00,23.00,0.90
__import__.product_2659035,0,0,0,1.00
__import__.product_2660066,8.20,7.40,4.40,0.10
__import__.product_2660868,5.50,10.70,5.50,0.20
__import__.product_2676427,5.50,5.50,10.50,0.10
__import__.product_2696532,0,0,0,0.40
__import__.product_2704708,0,0,0,0.10
__import__.product_2708774,7.70,14.20,7.60,0.50
__import__.product_2710762,0,0,0,10.00
__import__.product_2717338,10.00,18.50,10.00,0.90
__import__.product_2719490,0,0,0,0.10
__import__.product_2720902,0,0,0,5.00
__import__.product_2725703,7.00,20.00,7.00,0.40
__import__.product_2730125,0,0,0,0.30
__import__.product_2732964,39.00,11.00,65.00,12.00
__import__.product_2739704,19.00,6.00,29.00,1.50
__import__.product_2740009,39.00,15.00,65.00,18.00
__import__.product_2762698,5.20,10.50,5.20,0.10
__import__.product_2763928,0,0,0,0.60
__import__.product_2764751,0,0,0,5.00
__import__.product_2769404,0,0,0,0.10
__import__.product_2769905,29.00,9.00,37.00,3.00
__import__.product_2778298,4.00,12.50,4.00,0.05
__import__.product_2788875,0,0,0,0.10
__import__.product_2797256,0,0,0,1.00
__import__.product_2799195,19.60,12.70,8.00,1.70
__import__.product_2805372,0,0,0,1.00
__import__.product_2811453,0,0,0,0.10
__import__.product_2836344,0,0,0,0.50
__import__.product_2836351,0,0,0,1.50
__import__.product_2836369,0,0,0,0.50
__import__.product_2836377,0,0,0,1.50
__import__.product_2836393,0,0,0,2.00
__import__.product_2837532,0,0,0,0.10
__import__.product_2859353,0,0,0,1.00
__import__.product_2870418,0,0,0,1.00
__import__.product_2885812,0,0,0,1.00
__import__.product_2901981,0,0,0,1.00
__import__.product_2909075,0,0,0,0.10
__import__.product_2951606,23.00,9.00,31.00,2.00
__import__.product_2965028,0,0,0,1.00
__import__.product_2975720,0,0,0,0.50
__import__.product_2975746,0,0,0,0.50
__import__.product_2975761,0,0,0,0.50
__import__.product_2975787,0,0,0,0.50
__import__.product_2975795,0,0,0,2.04
__import__.product_2975803,0,0,0,10.00
__import__.product_2975811,0,0,0,2.40
__import__.product_2975837,0,0,0,0.25
__import__.product_2975845,0,0,0,10.00
__import__.product_2976215,0,0,0,0.50
__import__.product_2977122,0,0,0,3.00
__import__.product_2977155,0,0,0,1.20
__import__.product_2977171,0,0,0,2.40
__import__.product_2977189,0,0,0,0
__import__.product_2977197,0,0,0,4.80
__import__.product_2977205,0,0,0,4.80
__import__.product_2977213,0,0,0,2.40
__import__.product_2977221,0,0,0,4.80
__import__.product_2977239,0,0,0,2.40
__import__.product_2977247,0,0,0,0.10
__import__.product_2977262,0,0,0,0.10
__import__.product_2977288,0,0,0,0.40
__import__.product_2977296,0,0,0,0.40
__import__.product_2977593,0,0,0,3.00
__import__.product_2977601,0,0,0,1.60
__import__.product_2977619,0,0,0,9.60
__import__.product_2977635,0,0,0,1.60
__import__.product_29776353,0,0,0,1.60
__import__.product_2977643,0,0,0,9.60
__import__.product_2977676,0,0,0,9.60
__import__.product_2977684,0,0,0,3.00
__import__.product_2977692,0,0,0,1.60
__import__.product_2977700,0,0,0,9.60
__import__.product_2977718,0,0,0,3.00
__import__.product_2977726,0,0,0,1.60
__import__.product_2977734,0,0,0,9.60
__import__.product_2977759,0,0,0,1.60
__import__.product_2977767,0,0,0,9.60
__import__.product_2977890,0,0,0,5.00
__import__.product_2977908,0,0,0,1.00
__import__.product_2978286,0,0,0,2.40
__import__.product_2978864,0,0,0,4.80
__import__.product_2994481,6.00,20.00,6.00,0.50
__import__.product_3002151,0,0,0,0.60
__import__.product_3002169,0,0,0,1.00
__import__.product_3013265,0,0,0,0.50
__import__.product_3023892,0,0,0,5.00
__import__.product_3051109,0,0,0,0.10
__import__.product_3054616,0,0,0,1.00
__import__.product_3054988,0,0,0,1.00
__import__.product_3057221,0,0,0,0.10
__import__.product_3060167,0,0,0,0.50
__import__.product_3060183,0,0,0,0.10
__import__.product_3071826,0,0,0,0.10
__import__.product_3073517,0,0,0,0.20
__import__.product_3090255,0,0,0,0.10
__import__.product_3090313,0,0,0,0.50
__import__.product_3090321,0,0,0,1.00
__import__.product_3090339,0,0,0,5.00
__import__.product_3090354,0,0,0,0.50
__import__.product_3090362,0,0,0,1.00
__import__.product_3114352,0,0,0,0.50
__import__.product_3130465,0,0,0,0.10
__import__.product_3137536,0,0,0,0.30
__import__.product_3143054,0,0,0,1.00
__import__.product_3148343,0,0,0,0.10
__import__.product_3156312,0,0,0,2.00
__import__.product_3157625,0,0,0,0.30
__import__.product_3157633,0,0,0,0.10
__import__.product_3175064,0,0,0,3.00
__import__.product_3175171,0,0,0,1.00
__import__.product_3198140,0,0,0,0.10
__import__.product_3212065,0,0,0,2.00
__import__.product_3212081,0,0,0,5.00
__import__.product_3213188,0,0,0,0.10
__import__.product_3241014,8.10,9.40,8.70,0.30
__import__.product_3241019,11.80,15.50,11.80,0.60
__import__.product_3241021,8.10,13.30,8.10,0.30
__import__.product_3246360,0,0,0,0.10
__import__.product_3260213,0,0,0,0.30
__import__.product_3271871,0,0,0,1.00
__import__.product_3287182,0,0,0,1.50
__import__.product_3287700,38.00,11.00,76.80,14.00
__import__.product_3288200,19.00,8.00,21.00,1.50
__import__.product_3304482,0,0,0,0.30
__import__.product_3304490,0,0,0,0.30
__import__.product_3304508,0,0,0,0.30
__import__.product_3308756,0,0,0,0.10
__import__.product_3309564,0,0,0,0.03
__import__.product_3309580,0,0,0,1.00
__import__.product_3319027,0,0,0,0.50
__import__.product_3319035,0,0,0,3.00
__import__.product_3319043,0,0,0,10.00
__import__.product_3327319,0,0,0,0.10
__import__.product_3344819,0,0,0,0.10
__import__.product_3355112,0,0,0,1.60
__import__.product_3375334,0,0,0,0.50
__import__.product_3410172,0,0,0,0.20
__import__.product_3418696,0,0,0,0.10
__import__.product_3419538,0,0,0,0.10
__import__.product_3419553,0,0,0,0.10
__import__.product_3424389,0,0,0,0.10
__import__.product_3424397,0,0,0,0.10
__import__.product_3433950,0,0,0,0.10
__import__.product_3433953,0,0,0,0.10
__import__.product_3501210,0,0,0,0.10
__import__.product_3531700,31.70,9.00,41.60,5.00
__import__.product_3532100,25.00,10.00,23.00,3.00
__import__.product_3532700,19.00,8.00,21.00,1.50
__import__.product_3532800,20.00,9.80,27.00,1.55
__import__.product_3541414,0,0,0,3.60
__import__.product_3553800,26.00,9.70,35.20,4.70
__import__.product_3554900,26.00,9.70,35.20,4.70
__import__.product_3573416,10.50,19.00,10.50,0.95
__import__.product_3600135,37.00,26.50,44.30,3.80
__import__.product_3620239,20.40,24.10,29.40,8.80
__import__.product_4006026,0,0,0,12.00
__import__.product_4007026,0,0,0,12.00
__import__.product_4007226,0,0,0,14.00
__import__.product_4160106,37.00,10.00,52.00,6.00
__import__.product_4160124,37.00,10.00,52.00,6.00
__import__.product_4175000,38.00,11.00,76.80,14.00
__import__.product_4241485,0,0,0,7.50
__import__.product_4241516,0,0,0,7.50
__import__.product_4290002,19.60,9.00,25.00,1.50
__import__.product_4290007,37.90,10.00,61.00,7.00
__import__.product_4290014,38.00,12.00,70.00,14.00
__import__.product_4290114,38.00,12.00,70.00,14.00
__import__.product_4290233,37.00,10.00,52.00,6.00
__import__.product_4332615,0,0,0,0
__import__.product_4337541,0,0,0,0
__import__.product_4391196,32.80,33.90,35.00,12.60
__import__.product_4455909,0,0,0,0.20
__import__.product_4456642,0,0,0,13.00
__import__.product_4476225,0,0,0,0.10
__import__.product_4494223,8.10,34.30,11.40,1.00
__import__.product_4500246,38.00,14.00,76.00,16.00
__import__.product_4500266,38.00,12.00,80.00,16.00
__import__.product_4500366,0,0,0,14.00
__import__.product_4518596,20.00,9.00,24.00,3.00
__import__.product_4518627,20.00,9.00,24.00,3.00
__import__.product_4527460,0,0,0,0
__import__.product_4545788,0,0,0,25.00
__import__.product_4550560,0,0,0,0
__import__.product_4610267,0,0,0,0
__import__.product_4634285,0,0,0,0
__import__.product_4741319,13.90,9.90,14.40,1.60
__import__.product_4790335,0,0,0,0
__import__.product_4841268,0,0,0,0.50
__import__.product_5001064,0,0,0,0
__import__.product_5001790,7.30,22.50,17.00,0.20
__import__.product_5002392,0,0,0,0
__import__.product_5006131,0,0,0,0
__import__.product_5006141,0,0,0,0
__import__.product_5006143,0,0,0,0
__import__.product_5006458,0,0,0,0
__import__.product_5007740,0,0,0,0.50
__import__.product_5010101,0,0,0,1.00
__import__.product_5010501,0,0,0,3.00
__import__.product_5010509,0,0,0,9.00
__import__.product_5010530,0,0,0,20.00
__import__.product_5010552,0,0,0,0
__import__.product_5010761,0,0,0,0
__import__.product_5011842,0,0,0,0
__import__.product_5012040,0,0,0,0.30
__import__.product_5012512,0,0,0,12.00
__import__.product_5012616,0,0,0,0
__import__.product_5013012,0,0,0,12.00
__import__.product_5013217,0,0,0,0
__import__.product_5014302,0,0,0,0
__import__.product_5016001,0,0,21.00,0.80
__import__.product_5017539,0,0,0,17.50
__import__.product_5017739,0,0,0,0.50
__import__.product_5017740,0,0,0,0.50
__import__.product_5018557,0,0,0,0
__import__.product_5018894,0,0,0,0
__import__.product_5019020,0,0,0,2.00
__import__.product_5020003,0,0,0,0
__import__.product_5021621,0,0,0,0
__import__.product_5022014,0,0,0,11.00
__import__.product_5022901,0,0,0,0
__import__.product_5027165,0,0,0,0
__import__.product_5027301,0,0,0,0
__import__.product_5028140,0,0,0,0
__import__.product_5031110,0,0,0,0
__import__.product_5031111,0,0,0,0
__import__.product_5031130,0,0,0,4.80
__import__.product_5031739,0,0,0,0
__import__.product_5033090,0,0,0,0
__import__.product_5033091,0,0,0,0
__import__.product_5033093,0,0,0,0
__import__.product_5033094,0,0,0,0
__import__.product_5035525,0,0,0,0
__import__.product_5038004,0,0,0,0
__import__.product_5040010,0,0,0,0.30
__import__.product_5040454,14.50,4.00,26.00,0.10
__import__.product_5041010,0,0,0,2.50
__import__.product_5041011,0,0,0,2.50
__import__.product_5042201,0,0,0,0.10
__import__.product_5043401,0,0,0,0.60
__import__.product_5043402,0,0,0,7.00
__import__.product_5043962,0,0,0,0
__import__.product_5045131,0,0,0,0
__import__.product_5045150,0,0,0,0
__import__.product_5047343,0,0,0,0
__import__.product_5049187,0,0,0,0.10
__import__.product_5049211,0,0,0,0
__import__.product_5049981,0,0,0,0.10
__import__.product_5051483,0,0,0,0
__import__.product_5052430,1.00,34.00,24.60,0.20
__import__.product_5054807,0,0,0,0.10
__import__.product_5056635,3.20,12.50,27.70,0.20
__import__.product_5060118,0,0,0,0
__import__.product_5060563,14.40,5.10,30.00,0.10
__import__.product_5061275,0,0,0,0.10
__import__.product_5063901,0,0,0,0
__import__.product_5063902,0,0,0,0
__import__.product_5063904,0,0,0,0
__import__.product_5063905,0,0,0,0
__import__.product_5063931,0,0,0,0
__import__.product_5063939,0,0,0,0
__import__.product_5063941,0,0,0,0
__import__.product_5063942,0,0,0,0
__import__.product_5063953,0,0,0,0
__import__.product_5063954,0,0,0,0
__import__.product_5063955,0,0,0,0
__import__.product_5063956,0,0,0,0
__import__.product_5063957,0,0,0,0
__import__.product_5063958,0,0,0,0
__import__.product_5063978,0,0,0,0
__import__.product_5065997,0,0,0,0
__import__.product_5070226,13.00,18.50,13.00,0.80
__import__.product_5075685,0,0,0,0
__import__.product_5078031,18.00,24.00,50.00,0.60
__import__.product_5078070,5.40,8.50,8.30,0.10
__import__.product_5080011,40.00,40.00,40.00,11.70
__import__.product_5080046,7.10,5.10,7.10,0.10
__import__.product_5080048,7.30,10.20,7.30,0.20
__import__.product_5081541,0,0,0,0
__import__.product_5095830,20.00,9.00,24.00,3.00
__import__.product_5097631,19.00,7.00,28.00,1.50
__import__.product_5100432,0,0,0,0
__import__.product_5101500,0,0,0,0.20
__import__.product_5103014,0,0,0,0
__import__.product_5106004,0,0,0,0
__import__.product_5106024,0,0,0,0
__import__.product_5109001,0,0,0,0
__import__.product_5109036,0,0,0,0
__import__.product_5109300,0,0,0,0
__import__.product_5109902,30.00,9.00,45.00,5.00
__import__.product_5110001,18.70,10.50,47.10,1.20
__import__.product_5110006,8.00,3.90,48.00,0.12
__import__.product_5112278,0,0,0,0
__import__.product_5112372,0,0,0,0
__import__.product_5112373,0,0,0,0
__import__.product_5112374,0,0,0,0
__import__.product_5112375,0,0,0,0
__import__.product_5112376,0,0,0,0
__import__.product_5112378,0,0,0,0
__import__.product_5112417,0,0,0,0
__import__.product_5112673,35.00,10.00,77.00,12.00
__import__.product_5113386,4.00,14.00,19.50,0.20
__import__.product_5113586,0,0,0,0
__import__.product_5113590,0,0,0,0
__import__.product_5113863,0,0,0,0
__import__.product_5116025,0,0,0,0
__import__.product_5117122,38.00,11.00,76.00,14.00
__import__.product_5117176,38.00,11.00,76.00,14.00
__import__.product_5117177,38.00,11.00,76.00,14.00
__import__.product_5117218,38.00,11.00,76.00,14.00
__import__.product_5117532,38.00,11.00,76.00,14.00
__import__.product_5117537,38.00,11.00,76.00,14.00
__import__.product_5117539,38.00,11.00,76.00,14.00
__import__.product_5117659,38.00,11.00,76.00,14.00
__import__.product_5118015,0,0,0,0
__import__.product_5118511,0,0,0,0
__import__.product_5119229,7.30,18.50,6.50,0.50
__import__.product_5120022,0,0,0,3.60
__import__.product_5120025,0,0,0,1.00
__import__.product_5120259,0,0,0,0.10
__import__.product_5120980,0,0,0,0
__import__.product_5120981,0,0,0,0
__import__.product_5121276,0,0,0,0
__import__.product_5124591,0,0,0,3.20
__import__.product_5125214,9.00,5.00,22.00,0.20
__import__.product_5129265,0,0,0,0
__import__.product_5130026,0,0,0,0
__import__.product_5131063,0,0,0,16.50
__import__.product_5131064,0,0,0,16.50
__import__.product_5131065,0,0,0,16.50
__import__.product_5131117,0,0,0,14.50
__import__.product_5135351,0,0,0,0
__import__.product_5140404,0,0,0,0.50
__import__.product_5140407,0,0,0,0.50
__import__.product_5140481,0,0,0,0
__import__.product_5140501,0,0,0,0
__import__.product_5140745,6.50,6.70,14.00,0.10
__import__.product_5141790,0,0,0,0
__import__.product_5141870,15.00,18.00,8.20,0.30
__import__.product_5144012,0,0,0,0
__import__.product_5144026,0,0,0,0
__import__.product_5144038,0,0,0,0
__import__.product_5145329,0,0,0,14.00
__import__.product_5147219,0,0,0,0
__import__.product_5147237,0,0,0,0
__import__.product_5147276,0,0,0,0
__import__.product_5147277,0,0,0,0
__import__.product_5147698,0,0,0,0
__import__.product_5147768,0,0,0,0
__import__.product_5147778,0,0,0,0
__import__.product_5147914,0,0,0,0
__import__.product_5147924,0,0,0,0
__import__.product_5147933,0,0,0,0
__import__.product_5147934,0,0,0,0
__import__.product_5147936,0,0,0,0
__import__.product_5147942,0,0,0,0
__import__.product_5147943,0,0,0,0
__import__.product_5147951,0,0,0,0
__import__.product_5147953,0,0,0,0
__import__.product_5147954,0,0,0,0
__import__.product_5147956,0,0,0,0
__import__.product_5147963,0,0,0,0
__import__.product_5147964,0,0,0,0
__import__.product_5147966,0,0,0,0
__import__.product_5147972,0,0,0,0
__import__.product_5147974,0,0,0,0
__import__.product_5147975,0,0,0,0
__import__.product_5147976,0,0,0,0
__import__.product_5148736,0,0,0,0
__import__.product_5150006,0,0,0,0
__import__.product_5150782,0,0,0,16.50
__import__.product_5157392,0,0,0,0
__import__.product_5157728,0,0,0,0
__import__.product_5158548,0,0,0,0
__import__.product_5160622,0,0,0,0
__import__.product_5160742,0,0,0,0
__import__.product_5161210,0,0,0,3.00
__import__.product_5161710,0,0,0,3.00
__import__.product_5161810,0,0,0,3.00
__import__.product_5162633,0,0,0,0.20
__import__.product_5163630,0,0,0,0
__import__.product_5164553,15.00,25.00,25.00,6.00
__import__.product_5164557,0,0,0,1.50
__import__.product_5164810,0,0,0,0
__import__.product_5164820,0,0,0,0
__import__.product_5165314,0,0,0,2.00
__import__.product_5168320,0.10,60.40,114.00,0.30
__import__.product_5170367,0,0,0,0
__import__.product_5171446,0,0,0,10.00
__import__.product_5171530,0,0,0,0
__import__.product_5174500,0,0,0,0
__import__.product_5175493,0,0,0,0
__import__.product_5180011,0,0,0,1.00
__import__.product_5180012,0,0,0,1.00
__import__.product_5180013,0,0,0,1.00
__import__.product_5180014,0,0,0,1.00
__import__.product_5180015,0,0,0,1.00
__import__.product_5180016,0,0,0,1.00
__import__.product_5180017,0,0,0,1.00
__import__.product_5180018,0,0,0,1.00
__import__.product_5180019,0,0,0,1.00
__import__.product_5180059,0,0,0,0
__import__.product_5180072,0,0,0,0
__import__.product_5180405,0,0,0,0
