id,weight,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_1234215,15.00,214.000,73.00,39.00,11.50,87.000
__import__.product_1234415,15.00,54.000,73.00,39.00,11.50,20.000
__import__.product_1234472,15.00,30.000,0,0,0,12.000
__import__.product_1237104,4.00,3.000,0,0,0,1.000
__import__.product_1237115,15.00,10.000,73.00,39.00,12.50,6.000
__import__.product_1237291,15.00,4.000,73.00,39.00,11.50,2.000
__import__.product_1237304,4.00,2.000,32.00,25.00,12.00,1.000
__import__.product_1237315,15.00,30.000,73.00,39.00,12.50,14.000
__import__.product_1237504,4.00,8.000,32.00,25.00,12.00,4.000
__import__.product_1237515,15.00,81.000,73.00,39.00,11.50,33.000
__import__.product_1238005,1.50,5.000,0,0,0,3.000
__import__.product_1238021,7.50,14.000,60.00,39.00,10.00,8.000
__import__.product_1238041,0.50,2.000,0,0,0,1.000
__import__.product_1238042,1.50,7.000,0,0,0,3.000
__import__.product_1238049,3.00,9.000,0,0,0,4.000
__import__.product_1238054,1.50,4.000,0,0,0,3.000
__import__.product_1238060,3.00,6.000,0,0,0,2.000
__import__.product_1238064,3.00,9.000,0,0,0,4.000
__import__.product_1238072,9.00,40.000,0,0,0,20.000
__import__.product_1238076,12.00,8.000,0,0,0,4.000
__import__.product_1238083,1.50,4.000,0,0,0,2.000
__import__.product_1238091,7.50,8.000,0,0,0,4.000
__import__.product_1238097,12.00,5.000,0,0,0,2.000
__import__.product_1238103,1.50,4.000,0,0,0,2.000
__import__.product_1239002,1.50,19.000,25.00,19.00,8.50,10.000
__import__.product_1239007,7.50,14.000,60.00,39.00,10.00,8.000
__import__.product_1239062,1.50,8.000,25.00,19.00,8.50,4.000
__import__.product_1239073,7.50,6.000,60.00,39.00,10.00,4.000
__import__.product_1239082,12.00,28.000,73.00,39.00,12.00,14.000
__import__.product_1239091,3.00,2.000,31.00,26.00,11.00,1.000
__import__.product_1239092,12.00,12.000,73.00,39.00,12.00,8.000
__import__.product_1239099,1.50,7.000,25.00,19.00,8.50,3.000
__import__.product_1239103,1.50,15.000,25.00,19.00,8.50,7.000
__import__.product_1239105,7.50,18.000,60.00,39.00,10.00,8.000
__import__.product_1239112,1.50,16.000,25.00,19.00,8.50,8.000
__import__.product_1239114,3.00,30.000,31.00,26.00,11.00,12.000
__import__.product_1239303,3.00,4.000,31.00,26.00,11.00,2.000
__import__.product_1239322,1.50,7.000,25.00,19.00,8.50,3.000
__import__.product_1239323,7.50,35.000,60.00,39.00,10.00,19.000
__import__.product_1239335,12.00,4.000,70.00,39.00,12.00,2.000
__import__.product_1239343,3.00,4.000,31.00,26.00,11.00,2.000
__import__.product_1239355,12.00,5.000,73.00,39.00,12.00,3.000
__import__.product_1239362,12.00,23.000,73.00,39.00,12.00,11.000
__import__.product_1239371,12.00,3.000,70.00,39.00,12.00,2.000
__import__.product_1239382,12.00,3.000,70.00,39.00,12.00,2.000
__import__.product_1239392,3.00,4.000,0,0,0,2.000
__import__.product_1239402,12.00,2.000,73.00,39.00,12.00,1.000
__import__.product_1239422,1.50,4.000,25.00,19.00,8.50,2.000
__import__.product_1239453,10.00,5.000,65.00,39.00,12.00,3.000
__import__.product_1239482,12.00,16.000,73.00,39.00,12.00,9.000
__import__.product_1250804,4.00,7.000,32.00,25.00,12.00,4.000
__import__.product_1250816,4.00,7.000,32.00,25.00,12.00,2.000
__import__.product_1250817,10.00,4.000,65.00,39.00,12.00,2.000
__import__.product_1250832,2.00,3.000,28.00,19.00,10.00,2.000
__import__.product_1250834,4.00,2.000,32.00,24.00,12.00,1.000
__import__.product_1250870,10.00,4.000,65.00,39.00,12.00,2.000
__import__.product_1250882,2.00,9.000,28.00,19.00,10.00,3.000
__import__.product_1250884,4.00,8.000,32.00,24.00,12.00,4.000
__import__.product_1250890,10.00,19.000,65.00,39.00,12.00,11.000
__import__.product_1250902,2.00,5.000,28.00,19.00,10.00,3.000
__import__.product_1250922,2.00,2.000,28.00,19.00,10.00,1.000
__import__.product_1250923,4.00,7.000,32.00,24.00,12.00,4.000
__import__.product_1250924,10.00,2.000,65.00,39.00,12.00,1.000
__import__.product_1251010,10.00,4.000,60.00,39.00,12.00,2.000
__import__.product_1258010,10.00,8.000,65.00,39.00,12.00,4.000
__import__.product_1270123,0.20,60.000,5.50,5.50,11.30,30.000
__import__.product_1280320,0.16,46.000,4.90,4.90,12.30,13.000
__import__.product_1317825,0.04,540.000,24.70,5.40,2.60,200.000
__import__.product_1322031,0.10,84.000,4.30,4.30,7.50,40.000
__import__.product_1357243,0.04,105.000,16.70,10.70,2.10,50.000
__import__.product_1357888,0.03,136.000,10.10,5.20,4.10,40.000
__import__.product_1379197,0.21,9.000,5.60,5.60,10.70,3.000
__import__.product_1384387,0.20,8.000,15.70,7.80,7.80,2.000
__import__.product_1399476,0.68,14.000,9.40,6.30,23.40,4.000
__import__.product_1400522,0.47,111.000,7.00,7.00,13.80,30.000
__import__.product_1403294,2.69,32.000,19.30,10.00,31.40,8.000
__import__.product_1406438,0.04,120.000,8.00,5.30,4.30,50.000
__import__.product_1435981,0.05,118.000,16.80,10.70,2.60,35.000
__import__.product_1448109,0.05,180.000,6.30,13.50,3.10,100.000
__import__.product_1448117,0.05,144.000,16.30,13.70,2.50,72.000
__import__.product_1448638,3.00,14.000,37.00,20.90,9.00,4.000
__import__.product_1451843,0.10,777.000,9.90,4.30,4.80,209.000
__import__.product_1455146,2.32,14.000,19.10,17.90,18.20,3.000
__import__.product_1483890,0.47,66.000,6.60,6.60,14.30,24.000
__import__.product_1483973,0.10,39.000,12.30,7.30,4.70,11.000
__import__.product_1489301,0.50,23.000,10.00,5.00,15.00,10.000
__import__.product_1552132,0.03,40.000,3.10,3.10,6.90,20.000
__import__.product_1554617,0.09,154.000,5.00,5.00,13.30,42.000
__import__.product_1581541,0.10,150.000,11.40,8.10,3.60,40.000
__import__.product_1623776,0.10,90.000,0,0,0,40.000
__import__.product_1623818,0.21,905.000,5.50,5.50,10.40,293.000
__import__.product_1635598,0.60,124.000,6.60,6.60,16.30,37.000
__import__.product_1685361,2.63,72.000,23.40,12.90,34.40,40.000
__import__.product_1685379,1.15,13.000,13.80,13.80,26.20,7.000
__import__.product_1688795,3.01,73.000,33.80,23.30,16.00,24.000
__import__.product_1693795,0.05,400.000,3.80,3.80,11.10,186.000
__import__.product_1735960,0,60.000,0,0,0,10.000
__import__.product_1761832,0.20,35.000,15.40,10.10,5.40,11.000
__import__.product_1770510,0.03,177.000,16.50,10.50,2.50,90.000
__import__.product_1770528,0.05,210.000,16.50,10.50,2.50,110.000
__import__.product_1770536,0.03,50.000,16.50,10.50,2.50,20.000
__import__.product_1770569,0.05,75.000,16.50,10.50,2.50,25.000
__import__.product_1778117,0.36,23.000,7.10,7.10,15.60,11.000
__import__.product_1778125,0.68,14.000,8.10,8.10,19.00,6.000
__import__.product_1778141,0.99,32.000,14.80,7.50,25.60,20.000
__import__.product_1802160,0.60,12.000,0,0,0,5.000
__import__.product_1813630,0.10,4.000,0,0,0,2.000
__import__.product_1826830,1.20,4.000,10.00,10.00,18.00,2.000
__import__.product_2016803,1.50,9.000,30.00,24.00,7.00,3.000
__import__.product_2021963,6.00,70.000,0,0,0,35.000
__import__.product_2087054,0.04,486.000,19.20,10.90,2.70,144.000
__import__.product_2087062,0.05,500.000,19.30,10.90,2.70,200.000
__import__.product_2087070,0.04,160.000,19.20,10.80,2.60,60.000
__import__.product_2092146,0.63,4.000,6.50,6.50,17.80,2.000
__import__.product_2101780,0.28,9.000,6.80,6.20,20.80,3.000
__import__.product_2101798,0.61,66.000,7.90,7.00,25.70,24.000
__import__.product_2114200,4.80,12.000,30.40,22.60,11.10,4.000
__import__.product_2123842,0.12,69.000,4.60,4.60,8.20,21.000
__import__.product_2124584,1.64,40.000,22.20,17.90,8.70,20.000
__import__.product_2124592,0.21,68.000,5.50,5.80,10.60,20.000
__import__.product_2167393,0.50,30.000,8.80,8.80,16.20,15.000
__import__.product_2197259,0.05,310.000,5.90,3.70,12.60,124.000
__import__.product_2198679,0.20,24.000,5.90,5.90,12.90,12.000
__import__.product_2203164,1.20,66.000,47.00,18.70,10.50,20.000
__import__.product_2210144,0.04,35.000,19.40,4.00,2.70,15.000
__import__.product_2244093,4.80,10.000,31.00,23.00,11.20,3.000
__import__.product_2247872,0.02,200.000,10.50,9.80,2.10,100.000
__import__.product_2249597,0.10,20.000,12.30,8.30,5.70,6.000
__import__.product_2249605,0.55,31.000,28.70,12.90,8.40,8.000
__import__.product_2268878,0.10,92.000,4.70,4.70,8.40,50.000
__import__.product_2270403,0.16,84.000,18.00,15.00,1.60,30.000
__import__.product_2271088,0.38,88.000,7.10,7.20,14.70,24.000
__import__.product_2271120,0.09,35.000,8.90,4.70,4.80,11.000
__import__.product_2271138,0.20,46.000,11.90,5.90,6.00,14.000
__import__.product_2288934,5.60,3.000,28.50,28.50,22.70,1.000
__import__.product_2329571,0.16,4.000,13.30,11.30,6.20,1.000
__import__.product_2329589,0.03,61.000,6.90,4.90,4.80,18.000
__import__.product_2330470,0.08,28.000,6.10,4.20,9.20,8.000
__import__.product_2342087,0.10,6.000,6.70,4.20,11.30,2.000
__import__.product_2343978,0.33,40.000,10.80,5.50,11.90,11.000
__import__.product_2352805,5.76,5.000,24.50,12.00,42.30,2.000
__import__.product_2352813,0.31,25.000,11.60,5.30,15.10,7.000
__import__.product_2357515,8.00,39.000,57.00,37.00,8.00,17.000
__import__.product_2357556,8.00,7.000,57.00,37.00,8.00,4.000
__import__.product_2357994,0.90,10.000,24.00,17.00,7.00,2.000
__import__.product_2363919,0.05,957.000,6.70,3.80,7.00,350.000
__import__.product_2372829,0.03,102.000,5.90,4.00,4.00,30.000
__import__.product_2374445,14.00,34.000,72.70,40.40,11.00,15.000
__import__.product_2377728,7.50,4.000,57.00,38.00,8.00,2.000
__import__.product_2388908,2.50,7.000,30.00,23.00,9.50,3.000
__import__.product_2388916,2.50,6.000,30.00,23.00,9.50,3.000
__import__.product_2398451,0.30,186.000,5.80,3.60,20.50,50.000
__import__.product_2407377,0.04,25.000,15.00,11.50,1.80,15.000
__import__.product_2430080,0.12,329.000,4.30,4.30,14.70,88.000
__import__.product_2430213,0.05,86.000,11.50,8.10,3.60,26.000
__import__.product_2435378,0.50,136.000,7.60,7.60,14.50,33.000
__import__.product_2446011,0.20,6.000,0,0,0,3.000
__import__.product_2447902,0.20,40.000,20.70,13.00,7.20,16.000
__import__.product_2457687,0.40,47.000,16.80,9.90,11.80,13.000
__import__.product_2457711,0.21,47.000,16.70,8.70,8.50,20.000
__import__.product_2457729,0.20,9.000,9.00,16.60,10.10,3.000
__import__.product_2457760,0.50,13.000,16.10,17.10,11.40,4.000
__import__.product_2500296,0.20,15.000,7.00,6.50,16.00,6.000
__import__.product_2510543,0.10,2.000,52.00,16.50,2.10,1.000
__import__.product_2511780,0.03,28.000,2.90,3.20,7.10,9.000
__import__.product_2511798,0.04,54.000,3.00,3.30,7.00,16.000
__import__.product_2520856,1.67,33.000,12.20,12.20,20.50,10.000
__import__.product_2549442,1.00,97.000,6.50,25.00,28.00,24.000
__import__.product_2554517,0.22,25.000,19.10,8.90,11.60,8.000
__import__.product_2561157,0.20,24.000,5.70,5.60,10.50,12.000
__import__.product_2563401,5.00,108.000,12.40,26.20,42.10,27.000
__import__.product_2565554,0.10,80.000,5.00,5.00,10.00,24.000
__import__.product_2572832,2.20,24.000,13.50,12.00,18.00,12.000
__import__.product_2578326,0.47,10.000,10.00,17.20,7.90,4.000
__import__.product_2581965,0.29,25.000,5.80,5.80,15.30,14.000
__import__.product_2582039,1.09,2.000,9.20,9.20,23.00,1.000
__import__.product_2598332,0.22,18.000,5.50,5.50,10.30,9.000
__import__.product_2604973,0.06,193.000,4.20,4.20,11.80,52.000
__import__.product_2612026,0.01,40.000,5.50,9.00,3.10,20.000
__import__.product_2612042,0.01,40.000,8.80,3.20,5.50,19.000
__import__.product_2612059,0.01,40.000,5.50,9.00,3.10,20.000
__import__.product_2612067,0.01,40.000,5.50,9.00,3.10,20.000
__import__.product_2615292,1.00,4.000,8.70,8.70,24.90,2.000
__import__.product_2617363,0.30,60.000,8.10,12.30,21.40,19.000
__import__.product_2619278,1.36,15.000,7.00,18.30,29.40,5.000
__import__.product_2625341,0.20,50.000,5.50,5.50,10.00,15.000
__import__.product_2626893,0.10,15.000,5.30,10.80,8.70,6.000
__import__.product_2643245,0.10,4.000,0,0,0,2.000
__import__.product_2650471,0.04,209.000,3.70,19.60,2.70,62.000
__import__.product_2650497,0.08,142.000,23.30,5.20,3.00,42.000
__import__.product_2655116,0.14,90.000,4.10,4.10,17.90,33.000
__import__.product_2655124,0.53,157.000,5.50,5.50,12.00,46.000
__import__.product_2657393,0.20,42.000,5.20,5.40,10.20,15.000
__import__.product_2657831,0.30,40.000,6.50,3.50,6.50,10.000
__import__.product_2672616,0.10,24.000,5.50,5.50,10.80,12.000
__import__.product_2679157,0.19,100.000,7.00,12.00,19.00,27.000
__import__.product_2686541,1.00,24.000,0,0,0,8.000
__import__.product_2687853,14.00,20.000,74.00,39.00,12.00,10.000
__import__.product_2687887,14.00,194.000,73.00,39.00,13.00,83.000
__import__.product_2709822,0.40,20.000,11.50,21.30,4.40,12.000
__import__.product_2710515,0.20,23.000,5.70,5.80,10.50,14.000
__import__.product_2716843,0.23,152.000,5.30,5.30,13.10,41.000
__import__.product_2718252,1.70,8.000,28.00,18.00,16.50,3.000
__import__.product_2720704,0.20,23.000,10.50,6.00,20.00,8.000
__import__.product_2736122,0.02,356.000,4.00,4.00,10.90,155.000
__import__.product_2736809,2.50,35.000,30.00,23.00,9.50,15.000
__import__.product_2739985,18.00,89.000,65.00,39.00,15.00,33.000
__import__.product_2755429,1.00,4.000,0,0,0,2.000
__import__.product_2764116,0.04,174.000,19.60,10.40,2.20,51.000
__import__.product_2764124,0.06,150.000,19.50,10.40,2.40,45.000
__import__.product_2768026,0.11,50.000,19.40,13.30,1.50,25.000
__import__.product_2769369,0.50,80.000,7.50,7.50,14.00,30.000
__import__.product_2769608,3.00,8.000,37.00,29.00,9.00,4.000
__import__.product_2770109,3.00,10.000,37.00,29.00,9.00,4.000
__import__.product_2792133,0.05,77.000,3.90,4.30,7.60,23.000
__import__.product_2792141,0.04,48.000,3.00,3.40,7.20,13.000
__import__.product_2816445,0.10,800.000,7.20,7.20,9.80,300.000
__import__.product_2823821,1.00,2.000,0,0,0,1.000
__import__.product_2837250,10.00,69.000,37.20,20.00,26.70,21.000
__import__.product_2849081,0.50,44.000,16.00,21.50,13.00,20.000
__import__.product_2849354,0.30,25.000,18.00,16.50,6.50,8.000
__import__.product_2859346,0.20,15.000,5.50,5.50,13.00,6.000
__import__.product_2860187,0.40,4.000,6.60,6.60,12.90,2.000
__import__.product_2872505,0.40,49.000,0,0,0,15.000
__import__.product_2874352,0.10,2.000,0,0,0,1.000
__import__.product_2876068,0.40,29.000,13.50,2.00,7.00,9.000
__import__.product_2876076,0.60,16.000,15.50,2.00,8.00,5.000
__import__.product_2877678,6.50,69.000,41.00,28.00,9.00,30.000
__import__.product_2877777,14.00,26.000,0,0,0,13.000
__import__.product_2877793,1.50,9.000,11.50,11.50,20.70,5.000
__import__.product_2877819,0.30,135.000,20.00,13.00,7.00,58.000
__import__.product_2877827,8.00,45.000,0,0,0,20.000
__import__.product_2877835,15.00,77.000,0,0,0,33.000
__import__.product_2877850,7.50,29.000,60.00,37.00,11.00,14.000
__import__.product_2877868,2.50,12.000,24.00,22.50,10.00,6.000
__import__.product_2877892,6.50,22.000,42.00,28.00,13.00,11.000
__import__.product_2878007,2.50,16.000,30.00,23.00,9.50,12.000
__import__.product_2878015,1.00,10.000,29.00,18.00,6.00,2.000
__import__.product_2890218,0.10,48.000,0,0,0,24.000
__import__.product_2892552,5.00,26.000,0,0,0,11.000
__import__.product_2904837,5.00,40.000,0,0,0,20.000
__import__.product_2915411,18.00,14.000,0,0,0,8.000
__import__.product_2915445,5.00,16.000,41.00,29.00,8.00,7.000
__import__.product_2923753,2.50,45.000,30.00,23.00,9.50,36.000
__import__.product_2924934,0.60,10.000,11.90,20.60,15.90,5.000
__import__.product_2959773,0.10,57.000,5.20,8.30,14.50,17.000
__import__.product_2961043,0.20,168.000,0,0,0,84.000
__import__.product_2963791,0.20,11.000,0,0,0,4.000
__import__.product_2965010,5.00,15.000,0,0,0,6.000
__import__.product_2966190,2.50,9.000,0,0,0,3.000
__import__.product_2970820,0.30,13.000,0,0,0,4.000
__import__.product_2970838,0.40,6.000,0,0,0,3.000
__import__.product_2977130,3.00,4.000,0,0,0,2.000
__import__.product_2977304,0.10,20.000,0,0,0,10.000
__import__.product_2977312,1.00,3.000,8.70,8.70,24.50,2.000
__import__.product_2977627,3.00,2.000,0,0,0,1.000
__import__.product_2978872,3.00,3.000,0,0,0,1.000
__import__.product_2979730,2.50,4.000,0,0,0,3.000
__import__.product_2979755,16.00,60.000,0,0,0,30.000
__import__.product_2979870,0.10,7.000,0,0,0,3.000
__import__.product_2980159,0.10,120.000,0,0,0,50.000
__import__.product_2996767,4.50,3.000,0,0,0,1.000
__import__.product_2996775,2.80,4.000,0,0,0,2.000
__import__.product_3004090,12.00,110.000,0,0,0,47.000
__import__.product_3004116,2.50,14.000,0,0,0,10.000
__import__.product_3004132,12.00,303.000,0,0,0,130.000
__import__.product_3019833,0.20,25.000,5.50,5.50,10.60,15.000
__import__.product_3020666,0.20,6.000,0,0,0,3.000
__import__.product_3020674,0.20,12.000,0,0,0,6.000
__import__.product_3020682,0.20,3.000,0,0,0,1.000
__import__.product_3023546,0,30.000,0,0,0,15.000
__import__.product_3023561,0,8.000,0,0,0,2.000
__import__.product_3026036,0.30,50.000,12.40,10.90,14.60,20.000
__import__.product_3026762,0.10,10.000,0,0,0,5.000
__import__.product_3028149,0.10,60.000,0,0,0,25.000
__import__.product_3029378,0.30,49.000,0,0,0,20.000
__import__.product_3029725,1.00,5.000,9.90,9.90,17.00,4.000
__import__.product_3032885,0.10,72.000,5.50,5.40,12.30,24.000
__import__.product_3033115,0.40,266.000,0,0,0,79.000
__import__.product_3033123,0.20,452.000,0,0,0,121.000
__import__.product_3035231,0,6.000,0,0,0,3.000
__import__.product_3038791,0.20,8.000,0,0,0,3.000
__import__.product_3048675,1.00,12.000,0,0,0,6.000
__import__.product_3048683,5.00,8.000,0,0,0,3.000
__import__.product_3048691,2.50,10.000,0,0,0,5.000
__import__.product_3052370,0.10,2.000,0,0,0,1.000
__import__.product_3052990,0.10,44.000,0,0,0,11.000
__import__.product_3060126,1.00,4.000,0,0,0,1.000
__import__.product_3068954,0.10,3.000,0,0,0,2.000
__import__.product_3074242,0.10,50.000,0,0,0,20.000
__import__.product_3086501,0.10,12.000,0,0,0,6.000
__import__.product_3086519,0.10,6.000,0,0,0,3.000
__import__.product_3088952,1.00,10.000,0,0,0,5.000
__import__.product_3088960,5.00,6.000,0,0,0,3.000
__import__.product_3091048,0.10,134.000,0,0,0,40.000
__import__.product_3091584,0.10,30.000,0,0,0,20.000
__import__.product_3094752,0.50,16.000,0,0,0,6.000
__import__.product_3115797,0.10,20.000,0,0,0,6.000
__import__.product_3123130,0.10,105.000,0,0,0,75.000
__import__.product_3123163,0.10,196.000,0,0,0,90.000
__import__.product_3126695,0.10,20.000,0,0,0,10.000
__import__.product_3126703,0.10,36.000,0,0,0,15.000
__import__.product_3133154,1.60,6.000,0,0,0,3.000
__import__.product_3134657,0.40,5.000,0,0,0,2.000
__import__.product_3146362,0.40,144.000,0,0,0,72.000
__import__.product_3156718,0.10,12.000,0,0,0,6.000
__import__.product_3156957,0.10,60.000,0,0,0,20.000
__import__.product_3157617,0.10,400.000,0,0,0,200.000
__import__.product_3162328,1.00,16.000,0,0,0,8.000
__import__.product_3162336,1.00,22.000,0,0,0,12.000
__import__.product_3162633,0.20,200.000,0,0,0,100.000
__import__.product_3169497,0.10,15.000,0,0,0,5.000
__import__.product_3169513,0.10,25.000,0,0,0,10.000
__import__.product_3169539,0.10,15.000,0,0,0,5.000
__import__.product_3169554,0.10,19.000,0,0,0,5.000
__import__.product_3187903,0.20,10.000,0,0,0,6.000
__import__.product_3189768,1.00,2.000,0,0,0,1.000
__import__.product_3191616,1.00,100.000,0,0,0,50.000
__import__.product_3198124,0.10,4.000,0,0,0,2.000
__import__.product_3204443,0.20,90.000,0,0,0,48.000
__import__.product_3205242,1.00,10.000,0,0,0,5.000
__import__.product_3220449,1.00,10.000,0,0,0,5.000
__import__.product_3233756,0.30,14.000,0,0,0,6.000
__import__.product_3233772,0.10,12.000,0,0,0,6.000
__import__.product_3233780,0.30,24.000,0,0,0,12.000
__import__.product_3245685,0.20,12.000,0,0,0,4.000
__import__.product_3247970,2.50,16.000,0,0,0,8.000
__import__.product_3247988,5.00,10.000,0,0,0,4.000
__import__.product_3256120,0.10,45.000,0,0,0,25.000
__import__.product_3256138,0.10,35.000,0,0,0,15.000
__import__.product_3265212,1.50,75.000,0,0,0,43.000
__import__.product_3265220,3.00,70.000,0,0,0,35.000
__import__.product_3265253,1.50,43.000,0,0,0,25.000
__import__.product_3265261,3.00,140.000,0,0,0,80.000
__import__.product_3265287,1.50,137.000,0,0,0,70.000
__import__.product_3265295,3.00,450.000,0,0,0,230.000
__import__.product_3265303,7.00,90.000,0,0,0,48.000
__import__.product_3265311,12.00,100.000,0,0,0,50.000
__import__.product_3265329,1.50,78.000,0,0,0,36.000
__import__.product_3265337,3.00,177.000,0,0,0,100.000
__import__.product_3265345,7.00,70.000,0,0,0,30.000
__import__.product_3265352,1.50,70.000,0,0,0,35.000
__import__.product_3265360,3.00,113.000,0,0,0,58.000
__import__.product_3265378,7.00,40.000,0,0,0,20.000
__import__.product_3265402,3.00,180.000,0,0,0,100.000
