id,width,depth,length
__import__.product_1083518,0,0,0
__import__.product_1083864,4.70,4.00,7.00
__import__.product_1083872,4.60,2.50,7.00
__import__.product_1085141,0,0,0
__import__.product_1085257,0,0,0
__import__.product_1085414,0,0,0
__import__.product_1085471,10.20,16.30,10.20
__import__.product_1085489,14.60,21.70,14.60
__import__.product_1086073,0,0,0
__import__.product_1086636,0,0,0
__import__.product_1087162,0,0,0
__import__.product_1087865,4.50,2.40,10.80
__import__.product_1087931,3.50,7.00,3.50
__import__.product_1088301,0,0,0
__import__.product_1088665,4.30,10.40,5.20
__import__.product_1089689,0,0,0
__import__.product_1090307,8.80,19.30,12.30
__import__.product_1090315,8.80,19.30,12.20
__import__.product_1091560,0,0,0
__import__.product_1091628,0,0,0
__import__.product_1091651,0,0,0
__import__.product_1091685,0,0,0
__import__.product_1094176,0,0,0
__import__.product_1094192,0,0,0
__import__.product_1094432,0,0,0
__import__.product_1094440,0,0,0
__import__.product_1094747,0,0,0
__import__.product_1096627,0,0,0
__import__.product_1096791,0,0,0
__import__.product_1098003,0,0,0
__import__.product_1098029,0,0,0
__import__.product_1098037,0,0,0
__import__.product_1098193,0,0,0
__import__.product_1098458,0,0,0
__import__.product_1100155,0,0,0
__import__.product_1100585,0,0,0
__import__.product_1100593,0,0,0
__import__.product_1101161,0,0,0
__import__.product_1101286,0,0,0
__import__.product_1101682,0,0,0
__import__.product_1101690,0,0,0
__import__.product_1101997,5.40,4.70,9.90
__import__.product_1102714,0,0,0
__import__.product_1102987,0,0,0
__import__.product_1103456,0,0,0
__import__.product_1103464,0,0,0
__import__.product_1104850,0,0,0
__import__.product_1105061,0,0,0
__import__.product_1105543,0,0,0
__import__.product_1109478,0,0,0
__import__.product_1110150,0,0,0
__import__.product_1112507,3.50,6.80,3.50
__import__.product_1112598,4.70,14.00,4.70
__import__.product_1112614,0,0,0
__import__.product_1112648,5.00,4.10,19.80
__import__.product_1112788,0,0,0
__import__.product_1113133,0,0,0
__import__.product_1113257,0,0,0
__import__.product_1113505,0,0,0
__import__.product_1113760,0,0,0
__import__.product_1114073,0,0,0
__import__.product_1114081,0,0,0
__import__.product_1114388,0,0,0
__import__.product_1114503,0,0,0
__import__.product_1115013,0,0,0
__import__.product_1115112,0,0,0
__import__.product_1115385,10.90,22.40,14.70
__import__.product_1115476,0,0,0
__import__.product_1115526,6.80,1.60,10.10
__import__.product_1115542,6.60,1.60,10.00
__import__.product_1115716,0,0,0
__import__.product_1116359,5.90,1.70,11.30
__import__.product_1116367,5.80,2.00,10.80
__import__.product_1118140,0,0,0
__import__.product_1118918,0,0,0
__import__.product_1118934,8.70,21.80,8.70
__import__.product_1118991,0,0,0
__import__.product_1119015,0,0,0
__import__.product_1119023,0,0,0
__import__.product_1119049,0,0,0
__import__.product_1119379,0,0,0
__import__.product_1119387,0,0,0
__import__.product_1120278,0,0,0
__import__.product_1120880,0,0,0
__import__.product_1120914,0,0,0
__import__.product_1121276,0,0,0
__import__.product_1122583,0,0,0
__import__.product_1123710,0,0,0
__import__.product_1124742,0,0,0
__import__.product_1125293,0,0,0
__import__.product_1125301,0,0,0
__import__.product_1127059,0,0,0
__import__.product_1127299,0,0,0
__import__.product_1128982,4.30,4.80,9.90
__import__.product_1130244,0,0,0
__import__.product_1130350,0,0,0
__import__.product_1132885,0,0,0
__import__.product_1133099,0,0,0
__import__.product_1141860,0,0,0
__import__.product_1141878,0,0,0
__import__.product_1141886,0,0,0
__import__.product_1141902,0,0,0
__import__.product_1141910,0,0,0
__import__.product_1142488,0,0,0
__import__.product_1143361,0,0,0
__import__.product_1144060,12.60,3.50,15.50
__import__.product_1144073,12.60,3.50,15.50
__import__.product_1144081,12.60,3.50,15.50
__import__.product_1144090,12.60,3.50,15.50
__import__.product_1144103,12.60,3.50,15.50
__import__.product_1146109,0,0,0
__import__.product_1148212,0,0,0
__import__.product_1148246,5.70,5.80,10.50
__import__.product_1148279,0,0,0
__import__.product_1148352,5.30,17.40,5.30
__import__.product_1148386,0,0,0
__import__.product_1148410,0,0,0
__import__.product_1148436,6.90,14.10,6.80
__import__.product_1148915,0,0,0
__import__.product_1149418,0,0,0
__import__.product_1151349,0,0,0
__import__.product_1151679,0,0,0
__import__.product_1151687,0,0,0
__import__.product_1151695,0,0,0
__import__.product_1151778,0,0,0
__import__.product_1151794,0,0,0
__import__.product_1151802,0,0,0
__import__.product_1151810,0,0,0
__import__.product_1151828,0,0,0
__import__.product_1151836,0,0,0
__import__.product_1152115,0,0,0
__import__.product_1152305,0,0,0
__import__.product_1152651,0,0,0
__import__.product_1152654,0,0,0
__import__.product_1152669,0,0,0
__import__.product_1152883,0,0,0
__import__.product_1153014,0,0,0
__import__.product_1153303,3.90,2.50,14.40
__import__.product_1154060,12.60,3.50,15.50
__import__.product_1154079,12.60,3.50,15.50
__import__.product_1154087,12.60,3.50,15.50
__import__.product_1154095,12.60,3.50,15.50
__import__.product_1154109,12.60,3.50,15.50
__import__.product_1156181,0,0,0
__import__.product_1156561,0,0,0
__import__.product_1157403,0,0,0
__import__.product_1162254,0,0,0
__import__.product_1163591,5.20,14.30,5.20
__import__.product_1163864,3.90,16.90,6.50
__import__.product_1164433,0,0,0
__import__.product_1168467,0,0,0
__import__.product_1169309,0,0,0
__import__.product_1174259,0,0,0
__import__.product_1174457,0,0,0
__import__.product_1174689,0,0,0
__import__.product_1174796,0,0,0
__import__.product_1174838,0,0,0
__import__.product_1174960,0,0,0
__import__.product_1175447,0,0,0
__import__.product_1176825,0,0,0
__import__.product_1177252,0,0,0
__import__.product_1177468,0,0,0
__import__.product_1179779,4.80,2.00,8.90
__import__.product_1179787,4.80,1.90,8.90
__import__.product_1179803,4.80,3.20,9.00
__import__.product_1179985,0,0,0
__import__.product_1180034,0,0,0
__import__.product_1180041,0,0,0
__import__.product_1180066,0,0,0
__import__.product_1180108,0,0,0
__import__.product_1180645,0,0,0
__import__.product_1181957,0,0,0
__import__.product_1182591,0,0,0
__import__.product_1183243,0,0,0
__import__.product_1183730,6.90,23.00,6.90
__import__.product_1183821,0,0,0
__import__.product_1184027,0,0,0
__import__.product_1184040,12.60,3.50,15.50
__import__.product_1184059,12.60,3.50,15.50
__import__.product_1184067,12.60,3.50,15.50
__import__.product_1184075,12.60,3.50,15.50
__import__.product_1184083,12.60,3.50,15.50
__import__.product_1184091,12.80,3.60,15.50
__import__.product_1184105,0,0,0
__import__.product_1185339,0,0,0
__import__.product_1185685,0,0,0
__import__.product_1188234,0,0,0
__import__.product_1188242,0,0,0
__import__.product_1188911,0,0,0
__import__.product_1193333,0,0,0
__import__.product_1193366,8.00,1.40,22.30
__import__.product_1193416,0,0,0
__import__.product_1196369,0,0,0
__import__.product_1197284,4.80,8.40,4.80
__import__.product_1197771,0,0,0
__import__.product_1197797,0,0,0
__import__.product_1198027,0,0,0
__import__.product_1198837,0,0,0
__import__.product_1199058,0,0,0
__import__.product_1199603,12.00,4.00,12.20
__import__.product_1200823,0,0,0
__import__.product_1200856,5.30,4.70,9.90
__import__.product_1200872,0,0,0
__import__.product_1200880,0,0,0
__import__.product_1202092,0,0,0
__import__.product_1202191,0,0,0
__import__.product_1202217,3.60,7.10,3.60
__import__.product_1202233,4.60,8.30,4.60
__import__.product_1202241,4.60,8.30,4.60
__import__.product_1202514,0,0,0
__import__.product_1202647,0,0,0
__import__.product_1202671,12.30,3.00,19.30
__import__.product_1202688,0,0,0
__import__.product_1202689,12.30,2.80,19.30
__import__.product_1202795,16.40,16.00,18.80
__import__.product_1202811,5.70,10.60,5.70
__import__.product_1202845,5.00,3.30,11.60
__import__.product_1202901,0,0,0
__import__.product_1202902,0,0,0
__import__.product_1202910,0,0,0
__import__.product_1202944,0,0,0
__import__.product_1203215,0,0,0
__import__.product_1203256,0,0,0
__import__.product_1203454,0,0,0
__import__.product_1203462,0,0,0
__import__.product_1204429,3.90,4.80,9.00
__import__.product_1204445,0,0,0
__import__.product_1204775,0,0,0
__import__.product_1204817,3.20,7.70,15.70
__import__.product_1204882,0,0,0
__import__.product_1204908,0,0,0
__import__.product_1204973,0,0,0
__import__.product_1205284,0,0,0
__import__.product_1206416,0,0,0
__import__.product_1207117,3.60,7.00,6.80
__import__.product_1207596,0,0,0
__import__.product_1208628,0,0,0
__import__.product_1208669,0,0,0
__import__.product_1208677,0,0,0
__import__.product_1209113,0,0,0
__import__.product_1209121,0,0,0
__import__.product_1209584,11.50,2.10,14.80
__import__.product_1210798,0,0,0
__import__.product_1211259,0,0,0
__import__.product_1218080,13.50,23.80,27.00
__import__.product_1218684,0,0,0
__import__.product_1218775,0,0,0
__import__.product_1220201,0,0,0
__import__.product_1220458,0,0,0
__import__.product_1220573,0,0,0
__import__.product_1223361,0,0,0
__import__.product_1224757,0,0,0
__import__.product_1225879,0,0,0
__import__.product_1232180,0,0,0
__import__.product_1232644,0,0,0
__import__.product_1232958,0,0,0
__import__.product_1232966,0,0,0
__import__.product_1233287,0,0,0
__import__.product_1233352,0,0,0
__import__.product_1233493,0,0,0
__import__.product_1236694,0,0,0
__import__.product_1237811,0,0,0
__import__.product_1238070,9.30,4.90,12.10
__import__.product_1238666,0,0,0
__import__.product_1244557,0,0,0
__import__.product_1246123,0,0,0
__import__.product_1246198,0,0,0
__import__.product_1246206,0,0,0
__import__.product_1246263,0,0,0
__import__.product_1246340,0,0,0
__import__.product_1246396,0,0,0
__import__.product_1246594,19.20,10.10,14.10
__import__.product_1246602,0,0,0
__import__.product_1246644,5.40,17.20,5.40
__import__.product_1246750,0,0,0
__import__.product_1246784,0,0,0
__import__.product_1247207,3.00,6.00,5.40
__import__.product_1250018,7.30,14.90,7.30
__import__.product_1251743,5.80,16.30,5.80
__import__.product_1254218,0,0,0
__import__.product_1255363,0,0,0
__import__.product_1256080,0,0,0
__import__.product_1256114,0,0,0
__import__.product_1256973,0,0,0
__import__.product_1257146,5.50,1.60,13.50
__import__.product_1257187,0,0,0
__import__.product_1257237,5.10,16.80,10.10
__import__.product_1257492,0,0,0
__import__.product_1257807,10.00,14.00,17.00
__import__.product_1260918,0,0,0
__import__.product_1261460,0,0,0
__import__.product_1261542,0,0,0
__import__.product_1261742,0,0,0
__import__.product_1261759,0,0,0
__import__.product_1261809,0,0,0
__import__.product_1262054,0,0,0
__import__.product_1263847,0,0,0
__import__.product_1264761,0,0,0
__import__.product_1264779,0,0,0
__import__.product_1264787,0,0,0
__import__.product_1268846,8.00,25.50,13.00
__import__.product_1269588,0,0,0
__import__.product_1270669,0,0,0
__import__.product_1270859,0,0,0
__import__.product_1271097,4.70,1.70,11.30
__import__.product_1271824,0,0,0
__import__.product_1272608,5.20,9.70,5.20
__import__.product_1272616,6.60,14.10,6.60
__import__.product_1272665,0,0,0
__import__.product_1274000,0,0,0
__import__.product_1274273,0,0,0
__import__.product_1274299,0,0,0
__import__.product_1274455,0,0,0
__import__.product_1274562,0,0,0
__import__.product_1275437,0,0,0
__import__.product_1275452,0,0,0
__import__.product_1275460,0,0,0
__import__.product_1275668,0,0,0
__import__.product_1277615,0,0,0
__import__.product_1277714,0,0,0
__import__.product_1278266,0,0,0
__import__.product_1278431,0,0,0
__import__.product_1278498,0,0,0
__import__.product_1280478,0,0,0
__import__.product_1280846,0,0,0
__import__.product_1281336,0,0,0
__import__.product_1281476,0,0,0
__import__.product_1281500,0,0,0
__import__.product_1283340,5.60,10.80,5.60
__import__.product_1283415,0,0,0
__import__.product_1283886,0,0,0
__import__.product_1284322,0,0,0
__import__.product_1284561,5.30,9.70,10.40
__import__.product_1284579,4.20,7.60,7.80
__import__.product_1285436,6.80,6.40,9.30
__import__.product_1285733,0,0,0
__import__.product_1286277,0,0,0
__import__.product_1286343,0,0,0
__import__.product_1288372,0,0,0
__import__.product_1289156,0,0,0
__import__.product_1289172,0,0,0
__import__.product_1289586,0,0,0
__import__.product_1289602,0,0,0
__import__.product_1290030,0,0,0
__import__.product_1290287,27.50,25.50,14.50
__import__.product_1290295,27.50,25.50,14.50
__import__.product_1290303,0,0,0
__import__.product_1290311,27.50,25.50,14.50
__import__.product_1290337,27.50,25.50,14.50
__import__.product_1290338,14.40,25.00,27.50
__import__.product_1290410,0,0,0
__import__.product_1294172,0,0,0
__import__.product_1294438,9.30,20.80,14.00
__import__.product_1294453,0,0,0
__import__.product_1296037,0,0,0
__import__.product_1297647,0,0,0
__import__.product_1297886,0,0,0
__import__.product_1300120,0,0,0
__import__.product_1300219,0,0,0
__import__.product_1300250,0,0,0
__import__.product_1300268,0,0,0
__import__.product_1300276,0,0,0
__import__.product_1300284,0,0,0
__import__.product_1300300,0,0,0
__import__.product_1300326,7.40,16.20,7.40
__import__.product_1300581,0,0,0
__import__.product_1301225,37.30,14.80,43.70
__import__.product_1302140,0,0,0
__import__.product_1302157,6.10,16.20,6.10
__import__.product_1302165,0,0,0
__import__.product_1302181,5.50,10.50,5.50
__import__.product_1302207,6.70,16.20,6.70
__import__.product_1302223,14.10,16.80,14.30
__import__.product_1303023,0,0,0
__import__.product_1303114,0,0,0
__import__.product_1303254,0,0,0
__import__.product_1303338,0,0,0
__import__.product_1308451,0,0,0
__import__.product_1308477,0,0,0
__import__.product_1311265,11.60,4.70,24.00
__import__.product_1311273,3.70,4.60,8.70
__import__.product_1313840,0,0,0
__import__.product_1314574,0,0,0
__import__.product_1315070,0,0,0
__import__.product_1315183,0,0,0
__import__.product_1316417,0,0,0
__import__.product_1320704,0,0,0
__import__.product_1321256,0,0,0
__import__.product_1321272,8.40,2.10,11.70
__import__.product_1321850,0,0,0
__import__.product_1321991,0,0,0
__import__.product_1322023,0,0,0
__import__.product_1324573,0,0,0
__import__.product_1324656,0,0,0
__import__.product_1324706,0,0,0
__import__.product_1326164,0,0,0
__import__.product_1327337,0,0,0
__import__.product_1327667,0,0,0
__import__.product_1328020,0,0,0
__import__.product_1328061,0,0,0
__import__.product_1328103,0,0,0
__import__.product_1328699,0,0,0
__import__.product_1333012,0,0,0
__import__.product_1333103,0,0,0
__import__.product_1334259,0,0,0
__import__.product_1334598,0,0,0
__import__.product_1334697,0,0,0
__import__.product_1334705,0,0,0
__import__.product_1334879,0,0,0
__import__.product_1334887,0,0,0
__import__.product_1334895,0,0,0
__import__.product_1335887,0,0,0
__import__.product_1335892,4.50,12.70,6.60
__import__.product_1336395,0,0,0
__import__.product_1336403,0,0,0
__import__.product_1336429,0,0,0
__import__.product_1336858,5.60,2.00,5.60
__import__.product_1336882,5.40,1.90,5.40
__import__.product_1337260,0,0,0
__import__.product_1337369,0,0,0
__import__.product_1337385,0,0,0
__import__.product_1337633,0,0,0
__import__.product_1337856,4.40,9.00,4.40
__import__.product_1342617,0,0,0
__import__.product_1342799,0,0,0
__import__.product_1343953,0,0,0
__import__.product_1344589,0,0,0
__import__.product_1344753,0,0,0
__import__.product_1344761,0,0,0
__import__.product_1349273,0,0,0
__import__.product_1349307,0,0,0
__import__.product_1350933,0,0,0
__import__.product_1351188,0,0,0
__import__.product_1351444,0,0,0
__import__.product_1351477,6.40,13.50,9.50
__import__.product_1351618,0,0,0
__import__.product_1351626,0,0,0
__import__.product_1351634,0,0,0
__import__.product_1351659,0,0,0
__import__.product_1351667,0,0,0
__import__.product_1351683,0,0,0
__import__.product_1351709,0,0,0
__import__.product_1351733,0,0,0
__import__.product_1351741,0,0,0
__import__.product_1351758,0,0,0
__import__.product_1351782,0,0,0
__import__.product_1351790,0,0,0
__import__.product_1351816,0,0,0
__import__.product_1351824,0,0,0
__import__.product_1351832,0,0,0
__import__.product_1351840,0,0,0
__import__.product_1351857,0,0,0
__import__.product_1351865,0,0,0
__import__.product_1352020,0,0,0
__import__.product_1354950,0,0,0
__import__.product_1354968,0,0,0
__import__.product_1356906,5.70,12.30,5.70
__import__.product_1358167,0,0,0
__import__.product_1358340,0,0,0
__import__.product_1358357,0,0,0
__import__.product_1358399,0,0,0
__import__.product_1358407,0,0,0
__import__.product_1359611,0,0,0
__import__.product_1359793,0,0,0
__import__.product_1359892,0,0,0
__import__.product_1361187,6.60,14.10,6.60
__import__.product_1361492,0,0,0
__import__.product_1361518,0,0,0
__import__.product_1361559,0,0,0
__import__.product_1363316,0,0,0
__import__.product_1363878,0,0,0
__import__.product_1365527,0,0,0
__import__.product_1365543,0,0,0
__import__.product_1366483,0,0,0
__import__.product_1366756,14.90,24.60,18.80
__import__.product_1366764,0,0,0
__import__.product_1367762,5.20,9.70,5.10
__import__.product_1370899,0,0,0
__import__.product_1370915,5.60,13.10,5.60
__import__.product_1370998,0,0,0
__import__.product_1371004,0,0,0
__import__.product_1371376,0,0,0
__import__.product_1371624,0,0,0
__import__.product_1371905,6.00,11.90,6.00
__import__.product_1371913,0,0,0
__import__.product_1371921,7.30,24.00,7.30
__import__.product_1371947,4.90,18.40,7.70
__import__.product_1371954,7.30,3.70,14.70
__import__.product_1371962,4.60,13.30,5.20
__import__.product_1372176,0,0,0
__import__.product_1373075,0,0,0
__import__.product_1373323,0,0,0
__import__.product_1373679,0,0,0
__import__.product_1374552,5.80,10.80,5.80
__import__.product_1375138,0,0,0
__import__.product_1380492,0,0,0
__import__.product_1380500,0,0,0
__import__.product_1381102,0,0,0
__import__.product_1381219,0,0,0
__import__.product_1383371,0,0,0
__import__.product_1384700,0,0,0
__import__.product_1385194,0,0,0
__import__.product_1385202,0,0,0
__import__.product_1385350,0,0,0
__import__.product_1385368,0,0,0
__import__.product_1385533,5.50,1.90,10.60
__import__.product_1385541,7.80,1.90,10.70
__import__.product_1385558,5.50,1.90,10.70
__import__.product_1385566,0,0,0
__import__.product_1385871,4.90,10.30,4.90
__import__.product_1385954,0,0,0
__import__.product_1387974,6.60,12.80,6.60
__import__.product_1388115,0,0,0
__import__.product_1388271,0,0,0
__import__.product_1388552,6.80,13.00,6.80
__import__.product_1388560,0,0,0
__import__.product_1388578,0,0,0
__import__.product_1388586,4.30,7.60,4.30
__import__.product_1388602,0,0,0
__import__.product_1388628,6.80,13.00,6.80
__import__.product_1388644,0,0,0
__import__.product_1388669,0,0,0
__import__.product_1388727,0,0,0
__import__.product_1388735,6.70,14.00,6.70
__import__.product_1388743,0,0,0
__import__.product_1388750,0,0,0
__import__.product_1388784,6.90,23.90,6.90
__import__.product_1389725,0,0,0
__import__.product_1389733,0,0,0
__import__.product_1389766,0,0,0
__import__.product_1390327,0,0,0
__import__.product_1390343,0,0,0
__import__.product_1390558,0,0,0
__import__.product_1391663,0,0,0
__import__.product_1391689,0,0,0
__import__.product_1392513,5.30,20.20,5.30
__import__.product_1394352,0,0,0
__import__.product_1395409,0,0,0
__import__.product_1395649,0,0,0
__import__.product_1395870,0,0,0
__import__.product_1395904,0,0,0
__import__.product_1395938,0,0,0
__import__.product_1396100,0,0,0
__import__.product_1398098,0,0,0
__import__.product_1398965,0,0,0
__import__.product_1399484,0,0,0
__import__.product_1399500,0,0,0
__import__.product_1399534,12.20,22.50,12.20
__import__.product_1399575,0,0,0
__import__.product_1399799,0,0,0
__import__.product_1400015,0,0,0
__import__.product_1400050,0,0,0
__import__.product_1400068,0,0,0
__import__.product_1400078,0,0,0
__import__.product_1400079,0,0,0
__import__.product_1400126,0,0,0
__import__.product_1400148,5.60,6.20,14.00
__import__.product_1400154,0,0,0
__import__.product_1400274,0,0,0
__import__.product_1400275,16.20,15.30,34.30
__import__.product_1400324,0,0,0
__import__.product_1400414,0,0,0
__import__.product_1400415,0,0,0
__import__.product_1400513,0,0,0
__import__.product_1400518,0,0,0
__import__.product_1400535,0,0,0
__import__.product_1400630,0,0,0
__import__.product_1400894,0,0,0
__import__.product_1400902,7.00,11.40,7.30
__import__.product_1400910,0,0,0
__import__.product_1401108,0,0,0
__import__.product_1401140,0,0,0
__import__.product_1401189,0,0,0
__import__.product_1401531,0,0,0
__import__.product_1401763,0,0,0
__import__.product_1402030,0,0,0
__import__.product_1402120,0,0,0
__import__.product_1402125,0,0,0
__import__.product_1402178,0,0,0
__import__.product_1402270,0,0,0
__import__.product_1402327,0,0,0
__import__.product_1402346,0,0,0
__import__.product_1402464,0,0,0
__import__.product_1402637,0,0,0
__import__.product_1402692,0,0,0
__import__.product_1402763,0,0,0
__import__.product_1402791,0,0,0
__import__.product_1402891,0,0,0
__import__.product_1403286,0,0,0
__import__.product_1405018,0,0,0
__import__.product_1405026,0,0,0
__import__.product_1405027,0,0,0
__import__.product_1405028,0,0,0
__import__.product_1405029,0,0,0
__import__.product_1405033,0,0,0
__import__.product_1405042,0,0,0
__import__.product_1405072,0,0,0
__import__.product_1405073,0,0,0
__import__.product_1405080,0,0,0
__import__.product_1405088,0,0,0
__import__.product_1405128,0,0,0
__import__.product_1405136,0,0,0
__import__.product_1405170,0,0,0
__import__.product_1405171,0,0,0
__import__.product_1405172,0,0,0
__import__.product_1405173,0,0,0
__import__.product_1405174,0,0,0
__import__.product_1405175,0,0,0
__import__.product_1405176,0,0,0
__import__.product_1405177,0,0,0
__import__.product_1405178,0,0,0
__import__.product_1405180,0,0,0
__import__.product_1405181,0,0,0
__import__.product_1405221,0,0,0
__import__.product_1405232,0,0,0
__import__.product_1405281,0,0,0
__import__.product_1405343,0,0,0
__import__.product_1405403,0,0,0
__import__.product_1405431,0,0,0
__import__.product_1405497,0,0,0
__import__.product_1405505,0,0,0
__import__.product_1405530,0,0,0
__import__.product_1405547,0,0,0
__import__.product_1405653,0,0,0
__import__.product_1406020,0,0,0
__import__.product_1406021,0,0,0
__import__.product_1406321,0,0,0
__import__.product_1406453,0,0,0
__import__.product_1408608,0,0,0
__import__.product_1409747,4.90,18.40,7.70
__import__.product_1409754,4.80,18.40,7.60
__import__.product_1409762,0,0,0
__import__.product_1409903,0,0,0
__import__.product_1410042,0,0,0
__import__.product_1411792,0,0,0
__import__.product_1411818,0,0,0
__import__.product_1411826,0,0,0
__import__.product_1413046,0,0,0
__import__.product_1413053,0,0,0
__import__.product_1414309,0,0,0
__import__.product_1414333,0,0,0
__import__.product_1414424,0,0,0
__import__.product_1414879,0,0,0
__import__.product_1414911,7.80,1.90,10.70
__import__.product_1415348,0,0,0
__import__.product_1416478,0,0,0
__import__.product_1416536,0,0,0
__import__.product_1416601,0,0,0
__import__.product_1416718,9.00,8.90,15.00
__import__.product_1417450,0,0,0
__import__.product_1417633,0,0,0
__import__.product_1417648,0,0,0
__import__.product_1418250,0,0,0
__import__.product_1418516,0,0,0
__import__.product_1418532,0,0,0
__import__.product_1422336,0,0,0
__import__.product_1423649,0,0,0
__import__.product_1423805,0,0,0
__import__.product_1423813,0,0,0
__import__.product_1423821,0,0,0
__import__.product_1423839,29.00,22.20,30.30
__import__.product_1423847,0,0,0
