id,width,depth,length,indicated_price,weight
__import__.product_4005023,0,0,0,23.00,2.00
__import__.product_4006010,39.30,10.10,69.60,79.00,10.00
__import__.product_4007010,39.30,10.10,69.60,79.00,10.00
__import__.product_4008010,39.30,10.10,69.60,79.00,10.00
__import__.product_4009006,39.20,8.50,54.60,56.00,6.00
__import__.product_4160006,39.20,8.50,54.60,58.50,6.00
__import__.product_4212006,39.20,8.50,54.60,41.50,6.00
__import__.product_4212007,0,0,0,47.50,6.50
__import__.product_4212014,42.60,13.60,84.20,89.50,14.00
__import__.product_4217003,39.30,10.10,69.60,66.00,10.00
__import__.product_4230007,40.20,8.20,57.40,51.50,7.50
__import__.product_4230014,42.60,13.60,84.20,79.50,14.00
__import__.product_4250105,37.00,9.20,54.60,46.50,5.00
__import__.product_4280007,37.90,11.80,54.70,47.50,7.00
__import__.product_4280014,42.60,13.60,84.20,79.50,14.00
__import__.product_4400311,39.30,10.10,69.60,49.00,10.00
__import__.product_4400411,39.30,10.10,69.60,41.00,10.00
__import__.product_4400511,39.30,10.10,69.60,43.00,10.00
__import__.product_4400555,42.60,13.60,84.20,64.50,14.00
__import__.product_4400615,42.60,13.60,84.20,59.50,14.00
__import__.product_4400641,42.60,13.60,84.20,71.00,14.00
__import__.product_4400715,42.60,13.60,84.20,53.50,14.00
__import__.product_4400815,42.60,13.60,84.20,55.00,14.00
__import__.product_4400885,42.60,13.60,84.20,64.50,14.00
__import__.product_4400915,42.60,13.60,84.20,59.50,14.00
__import__.product_4401010,39.30,10.10,69.60,48.00,10.00
__import__.product_4401015,42.60,13.60,84.20,59.50,14.00
__import__.product_4402015,42.60,13.60,84.20,53.50,14.00
__import__.product_4403040,12.10,22.50,12.10,15.00,0.60
__import__.product_4403050,10.00,17.00,12.00,20.00,0.60
__import__.product_4403052,14.70,11.60,20.50,20.00,0.90
__import__.product_4405031,39.30,10.10,69.60,53.00,10.00
__import__.product_4405041,42.60,13.60,84.20,71.00,14.00
__import__.product_4500002,39.90,9.20,57.50,45.50,8.00
__import__.product_4500003,42.60,13.60,84.20,67.00,14.00
__import__.product_4500012,42.60,13.60,84.20,67.00,14.00
__import__.product_4500022,40.20,8.20,57.40,42.50,7.50
__import__.product_4500023,42.60,13.60,84.20,65.50,14.00
__import__.product_4500032,42.60,13.60,84.20,65.50,14.00
__import__.product_4500042,39.50,8.90,55.50,36.00,6.50
__import__.product_4500043,42.20,13.10,80.50,57.00,12.00
__import__.product_4500052,39.90,9.20,57.50,44.00,8.00
__import__.product_4500053,42.60,13.60,84.20,63.50,14.00
__import__.product_4500082,39.50,8.90,55.50,36.00,6.50
__import__.product_4500083,42.20,13.10,80.50,57.00,12.00
__import__.product_4500093,42.60,13.60,84.20,65.50,14.00
__import__.product_4500341,17.00,7.00,21.00,10.50,1.00
__import__.product_4500444,25.00,12.00,32.00,28.00,4.00
__import__.product_4504890,0,0,0,48.50,25.00
__import__.product_4518610,43.80,13.80,77.70,64.90,15.00
__import__.product_4518656,43.80,13.80,77.70,64.90,15.00
__import__.product_4900401,0,0,0,9.60,1.20
__import__.product_4901400,10.10,9.00,17.70,12.50,0.80
__import__.product_4901401,10.00,14.00,20.00,14.50,1.20
__import__.product_4901404,19.70,14.30,40.00,14.50,1.20
__import__.product_4901600,0,0,0,8.40,0.80
__import__.product_4901602,10.10,9.00,17.70,12.50,0.80
__import__.product_4901700,10.10,9.00,17.70,12.50,0.80
__import__.product_4902401,10.00,14.00,20.00,14.50,1.20
__import__.product_4902703,10.10,9.00,17.70,12.50,0.80
__import__.product_4990044,10.10,9.00,17.70,15.00,0.80
__import__.product_5009694,0,0,0,254.70,0.40
__import__.product_5010512,0,0,0,54.50,12.00
__import__.product_5010545,0,0,0,52.00,4.00
__import__.product_5013615,0,0,0,74.00,15.00
__import__.product_5014112,0,0,0,56.50,12.00
__import__.product_5014512,0,0,0,59.00,12.00
__import__.product_5014612,0,0,0,67.00,12.00
__import__.product_5015112,0,0,0,56.50,12.00
__import__.product_5015212,0,0,0,56.50,12.00
__import__.product_5026069,0,0,0,52.50,5.00
__import__.product_5031129,0,0,0,20.00,1.60
__import__.product_5040195,0,0,0,31.50,0
__import__.product_5042500,0,0,0,35.00,0.50
__import__.product_5042510,0,0,0,50.00,10.00
__import__.product_5042515,0,0,0,160.00,25.00
__import__.product_5042520,0,0,0,28.00,1.50
__import__.product_5042521,0,0,0,37.00,0.50
__import__.product_5042522,0,0,0,50.00,1.00
__import__.product_5042524,0,0,0,110.00,0.90
__import__.product_5042525,0,0,0,14.00,1.00
__import__.product_5042526,0,0,0,55.00,1.00
__import__.product_5042529,0,0,0,11.00,0.10
__import__.product_5042530,0,0,0,22.00,0.10
__import__.product_5042540,0,0,0,25.00,0.10
__import__.product_5042543,0,0,0,11.00,0.10
__import__.product_5042550,0,0,0,70.00,1.00
__import__.product_5043400,0,0,0,95.00,0.20
__import__.product_5063906,0,0,0,14.50,0
__import__.product_5063932,0,0,0,24.30,0
__import__.product_5071012,0,0,0,59.50,12.00
__import__.product_5117531,38.00,11.00,76.00,73.00,14.00
__import__.product_5117533,38.00,11.00,76.00,73.00,14.00
__import__.product_5117540,38.00,11.00,76.00,73.00,14.00
__import__.product_5119701,0,0,0,14.50,2.00
__import__.product_5124221,6.30,6.20,9.50,9.40,0.10
__import__.product_5124548,0,0,0,57.50,7.50
__import__.product_5131047,35.00,10.00,77.00,72.00,12.00
__import__.product_5161110,0,0,0,23.90,3.00
__import__.product_5163502,0,0,0,350.20,3.00
__import__.product_5165300,0,0,0,28.50,2.50
__import__.product_5170255,0,0,0,22.40,0
__import__.product_5184593,43.80,13.80,77.70,69.90,15.00
__import__.product_5187534,0,0,0,63.60,16.50
__import__.product_5192024,4.60,4.60,22.20,8.90,0.10
__import__.product_5192088,0,0,0,58.20,1.00
__import__.product_5194013,39.00,11.30,74.60,98.80,13.50
__import__.product_5194213,39.00,11.30,74.60,98.80,13.50
__import__.product_5195013,39.00,11.30,74.60,98.80,13.50
__import__.product_5208078,0,0,0,19.20,2.50
__import__.product_5208101,0,0,0,19.20,2.50
__import__.product_5238083,0,0,0,28.50,3.00
__import__.product_5238088,0,0,0,7.20,0.50
__import__.product_5250112,0,0,0,234.90,0
__import__.product_5259501,0,0,0,39.40,10.00
__import__.product_5259502,0,0,0,21.60,0.50
__import__.product_5259831,0,0,0,14.00,1.00
__import__.product_5260016,29.00,9.00,37.00,29.00,3.00
__import__.product_5260019,19.40,9.60,28.60,31.00,2.40
__import__.product_5260030,37.60,7.40,53.20,39.00,7.50
__import__.product_5260100,0,0,0,22.70,2.50
__import__.product_5260101,0,0,0,123.60,15.00
__import__.product_5260103,0,0,0,28.30,2.50
__import__.product_5267003,14.60,25.30,19.60,78.00,5.50
__import__.product_5267017,0,0,0,58.90,1.00
__import__.product_5275862,0,0,0,58.80,5.00
__import__.product_5275866,0,0,0,58.80,5.00
__import__.product_5300188,0,0,0,20.50,0
__import__.product_5303307,0,0,0,495.00,0
__import__.product_5304434,0,0,0,16.00,0
__import__.product_5310512,0,0,0,64.50,12.00
__import__.product_5312015,0,0,0,48.00,15.00
__import__.product_5312509,0,0,0,51.00,9.00
__import__.product_5312713,0,0,0,36.60,0
__import__.product_5313009,0,0,0,51.00,9.00
__import__.product_5313515,0,0,0,65.00,15.00
__import__.product_5313615,0,0,0,65.00,15.00
__import__.product_5314112,0,0,0,54.50,12.00
__import__.product_5314512,0,0,0,56.50,12.00
__import__.product_5314712,0,0,0,56.50,12.00
__import__.product_5315212,0,0,0,54.50,12.00
__import__.product_5317004,0,0,0,6.50,0.40
__import__.product_5317020,0,0,0,25.50,2.00
__import__.product_5317504,0,0,0,7.00,0.40
__import__.product_5317515,0,0,0,20.50,1.50
__import__.product_5317530,0,0,0,32.00,3.00
__import__.product_5318004,0,0,0,7.00,0.40
__import__.product_5318100,0,0,0,82.50,10.00
__import__.product_5319004,0,0,0,7.00,0.40
__import__.product_5322004,0,0,0,6.50,0.40
__import__.product_5322020,0,0,0,25.50,2.00
__import__.product_5340000,0,0,0,1.00,0.10
__import__.product_5340010,0,0,0,1.00,0.10
__import__.product_5340030,0,0,0,1.00,0.10
__import__.product_5340040,0,0,0,1.00,0.10
__import__.product_5340050,0,0,0,1.00,0.10
__import__.product_5350070,0,0,0,1.00,0.10
__import__.product_5350080,0,0,0,1.00,0.10
__import__.product_5362040,0,0,0,68.50,10.00
__import__.product_5362041,0,0,0,68.50,10.00
__import__.product_5362042,0,0,0,68.50,10.00
__import__.product_5362258,0,0,0,19.00,1.50
__import__.product_5365007,0,0,0,55.00,7.50
__import__.product_5370012,0,0,0,60.00,12.50
__import__.product_5371012,0,0,0,75.50,12.00
__import__.product_5372012,0,0,0,59.50,12.50
__import__.product_5372105,0,0,0,54.90,1.00
__import__.product_5373012,0,0,0,59.50,12.50
__import__.product_5374012,0,0,0,59.50,12.00
__import__.product_5413866,0,0,0,23.40,0
__import__.product_5422034,0,0,0,20.40,5.00
__import__.product_5422062,0,0,0,6.80,1.00
__import__.product_5424049,0,0,0,32.90,3.00
__import__.product_5424104,0,0,0,109.50,25.00
__import__.product_5424136,0,0,0,79.00,16.00
__import__.product_5450018,5.20,14.00,5.10,16.20,0.18
__import__.product_5461254,16.00,7.50,27.00,8.60,1.00
__import__.product_5461295,0,0,0,39.30,8.00
__import__.product_5461296,18.00,8.00,27.00,4.40,0.50
__import__.product_5461297,0,0,0,44.70,10.00
__import__.product_5461299,0,0,0,44.70,10.00
__import__.product_5461505,0,0,0,27.80,25.00
__import__.product_5505006,0,0,0,119.00,0.50
__import__.product_5523200,43.80,13.80,77.70,69.90,15.00
__import__.product_5523400,37.40,11.20,51.00,35.10,7.50
__import__.product_5524100,43.80,13.80,77.70,68.50,15.00
__import__.product_5603568,0,0,0,47.70,2.40
__import__.product_5610517,0,0,0,229.00,15.00
__import__.product_5610533,0,0,0,219.50,15.00
__import__.product_5610545,0,0,0,37.10,2.00
__import__.product_5610576,0,0,0,232.10,2.00
__import__.product_5610589,0,0,0,20.80,1.00
__import__.product_5753401,19.00,29.50,12.50,76.20,5.00
__import__.product_5758800,0,0,0,254.70,0.10
__import__.product_5764012,0,0,0,39.00,0.50
__import__.product_5764209,0,0,0,15.00,1.00
__import__.product_5764262,0,0,0,268.00,5.00
__import__.product_5810992,0,0,0,36.90,1.50
__import__.product_5811141,0,0,0,47.70,2.40
__import__.product_5821067,0,0,0,22.00,1.50
__import__.product_5821068,0,0,0,44.00,4.00
__import__.product_5821486,0,0,0,81.50,12.00
__import__.product_5821697,0,0,0,33.00,3.20
__import__.product_5822014,0,0,0,56.50,13.50
__import__.product_5822052,0,0,0,24.00,2.00
__import__.product_5822231,0,0,0,38.10,1.80
__import__.product_5823126,0,0,0,18.50,2.00
__import__.product_5823135,0,0,0,49.50,4.00
__import__.product_5823136,0,0,0,28.50,2.00
__import__.product_5823228,0,0,0,6.20,0.30
__import__.product_5824318,0,0,0,53.50,5.00
__import__.product_5825658,26.10,8.00,35.00,50.40,3.70
__import__.product_5825660,26.10,8.00,35.00,56.40,3.70
__import__.product_5825668,23.00,10.40,31.00,44.40,4.40
__import__.product_5826512,10.00,14.00,27.50,18.00,1.50
__import__.product_5826513,10.00,14.00,27.50,18.00,1.50
__import__.product_5826514,10.00,14.00,27.50,18.00,1.50
__import__.product_5826515,10.00,14.00,27.50,18.00,1.50
__import__.product_5826516,10.00,14.00,27.50,18.00,1.50
__import__.product_5826517,9.50,14.00,21.90,11.90,1.20
__import__.product_5826518,9.50,14.00,21.90,11.90,1.20
__import__.product_5826656,19.80,6.00,29.00,14.50,1.50
__import__.product_5826962,10.00,14.00,27.00,18.00,1.50
__import__.product_5826963,10.00,14.50,27.00,18.00,1.50
__import__.product_5827027,0,0,0,23.00,2.80
__import__.product_5827030,0,0,0,31.50,1.80
__import__.product_5827045,9.50,14.50,21.00,11.90,1.20
__import__.product_5827046,9.50,14.50,21.00,11.90,1.20
__import__.product_5827428,20.00,26.00,29.00,34.00,2.80
__import__.product_5827429,19.50,26.00,29.00,50.00,2.80
__import__.product_5827430,20.00,26.00,29.00,34.00,2.80
__import__.product_5827617,19.00,6.00,29.00,22.50,1.50
__import__.product_5827932,0,0,0,31.60,1.40
__import__.product_5827934,0,0,0,31.60,1.40
__import__.product_5827942,0,0,0,31.60,1.60
__import__.product_5827944,0,0,0,31.60,1.60
__import__.product_5827947,0,0,0,23.70,1.20
__import__.product_5827950,0,0,0,31.60,1.60
__import__.product_5827953,0,0,0,31.60,1.60
__import__.product_5827970,19.00,6.00,29.00,14.50,1.50
__import__.product_5828057,19.00,6.00,29.00,21.50,2.00
__import__.product_5828094,0,0,0,52.50,7.50
__import__.product_5828365,9.50,14.50,21.00,11.90,1.20
__import__.product_5828366,9.50,14.50,21.00,11.90,12.00
__import__.product_5828691,19.00,6.00,29.00,15.50,2.00
__import__.product_5829043,0,0,0,52.50,5.00
__import__.product_5829044,0,0,0,85.00,10.00
__import__.product_5829311,29.00,9.00,37.00,33.50,3.00
__import__.product_5830000,0,0,0,64.90,18.00
__import__.product_5840300,0,0,0,21.30,1.00
__import__.product_5840304,0,0,0,30.80,1.00
__import__.product_5840307,0,0,0,31.50,3.00
__import__.product_5840310,0,0,0,57.80,1.00
__import__.product_5840311,0,0,0,46.90,2.00
__import__.product_5840316,0,0,0,75.60,2.00
__import__.product_5840318,0,0,0,228.80,10.00
__import__.product_5840320,0,0,0,30.50,1.00
__import__.product_5840321,0,0,0,35.00,0.50
__import__.product_5840322,0,0,0,73.50,3.70
__import__.product_5840328,0,0,0,34.50,0.30
__import__.product_5840330,0,0,0,47.40,2.00
__import__.product_5840338,0,0,0,190.00,3.00
__import__.product_5840343,0,0,0,10.20,0.10
__import__.product_5840345,0,0,0,23.80,1.00
__import__.product_5840346,0,0,0,52.00,1.20
__import__.product_5865001,42.20,13.10,80.50,69.00,12.00
__import__.product_5910010,0,0,0,128.20,1.00
__import__.product_5920009,0,0,0,133.00,8.40
__import__.product_6040003,8.50,24.00,8.50,20.50,1.08
__import__.product_6045081,11.40,3.20,23.40,67.50,0.20
__import__.product_6260009,15.50,8.20,15.90,432.50,0.50
__import__.product_6600852,5.20,9.80,5.20,11.50,0.20
__import__.product_6704506,0,0,0,68.90,0.10
__import__.product_6763532,0,0,0,84.10,0.50
__import__.product_6780298,0,0,0,450.40,5.00
__import__.product_6807407,0,0,0,15.80,0.10
__import__.product_6824317,19.80,6.00,29.00,15.50,1.50
__import__.product_6824350,20.60,9.00,29.00,20.50,2.00
__import__.product_6824516,20.60,9.00,29.00,21.50,2.00
__import__.product_6824604,0,0,0,62.50,18.00
__import__.product_6824648,42.60,11.90,62.90,87.50,14.00
__import__.product_6824819,42.60,11.90,62.90,90.00,14.00
__import__.product_6826600,26.10,8.00,35.00,46.80,3.70
__import__.product_6826610,26.10,8.00,35.00,46.80,3.70
__import__.product_6826611,26.10,8.00,35.00,46.80,3.70
__import__.product_6826612,26.10,8.00,35.00,46.80,3.70
__import__.product_6826622,26.10,8.00,35.00,46.80,3.70
__import__.product_6827541,0,0,0,62.50,18.00
__import__.product_6827768,30.40,12.70,48.30,43.50,7.50
__import__.product_6828043,20.00,30.00,27.00,35.80,4.00
__import__.product_6828044,29.00,9.00,37.00,19.50,3.00
__import__.product_6828900,29.60,10.00,43.00,53.50,5.00
__import__.product_6828906,29.60,10.00,43.00,53.50,5.00
__import__.product_6828980,30.40,0,48.30,72.00,7.50
__import__.product_6829440,42.70,14.50,62.60,62.50,15.00
__import__.product_6829797,42.60,11.90,62.90,92.00,14.00
__import__.product_6829798,42.60,11.90,62.90,90.00,14.00
__import__.product_6840008,0,0,0,70.80,5.00
__import__.product_6843231,0,0,0,33.50,0.10
__import__.product_6994622,0,0,0,99.70,1.00
__import__.product_7196762,0,0,0,14.50,2.00
__import__.product_7196851,0,0,0,29.50,5.00
__import__.product_7249257,42.60,11.90,62.90,92.00,14.00
__import__.product_7249263,42.60,11.90,62.90,82.00,14.00
__import__.product_7249286,42.60,11.90,62.90,82.00,14.00
__import__.product_7249300,42.60,11.90,62.90,90.00,14.00
__import__.product_7296191,42.70,14.50,62.60,62.50,15.00
__import__.product_7302537,30.40,12.70,48.30,43.50,7.50
__import__.product_7302626,42.70,14.50,62.60,62.50,15.00
__import__.product_7385859,42.70,14.50,62.60,62.50,15.00
__import__.product_7437059,42.60,11.90,62.90,92.00,14.00
__import__.product_7437088,42.60,11.90,62.90,92.00,14.00
__import__.product_7458498,0,0,0,476.90,20.00
__import__.product_7490119,30.40,12.70,48.30,42.50,7.50
__import__.product_7643560,42.20,13.10,80.50,60.00,12.00
__import__.product_7764046,0,0,0,32.00,0.20
__import__.product_7827401,26.10,8.00,35.00,46.80,3.70
__import__.product_8001631,7.90,6.20,11.10,16.60,0.20
__import__.product_8001677,11.40,6.50,7.70,16.60,0.20
__import__.product_8005511,0,0,0,4.10,0
__import__.product_8006137,0,0,0,5.90,0
__import__.product_8014007,0,0,0,21.90,0
__import__.product_8014059,0,0,0,61.30,0
__import__.product_8014409,0,0,0,875.40,0
__import__.product_8017218,0,0,0,21.60,0
__import__.product_8017276,0,0,0,21.60,0
__import__.product_8017282,0,0,0,21.60,0
__import__.product_8021326,0,0,0,9.00,0
__import__.product_8023696,0,0,0,19.00,0
__import__.product_8025637,0,0,0,23.30,0
__import__.product_8034671,0,0,0,6.90,0
__import__.product_8046898,0,0,0,62.70,0
__import__.product_8047975,0,0,0,6.70,0
__import__.product_8050090,0,0,0,29.60,0
__import__.product_8050807,0,0,0,12.90,0
__import__.product_8054082,0,0,0,34.30,0
__import__.product_8055035,0,0,0,5966.40,0
__import__.product_8056448,0,0,0,10.30,0
__import__.product_8058275,0,0,0,17.50,0
__import__.product_8058766,0,0,0,1.60,0
__import__.product_8058789,0,0,0,782.00,0
__import__.product_8058849,0,0,0,1284.40,0
__import__.product_8063974,0,0,0,10.80,0
__import__.product_8064583,0,0,0,13.60,0
__import__.product_8066458,0,0,0,95.70,0
__import__.product_8071086,0,0,0,6.90,0
__import__.product_8071092,0,0,0,6.90,0
__import__.product_8072424,0,0,0,162.10,0
__import__.product_8076391,0,0,0,7.40,0
__import__.product_8085674,25.00,12.50,38.00,14.30,2.50
__import__.product_8090200,43.80,13.80,77.70,64.90,15.00
__import__.product_8105632,0,0,0,9.60,0.10
__import__.product_8116848,0,0,0,32.00,0.10
__import__.product_8122576,0,0,0,153.10,0.10
__import__.product_8123009,0,0,0,15.30,1.00
__import__.product_8128797,0,0,0,44.10,0.10
__import__.product_8187759,0,0,0,26.20,0
__import__.product_8187771,0,0,0,26.20,0
__import__.product_8196043,0,0,0,22.50,0
__import__.product_8197143,0,0,0,7.80,0
__import__.product_8197189,0,0,0,9.20,0
__import__.product_8202909,0,0,0,26.20,0
__import__.product_8202915,0,0,0,26.20,0
__import__.product_8202921,0,0,0,26.20,0
__import__.product_8202944,0,0,0,26.20,0
__import__.product_8202973,0,0,0,26.20,0
__import__.product_8206362,0,0,0,27.10,0
__import__.product_8226873,0,0,0,21.20,0
__import__.product_8232141,0,0,0,87.30,0
__import__.product_8232158,0,0,0,87.30,0
__import__.product_8232170,0,0,0,87.30,0
__import__.product_8232187,0,0,0,87.30,0
__import__.product_8232193,0,0,0,87.30,0
__import__.product_8232201,0,0,0,87.30,0
__import__.product_8232218,0,0,0,87.30,0
__import__.product_8244701,0,0,0,26.90,0
__import__.product_8245221,0,0,0,26.20,0
__import__.product_8245244,0,0,0,26.20,0
__import__.product_8245250,0,0,0,26.20,0
__import__.product_8246485,0,0,0,46.50,0
__import__.product_8248998,0,0,0,6.30,0
__import__.product_8250311,0,0,0,83.60,0
__import__.product_8250647,0,0,0,85.90,0
__import__.product_8250653,0,0,0,85.90,0
__import__.product_8251635,0,0,0,10.80,0
__import__.product_8252190,0,0,0,37.00,0
__import__.product_8252209,0,0,0,15.70,0
__import__.product_8252391,0,0,0,7.30,0
__import__.product_8258488,0,0,0,8.80,0
__import__.product_8270121,5.20,9.70,5.20,7.70,0.20
__import__.product_8270194,5.20,9.80,5.20,3.70,0.20
__import__.product_8271141,0,0,0,109.30,0
__import__.product_8291221,0,0,0,9999999999.99,0
__import__.product_8299866,0,0,0,11.30,0
__import__.product_8330116,6.00,21.50,19.50,99.00,0
__import__.product_8347602,0,0,0,16.70,0
__import__.product_8347619,0,0,0,16.90,0
__import__.product_8353979,0,0,0,9999999999.99,0
__import__.product_8363653,0,0,0,190.10,0
__import__.product_8380172,0,0,0,24.60,0
__import__.product_8387429,0,0,0,8.40,0
__import__.product_8387984,0,0,0,9999999999.99,0
__import__.product_8401500,41.80,14.00,74.40,64.90,18.00
__import__.product_8425200,36.30,9.80,57.00,57.50,7.50
__import__.product_8427459,0,0,0,4.40,0
__import__.product_8427620,0,0,0,9.60,0
__import__.product_8428447,0,0,0,18.80,0
__import__.product_8428660,0,0,0,4.60,0
__import__.product_8446000,43.80,13.80,77.70,69.90,15.00
__import__.product_8466000,43.80,13.80,77.70,64.90,15.00
__import__.product_8474000,37.40,11.20,51.00,35.10,7.50
__import__.product_8494183,0,0,0,1.90,3.00
__import__.product_8504500,0,0,0,17.50,3.00
__import__.product_8515100,36.30,9.80,57.00,57.50,7.50
__import__.product_8762000,36.30,9.80,57.00,57.50,7.50
__import__.product_8762100,36.30,9.80,57.00,57.50,7.50
__import__.product_8804700,36.30,9.80,57.00,57.50,7.50
__import__.product_8825900,0,0,0,42.00,6.40
__import__.product_8826000,0,0,0,42.00,6.40
__import__.product_8830000,43.80,13.80,77.70,64.90,15.00
__import__.product_8847600,43.80,13.80,77.70,69.90,15.00
__import__.product_8916000,37.40,11.20,51.00,39.10,7.50
__import__.product_8952700,43.80,13.80,77.70,68.50,15.00
__import__.product_9012400,43.80,13.80,77.70,69.90,15.00
__import__.product_9015700,0,0,0,35.10,7.50
__import__.product_9436900,19.00,8.00,20.90,18.90,1.50
__import__.product_9512032,9.70,4.10,12.50,9.60,0.10
__import__.product_9536600,19.00,7.00,28.00,19.90,1.50
