id,indicated_price,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_2768596,36.30,154.000,8.60,13.80,2.40,41.000
__import__.product_2769297,164.10,23.000,3.60,3.70,7.00,7.000
__import__.product_2811388,14.50,50.000,3.20,7.10,11.10,15.000
__import__.product_2811396,110.10,40.000,13.00,11.10,14.10,20.000
__import__.product_2836336,23.00,10.000,3.40,3.40,11.20,4.000
__import__.product_2837094,15.50,102.000,14.20,8.50,3.10,25.000
__import__.product_2851343,92.00,14.000,19.50,14.50,10.00,8.000
__import__.product_2864239,73.40,16.000,3.70,3.70,7.20,8.000
__import__.product_2874832,17.60,65.000,5.00,5.00,9.50,18.000
__import__.product_2879526,30.00,100.000,9.00,5.00,10.50,27.000
__import__.product_2882199,56.00,16.000,4.80,14.30,9.80,7.000
__import__.product_2901205,21.70,37.000,24.50,6.50,3.50,13.000
__import__.product_2915429,58.80,67.000,35.00,26.00,8.00,19.000
__import__.product_2929974,32.00,40.000,7.20,3.60,12.80,20.000
__import__.product_2932523,9.30,60.000,0,0,0,20.000
__import__.product_2932531,76.00,30.000,5.70,6.60,10.60,15.000
__import__.product_2936151,182.00,9.000,13.50,10.80,7.20,3.000
__import__.product_2936797,55.20,24.000,5.40,5.40,10.30,12.000
__import__.product_2947752,19.80,67.000,4.60,10.30,2.60,18.000
__import__.product_2951507,15.30,30.000,4.00,3.90,11.00,12.000
__import__.product_2975704,38.40,2.000,0,0,0,1.000
__import__.product_2976991,47.40,1373.000,0,0,0,405.000
__import__.product_2992808,28.00,32.000,4.20,5.60,11.00,13.000
__import__.product_2992824,62.00,24.000,7.50,11.50,3.10,12.000
__import__.product_2992832,106.70,20.000,7.60,11.60,3.10,10.000
__import__.product_3007036,69.20,40.000,0,0,0,20.000
__import__.product_3007945,13.50,12.000,7.30,7.30,24.10,6.000
__import__.product_3028289,124.00,93.000,9.60,14.10,9.80,50.000
__import__.product_3028297,102.60,30.000,0,0,0,11.000
__import__.product_3028305,66.00,33.000,3.80,14.10,10.00,13.000
__import__.product_3028313,124.00,21.000,0,0,0,8.000
__import__.product_3028321,102.60,10.000,9.60,14.20,9.90,5.000
__import__.product_3028339,66.00,17.000,0,0,0,7.000
__import__.product_3030269,19.50,37.000,0,0,0,15.000
__import__.product_3073582,66.00,11.000,0,0,0,4.000
__import__.product_3073590,124.80,14.000,0,0,0,6.000
__import__.product_3076601,22.00,72.000,0,0,0,36.000
__import__.product_3076619,32.40,63.000,0,0,0,24.000
__import__.product_3086139,46.20,70.000,0,0,0,40.000
__import__.product_3090297,35.90,11.000,0,0,0,7.000
__import__.product_3109642,101.70,10.000,0,0,0,5.000
__import__.product_3113404,21.60,200.000,0,0,0,100.000
__import__.product_3145018,5.50,598.000,0,0,0,158.000
__import__.product_3145117,27.30,467.000,0,0,0,113.000
__import__.product_3159209,16.60,7.000,0,0,0,2.000
__import__.product_3159217,16.60,18.000,0,0,0,10.000
__import__.product_3166998,12.40,200.000,0,0,0,100.000
__import__.product_3216827,69.50,10.000,0,0,0,2.000
__import__.product_3364338,23.40,20.000,0,0,0,10.000
__import__.product_3364353,101.10,20.000,0,0,0,10.000
__import__.product_3383767,9.20,80.000,0,0,0,40.000
__import__.product_3542883,187.80,50.000,0,0,0,40.000
__import__.product_3581923,12.00,50.000,0,0,0,30.000
__import__.product_3607694,19.30,80.000,6.00,20.00,14.00,50.000
__import__.product_3607728,28.30,120.000,6.00,20.00,14.00,60.000
__import__.product_3680485,148.00,10.000,18.00,14.00,10.00,5.000
__import__.product_4469981,25.00,15.000,7.50,7.50,16.50,5.000
__import__.product_4483395,10.20,14.000,5.00,5.00,15.30,6.000
__import__.product_4484667,15.20,10.000,4.50,4.50,7.40,3.000
__import__.product_4629901,21.60,60.000,6.70,4.20,15.10,24.000
__import__.product_4789823,29.60,28.000,4.80,7.90,14.80,12.000
__import__.product_5007377,1.00,144.000,6.50,6.00,12.30,72.000
__import__.product_5042501,11.00,9.000,4.50,4.50,13.00,3.000
__import__.product_5042502,25.00,20.000,5.70,5.70,6.20,10.000
__import__.product_5042504,14.00,15.000,3.50,3.50,12.00,5.000
__import__.product_5042505,17.00,80.000,4.50,4.50,8.90,40.000
__import__.product_5042507,11.00,5.000,4.60,4.60,13.00,2.000
__import__.product_5042509,5.50,20.000,6.20,6.20,14.50,10.000
__import__.product_5042532,11.00,7.000,0,0,0,2.000
__import__.product_5042535,9.00,5.000,0,0,0,2.000
__import__.product_5042541,31.00,10.000,0,0,0,5.000
__import__.product_5065833,30.00,3.000,0,0,0,2.000
__import__.product_5070403,83.40,4.000,15.30,15.40,10.50,2.000
__import__.product_5142511,19.50,12.000,0,0,0,6.000
__import__.product_5142512,19.50,12.000,0,0,0,6.000
__import__.product_5142514,19.50,12.000,0,0,0,6.000
__import__.product_5142515,19.50,12.000,0,0,0,6.000
__import__.product_5142516,19.50,12.000,0,0,0,6.000
__import__.product_5142517,19.50,6.000,0,0,0,3.000
__import__.product_5142518,19.50,12.000,0,0,0,6.000
__import__.product_5192020,34.80,28.000,8.70,8.70,25.00,12.000
__import__.product_5192721,60.80,6.000,0,0,0,2.000
__import__.product_5242502,12.50,12.000,0,0,0,6.000
__import__.product_5242510,19.50,12.000,0,0,0,6.000
__import__.product_5242513,19.50,12.000,0,0,0,6.000
__import__.product_5259800,50.00,4.000,22.50,22.50,18.90,2.000
__import__.product_5259808,10.00,4.000,5.20,5.20,7.80,2.000
__import__.product_5259823,20.00,3.000,10.50,10.50,8.20,2.000
__import__.product_5259826,155.00,2.000,34.50,15.00,29.00,1.000
__import__.product_5259855,85.00,6.000,0,0,0,3.000
__import__.product_5259875,50.00,3.000,12.90,7.00,17.50,1.000
__import__.product_5267011,106.70,8.000,12.40,9.40,7.60,4.000
__import__.product_5267013,15.90,20.000,8.80,4.30,21.30,10.000
__import__.product_5270120,17.00,70.000,6.40,6.40,2.90,30.000
__import__.product_5282300,4.80,90.000,0,0,0,27.000
__import__.product_5311612,10.60,20.000,0,0,0,8.000
__import__.product_5331711,14.50,48.000,0,0,0,24.000
__import__.product_5331721,14.50,48.000,0,0,0,24.000
__import__.product_5331731,14.50,48.000,0,0,0,24.000
__import__.product_5342501,12.50,12.000,0,0,0,6.000
__import__.product_5430005,19.70,11.000,7.00,7.00,7.30,12.000
__import__.product_5430550,10.90,9.000,4.50,4.50,13.00,3.000
__import__.product_5432593,12.00,12.000,17.90,6.30,4.00,6.000
__import__.product_5450032,14.90,45.000,3.50,3.50,9.50,22.000
__import__.product_5710545,213.40,20.000,19.00,15.00,16.20,10.000
__import__.product_5753400,23.00,2.000,0,0,0,1.000
__import__.product_5760343,22.50,23.000,5.80,2.00,9.50,7.000
__import__.product_5764950,29.50,20.000,7.90,6.00,12.00,10.000
__import__.product_5810183,5.50,240.000,0,0,0,120.000
__import__.product_5822101,45.00,130.000,0,0,0,24.000
__import__.product_5822102,58.80,26.000,0,0,0,9.000
__import__.product_5822741,15.00,120.000,0,0,0,70.000
__import__.product_5822862,15.00,200.000,0,0,0,100.000
__import__.product_5822863,15.00,110.000,0,0,0,52.000
__import__.product_5823438,15.00,88.000,0,0,0,44.000
__import__.product_5826198,15.00,400.000,19.90,10.00,14.00,120.000
__import__.product_5826199,15.00,148.000,19.90,10.00,14.00,60.000
__import__.product_5840313,24.20,8.000,0,0,0,4.000
__import__.product_6040001,6.70,30.000,5.30,5.30,17.20,15.000
__import__.product_6197010,17.10,12.000,6.90,6.90,20.10,5.000
__import__.product_6197011,28.60,10.000,8.70,8.70,22.40,4.000
__import__.product_6197014,28.00,9.000,8.90,8.90,22.20,5.000
__import__.product_6197017,29.70,2.000,0,0,0,1.000
__import__.product_6197028,34.30,4.000,8.80,8.80,22.20,2.000
__import__.product_6350323,49.70,2.000,9.10,9.10,6.30,1.000
__import__.product_6600803,122.70,23.000,23.40,19.20,30.30,7.000
__import__.product_6600840,7.60,27.000,3.20,3.20,8.70,8.000
__import__.product_6600854,57.80,10.000,11.50,11.50,12.20,5.000
__import__.product_6600887,119.70,7.000,19.00,15.00,24.80,3.000
__import__.product_6733353,40.00,100.000,10.50,1.50,23.00,50.000
__import__.product_6742300,7.20,4.000,7.00,7.00,13.90,2.000
__import__.product_6765809,26.30,6.000,4.10,8.00,7.30,3.000
__import__.product_6771431,19.40,60.000,11.80,4.90,3.90,30.000
__import__.product_6778700,12.50,16.000,7.20,5.50,19.80,6.000
__import__.product_6823501,9.50,20.000,3.10,3.10,9.30,10.000
__import__.product_6824494,36.00,20.000,27.50,20.30,8.00,10.000
__import__.product_6848553,26.40,4.000,5.20,5.20,13.20,2.000
__import__.product_6902034,8.10,26.000,7.00,4.70,1.90,14.000
__import__.product_6929464,21.10,360.000,18.50,2.90,2.80,200.000
__import__.product_6948728,18.10,120.000,8.60,8.60,22.70,60.000
__import__.product_6980620,13.80,6.000,11.00,5.60,1.20,3.000
__import__.product_7003800,16.70,17.000,5.20,5.20,8.70,6.000
__import__.product_7110035,36.70,500.000,5.90,3.60,6.70,279.000
__import__.product_7420019,52.50,9.000,14.80,11.50,2.60,3.000
__import__.product_7420024,15.90,17.000,9.70,4.50,2.90,5.000
__import__.product_7764004,19.00,30.000,8.60,6.70,13.90,14.000
__import__.product_7764025,41.00,4.000,19.00,17.30,13.20,2.000
__import__.product_7764032,34.00,9.000,10.00,8.00,15.60,4.000
__import__.product_7764036,15.00,8.000,8.50,6.80,13.90,3.000
__import__.product_7764049,30.00,4.000,20.00,18.50,3.00,2.000
__import__.product_7764081,12.00,4.000,5.30,5.30,15.50,2.000
__import__.product_7930104,29.00,30.000,59.00,38.50,11.00,10.000
__import__.product_7956747,20.10,18.000,4.10,4.10,14.90,5.000
__import__.product_7965930,16.70,40.000,2.80,3.80,8.60,16.000
__import__.product_8002493,16.30,120.000,29.50,15.20,21.80,90.000
__import__.product_8074995,17.40,6.000,18.50,13.30,28.40,4.000
__import__.product_8090801,68.00,2.000,8.10,29.50,25.00,1.000
__import__.product_8090899,124.20,4.000,10.60,16.20,23.00,2.000
__import__.product_8095603,30.00,96.000,0,0,0,48.000
__import__.product_8110656,148.30,5.000,0,0,0,3.000
__import__.product_8196853,12.90,6.000,8.50,8.50,17.50,3.000
__import__.product_8252713,149.00,10.000,0,0,0,5.000
__import__.product_8259858,39.50,2.000,0,0,0,1.000
__import__.product_8270057,9.50,14.000,11.60,11.60,12.20,5.000
__import__.product_8270064,23.60,30.000,25.40,18.90,12.50,20.000
__import__.product_8270165,23.60,80.000,25.20,18.90,12.50,40.000
__import__.product_8270225,138.60,2.000,13.60,13.60,19.30,1.000
__import__.product_8270533,79.80,2.000,24.30,22.50,19.40,1.000
__import__.product_8330043,10.20,60.000,4.50,4.50,15.20,28.000
__import__.product_9512024,29.00,36.000,5.30,5.30,14.60,12.000
