id,list_price,orderpoint_max,depth,width,length,orderpoint_min
__import__.product_1809750,10.90,15.000,0,0,0,8.000
__import__.product_2071835,9.90,48.000,7.20,3.90,3.90,22.000
__import__.product_2087138,12.50,30.000,2.00,5.80,10.70,15.000
__import__.product_2123271,9.20,40.000,3.10,7.00,23.30,20.000
__import__.product_2183143,41.50,99.000,7.00,3.50,3.50,27.000
__import__.product_2210987,19.30,40.000,4.10,5.70,13.20,16.000
__import__.product_2251874,61.60,53.000,4.70,8.40,9.90,19.000
__import__.product_2251882,41.60,16.000,4.70,8.40,9.90,5.000
__import__.product_2265643,3.20,7.000,1.80,1.40,7.70,1.000
__import__.product_2271112,14.90,223.000,4.70,5.50,10.70,66.000
__import__.product_2287120,61.90,2.000,0,0,0,1.000
__import__.product_2288926,69.00,20.000,21.80,14.70,14.70,8.000
__import__.product_2328904,10.70,32.000,15.10,4.10,6.70,10.000
__import__.product_2342103,61.60,44.000,23.40,6.10,10.70,20.000
__import__.product_2379758,8.40,218.000,4.20,7.50,9.30,59.000
__import__.product_2379808,8.40,172.000,2.00,6.90,9.20,47.000
__import__.product_2382737,10.10,60.000,13.40,4.70,4.70,22.000
__import__.product_2407393,16.90,19.000,1.80,11.50,15.00,5.000
__import__.product_2407401,30.90,12.000,2.70,11.50,14.90,3.000
__import__.product_2407427,36.90,15.000,2.70,11.50,14.40,4.000
__import__.product_2413466,11.00,2.000,0,0,0,1.000
__import__.product_2413508,7.20,3.000,0,0,0,2.000
__import__.product_2432821,11.50,42.000,3.70,5.20,10.80,13.000
__import__.product_2451649,21.40,26.000,2.00,6.50,12.30,10.000
__import__.product_2457745,114.00,18.000,8.40,16.70,8.70,6.000
__import__.product_2458032,10.30,577.000,12.40,5.10,3.90,170.000
__import__.product_2472496,912.30,6.000,23.50,34.20,20.90,4.000
__import__.product_2487189,25.70,22.000,9.20,12.20,12.20,7.000
__import__.product_2509792,34.70,58.000,2.00,5.50,13.50,16.000
__import__.product_2543049,61.90,10.000,5.70,6.50,10.30,5.000
__import__.product_2549418,67.80,30.000,12.70,8.30,16.50,15.000
__import__.product_2561181,82.80,10.000,15.00,6.80,6.90,4.000
__import__.product_2597250,42.90,15.000,0,0,0,5.000
__import__.product_2604965,3.10,460.000,11.80,4.20,4.20,144.000
__import__.product_2605228,74.00,223.000,7.00,6.50,14.00,66.000
__import__.product_2617231,11.80,20.000,2.10,15.30,10.70,10.000
__import__.product_2617397,10.40,50.000,2.10,15.30,10.80,30.000
__import__.product_2624229,9.60,32.000,3.60,14.30,8.10,10.000
__import__.product_2658607,114.50,16.000,17.00,9.00,9.00,10.000
__import__.product_2691384,8.80,273.000,6.60,4.50,3.00,81.000
__import__.product_2716850,12.20,72.000,6.50,3.50,3.50,36.000
__import__.product_2720779,11.50,30.000,0,0,0,15.000
__import__.product_2730984,27.40,106.000,6.80,3.20,3.30,29.000
__import__.product_2747897,17.40,45.000,6.80,3.00,3.00,12.000
__import__.product_2751410,72.50,80.000,14.00,5.00,3.10,50.000
__import__.product_2815058,14.20,36.000,8.70,5.30,5.30,11.000
__import__.product_2829752,29.70,58.000,3.10,17.60,13.20,17.000
__import__.product_2837268,61.00,17.000,22.80,16.70,28.70,7.000
__import__.product_2849073,38.60,10.000,8.50,18.00,16.00,5.000
__import__.product_2853216,15.40,10.000,8.60,11.50,5.00,3.000
__import__.product_2853240,19.10,1557.000,5.90,2.80,2.80,400.000
__import__.product_2884922,40.10,100.000,0,0,0,30.000
__import__.product_2900146,582.00,2.000,0,0,0,1.000
__import__.product_2932747,12.30,120.000,13.90,4.90,4.90,21.000
__import__.product_2941029,113.30,5.000,0,0,0,2.000
__import__.product_2951549,20.60,18.000,15.20,4.90,5.00,6.000
__import__.product_2954436,31.60,76.000,0,0,0,21.000
__import__.product_2963775,37.30,20.000,6.00,12.10,4.90,10.000
__import__.product_2978179,209.00,50.000,0,0,0,30.000
__import__.product_2979003,138.30,7.000,9.50,13.00,16.20,3.000
__import__.product_3006042,15.90,6.000,4.00,30.00,36.00,3.000
__import__.product_3009974,10.40,17.000,0,0,0,5.000
__import__.product_3025855,12.80,190.000,9.20,4.10,4.10,51.000
__import__.product_3026044,72.60,10.000,14.70,10.90,12.40,5.000
__import__.product_3026051,82.80,4.000,14.80,10.90,12.40,2.000
__import__.product_3026168,38.70,40.000,0,0,0,22.000
__import__.product_3037751,17.00,2.000,0,0,0,1.000
__import__.product_3038841,64.60,78.000,0,0,0,30.000
__import__.product_3041803,14.20,70.000,0,0,0,30.000
__import__.product_3041811,11.90,101.000,0,0,0,27.000
__import__.product_3045507,64.10,4.000,0,0,0,2.000
__import__.product_3045564,30.20,3.000,5.20,13.40,3.30,1.000
__import__.product_3074226,82.20,30.000,0,0,0,15.000
__import__.product_3080264,25.20,20.000,0,0,0,10.000
__import__.product_3085313,34.00,8.000,0,0,0,4.000
__import__.product_3085321,76.50,7.000,0,0,0,2.000
__import__.product_3087327,14.00,400.000,0,0,0,280.000
__import__.product_3103850,51.50,350.000,0,0,0,200.000
__import__.product_3122465,80.20,12.000,0,0,0,6.000
__import__.product_3129699,28.40,80.000,0,0,0,30.000
__import__.product_3129723,48.30,130.000,0,0,0,60.000
__import__.product_3168150,47.50,14.000,0,0,0,7.000
__import__.product_3205317,161.70,4.000,0,0,0,2.000
__import__.product_3215498,22.30,37.000,0,0,0,9.000
__import__.product_3237740,43.90,25.000,0,0,0,12.000
__import__.product_3254588,25.20,300.000,0,0,0,150.000
__import__.product_3256294,37.50,110.000,0,0,0,30.000
__import__.product_3275609,18.40,2.000,0,0,0,1.000
__import__.product_3296431,57.70,12.000,0,0,0,6.000
__import__.product_3378924,9.20,36.000,0,0,0,24.000
__import__.product_3409976,15.30,4.000,0,0,0,2.000
__import__.product_3412871,14.20,24.000,0,0,0,12.000
__import__.product_3419728,4.60,10.000,0,0,0,5.000
__import__.product_3445186,27.60,24.000,0,0,0,12.000
__import__.product_3458536,57.50,5.000,0,0,0,2.000
__import__.product_3612512,53.50,20.000,0,0,0,10.000
__import__.product_3679701,12.80,2.000,0,0,0,1.000
__import__.product_3679719,9.50,60.000,0,0,0,30.000
__import__.product_4062182,1.00,1200.000,10.00,16.00,22.00,600.000
__import__.product_4218359,3.30,96.000,10.50,10.50,20.50,48.000
__import__.product_4241781,122.00,4.000,16.00,35.50,21.40,2.000
__import__.product_4327784,9.40,90.000,27.00,24.00,34.00,40.000
__import__.product_4341092,6.40,4.000,0,0,0,2.000
__import__.product_4449599,58.00,8.000,22.10,26.80,28.70,4.000
__import__.product_4507747,10.60,39.000,28.20,15.30,6.70,19.000
__import__.product_4580922,111.00,7.000,27.00,24.00,34.00,4.000
__import__.product_4741437,90.00,12.000,27.00,24.00,34.00,6.000
__import__.product_4950051,13.50,28.000,0,0,0,16.000
__import__.product_5001123,25.40,120.000,4.00,25.00,39.00,60.000
__import__.product_5001304,4.20,24.000,0,0,0,4.000
__import__.product_5002123,25.40,50.000,4.00,25.00,39.00,25.000
__import__.product_5007840,19.00,2.000,0,0,0,1.000
__import__.product_5008430,682.80,6.000,0,0,0,3.000
__import__.product_5010103,88.30,2.000,0,0,0,1.000
__import__.product_5010685,3.30,8.000,6.80,6.30,2.30,4.000
__import__.product_5011302,26.90,20.000,17.40,12.40,3.00,10.000
__import__.product_5017682,19.20,4.000,0,0,0,2.000
__import__.product_5021015,17.90,2.000,0,0,0,1.000
__import__.product_5021016,8.90,2.000,0,0,0,1.000
__import__.product_5021519,31.50,6.000,0,0,0,3.000
__import__.product_5021520,31.50,4.000,0,0,0,2.000
__import__.product_5021524,31.50,6.000,0,0,0,3.000
__import__.product_5029015,15.00,24.000,19.20,6.70,6.70,12.000
__import__.product_5031006,72.20,8.000,17.50,21.80,20.70,4.000
__import__.product_5032419,50.00,4.000,0,0,0,1.000
__import__.product_5040299,7.60,2.000,0,0,0,1.000
__import__.product_5042803,42.00,2.000,0,0,0,1.000
__import__.product_5043550,1.00,600.000,1.00,4.00,13.50,300.000
__import__.product_5043552,1.00,600.000,14.00,11.50,18.50,300.000
__import__.product_5043554,1.00,150.000,1.00,4.00,13.50,112.000
__import__.product_5044792,3.00,24.000,18.00,0.50,6.40,12.000
__import__.product_5049440,53.00,24.000,14.00,20.50,20.50,12.000
__import__.product_5051470,79.00,10.000,0,0,0,5.000
__import__.product_5052031,34.60,20.000,39.00,5.00,29.00,10.000
__import__.product_5058952,49.90,6.000,3.20,12.30,17.60,3.000
__import__.product_5061005,29.00,20.000,0,0,0,10.000
__import__.product_5061305,45.00,20.000,0,0,0,10.000
__import__.product_5072999,10.10,24.000,0,0,0,12.000
__import__.product_5080028,1.80,40.000,5.80,15.90,5.40,20.000
__import__.product_5080404,232.00,3.000,22.80,19.40,16.20,2.000
__import__.product_5080411,24.00,24.000,27.50,8.50,9.50,12.000
__import__.product_5105620,105.00,4.000,0,0,0,1.000
__import__.product_5105622,105.00,2.000,0,0,0,1.000
__import__.product_5111330,2125.00,5.000,0,0,0,3.000
__import__.product_5116116,243.00,2.000,0,0,0,1.000
__import__.product_5120572,2.90,220.000,0,0,0,100.000
__import__.product_5121330,18.00,2.000,4.60,18.90,9.70,1.000
__import__.product_5123124,17.10,60.000,0,0,0,30.000
__import__.product_5123456,36.00,10.000,0,0,0,2.000
__import__.product_5131300,11.10,12.000,1.30,1.20,13.00,6.000
__import__.product_5131315,11.70,3.000,1.00,6.50,12.50,2.000
__import__.product_5131325,4.30,20.000,0,0,0,10.000
__import__.product_5132120,11.80,2.000,0,0,0,1.000
__import__.product_5140453,5.10,286.000,0,0,0,120.000
__import__.product_5141398,5.00,72.000,0,0,0,36.000
__import__.product_5141850,50.00,6.000,19.00,23.00,34.00,3.000
__import__.product_5142434,4.20,40.000,0,0,0,4.000
__import__.product_5145217,83.20,14.000,20.00,11.50,11.50,7.000
__import__.product_5147670,21.80,2.000,0,0,0,1.000
__import__.product_5159400,25.70,150.000,2.00,16.20,23.00,70.000
__import__.product_5165352,453.30,14.000,0,0,0,6.000
__import__.product_5184004,1.10,600.000,5.00,4.00,4.00,50.000
__import__.product_5192010,6.40,27.000,18.50,2.50,3.50,11.000
__import__.product_5192013,17.30,12.000,21.00,4.50,7.60,4.000
__import__.product_5200410,28.00,10.000,11.00,2.60,9.70,5.000
__import__.product_5240220,16.00,10.000,3.50,6.50,6.50,5.000
__import__.product_5244041,1625.00,5.000,0,0,0,3.000
__import__.product_5244043,1805.00,5.000,0,0,0,3.000
__import__.product_5248002,20.00,30.000,25.50,3.00,47.50,15.000
__import__.product_5248003,25.60,30.000,31.50,3.00,63.00,15.000
__import__.product_5250018,156.00,96.000,0,0,0,48.000
__import__.product_5250393,3.00,3.000,0,0,0,2.000
__import__.product_5266002,24.00,3.000,10.00,5.20,5.20,1.000
__import__.product_5268500,22.00,20.000,0,0,0,10.000
__import__.product_5271307,16.00,2.000,0,0,0,1.000
__import__.product_5272201,2.80,3.000,0,0,0,2.000
__import__.product_5272202,2.80,8.000,0,0,0,2.000
__import__.product_5272203,2.80,3.000,0,0,0,2.000
__import__.product_5273691,3.10,50.000,0,0,0,25.000
__import__.product_5273692,3.10,50.000,0,0,0,25.000
__import__.product_5277508,31.30,4.000,37.00,14.00,30.00,2.000
__import__.product_5279805,16.10,6.000,27.00,3.50,26.00,3.000
__import__.product_5279809,23.70,5.000,26.00,4.70,47.00,3.000
__import__.product_5280411,142.80,2.000,28.00,13.50,18.00,1.000
__import__.product_5300000,24.00,6.000,0,0,0,3.000
__import__.product_5300111,20.40,2.000,0,0,0,1.000
__import__.product_5300605,2.30,30.000,0,0,0,26.000
__import__.product_5301135,43.50,4.000,0,0,0,2.000
__import__.product_5301136,43.50,2.000,0,0,0,1.000
__import__.product_5301137,43.50,2.000,0,0,0,1.000
__import__.product_5301143,42.00,4.000,0,0,0,2.000
__import__.product_5332650,3.80,60.000,0,0,0,30.000
__import__.product_5333025,111.80,6.000,0,0,0,4.000
__import__.product_5338697,12.00,10.000,0,0,0,5.000
__import__.product_5351560,21.00,2.000,0,0,0,1.000
__import__.product_5356001,16.00,3.000,19.00,20.90,13.60,2.000
__import__.product_5356040,10.00,5.000,0,0,0,3.000
__import__.product_5383245,45.00,2.000,0,0,0,1.000
__import__.product_5390255,24.00,6.000,0,0,0,1.000
__import__.product_5392001,2.30,20.000,0,0,0,10.000
__import__.product_5394003,24.50,85.000,20.00,9.90,9.90,34.000
__import__.product_5394005,19.60,16.000,0,0,0,8.000
__import__.product_5394008,22.00,50.000,4.50,16.50,24.50,20.000
__import__.product_5398401,12.00,12.000,0,0,0,6.000
__import__.product_5402069,1.00,110.000,0,0,0,10.000
__import__.product_5402468,900.00,6.000,0,0,0,1.000
__import__.product_5426907,1.40,200.000,2.50,13.80,4.00,100.000
__import__.product_5426909,1.40,200.000,2.10,4.00,14.80,100.000
__import__.product_5426910,1.40,100.000,2.50,4.00,14.80,50.000
__import__.product_5427970,3.00,20.000,0,0,0,5.000
__import__.product_5430250,24.20,5.000,16.80,5.80,5.80,2.000
__import__.product_5432003,28.00,200.000,0,0,0,100.000
__import__.product_5436632,3.30,4.000,2.20,21.00,27.00,2.000
__import__.product_5439195,37.00,3.000,0,0,0,1.000
__import__.product_5439196,37.00,2.000,0,0,0,1.000
__import__.product_5445305,10.90,15.000,0.50,0.50,80.00,5.000
__import__.product_5446023,44.00,30.000,0,0,0,20.000
__import__.product_5450027,13.80,11.000,10.80,7.30,3.40,4.000
__import__.product_5450048,9.50,30.000,2.50,3.20,12.00,10.000
__import__.product_5461313,6.60,9.000,0,0,0,3.000
__import__.product_5473651,8.40,4.000,0,0,0,2.000
__import__.product_5512034,21.00,8.000,0,0,0,4.000
__import__.product_5560454,35.20,24.000,7.00,16.20,10.80,12.000
__import__.product_5560455,40.30,4.000,10.50,6.50,15.80,2.000
__import__.product_5590000,19.30,2.000,0,0,0,1.000
__import__.product_5590004,19.30,4.000,0,0,0,2.000
__import__.product_5610557,32.00,3.000,15.80,7.40,7.40,1.000
__import__.product_5610561,223.60,8.000,0,0,0,5.000
__import__.product_5617242,1860.00,2.000,0,0,0,1.000
__import__.product_5621003,56.00,5.000,0,0,0,2.000
__import__.product_5621013,57.40,5.000,0,0,0,2.000
__import__.product_5621023,70.00,5.000,0,0,0,2.000
__import__.product_5621025,75.60,5.000,0,0,0,2.000
__import__.product_5621033,72.80,5.000,0,0,0,2.000
__import__.product_5621035,78.40,5.000,0,0,0,2.000
__import__.product_5621083,16.90,60.000,0,0,0,30.000
__import__.product_5626100,995.00,5.000,0,0,0,2.000
__import__.product_5630506,10.00,2.000,0,0,0,1.000
__import__.product_5640990,61.50,5.000,0,0,0,1.000
__import__.product_5654322,7.00,60.000,8.50,1.20,10.00,10.000
__import__.product_5661500,27.00,20.000,0,0,0,10.000
__import__.product_5671002,19.00,20.000,0,0,0,10.000
__import__.product_5680002,10.90,2.000,0,0,0,1.000
__import__.product_5700061,0.80,240.000,0,0,0,120.000
__import__.product_5702002,30.00,2.000,0,0,0,1.000
__import__.product_5702100,62.00,4.000,0,0,0,2.000
__import__.product_5711040,29.00,2.000,0,0,0,1.000
__import__.product_5711085,16.00,4.000,0,0,0,2.000
__import__.product_5712014,36.00,2.000,0,0,0,1.000
__import__.product_5721001,24.00,10.000,0,0,0,5.000
__import__.product_5721910,140.00,2.000,0,0,0,1.000
__import__.product_5722000,115.00,4.000,0,0,0,2.000
__import__.product_5722002,36.00,5.000,0,0,0,2.000
__import__.product_5722013,36.00,5.000,0,0,0,2.000
__import__.product_5722200,62.00,2.000,0,0,0,1.000
__import__.product_5727600,16.90,12.000,0,0,0,2.000
__import__.product_5729555,19.00,2.000,0,0,0,1.000
__import__.product_5740024,22.50,10.000,0,0,0,5.000
__import__.product_5740026,29.10,4.000,0,0,0,2.000
__import__.product_5741500,13.50,22.000,0,0,0,10.000
__import__.product_5760317,51.30,2.000,0,0,0,1.000
__import__.product_5764000,3.50,22.000,8.50,4.00,4.00,9.000
__import__.product_5764008,5.80,25.000,2.00,3.60,14.30,15.000
__import__.product_5792021,82.50,10.000,7.30,31.50,28.30,5.000
__import__.product_5792056,41.20,6.000,0,0,0,3.000
__import__.product_5792057,8.20,8.000,0,0,0,4.000
__import__.product_5822387,19.30,15.000,0,0,0,6.000
__import__.product_5915000,28.50,40.000,15.00,2.80,6.80,20.000
__import__.product_5916405,72.40,16.000,17.30,3.00,12.00,8.000
__import__.product_5916502,45.90,4.000,17.00,3.00,12.00,2.000
__import__.product_5920020,50.00,8.000,19.40,22.30,22.30,4.000
__import__.product_5920082,29.10,2.000,0,0,0,1.000
__import__.product_5920466,2.80,24.000,0,0,0,12.000
__import__.product_5920467,3.20,24.000,0,0,0,12.000
__import__.product_5920602,10.80,10.000,0,0,0,5.000
__import__.product_5942206,13.50,20.000,0,0,0,10.000
__import__.product_5942209,13.50,6.000,0,0,0,3.000
__import__.product_5967000,100.00,60.000,0,0,0,20.000
__import__.product_5967003,48.00,184.000,0,0,0,40.000
__import__.product_5967004,48.00,180.000,0,0,0,90.000
__import__.product_5967005,54.00,375.000,0,0,0,250.000
__import__.product_5994481,27.00,6.000,0,0,0,3.000
__import__.product_6039001,66.50,10.000,18.20,12.80,3.50,5.000
__import__.product_6040056,1.90,50.000,2.50,9.20,13.00,25.000
__import__.product_6043001,81.30,12.000,0,0,0,6.000
__import__.product_6350329,39.70,23.000,28.60,13.50,18.50,7.000
__import__.product_6350435,16.00,20.000,3.50,6.60,6.60,10.000
__import__.product_6355005,14.20,2.000,0,0,0,1.000
__import__.product_6446000,53.00,20.000,18.00,3.60,12.60,10.000
__import__.product_6446002,57.00,40.000,17.90,12.60,3.50,20.000
__import__.product_6446003,54.00,20.000,3.50,12.80,18.00,10.000
__import__.product_6446007,57.00,15.000,17.90,12.50,3.70,5.000
__import__.product_6446010,76.00,50.000,3.00,17.90,24.80,30.000
__import__.product_6446011,90.00,20.000,2.90,17.90,24.80,15.000
__import__.product_6446012,83.00,32.000,3.00,17.90,24.90,16.000
__import__.product_6446013,82.00,24.000,3.10,18.00,24.80,12.000
__import__.product_6446017,47.00,2.000,3.00,18.00,24.80,1.000
__import__.product_6446018,49.00,2.000,3.00,18.00,24.80,1.000
__import__.product_6446020,27.00,24.000,3.70,12.60,18.00,12.000
__import__.product_6446021,42.00,2.000,3.00,17.90,24.70,1.000
__import__.product_6446022,54.00,6.000,17.90,12.60,3.60,4.000
__import__.product_6446036,28.00,8.000,2.80,10.00,11.00,4.000
__import__.product_6450009,335.00,2.000,0,0,0,1.000
__import__.product_6600819,144.10,4.000,30.40,19.30,23.20,2.000
__import__.product_6600842,9.60,22.000,20.00,6.60,6.60,6.000
__import__.product_6600849,18.80,2.000,6.00,19.00,19.00,1.000
__import__.product_6605001,12.00,2.000,0,0,0,1.000
__import__.product_6605031,15.00,5.000,0,0,0,2.000
__import__.product_6621003,15.00,10.000,0,0,0,5.000
__import__.product_6621038,15.00,5.000,0,0,0,2.000
__import__.product_6623032,27.30,20.000,0,0,0,10.000
__import__.product_6709998,8.10,4.000,8.20,4.70,4.70,2.000
__import__.product_6725974,19.40,22.000,10.80,5.60,5.60,10.000
__import__.product_6730082,11.40,44.000,3.30,4.70,8.90,20.000
__import__.product_6774820,255.00,36.000,7.00,13.00,16.10,20.000
__import__.product_6799613,33.00,10.000,7.00,7.00,3.50,5.000
__import__.product_6826681,45.00,250.000,8.30,4.50,4.50,150.000
__import__.product_6838916,5.70,30.000,10.80,4.50,4.50,10.000
__import__.product_6864888,26.00,17.000,0,0,0,7.000
__import__.product_6867912,7.50,96.000,8.20,4.60,4.60,48.000
__import__.product_6868372,29.20,5.000,0,0,0,2.000
__import__.product_6868484,7.20,20.000,8.20,4.60,4.60,8.000
__import__.product_6868745,6.30,240.000,1.80,4.60,7.00,120.000
__import__.product_6878206,9.90,3.000,4.10,12.50,9.50,1.000
__import__.product_6891721,49.00,5.000,0,0,0,3.000
__import__.product_6899243,143.40,12.000,10.70,5.70,5.70,6.000
__import__.product_6902577,13.50,120.000,7.80,4.30,4.30,60.000
__import__.product_6931805,9.40,3.000,10.40,5.80,5.70,1.000
__import__.product_6960758,12.90,6.000,10.40,5.40,5.40,3.000
__import__.product_6969771,15.90,30.000,8.40,4.80,4.80,18.000
__import__.product_6971667,12.00,2.000,3.30,5.50,22.50,1.000
__import__.product_6997916,25.00,20.000,9.00,4.50,4.50,10.000
__import__.product_7058414,31.50,4.000,0,0,0,2.000
__import__.product_7104300,1008.00,2.000,0,0,0,1.000
__import__.product_7110025,54.20,333.000,6.50,4.30,9.90,98.000
__import__.product_7141305,6.30,24.000,0,0,0,12.000
__import__.product_7302500,0.80,80.000,8.40,7.00,7.00,40.000
__import__.product_7376464,6.30,8.000,2.50,3.30,11.50,3.000
__import__.product_7413006,52.50,2.000,22.00,19.10,28.20,1.000
__import__.product_7413010,21.50,15.000,0,0,0,10.000
__import__.product_7420007,5.10,12.000,4.70,5.20,10.00,4.000
__import__.product_7429059,11.90,5.000,0,0,0,2.000
__import__.product_7445484,99.20,2.000,0,0,0,1.000
__import__.product_7464500,103.00,2.000,0,0,0,1.000
__import__.product_7534408,21.50,20.000,9.80,5.10,5.10,10.000
__import__.product_7536956,6.40,20.000,4.00,3.20,12.70,10.000
__import__.product_7568287,7.00,5.000,0,0,0,2.000
__import__.product_7735004,1.60,80.000,11.40,2.90,2.90,40.000
__import__.product_7745019,8.40,14.000,10.60,4.90,4.90,6.000
__import__.product_7745020,8.40,29.000,10.00,4.80,4.80,12.000
__import__.product_7745051,26.40,20.000,23.00,8.40,8.40,8.000
__import__.product_7760220,6.20,157.000,1.90,4.70,7.00,46.000
__import__.product_7764007,74.80,4.000,14.30,12.20,12.20,2.000
__import__.product_7764037,14.30,20.000,15.50,8.00,9.80,10.000
__import__.product_7764313,7.80,2.000,11.90,6.50,7.80,1.000
__import__.product_7863968,17.50,5.000,0,0,0,2.000
__import__.product_7911779,13.00,5.000,17.00,9.80,9.80,3.000
__import__.product_7917100,29.80,26.000,0,0,0,6.000
__import__.product_7917101,26.30,4.000,18.50,4.00,18.00,2.000
__import__.product_7920024,4.10,30.000,4.80,4.90,6.70,15.000
__import__.product_7920030,61.40,2.000,26.00,11.60,24.90,1.000
__import__.product_7920034,10.80,2.000,0,0,0,1.000
__import__.product_7920037,19.00,10.000,3.00,12.40,17.30,5.000
__import__.product_7920039,22.70,10.000,3.00,12.40,17.30,5.000
__import__.product_7920043,10.80,4.000,0,0,0,2.000
__import__.product_7920049,59.70,50.000,3.00,12.40,17.30,25.000
__import__.product_7920069,4.90,6.000,6.00,6.50,13.20,3.000
__import__.product_7920070,4.90,16.000,6.00,6.00,13.40,8.000
__import__.product_7920143,10.80,10.000,0,0,0,5.000
__import__.product_7933605,12.00,13.000,21.50,14.00,10.00,6.000
__import__.product_7944365,29.50,2.000,22.00,7.00,16.40,1.000
__import__.product_7969004,27.50,3.000,12.90,20.00,20.00,2.000
__import__.product_8002487,8.00,180.000,18.20,13.50,26.00,135.000
__import__.product_8007013,12.30,6.000,5.10,15.30,15.30,3.000
__import__.product_8007711,5.30,24.000,3.00,6.00,41.50,12.000
__import__.product_8007993,5.60,15.000,5.30,7.30,7.30,5.000
__import__.product_8021734,5.10,15.000,4.30,19.50,6.80,10.000
__import__.product_8021757,5.10,3.000,6.50,4.00,19.20,3.000
__import__.product_8021763,5.10,36.000,4.30,6.80,19.40,24.000
__import__.product_8021786,4.30,60.000,0,0,0,30.000
__import__.product_8021792,4.30,300.000,0,0,0,150.000
__import__.product_8021793,5.10,5.000,0,0,0,2.000
__import__.product_8024224,39.00,4.000,0,0,0,2.000
__import__.product_8027004,8.40,3.000,6.70,19.50,48.80,2.000
__import__.product_8027547,63.50,126.000,25.50,19.40,19.40,30.000
__import__.product_8028015,1.10,20.000,3.40,3.60,12.20,10.000
__import__.product_8028021,1.10,40.000,3.50,3.50,12.30,20.000
__import__.product_8028038,1.10,20.000,3.50,3.50,12.30,10.000
__import__.product_8028044,1.10,10.000,3.50,3.50,12.30,5.000
__import__.product_8028587,6.10,23.000,26.30,8.20,8.20,15.000
__import__.product_8030025,13.50,10.000,0,0,0,1.000
__import__.product_8030590,4.00,80.000,2.80,6.20,8.30,40.000
__import__.product_8030851,3.10,40.000,0,0,0,20.000
__import__.product_8031017,86.30,6.000,13.00,4.60,4.60,3.000
__import__.product_8031141,43.10,8.000,13.00,4.60,4.60,2.000
__import__.product_8035529,55.00,8.000,3.00,8.70,31.00,4.000
__import__.product_8038048,29.50,40.000,17.20,19.50,31.10,20.000
__import__.product_8039740,81.90,6.000,1.90,32.00,39.90,3.000
__import__.product_8040447,4.50,5.000,0,0,0,2.000
__import__.product_8040453,4.50,40.000,0,0,0,20.000
__import__.product_8041470,4.50,8.000,2.00,12.30,12.30,3.000
__import__.product_8041576,18.00,6.000,2.00,12.30,12.30,3.000
__import__.product_8043730,4.80,90.000,0.10,51.30,99.20,60.000
__import__.product_8043902,3.30,105.000,0.10,38.70,69.70,70.000
__import__.product_8049649,580.50,2.000,0,0,0,1.000
__import__.product_8053616,3.00,400.000,20.00,10.00,20.00,200.000
