id,indicated_price,list_price,weight,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_5294786,65.90,38.50,14.00,4.000,0,0,0,2.000
__import__.product_5294793,65.90,38.50,14.00,4.000,0,0,0,2.000
__import__.product_5317599,10.00,5.70,1.00,35.000,0,0,0,17.000
__import__.product_5317619,85.00,49.30,12.00,47.000,0,0,0,23.000
__import__.product_5317669,10.00,5.80,1.00,2.000,0,0,0,1.000
__import__.product_5317679,85.00,49.30,12.00,7.000,0,0,0,4.000
__import__.product_5317719,10.00,5.70,1.00,35.000,0,0,0,15.000
__import__.product_5317739,85.00,49.30,12.00,120.000,0,0,0,80.000
__import__.product_5317740,36.00,21.60,4.80,2.000,0,0,0,1.000
__import__.product_5317749,10.00,5.70,1.00,8.000,0,0,0,4.000
__import__.product_5317769,85.00,49.30,12.00,51.000,0,0,0,25.000
__import__.product_5317929,85.00,49.30,12.00,67.000,0,0,0,33.000
__import__.product_5317979,10.00,5.70,1.00,4.000,0,0,0,2.000
__import__.product_5317989,85.00,49.30,12.00,12.000,0,0,0,6.000
__import__.product_5361784,36.00,21.60,4.80,2.000,0,0,0,1.000
__import__.product_5361901,90.00,54.30,15.00,3.000,0,0,0,1.000
__import__.product_5416396,173.70,99.00,0.80,24.000,0,0,0,12.000
__import__.product_5416403,254.40,145.00,1.00,20.000,0,0,0,10.000
__import__.product_5416411,173.70,99.00,1.00,50.000,0,0,0,30.000
__import__.product_5422036,43.00,26.20,5.00,2.000,51.00,14.50,24.00,1.000
__import__.product_5432007,254.40,145.00,1.00,50.000,0,0,0,30.000
__import__.product_5505007,115.00,69.50,5.00,5.000,0,0,0,1.000
__import__.product_5522200,30.90,18.30,3.00,3.000,24.00,20.00,9.00,2.000
__import__.product_5611501,13.00,6.50,0.10,10.000,0,0,0,5.000
__import__.product_5624909,26.50,18.10,2.50,5.000,0,0,0,2.000
__import__.product_5810470,46.50,26.90,5.00,60.000,0,0,0,20.000
__import__.product_5810746,88.50,51.20,12.00,30.000,0,0,0,12.000
__import__.product_5822099,88.50,51.20,12.00,386.000,0,0,0,170.000
__import__.product_5823609,88.50,51.20,12.00,60.000,0,0,0,25.000
__import__.product_5826139,88.50,51.20,12.00,358.000,60.60,41.20,12.30,200.000
__import__.product_6726703,12.30,8.00,0.10,10.000,0,0,0,5.000
__import__.product_6780401,28.90,18.80,0.10,6.000,0,0,0,3.000
__import__.product_6818233,29.20,19.00,0.10,10.000,0,0,0,6.000
__import__.product_8471064,5.80,3.30,1.00,2.000,0,0,0,1.000
__import__.product_8841200,30.90,18.30,3.00,2.000,24.00,20.00,9.00,1.000
__import__.product_8841400,30.90,18.30,3.00,6.000,24.00,20.00,9.00,2.000
