id,width,depth,length,orderpoint_min,orderpoint_max
__import__.product_1128966,4.30,4.80,9.90,20.000,79.000
__import__.product_1128974,4.20,4.80,9.90,89.000,302.000
__import__.product_1146919,11.00,4.70,11.60,5.000,10.000
__import__.product_1148378,7.60,6.00,18.50,2.000,4.000
__import__.product_1154582,7.80,7.70,15.70,4.000,10.000
__import__.product_1154608,7.80,7.80,15.70,3.000,10.000
__import__.product_1156876,5.40,17.40,5.40,91.000,338.000
__import__.product_1157346,13.00,15.00,17.00,4.000,14.000
__import__.product_1164037,5.00,13.40,5.00,60.000,120.000
__import__.product_1164045,6.60,18.60,10.00,24.000,48.000
__import__.product_1179811,4.80,1.90,8.90,4.000,15.000
__import__.product_1179837,4.80,1.90,8.80,10.000,24.000
__import__.product_1180280,5.30,14.40,5.10,150.000,300.000
__import__.product_1180306,5.40,5.30,17.00,30.000,60.000
__import__.product_1180314,7.90,7.80,17.80,100.000,200.000
__import__.product_1180322,10.40,10.20,17.30,100.000,200.000
__import__.product_1180454,10.30,14.40,10.30,200.000,400.000
__import__.product_1181163,7.70,14.70,7.70,650.000,1300.000
__import__.product_1182567,3.30,7.60,3.30,80.000,160.000
__import__.product_1193457,5.40,17.40,5.40,10.000,32.000
__import__.product_1197292,5.70,10.50,5.70,30.000,70.000
__import__.product_1197300,7.30,14.00,7.30,30.000,50.000
__import__.product_1198068,5.20,3.50,22.30,258.000,671.000
__import__.product_1200060,12.00,22.00,12.00,48.000,96.000
__import__.product_1201092,16.50,27.00,28.50,2.000,4.000
__import__.product_1201519,6.60,6.00,13.90,13.000,26.000
__import__.product_1201524,6.60,6.00,13.90,20.000,40.000
__import__.product_1202218,3.60,7.10,3.60,4.000,6.000
__import__.product_1202225,4.60,8.20,4.60,3.000,5.000
__import__.product_1202266,3.00,9.30,4.60,13.000,32.000
__import__.product_1202787,4.30,7.90,4.30,30.000,80.000
__import__.product_1202860,4.10,8.60,4.50,17.000,68.000
__import__.product_1202886,7.20,9.50,7.20,28.000,116.000
__import__.product_1202897,5.40,22.70,9.80,12.000,42.000
__import__.product_1203074,5.40,4.80,9.90,158.000,535.000
__import__.product_1203199,3.90,7.20,3.90,37.000,126.000
__import__.product_1203223,6.70,14.00,6.70,240.000,480.000
__import__.product_1203231,4.30,7.50,4.30,12.000,24.000
__import__.product_1203264,5.40,22.20,11.30,30.000,60.000
__import__.product_1203280,6.00,13.00,6.00,8.000,14.000
__import__.product_1204783,16.70,5.20,18.00,18.000,40.000
__import__.product_1206895,11.80,12.60,11.80,29.000,97.000
__import__.product_1210186,3.90,10.10,6.70,3.000,12.000
__import__.product_1211200,5.20,15.10,6.50,3.000,6.000
__import__.product_1233014,9.60,7.50,14.30,10.000,37.000
__import__.product_1250026,5.50,9.20,5.50,20.000,40.000
__import__.product_1255066,6.60,1.60,15.70,30.000,60.000
__import__.product_1257369,2.90,2.30,9.80,162.000,547.000
__import__.product_1259806,0,0,0,40.000,70.000
__import__.product_1271741,3.60,8.00,3.60,8.000,19.000
__import__.product_1273176,19.30,5.10,21.70,71.000,239.000
__import__.product_1274059,6.30,3.00,9.40,3.000,5.000
__import__.product_1277136,7.00,13.80,7.00,2.000,5.000
__import__.product_1283209,7.00,15.20,7.00,40.000,80.000
__import__.product_1290204,12.50,11.00,18.50,5.000,10.000
__import__.product_1294461,4.30,7.80,4.30,90.000,180.000
__import__.product_1300015,0,0,0,3.000,6.000
__import__.product_1300185,3.70,8.00,3.70,13.000,43.000
__import__.product_1300227,11.60,4.60,24.00,15.000,40.000
__import__.product_1300235,11.60,4.70,24.00,20.000,42.000
__import__.product_1300318,11.60,4.70,24.00,10.000,20.000
__import__.product_1300573,20.00,13.90,21.80,2.000,3.000
__import__.product_1301524,6.60,6.00,13.90,30.000,60.000
__import__.product_1308320,25.40,12.80,33.90,1.000,3.000
__import__.product_1321355,3.20,11.30,3.20,59.000,218.000
__import__.product_1329614,5.20,4.10,7.10,21.000,79.000
__import__.product_1336924,11.50,1.80,15.00,60.000,120.000
__import__.product_1351469,6.40,13.50,9.40,2.000,4.000
__import__.product_1351524,6.60,6.00,13.90,5.000,10.000
__import__.product_1351530,6.60,6.00,13.90,10.000,20.000
__import__.product_1354307,7.20,19.90,14.10,11.000,35.000
__import__.product_1354349,7.40,24.70,13.80,22.000,75.000
__import__.product_1355890,8.90,18.50,8.90,23.000,95.000
__import__.product_1357201,10.80,2.60,16.70,200.000,479.000
__import__.product_1357219,10.80,2.60,16.70,350.000,740.000
__import__.product_1357276,12.20,2.70,12.20,15.000,45.000
__import__.product_1357284,12.30,2.60,12.30,20.000,40.000
__import__.product_1357292,11.20,2.20,11.40,15.000,59.000
__import__.product_1357896,12.00,11.00,17.20,1.000,3.000
__import__.product_1360528,3.50,12.20,3.50,30.000,64.000
__import__.product_1361179,5.20,9.80,5.20,7.000,27.000
__import__.product_1367754,6.50,19.50,6.50,194.000,657.000
__import__.product_1371814,9.70,4.30,18.70,18.000,60.000
__import__.product_1385236,19.60,5.40,23.40,3.000,9.000
__import__.product_1397140,11.50,1.80,14.80,80.000,140.000
__import__.product_1399518,12.00,5.50,17.50,3.000,7.000
__import__.product_1400514,5.40,10.40,5.40,10.000,24.000
__import__.product_1401389,4.30,4.80,9.90,164.000,675.000
__import__.product_1401536,0,0,0,3.000,6.000
__import__.product_1401694,6.90,20.80,6.90,3.000,6.000
__import__.product_1405179,0,0,0,15.000,30.000
__import__.product_1405476,10.30,9.10,15.50,3.000,11.000
__import__.product_1406412,5.20,4.40,8.00,30.000,80.000
__import__.product_1406420,5.20,4.30,8.00,60.000,130.000
__import__.product_1416437,11.80,9.40,23.40,141.000,400.000
__import__.product_1416700,15.30,7.00,17.20,25.000,85.000
__import__.product_1418276,4.40,14.40,4.40,2.000,4.000
__import__.product_1423763,3.40,9.80,3.40,50.000,100.000
__import__.product_1423771,3.20,6.80,7.50,10.000,20.000
__import__.product_1430297,6.60,14.30,6.60,111.000,240.000
__import__.product_1457498,5.00,2.70,11.00,115.000,389.000
__import__.product_1457506,5.00,4.40,11.10,102.000,379.000
__import__.product_1465814,7.40,11.40,7.40,5.000,16.000
__import__.product_1465830,0,0,0,30.000,72.000
__import__.product_1483957,4.80,2.10,9.20,5.000,20.000
__import__.product_1484047,5.40,10.40,5.40,70.000,130.000
__import__.product_1484054,7.00,13.80,7.00,120.000,384.000
__import__.product_1500025,6.60,6.00,13.90,3.000,6.000
__import__.product_1505010,10.20,9.10,15.50,1.000,2.000
__import__.product_1509025,8.00,3.60,11.50,33.000,123.000
__import__.product_1509033,8.10,3.60,11.50,14.000,52.000
__import__.product_1510627,13.50,2.30,17.90,49.000,120.000
__import__.product_1510643,13.50,2.40,17.80,35.000,80.000
__import__.product_1510650,13.50,2.40,18.00,80.000,272.000
__import__.product_1510668,13.50,2.40,18.00,26.000,70.000
__import__.product_1525641,7.00,29.00,18.50,25.000,70.000
__import__.product_1526680,3.60,18.00,7.20,24.000,60.000
__import__.product_1540855,17.80,4.80,18.00,66.000,244.000
__import__.product_1549500,3.80,6.90,3.80,150.000,400.000
__import__.product_1553379,26.00,22.50,26.00,2.000,8.000
__import__.product_1575315,30.00,14.30,37.00,2.000,4.000
__import__.product_1575323,30.00,14.10,37.50,1.000,2.000
__import__.product_1575331,30.00,14.30,37.10,4.000,8.000
__import__.product_1575398,6.20,14.20,6.20,6.000,17.000
__import__.product_1585215,8.30,12.70,8.60,3.000,6.000
__import__.product_1589944,5.10,19.50,5.10,8.000,15.000
__import__.product_1589977,12.30,3.00,26.70,24.000,60.000
__import__.product_1633163,5.40,12.30,5.40,9.000,28.000
__import__.product_1635952,4.00,10.90,4.00,12.000,30.000
__import__.product_1655828,6.90,13.90,6.90,40.000,149.000
__import__.product_1656222,6.70,2.80,13.00,20.000,40.000
__import__.product_1658699,4.70,8.80,4.70,7.000,21.000
__import__.product_1662873,2.20,2.10,10.10,52.000,194.000
__import__.product_1662881,4.00,9.90,4.00,9.000,30.000
__import__.product_1664119,14.20,10.00,21.00,15.000,33.000
__import__.product_1684364,3.50,10.00,3.50,124.000,461.000
__import__.product_1684372,3.90,10.70,3.90,110.000,411.000
__import__.product_1689074,18.70,7.90,20.20,1.000,2.000
__import__.product_1705557,5.10,5.10,12.40,2.000,4.000
__import__.product_1727346,15.40,11.70,19.30,1.000,5.000
__import__.product_1731322,8.00,2.20,10.20,1.000,2.000
__import__.product_1731645,0,0,0,1.000,2.000
__import__.product_1731652,10.20,9.10,15.50,1.000,2.000
__import__.product_1745017,4.20,2.90,16.60,100.000,220.000
__import__.product_1745033,12.80,20.70,7.10,80.000,210.000
__import__.product_1745041,12.80,7.30,20.80,41.000,101.000
__import__.product_1745058,12.80,7.10,20.80,35.000,75.000
__import__.product_1751577,4.90,12.90,4.90,27.000,100.000
__import__.product_1754688,3.10,11.20,10.20,2.000,6.000
__import__.product_1761865,3.00,2.30,9.30,218.000,898.000
__import__.product_1778133,4.50,17.70,10.60,1.000,2.000
__import__.product_1778158,7.00,35.30,23.10,100.000,200.000
__import__.product_1791698,6.20,18.80,6.20,15.000,53.000
__import__.product_1796291,8.10,2.20,10.20,2.000,6.000
__import__.product_1813620,0,0,0,1.000,2.000
__import__.product_2054807,2.60,5.60,5.30,25.000,59.000
__import__.product_2060424,8.30,12.60,8.70,4.000,6.000
__import__.product_2061265,6.70,4.60,11.90,16.000,25.000
__import__.product_2061273,6.70,4.70,11.90,15.000,30.000
__import__.product_2061299,6.80,2.10,11.90,82.000,278.000
__import__.product_2064525,7.30,7.20,7.30,20.000,30.000
__import__.product_2064533,7.00,7.10,7.40,5.000,10.000
__import__.product_2064541,7.00,7.20,7.20,30.000,60.000
__import__.product_2064558,12.90,14.50,13.50,10.000,20.000
__import__.product_2065688,5.00,11.90,5.00,27.000,67.000
__import__.product_2081784,4.50,7.00,4.50,23.000,94.000
__import__.product_2085397,14.30,10.50,14.30,3.000,10.000
__import__.product_2087088,10.80,2.10,19.20,656.000,1184.000
__import__.product_2087146,5.70,2.00,10.70,5.000,10.000
__import__.product_2094316,5.40,11.50,5.40,14.000,51.000
__import__.product_2094324,5.40,11.60,5.40,4.000,9.000
__import__.product_2099919,16.00,16.20,33.70,22.000,50.000
__import__.product_2099927,16.00,13.00,17.20,13.000,44.000
__import__.product_2104941,5.20,15.20,8.10,11.000,22.000
__import__.product_2114981,5.40,11.50,5.30,46.000,171.000
__import__.product_2123420,4.60,8.40,4.60,30.000,36.000
__import__.product_2139178,6.60,27.00,14.00,25.000,40.000
__import__.product_2152445,7.10,2.30,13.50,10.000,20.000
__import__.product_2163459,4.40,12.10,5.80,32.000,90.000
__import__.product_2164374,4.70,4.60,7.00,70.000,150.000
__import__.product_2171874,9.70,9.30,24.90,8.000,15.000
__import__.product_2176089,4.50,10.70,4.50,62.000,157.000
__import__.product_2186849,13.50,3.20,18.00,250.000,583.000
__import__.product_2187078,9.30,6.00,14.70,60.000,246.000
__import__.product_2200483,3.70,8.70,4.70,7.000,14.000
__import__.product_2200491,5.20,8.70,5.20,11.000,33.000
__import__.product_2223535,5.40,2.70,24.70,93.000,383.000
__import__.product_2228450,7.30,21.40,9.00,9.000,31.000
__import__.product_2247898,9.70,2.30,10.60,16.000,34.000
__import__.product_2248870,8.10,2.20,11.80,10.000,20.000
__import__.product_2249589,8.20,4.10,12.20,10.000,20.000
__import__.product_2249613,5.70,1.90,13.10,11.000,37.000
__import__.product_2249621,5.80,4.10,13.20,20.000,40.000
__import__.product_2249639,13.90,6.00,20.70,4.000,12.000
__import__.product_2251841,8.40,4.70,9.90,36.000,122.000
__import__.product_2251858,8.40,4.70,9.90,30.000,56.000
__import__.product_2251866,8.50,4.70,9.90,37.000,123.000
__import__.product_2252252,6.30,2.90,23.30,96.000,170.000
__import__.product_2252310,10.00,5.70,19.00,5.000,19.000
__import__.product_2261998,4.80,8.90,4.80,7.000,16.000
__import__.product_2262061,5.00,9.40,5.00,6.000,14.000
__import__.product_2263267,5.40,4.70,9.90,25.000,82.000
__import__.product_2266781,4.00,7.50,4.00,23.000,77.000
__import__.product_2269009,4.20,11.20,8.90,12.000,14.000
__import__.product_2269017,6.50,12.80,10.50,3.000,6.000
__import__.product_2269876,7.70,5.00,22.20,10.000,20.000
__import__.product_2271096,4.00,6.80,4.00,75.000,255.000
__import__.product_2271765,5.00,5.10,6.20,12.000,24.000
__import__.product_2276574,6.30,13.20,6.30,12.000,40.000
__import__.product_2281046,5.70,10.60,5.70,72.000,120.000
__import__.product_2281053,4.80,8.40,4.80,35.000,82.000
__import__.product_2281061,10.30,22.00,10.30,6.000,22.000
__import__.product_2287878,8.80,7.60,10.80,4.000,14.000
__import__.product_2288876,8.90,7.60,10.80,22.000,79.000
__import__.product_2288983,14.30,22.20,14.30,2.000,5.000
__import__.product_2289122,9.00,6.10,10.90,8.000,18.000
__import__.product_2289171,14.80,22.00,14.80,1.000,2.000
__import__.product_2289304,14.30,0,14.30,3.000,9.000
__import__.product_2289892,14.20,22.10,14.20,6.000,12.000
__import__.product_2310399,4.20,4.80,9.90,10.000,21.000
__import__.product_2314425,6.20,3.60,11.30,120.000,220.000
__import__.product_2318483,4.10,7.70,4.10,16.000,63.000
__import__.product_2321602,5.40,2.70,24.60,106.000,435.000
__import__.product_2325751,11.50,1.90,14.90,8.000,20.000
__import__.product_2328854,4.30,16.60,4.30,14.000,25.000
__import__.product_2328862,3.50,17.80,9.80,3.000,9.000
__import__.product_2328896,8.50,5.80,16.90,2.000,4.000
__import__.product_2329605,5.00,4.80,7.00,10.000,33.000
__import__.product_2340453,4.10,9.20,4.00,31.000,113.000
__import__.product_2342095,4.80,20.30,8.20,5.000,10.000
__import__.product_2342111,8.10,25.40,11.30,4.000,6.000
__import__.product_2342129,4.40,4.50,11.70,10.000,20.000
__import__.product_2342160,6.00,23.40,10.80,6.000,20.000
__import__.product_2342186,8.00,35.30,23.90,30.000,60.000
__import__.product_2342194,7.60,30.00,15.90,10.000,20.000
__import__.product_2343952,4.00,7.70,8.00,18.000,60.000
__import__.product_2352284,3.20,6.90,3.20,30.000,50.000
__import__.product_2356731,5.40,11.30,5.40,3.000,5.000
__import__.product_2371813,0,0,0,1.000,2.000
__import__.product_2372753,4.00,3.90,6.00,11.000,37.000
__import__.product_2372787,6.00,3.80,11.10,16.000,52.000
__import__.product_2372803,6.00,3.90,11.00,10.000,34.000
__import__.product_2377323,9.50,32.70,16.40,35.000,117.000
__import__.product_2379741,5.30,11.50,8.30,16.000,52.000
__import__.product_2379766,3.70,9.20,6.60,109.000,370.000
__import__.product_2379782,7.00,2.00,9.20,86.000,321.000
__import__.product_2379790,4.40,7.60,4.40,43.000,159.000
__import__.product_2379816,6.90,2.10,9.20,48.000,177.000
__import__.product_2379824,7.60,2.20,10.70,19.000,65.000
__import__.product_2384949,4.30,6.50,9.90,68.000,281.000
__import__.product_2386001,8.00,11.70,24.20,4.000,11.000
__import__.product_2389153,6.00,5.00,12.00,3.000,10.000
__import__.product_2389161,6.60,5.00,12.00,8.000,20.000
__import__.product_2389179,7.70,4.90,12.00,8.000,29.000
__import__.product_2398469,4.70,23.70,7.60,40.000,148.000
__import__.product_2401677,3.10,7.10,3.30,12.000,20.000
__import__.product_2401685,3.10,7.00,3.30,4.000,10.000
__import__.product_2404341,5.50,10.60,5.50,31.000,104.000
__import__.product_2404358,6.90,15.20,6.90,29.000,97.000
__import__.product_2407351,11.50,1.80,15.00,11.000,21.000
__import__.product_2407385,11.40,2.70,14.90,4.000,12.000
__import__.product_2407419,11.40,1.80,14.90,5.000,20.000
__import__.product_2410959,3.30,14.00,5.70,70.000,204.000
__import__.product_2413557,0,0,0,2.000,3.000
__import__.product_2413607,0,0,0,1.000,2.000
__import__.product_2420685,13.80,24.70,7.40,10.000,18.000
__import__.product_2433779,9.20,6.70,23.70,15.000,51.000
__import__.product_2433787,5.60,2.10,13.50,23.000,78.000
__import__.product_2433795,7.00,4.30,14.30,36.000,121.000
__import__.product_2433811,9.00,6.80,23.20,18.000,60.000
__import__.product_2433829,9.50,2.20,13.80,14.000,35.000
__import__.product_2433878,4.10,8.40,4.10,51.000,171.000
__import__.product_2433894,8.70,23.40,8.70,4.000,12.000
__import__.product_2435105,7.00,2.50,17.10,20.000,44.000
__import__.product_2435360,5.60,10.60,5.60,22.000,59.000
__import__.product_2435873,3.60,6.70,3.60,30.000,60.000
__import__.product_2436905,3.30,3.10,13.70,38.000,140.000
__import__.product_2436913,4.00,4.00,16.00,26.000,96.000
__import__.product_2437325,3.50,17.70,9.90,5.000,11.000
__import__.product_2441376,3.20,10.00,3.20,8.000,24.000
__import__.product_2445161,8.70,6.50,8.70,40.000,108.000
__import__.product_2445179,10.50,6.50,10.70,15.000,53.000
__import__.product_2446045,3.40,6.90,3.40,14.000,47.000
__import__.product_2446532,5.00,5.30,12.00,10.000,30.000
__import__.product_2447936,11.00,3.70,15.40,9.000,30.000
__import__.product_2451623,6.50,2.00,12.30,8.000,18.000
__import__.product_2451631,6.50,2.00,12.30,12.000,27.000
__import__.product_2451656,6.50,2.00,12.30,12.000,40.000
__import__.product_2451862,4.00,7.40,4.20,35.000,117.000
__import__.product_2451870,3.10,7.00,3.30,19.000,64.000
__import__.product_2457752,16.70,13.50,16.00,4.000,12.000
__import__.product_2461325,9.20,5.50,12.60,2.000,6.000
__import__.product_2461333,13.30,6.50,14.70,4.000,12.000
__import__.product_2470565,4.50,8.30,4.80,21.000,69.000
__import__.product_2472488,21.50,23.70,34.20,6.000,12.000
__import__.product_2475846,4.60,7.10,4.60,31.000,115.000
__import__.product_2477479,9.30,2.30,13.90,30.000,99.000
__import__.product_2477495,9.00,2.50,13.90,41.000,137.000
__import__.product_2477503,6.50,1.90,12.30,29.000,84.000
__import__.product_2478477,0,0,0,1.000,2.000
__import__.product_2479129,0,0,0,34.000,137.000
__import__.product_2488013,4.60,1.50,11.20,11.000,44.000
__import__.product_2488021,4.60,3.70,11.30,10.000,20.000
__import__.product_2488039,4.60,2.00,11.10,7.000,29.000
__import__.product_2502722,10.80,8.30,4.50,113.000,420.000
__import__.product_2504911,30.10,14.30,17.10,15.000,30.000
__import__.product_2506038,3.00,2.50,16.00,281.000,1159.000
__import__.product_2509776,13.50,5.50,2.00,19.000,64.000
__import__.product_2509784,9.40,5.60,13.40,5.000,17.000
__import__.product_2509800,14.00,5.50,7.50,11.000,35.000
__import__.product_2509826,13.50,5.50,6.50,7.000,24.000
__import__.product_2510469,6.20,5.20,13.60,8.000,15.000
__import__.product_2510485,0,0,0,2.000,4.000
__import__.product_2510493,6.10,2.50,14.00,30.000,58.000
__import__.product_2518827,8.10,12.20,4.20,20.000,40.000
__import__.product_2518835,16.50,12.90,8.40,20.000,55.000
__import__.product_2520872,4.80,18.00,4.80,60.000,223.000
__import__.product_2542942,6.50,17.30,9.90,6.000,20.000
__import__.product_2543031,5.60,1.90,10.10,10.000,20.000
__import__.product_2543073,30.00,14.20,37.50,2.000,4.000
__import__.product_2545267,26.30,42.40,10.70,8.000,20.000
__import__.product_2548626,9.80,12.40,9.80,2.000,5.000
__import__.product_2552271,4.90,6.40,5.20,120.000,180.000
__import__.product_2553196,7.30,6.40,10.60,6.000,20.000
__import__.product_2553212,7.20,6.30,10.60,6.000,22.000
__import__.product_2553238,9.20,10.60,14.10,3.000,5.000
__import__.product_2554509,19.20,11.80,7.00,3.000,7.000
__import__.product_2555183,3.50,6.70,3.50,90.000,160.000
__import__.product_2561165,6.90,15.00,6.90,10.000,20.000
__import__.product_2561173,5.70,10.50,5.70,10.000,20.000
__import__.product_2564730,10.00,17.20,10.00,10.000,27.000
__import__.product_2565596,4.20,8.40,4.10,12.000,34.000
__import__.product_2568798,35.10,23.00,48.10,7.000,24.000
__import__.product_2568822,8.20,15.70,8.20,2.000,6.000
__import__.product_2573434,11.50,5.80,22.50,5.000,17.000
__import__.product_2575421,4.50,11.00,5.00,56.000,208.000
__import__.product_2575439,4.80,11.00,2.70,59.000,198.000
__import__.product_2576874,3.50,13.00,6.50,203.000,755.000
__import__.product_2580652,0,0,0,20.000,40.000
__import__.product_2582385,4.20,7.40,3.60,5.000,21.000
__import__.product_2582578,18.70,14.00,19.20,6.000,12.000
__import__.product_2582740,7.00,16.00,7.00,7.000,27.000
__import__.product_2582823,0,0,0,14.000,56.000
__import__.product_2583953,4.00,15.00,7.00,20.000,30.000
__import__.product_2583979,14.70,3.80,6.90,40.000,64.000
__import__.product_2583987,14.80,3.80,6.90,40.000,60.000
__import__.product_2586683,5.50,10.80,5.50,12.000,30.000
__import__.product_2586717,13.00,19.00,13.00,2.000,4.000
__import__.product_2591766,5.50,10.50,5.50,15.000,34.000
__import__.product_2595502,3.50,7.00,3.50,24.000,48.000
__import__.product_2595759,0,0,0,16.000,52.000
__import__.product_2599827,18.60,14.90,13.60,7.000,23.000
__import__.product_2599850,14.50,18.50,16.00,7.000,23.000
__import__.product_2601243,10.80,11.10,10.30,6.000,12.000
__import__.product_2604957,5.70,11.80,5.70,10.000,20.000
__import__.product_2604981,4.20,11.80,4.20,7.000,14.000
__import__.product_2617256,15.30,2.10,10.80,10.000,20.000
__import__.product_2617272,15.30,2.10,10.70,3.000,13.000
__import__.product_2617330,15.20,10.80,2.00,56.000,100.000
__import__.product_2617348,18.80,11.60,5.20,25.000,70.000
__import__.product_2617371,7.80,25.80,12.50,7.000,28.000
__import__.product_2617389,4.80,14.00,4.80,79.000,324.000
__import__.product_2620573,7.00,14.00,7.00,20.000,82.000
__import__.product_2620581,5.20,10.70,5.10,18.000,74.000
__import__.product_2623627,4.50,8.70,4.50,20.000,36.000
__import__.product_2624237,14.30,3.60,8.10,20.000,74.000
__import__.product_2624286,3.50,7.00,3.50,24.000,60.000
__import__.product_2626885,10.80,8.70,5.20,6.000,12.000
__import__.product_2626927,3.70,7.20,3.70,20.000,40.000
__import__.product_2627263,5.00,22.00,3.00,11.000,36.000
__import__.product_2627271,2.50,18.00,3.50,14.000,46.000
__import__.product_2630929,5.10,8.90,3.20,41.000,140.000
__import__.product_2634657,6.50,14.50,6.50,10.000,32.000
__import__.product_2637551,1.50,8.00,12.00,40.000,80.000
__import__.product_2637569,6.00,11.50,8.00,8.000,27.000
__import__.product_2646300,3.70,15.20,3.60,24.000,48.000
__import__.product_2648079,3.50,6.50,3.50,19.000,70.000
__import__.product_2648962,4.80,8.90,4.80,3.000,7.000
__import__.product_2655280,5.30,10.00,5.30,7.000,23.000
__import__.product_2656742,20.00,9.00,10.00,3.000,12.000
__import__.product_2656759,6.70,2.30,7.70,300.000,500.000
__import__.product_2656783,5.50,9.30,4.10,80.000,165.000
__import__.product_2658615,4.90,8.40,4.90,4.000,10.000
__import__.product_2663573,4.50,14.50,4.50,3.000,11.000
__import__.product_2664480,3.60,2.50,19.30,60.000,179.000
__import__.product_2664498,23.10,2.90,5.10,28.000,103.000
__import__.product_2669612,3.00,9.00,5.50,2.000,6.000
__import__.product_2669620,3.00,9.00,5.50,2.000,4.000
__import__.product_2669638,3.00,9.00,5.50,2.000,6.000
__import__.product_2672418,4.60,6.90,4.60,100.000,200.000
__import__.product_2673929,12.40,22.30,9.10,8.000,15.000
__import__.product_2673973,24.50,27.80,24.50,2.000,4.000
__import__.product_2675270,4.80,11.00,2.10,10.000,34.000
__import__.product_2675288,4.90,0,5.60,12.000,41.000
__import__.product_2675981,2.00,5.00,8.00,72.000,180.000
__import__.product_2679215,7.20,15.80,5.20,3.000,8.000
__import__.product_2680544,7.00,12.00,11.00,15.000,51.000
__import__.product_2684884,21.20,2.90,4.60,50.000,100.000
__import__.product_2685030,5.00,11.00,4.00,252.000,938.000
__import__.product_2686533,0,0,0,10.000,20.000
__import__.product_2687291,6.00,16.00,6.00,2.000,4.000
__import__.product_2687937,15.00,6.50,21.00,41.000,96.000
__import__.product_2691368,5.30,8.60,3.00,81.000,275.000
__import__.product_2691723,21.50,9.00,11.90,20.000,42.000
__import__.product_2703239,14.50,5.80,5.80,15.000,30.000
__import__.product_2703262,14.60,5.80,5.80,5.000,10.000
__import__.product_2709707,21.40,9.00,11.40,30.000,62.000
__import__.product_2709715,0,0,0,51.000,90.000
__import__.product_2710507,8.90,16.50,8.80,7.000,16.000
__import__.product_2710804,7.40,10.50,1.10,10.000,20.000
__import__.product_2712370,7.00,10.00,7.00,1.000,2.000
__import__.product_2717429,2.00,9.60,6.70,6.000,18.000
__import__.product_2717437,9.00,16.00,15.00,1.000,2.000
__import__.product_2718229,6.70,12.80,6.70,24.000,70.000
__import__.product_2719110,32.10,10.80,10.80,1.000,2.000
__import__.product_2725166,6.00,12.00,6.00,7.000,28.000
__import__.product_2725216,5.70,10.50,5.50,3.000,6.000
__import__.product_2725711,4.10,6.70,4.10,12.000,24.000
__import__.product_2727253,4.30,12.00,4.20,46.000,100.000
__import__.product_2727600,10.50,11.00,10.00,4.000,14.000
__import__.product_2727626,9.50,11.00,17.00,5.000,15.000
__import__.product_2735983,5.00,10.00,5.00,5.000,10.000
__import__.product_2736106,6.00,1.00,13.00,12.000,38.000
__import__.product_2737609,2.10,15.50,7.00,1.000,2.000
__import__.product_2737682,6.90,15.60,5.90,2.000,3.000
__import__.product_2744498,5.80,2.30,11.00,12.000,22.000
