id,width,length,depth
__import__.product_0020410,0,0,0
__import__.product_0020412,0,0,0
__import__.product_0020537,0,0,0
__import__.product_0020717,0,0,0
__import__.product_0020724,0,0,0
__import__.product_0020915,0,0,0
__import__.product_0020939,0,0,0
__import__.product_0021006,0,0,0
__import__.product_0021253,0,0,0
__import__.product_0021516,16.6,18,15.2
__import__.product_0021519,0,0,0
__import__.product_0021667,0,0,0
__import__.product_0021830,0,0,0
__import__.product_0021915,0,0,0
__import__.product_0022014,0,0,0
__import__.product_0022018,8,8.5,13.2
__import__.product_0022204,0,0,0
__import__.product_0022205,0,0,0
__import__.product_0022214,0,0,0
__import__.product_0022216,0,0,0
__import__.product_0022232,0,0,0
__import__.product_0022269,0,0,0
__import__.product_0022277,0,0,0
__import__.product_0022897,0,0,0
__import__.product_0023452,0,0,0
__import__.product_0023810,11.9,11.9,15.5
__import__.product_0023916,0,0,0
__import__.product_0024166,0,0,0
__import__.product_0024292,19.9,21.9,15
__import__.product_0024319,0,0,0
__import__.product_0024326,8,8.5,13.2
__import__.product_0024333,11.8,11.8,15.5
__import__.product_0024392,0,0,0
__import__.product_0024414,0,0,0
__import__.product_0024715,0,0,0
__import__.product_0024920,0,0,0
__import__.product_0024935,0,0,0
__import__.product_0025163,0,0,0
__import__.product_0025323,11.8,11.8,15.6
__import__.product_0025420,0,0,0
__import__.product_0025514,0,0,0
__import__.product_0025593,0,0,0
__import__.product_0025700,0,0,0
__import__.product_0025817,0,0,0
__import__.product_0025825,0,0,0
__import__.product_0025916,0,0,0
__import__.product_0026245,0,0,0
__import__.product_0026328,0,0,0
__import__.product_0026336,0,0,0
__import__.product_0026518,0,0,0
__import__.product_0026724,16.7,18,15.2
__import__.product_0027400,0,0,0
__import__.product_0027617,0,0,0
__import__.product_0027716,0,0,0
__import__.product_0027720,10.5,13.9,20.7
__import__.product_0027748,5.5,16.5,3.6
__import__.product_0027771,0,0,0
__import__.product_0027904,0,0,0
__import__.product_0028555,0,0,0
__import__.product_0028829,0,0,0
__import__.product_0029025,0,0,0
__import__.product_0029058,0,0,0
__import__.product_0029132,5.6,5.6,10.5
__import__.product_0029149,0,0,0
__import__.product_0029157,0,0,0
__import__.product_0029226,0,0,0
__import__.product_0029249,0,0,0
__import__.product_0029306,0,0,0
__import__.product_0029348,0,0,0
__import__.product_0029643,0,0,0
__import__.product_0029655,0,0,0
__import__.product_0029777,0,0,0
__import__.product_0030195,0,0,0
__import__.product_0030296,0,0,0
__import__.product_0030304,0,0,0
__import__.product_0030494,0,0,0
__import__.product_0031450,0,0,0
__import__.product_0031468,0,0,0
__import__.product_0032052,5.2,5.2,9.7
__import__.product_0032410,20,22,19.8
__import__.product_0032417,0,0,0
__import__.product_0032912,0,0,0
__import__.product_0033019,0,0,0
__import__.product_0033050,0,0,0
__import__.product_0033282,0,0,0
__import__.product_0033530,0,0,0
__import__.product_0033548,0,0,0
__import__.product_0033571,0,0,0
__import__.product_0033795,0,0,0
__import__.product_0033910,0,0,0
__import__.product_0034009,0,0,0
__import__.product_0034058,0,0,0
__import__.product_0034100,0,0,0
__import__.product_0034280,0,0,0
__import__.product_0034637,0,0,0
__import__.product_0034686,2.8,2.8,5.7
__import__.product_0035030,0,0,0
__import__.product_0035434,0,0,0
__import__.product_0035469,0,0,0
__import__.product_0035600,0,0,0
__import__.product_0035725,0,0,0
__import__.product_0036517,0,0,0
__import__.product_0036566,0,0,0
__import__.product_0036632,0,0,0
__import__.product_0036707,0,0,0
__import__.product_0037333,6.6,15.7,1.6
__import__.product_0037457,0,0,0
__import__.product_0037473,0,0,0
__import__.product_0037556,0,0,0
__import__.product_0037754,3.1,3.1,6.8
__import__.product_0037770,0,0,0
__import__.product_0037820,0,0,0
__import__.product_0038100,0,0,0
__import__.product_0038101,0,0,0
__import__.product_0038102,0,0,0
__import__.product_0038103,19.9,21.6,3.5
__import__.product_0038104,20.1,21.6,3.6
__import__.product_0038105,0,0,0
__import__.product_0038106,0,0,0
__import__.product_0038224,0,0,0
__import__.product_0038521,0,0,0
__import__.product_0038715,0,0,0
__import__.product_0038716,0,0,0
__import__.product_0038717,0,0,0
__import__.product_0038719,0,0,0
__import__.product_0038720,0,0,0
__import__.product_0038927,0,0,0
__import__.product_0039123,0,0,0
__import__.product_0039347,0,0,0
__import__.product_0039669,0,0,0
__import__.product_0039719,23,24,21.2
__import__.product_0039834,0,0,0
__import__.product_0039859,14,18.5,1.7
__import__.product_0039883,9,14.8,4.9
__import__.product_0039917,0,0,0
__import__.product_0040097,9.2,9.2,6.7
__import__.product_0040162,0,0,0
__import__.product_0040295,0,0,0
__import__.product_0040345,0,0,0
__import__.product_0040394,0,0,0
__import__.product_0040451,0,0,0
__import__.product_0040659,0,0,0
__import__.product_0040766,0,0,0
__import__.product_0041020,0,0,0
__import__.product_0041863,0,0,0
__import__.product_0042150,0,0,0
__import__.product_0042168,0,0,0
__import__.product_0042267,3.8,5.7,8.3
__import__.product_0042390,0,0,0
__import__.product_0042500,0,0,0
__import__.product_0042523,0,0,0
__import__.product_0042564,0,0,0
__import__.product_0042671,0,0,0
__import__.product_0042754,0,0,0
__import__.product_0042762,0,0,0
__import__.product_0042887,0,0,0
__import__.product_0042952,0,0,0
__import__.product_0043026,0,0,0
__import__.product_0043299,0,0,0
__import__.product_0043471,0,0,0
__import__.product_0043711,0,0,0
__import__.product_0044180,0,0,0
__import__.product_0044230,0,0,0
__import__.product_0044248,0,0,0
__import__.product_0044545,0,0,0
__import__.product_0044586,0,0,0
__import__.product_0045000,0,0,0
__import__.product_0045856,0,0,0
__import__.product_0046037,0,0,0
__import__.product_0046128,0,0,0
__import__.product_0046946,0,0,0
__import__.product_0046987,0,0,0
__import__.product_0047142,0,0,0
__import__.product_0047167,0,0,0
__import__.product_0047365,0,0,0
__import__.product_0047522,6.4,6.4,13.8
__import__.product_0047530,0,0,0
__import__.product_0047555,0,0,0
__import__.product_0047597,0,0,0
__import__.product_0047639,7.1,9.4,24.3
__import__.product_0047738,0,0,0
__import__.product_0047829,0,0,0
__import__.product_0047894,0,0,0
__import__.product_0048042,0,0,0
__import__.product_0048043,0,0,0
__import__.product_0048132,0,0,0
__import__.product_0048181,7.7,8.9,21
__import__.product_0048200,0,0,0
__import__.product_0048219,0,0,0
__import__.product_0048230,0,0,0
__import__.product_0048234,0,0,0
__import__.product_0048235,0,0,0
__import__.product_0048236,0,0,0
__import__.product_0048237,0,0,0
__import__.product_0048248,0,0,0
__import__.product_0048296,0,0,0
__import__.product_0048363,0,0,0
__import__.product_0048454,0,0,0
__import__.product_0048462,0,0,0
__import__.product_0048463,0,0,0
__import__.product_0048557,0,0,0
__import__.product_0048586,0,0,0
__import__.product_0048587,0,0,0
__import__.product_0048596,0,0,0
__import__.product_0048728,0,0,0
__import__.product_0048843,8.3,8.3,14
__import__.product_0049049,0,0,0
__import__.product_0049122,0,0,0
__import__.product_0049130,0,0,0
__import__.product_0049236,0,0,0
__import__.product_0049478,6.5,6.5,13.5
__import__.product_0049479,5.5,17.2,3.9
__import__.product_0050237,0,0,0
__import__.product_0050435,6.8,6.8,22.9
__import__.product_0050500,6.9,6.9,22.9
__import__.product_0050559,0,0,0
__import__.product_0050575,0,0,0
__import__.product_0050658,0,0,0
__import__.product_0050732,0,0,0
__import__.product_0050963,0,0,0
__import__.product_0051565,0,0,0
__import__.product_0051714,0,0,0
__import__.product_0052407,0,0,0
__import__.product_0052613,0,0,0
__import__.product_0052753,0,0,0
__import__.product_0052886,4.7,9.2,4.6
__import__.product_0052977,0,0,0
__import__.product_0053017,0,0,0
__import__.product_0053207,3.1,3.1,6.8
__import__.product_0053330,0,0,0
__import__.product_0053389,0,0,0
__import__.product_0053405,0,0,0
__import__.product_0053447,0,0,0
__import__.product_0054379,6.5,11.6,4.6
__import__.product_0054429,0,0,0
__import__.product_0054619,0,0,0
__import__.product_0054742,0,0,0
__import__.product_0054759,0,0,0
__import__.product_0054817,0,0,0
__import__.product_0055004,0,0,0
__import__.product_0055095,0,0,0
__import__.product_0055327,0,0,0
__import__.product_0055339,15.7,19.2,24.9
__import__.product_0055340,0,0,0
__import__.product_0055376,0,0,0
__import__.product_0055822,0,0,0
__import__.product_0055996,0,0,0
__import__.product_0056002,0,0,0
__import__.product_0056028,0,0,0
__import__.product_0056231,0,0,0
__import__.product_0056259,0,0,0
__import__.product_0056283,0,0,0
__import__.product_0056341,0,0,0
__import__.product_0056440,0,0,0
__import__.product_0056606,0,0,0
__import__.product_0056622,0,0,0
__import__.product_0056754,0,0,0
__import__.product_0056762,0,0,0
__import__.product_0057117,0,0,0
__import__.product_0057158,0,0,0
__import__.product_0057190,0,0,0
__import__.product_0057208,0,0,0
__import__.product_0057257,0,0,0
__import__.product_0057364,0,0,0
__import__.product_0057448,0,0,0
__import__.product_0057489,0,0,0
__import__.product_0057500,0,0,0
__import__.product_0057562,0,0,0
__import__.product_0057679,0,0,0
__import__.product_0057760,0,0,0
__import__.product_0057778,0,0,0
__import__.product_0058000,0,0,0
__import__.product_0058404,0,0,0
__import__.product_0058405,0,0,0
__import__.product_0058420,0,0,0
__import__.product_0058669,0,0,0
__import__.product_0058800,0,0,0
__import__.product_0058834,0,0,0
__import__.product_0059121,0,0,0
__import__.product_0059170,0,0,0
__import__.product_0059238,0,0,0
__import__.product_0059428,0,0,0
__import__.product_0059444,5.5,5.5,10.5
__import__.product_0059675,0,0,0
__import__.product_0059832,0,0,0
__import__.product_0059900,0,0,0
__import__.product_0059901,0,0,0
__import__.product_0060012,0,0,0
__import__.product_0060269,0,0,0
__import__.product_0061119,0,0,0
__import__.product_0061358,0,0,0
__import__.product_0061408,0,0,0
__import__.product_0061564,0,0,0
__import__.product_0061697,0,0,0
__import__.product_0061887,5.5,5.5,11.4
__import__.product_0062141,0,0,0
__import__.product_0062190,0,0,0
__import__.product_0062208,0,0,0
__import__.product_0062521,0,0,0
__import__.product_0062836,0,0,0
__import__.product_0062935,0,0,0
__import__.product_0063008,0,0,0
__import__.product_0063099,0,0,0
__import__.product_0063644,0,0,0
__import__.product_0063669,0,0,0
__import__.product_0063784,11.2,11.2,2.6
__import__.product_0063792,12.3,12.3,2.6
__import__.product_0064014,4,4,15.2
__import__.product_0064015,5,5,20.4
__import__.product_0064154,0,0,0
__import__.product_0064279,0,0,0
__import__.product_0064428,8.2,19.3,7.9
__import__.product_0064550,0,0,0
__import__.product_0064642,0,0,0
__import__.product_0064824,0,0,0
__import__.product_0064832,0,0,0
__import__.product_0065128,0,0,0
__import__.product_0065656,0,0,0
__import__.product_0065979,0,0,0
__import__.product_0066266,0,0,0
__import__.product_0066290,0,0,0
__import__.product_0066506,0,0,0
__import__.product_0066613,0,0,0
__import__.product_0066852,0,0,0
__import__.product_0067249,0,0,0
__import__.product_0067264,0,0,0
__import__.product_0067306,4.8,15.5,4.5
__import__.product_0067330,4.7,20,4.6
__import__.product_0067678,30.2,5.5,5.5
__import__.product_0068197,0,0,0
__import__.product_0068437,0,0,0
__import__.product_0068536,4.2,6,7.2
__import__.product_0068767,0,0,0
__import__.product_0069062,0,0,0
__import__.product_0069138,0,0,0
__import__.product_0069559,0,0,0
__import__.product_0069682,0,0,0
__import__.product_0069732,0,0,0
__import__.product_0070060,0,0,0
__import__.product_0070177,0,0,0
__import__.product_0070383,0,0,0
__import__.product_0071506,6.5,6.5,14.3
__import__.product_0071597,0,0,0
__import__.product_0071936,0,0,0
__import__.product_0071985,7.2,9.7,2
__import__.product_0072611,0,0,0
__import__.product_0072645,0,0,0
__import__.product_0073000,0,0,0
__import__.product_0073163,0,0,0
__import__.product_0073296,0,0,0
__import__.product_0073452,0,0,0
__import__.product_0073619,0,0,0
__import__.product_0074492,0,0,0
__import__.product_0074914,0,0,0
__import__.product_0074963,0,0,0
__import__.product_0075000,0,0,0
__import__.product_0075143,0,0,0
__import__.product_0075200,0,0,0
__import__.product_0075622,0,0,0
__import__.product_0075630,0,0,0
__import__.product_0075648,0,0,0
__import__.product_0075705,0,0,0
__import__.product_0075750,0,0,0
__import__.product_0075911,0,0,0
__import__.product_0075986,0,0,0
__import__.product_0078105,0,0,0
__import__.product_0078300,0,0,0
__import__.product_0078307,0,0,0
__import__.product_0078360,0,0,0
__import__.product_0078584,0,0,0
__import__.product_0079030,0,0,0
__import__.product_0079035,0,0,0
__import__.product_0079050,0,0,0
__import__.product_0079350,0,0,0
__import__.product_0079442,0,0,0
__import__.product_0079491,0,0,0
__import__.product_0079848,0,0,0
__import__.product_0079954,0,0,0
__import__.product_0080200,0,0,0
__import__.product_0080283,0,0,0
__import__.product_0080366,0,0,0
__import__.product_0080507,0,0,0
__import__.product_0080700,0,0,0
__import__.product_0080895,0,0,0
__import__.product_0081034,0,0,0
__import__.product_0081232,0,0,0
__import__.product_0081240,0,0,0
__import__.product_0081604,0,0,0
__import__.product_0081612,0,0,0
__import__.product_0081620,10.1,10.1,9
__import__.product_0081638,10.2,10.2,12.3
__import__.product_0081646,10.1,10.1,8.9
__import__.product_0081653,0,0,0
__import__.product_0082420,7.1,9.8,2
__import__.product_0082768,0,0,0
__import__.product_0082966,0,0,0
__import__.product_0082982,0,0,0
__import__.product_0083063,0,0,0
__import__.product_0083105,0,0,0
__import__.product_0083451,0,0,0
__import__.product_0083725,0,0,0
__import__.product_0083774,4.8,4.8,8.4
__import__.product_0083824,9.1,13.8,2.5
__import__.product_0084541,0,0,0
__import__.product_0084715,0,0,0
__import__.product_0084798,0,0,0
__import__.product_0085050,0,0,0
__import__.product_0085308,0,0,0
__import__.product_0085340,0,0,0
__import__.product_0085415,0,0,0
__import__.product_0085662,0,0,0
__import__.product_0086058,4.1,9.9,1.7
__import__.product_0086132,6.5,11.9,6.5
__import__.product_0086280,0,0,0
__import__.product_0086595,0,0,0
__import__.product_0086629,0,0,0
__import__.product_0086769,0,0,0
__import__.product_0088286,0,0,0
__import__.product_0088625,0,0,0
__import__.product_0088633,0,0,0
__import__.product_0088740,0,0,0
__import__.product_0088773,0,0,0
__import__.product_0089060,0,0,0
__import__.product_0089500,0,0,0
__import__.product_0089748,0,0,0
__import__.product_0089821,0,0,0
__import__.product_0089839,5.1,11.2,1.9
__import__.product_0089847,0,0,0
__import__.product_0089946,5.3,25.2,3.1
__import__.product_0090225,0,0,0
__import__.product_0090233,0,0,0
__import__.product_0090308,0,0,0
__import__.product_0090605,0,0,0
__import__.product_0090878,0,0,0
__import__.product_0090936,0,0,0
__import__.product_0091090,0,0,0
__import__.product_0091488,0,0,0
__import__.product_0091736,0,0,0
__import__.product_0092247,0,0,0
__import__.product_0092528,0,0,0
__import__.product_0092569,0,0,0
__import__.product_0093013,0,0,0
__import__.product_0093120,0,0,0
__import__.product_0093138,0,0,0
__import__.product_0093203,0,0,0
__import__.product_0093492,0,0,0
__import__.product_0093807,0,0,0
__import__.product_0093963,0,0,0
__import__.product_0094045,0,0,0
__import__.product_0094052,0,0,0
__import__.product_0094086,0,0,0
__import__.product_0094144,0,0,0
__import__.product_0094169,0,0,0
__import__.product_0094359,0,0,0
__import__.product_0094672,0,0,0
__import__.product_0094987,0,0,0
__import__.product_0095091,0,0,0
__import__.product_0095412,6.8,11.5,6.7
__import__.product_0095687,0,0,0
__import__.product_0095851,0,0,0
__import__.product_0096271,0,0,0
__import__.product_0097287,0,0,0
__import__.product_0097519,0,0,0
__import__.product_0097576,5.2,5.2,9.7
__import__.product_0097857,0,0,0
__import__.product_0097899,0,0,0
__import__.product_0097915,0,0,0
__import__.product_0098178,0,0,0
__import__.product_0098194,0,0,0
__import__.product_0098467,5.2,10,5.1
__import__.product_0098574,0,0,0
__import__.product_0098624,0,0,0
__import__.product_0098640,0,0,0
__import__.product_0098657,0,0,0
__import__.product_0098855,5.2,5.2,9.7
__import__.product_0099267,0,0,0
__import__.product_0099457,0,0,0
__import__.product_0099549,0,0,0
__import__.product_0099820,0,0,0
__import__.product_0099846,0,0,0
__import__.product_0099853,0,0,0
__import__.product_0099895,0,0,0
__import__.product_0099903,0,0,0
__import__.product_0100115,0,0,0
__import__.product_0100123,0,0,0
__import__.product_0100529,0,0,0
__import__.product_0100685,0,0,0
__import__.product_0100727,0,0,0
__import__.product_0100974,0,0,0
__import__.product_0101010,0,0,0
__import__.product_0101782,0,0,0
__import__.product_0102012,0,0,0
__import__.product_0102053,0,0,0
__import__.product_0102178,0,0,0
__import__.product_0102376,0,0,0
__import__.product_0102384,0,0,0
__import__.product_0102392,0,0,0
__import__.product_0102400,0,0,0
__import__.product_0102426,0,0,0
__import__.product_0102566,0,0,0
__import__.product_0102640,0,0,0
__import__.product_0102780,0,0,0
__import__.product_0102814,0,0,0
__import__.product_0103000,0,0,0
__import__.product_0103176,0,0,0
__import__.product_0103184,0,0,0
__import__.product_0103275,0,0,0
__import__.product_0103416,0,0,0
__import__.product_0103424,0,0,0
__import__.product_0103614,0,0,0
__import__.product_0103929,0,0,0
__import__.product_0104042,0,0,0
__import__.product_0104109,0,0,0
__import__.product_0104299,4.7,7,1.8
__import__.product_0104745,0,0,0
__import__.product_0104760,0,0,0
__import__.product_0104786,0,0,0
__import__.product_0104992,0,0,0
__import__.product_0105056,0,0,0
__import__.product_0105072,0,0,0
__import__.product_0105320,0,0,0
__import__.product_0105361,0,0,0
__import__.product_0105429,0,0,0
__import__.product_0105635,0,0,0
__import__.product_0105676,0,0,0
__import__.product_0105692,0,0,0
__import__.product_0105700,0,0,0
__import__.product_0105900,0,0,0
__import__.product_0105924,0,0,0
__import__.product_0105965,0,0,0
__import__.product_0105981,0,0,0
__import__.product_0106203,0,0,0
__import__.product_0106435,0,0,0
__import__.product_0106831,0,0,0
__import__.product_0106971,0,0,0
__import__.product_0107136,0,0,0
__import__.product_0107235,0,0,0
__import__.product_0107276,0,0,0
__import__.product_0107359,0,0,0
__import__.product_0107532,0,0,0
__import__.product_0107706,0,0,0
__import__.product_0107813,0,0,0
__import__.product_0107961,0,0,0
__import__.product_0107984,0,0,0
__import__.product_0108175,5.2,10,17.7
__import__.product_0108282,0,0,0
__import__.product_0108423,0,0,0
__import__.product_0108670,0,0,0
__import__.product_0108712,0,0,0
__import__.product_0108720,6,12.5,22.8
__import__.product_0108894,0,0,0
__import__.product_0109181,8.8,14.7,3
__import__.product_0109199,0,0,0
__import__.product_0109207,0,0,0
__import__.product_0109330,0,0,0
__import__.product_0109504,0,0,0
__import__.product_0109595,0,0,0
__import__.product_0109900,0,0,0
__import__.product_0109912,0,0,0
__import__.product_0109922,0,0,0
__import__.product_0109930,0,0,0
__import__.product_0110000,0,0,0
__import__.product_0110001,0,0,0
__import__.product_0110395,0,0,0
__import__.product_0110759,0,0,0
__import__.product_0110882,0,0,0
__import__.product_0111054,5.3,5.3,4.8
__import__.product_0111401,0,0,0
__import__.product_0111427,0,0,0
__import__.product_0111575,0,0,0
__import__.product_0111591,5,7.2,4.8
__import__.product_0111666,8.3,8.3,24.2
__import__.product_0111708,0,0,0
__import__.product_0111799,0,0,0
__import__.product_0111963,5,10,4.8
__import__.product_0112110,6.5,6.5,19.6
__import__.product_0112490,0,0,0
__import__.product_0112664,0,0,0
__import__.product_0112904,0,0,0
__import__.product_0112945,0,0,0
__import__.product_0112946,0,0,0
__import__.product_0113134,0,0,0
__import__.product_0113399,0,0,0
__import__.product_0113464,4.3,4.3,7.5
__import__.product_0113597,0,0,0
__import__.product_0113639,0,0,0
__import__.product_0113894,0,0,0
__import__.product_0113969,0,0,0
__import__.product_0114074,0,0,0
__import__.product_0114397,0,0,0
__import__.product_0114421,0,0,0
__import__.product_0114462,0,0,0
__import__.product_0114561,0,0,0
__import__.product_0114611,0,0,0
__import__.product_0114835,0,0,0
__import__.product_0114892,0,0,0
__import__.product_0115055,0,0,0
__import__.product_0115071,0,0,0
__import__.product_0115121,5.2,5.2,9.7
__import__.product_0115196,0,0,0
__import__.product_0115246,5.2,5.2,9.8
__import__.product_0115300,0,0,0
__import__.product_0115352,0,0,0
__import__.product_0115808,0,0,0
__import__.product_0115816,0,0,0
__import__.product_0115899,0,0,0
__import__.product_0115949,0,0,0
__import__.product_0116236,0,0,0
__import__.product_0117028,0,0,0
__import__.product_0117093,0,0,0
__import__.product_0117094,0,0,0
__import__.product_0117333,0,0,0
__import__.product_0117481,5.2,5.2,9.7
__import__.product_0117564,0,0,0
__import__.product_0117572,0,0,0
__import__.product_0117580,0,0,0
__import__.product_0117598,0,0,0
__import__.product_0117770,0,0,0
__import__.product_0117800,0,0,0
__import__.product_0117994,5.9,5.9,5.8
__import__.product_0118018,5.9,5.9,3.3
__import__.product_0118034,13.3,20.2,6
__import__.product_0118067,4.9,4.9,3.3
__import__.product_0118091,12.1,24.2,6.1
__import__.product_0118422,0,0,0
__import__.product_0118500,0,0,0
__import__.product_0118570,0,0,0
__import__.product_0118703,0,0,0
__import__.product_0119172,0,0,0
__import__.product_0119180,0,0,0
__import__.product_0119198,0,0,0
__import__.product_0119677,0,0,0
__import__.product_0119735,0,0,0
__import__.product_0119800,0,0,0
__import__.product_0119801,0,0,0
__import__.product_0119958,0,0,0
__import__.product_0120139,0,0,0
__import__.product_0120202,0,0,0
__import__.product_0120485,0,0,0
__import__.product_0120584,0,0,0
__import__.product_0120675,0,0,0
__import__.product_0121228,0,0,0
__import__.product_0121426,0,0,0
__import__.product_0121491,0,0,0
__import__.product_0122143,0,0,0
__import__.product_0122150,0,0,0
__import__.product_0122275,0,0,0
__import__.product_0122283,0,0,0
__import__.product_0122762,0,0,0
__import__.product_0122994,0,0,0
__import__.product_0123042,0,0,0
__import__.product_0123851,0,0,0
__import__.product_0124289,5.1,5.1,9.8
__import__.product_0124297,6.6,6.6,14
__import__.product_0124412,0,0,0
__import__.product_0124520,0,0,0
__import__.product_0124594,0,0,0
__import__.product_0124644,0,0,0
__import__.product_0124792,0,0,0
__import__.product_0124867,0,0,0
__import__.product_0125000,0,0,0
__import__.product_0125112,0,0,0
__import__.product_0125153,0,0,0
__import__.product_0125187,0,0,0
__import__.product_0125195,0,0,0
__import__.product_0125203,0,0,0
__import__.product_0125427,0,0,0
__import__.product_0125732,5.5,23.2,3.8
__import__.product_0125906,0,0,0
__import__.product_0125922,0,0,0
__import__.product_0125997,0,0,0
__import__.product_0126000,0,0,0
__import__.product_0126052,0,0,0
__import__.product_0126193,0,0,0
__import__.product_0126276,0,0,0
__import__.product_0126540,0,0,0
__import__.product_0126771,0,0,0
__import__.product_0126797,0,0,0
__import__.product_0126946,0,0,0
__import__.product_0126979,0,0,0
__import__.product_0127035,0,0,0
__import__.product_0127233,0,0,0
__import__.product_0127258,0,0,0
__import__.product_0127480,0,0,0
__import__.product_0127589,0,0,0
__import__.product_0127696,0,0,0
__import__.product_0127800,0,0,0
__import__.product_0127870,0,0,0
__import__.product_0128000,0,0,0
__import__.product_0128165,0,0,0
__import__.product_0128488,0,0,0
__import__.product_0128637,0,0,0
__import__.product_0128645,0,0,0
__import__.product_0128835,0,0,0
__import__.product_0129007,0,0,0
__import__.product_0129015,0,0,0
__import__.product_0129098,0,0,0
__import__.product_0129114,0,0,0
__import__.product_0129452,0,0,0
__import__.product_0129460,0,0,0
__import__.product_0129494,0,0,0
__import__.product_0129593,0,0,0
__import__.product_0130054,0,0,0
__import__.product_0130294,0,0,0
__import__.product_0130336,0,0,0
__import__.product_0130401,6.6,8.6,2.8
__import__.product_0130492,0,0,0
__import__.product_0130633,0,0,0
__import__.product_0130815,0,0,0
__import__.product_0131334,0,0,0
__import__.product_0131375,0,0,0
__import__.product_0131680,0,0,0
__import__.product_0131896,0,0,0
__import__.product_0132274,0,0,0
__import__.product_0132290,0,0,0
__import__.product_0132324,6.5,6.9,6.3
__import__.product_0132407,0,0,0
__import__.product_0132423,0,0,0
__import__.product_0132450,0,0,0
__import__.product_0132472,0,0,0
__import__.product_0132548,0,0,0
__import__.product_0132563,0,0,0
__import__.product_0132589,0,0,0
__import__.product_0132647,0,0,0
__import__.product_0132704,0,0,0
__import__.product_0133231,0,0,0
__import__.product_0133249,0,0,0
__import__.product_0133686,0,0,0
__import__.product_0133835,0,0,0
__import__.product_0133868,0,0,0
__import__.product_0134100,3.9,8.6,1.9
__import__.product_0134213,0,0,0
__import__.product_0134528,0,0,0
__import__.product_0134593,0,0,0
__import__.product_0134866,0,0,0
__import__.product_0134882,0,0,0
__import__.product_0134957,0,0,0
__import__.product_0135100,7.4,8.5,1.8
__import__.product_0135152,0,0,0
__import__.product_0135194,8.9,8.9,22.2
__import__.product_0135418,0,0,0
__import__.product_0135475,0,0,0
__import__.product_0135483,0,0,0
__import__.product_0135509,0,0,0
__import__.product_0135517,0,0,0
__import__.product_0135533,0,0,0
__import__.product_0135700,0,0,0
__import__.product_0135913,0,0,0
__import__.product_0135954,0,0,0
__import__.product_0135996,6.7,6.7,19.2
__import__.product_0136100,7.5,8.6,1.8
__import__.product_0136200,0,0,0
__import__.product_0136242,0,0,0
__import__.product_0136267,0,0,0
