id,width,length,taxes_id/id,depth,weight
__import__.product_1487305,6.6,6.6,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_004_in,l10n_be_antibiotic_tax.1_antibiotic_004_out",14.2,0.47
__import__.product_2197259,3.7,5.9,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",12.6,0.05
__import__.product_2343978,5.5,10.8,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",11.9,0.33
__import__.product_2556926,11.7,5.6,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",10.4,0.3
__import__.product_2690071,5.5,5.5,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",17,0.2
__import__.product_2755429,0,0,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_175_in,l10n_be_antibiotic_tax.1_antibiotic_175_out",0,1
__import__.product_2859346,5.5,5.5,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_003_in,l10n_be_antibiotic_tax.1_antibiotic_003_out",13,0.2
__import__.product_3419744,0,0,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",0,0.05
__import__.product_6040003,8.5,8.5,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_003_in,l10n_be_antibiotic_tax.1_antibiotic_003_out",24,1.08
__import__.product_6350317,4.9,4.8,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_002_in,l10n_be_antibiotic_tax.1_antibiotic_002_out",10.1,0.14
__import__.product_6350318,6.5,6.5,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_004_in,l10n_be_antibiotic_tax.1_antibiotic_004_out",13.6,0.33
__import__.product_6350320,5,5,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_005_in,l10n_be_antibiotic_tax.1_antibiotic_005_out",10.8,0.14
__import__.product_6350325,18,20.8,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_010_in,l10n_be_antibiotic_tax.1_antibiotic_010_out",7.5,1.04
__import__.product_6420007,4.7,4.7,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",8.3,0.12
__import__.product_7505500,4.8,4.8,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_004_in,l10n_be_antibiotic_tax.1_antibiotic_004_out",8.4,0.13
__import__.product_7910041,7.2,7.2,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_007_in,l10n_be_antibiotic_tax.1_antibiotic_007_out",13.9,0.43
__import__.product_7915000,2.8,4.8,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",9.8,0.03
__import__.product_7915015,2.7,4.8,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",11.3,0.05
__import__.product_8158011,16.3,21.8,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_002_in,l10n_be_antibiotic_tax.1_antibiotic_002_out",12.2,0.75
__import__.product_8270109,9.4,11.7,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",5.3,0.15
