id,list_price,weight,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_3083789,47.00,10.00,50.000,0,0,0,20.000
__import__.product_3123155,77.80,0.10,72.000,0,0,0,30.000
__import__.product_3123189,77.80,0.10,120.000,0,0,0,70.000
__import__.product_3123213,143.30,0.10,144.000,0,0,0,75.000
__import__.product_3152659,7.00,0.10,30.000,0,0,0,12.000
__import__.product_3169570,23.50,0.10,9.000,0,0,0,4.000
__import__.product_3175072,43.30,10.00,4.000,0,0,0,2.000
__import__.product_3198132,22.20,0.10,8.000,0,0,0,4.000
__import__.product_3240140,66.50,0.20,20.000,11.00,6.30,13.30,6.000
__import__.product_3265600,37.80,12.00,180.000,0,0,0,100.000
__import__.product_3265642,37.80,12.00,44.000,0,0,0,23.000
__import__.product_3265675,37.80,12.00,150.000,0,0,0,90.000
__import__.product_3265709,37.80,12.00,139.000,0,0,0,71.000
__import__.product_3265758,37.80,12.00,65.000,0,0,0,43.000
__import__.product_3265782,37.80,12.00,390.000,0,0,0,240.000
__import__.product_3265824,37.80,12.00,110.000,0,0,0,70.000
__import__.product_3267952,40.00,6.00,6.000,0,0,0,3.000
__import__.product_3272432,32.80,0.30,11.000,0,0,0,6.000
__import__.product_3275617,41.40,0.10,2.000,0,0,0,1.000
__import__.product_3280906,15.60,0.20,40.000,0,0,0,20.000
__import__.product_3289444,27.50,0.20,60.000,0,0,0,30.000
__import__.product_3289469,14.50,0.20,20.000,0,0,0,10.000
__import__.product_3309218,110.00,2.50,24.000,0,0,0,12.000
__import__.product_3323797,16.50,0.10,36.000,0,0,0,24.000
__import__.product_3338969,6.40,0.20,120.000,0,0,0,72.000
__import__.product_3380474,5.70,0.20,12.000,0,0,0,6.000
__import__.product_3380482,5.70,0.20,12.000,0,0,0,6.000
__import__.product_3380508,5.70,0.20,12.000,0,0,0,6.000
__import__.product_3409984,39.70,0.10,4.000,0,0,0,2.000
__import__.product_3410198,11.90,0.10,60.000,0,0,0,30.000
__import__.product_3411212,61.10,2.30,48.000,20.00,19.50,26.50,24.000
__import__.product_3419546,48.90,0.20,12.000,0,0,0,6.000
__import__.product_3420460,66.40,0.10,22.000,0,0,0,10.000
__import__.product_3434453,11.60,0,10.000,0,0,0,4.000
__import__.product_3444759,38.10,0.10,20.000,0,0,0,10.000
__import__.product_3502606,41.40,0.10,6.000,0,0,0,3.000
__import__.product_3562162,20.60,0.20,12.000,0,0,0,6.000
__import__.product_3562410,5.10,1.00,8.000,0,0,0,2.000
__import__.product_3563020,21.00,3.00,50.000,0,0,0,24.000
__import__.product_3563046,21.00,3.00,80.000,0,0,0,50.000
__import__.product_3563079,21.00,3.00,50.000,0,0,0,27.000
__import__.product_3563095,21.00,3.00,50.000,0,0,0,20.000
__import__.product_3563129,21.00,3.00,40.000,0,0,0,15.000
__import__.product_3563152,21.00,3.00,54.000,0,0,0,27.000
__import__.product_3563178,21.00,3.00,80.000,0,0,0,50.000
__import__.product_3563186,21.00,3.00,18.000,0,0,0,12.000
__import__.product_3623659,52.90,0.20,2.000,0,0,0,1.000
__import__.product_3641677,28.70,0.10,24.000,0,0,0,12.000
__import__.product_3641883,147.30,1.00,10.000,0,0,0,6.000
__import__.product_3686599,9.00,0.30,10.000,0,0,0,5.000
__import__.product_3686607,10.50,0.30,10.000,0,0,0,5.000
__import__.product_3686615,13.00,0.30,10.000,0,0,0,5.000
__import__.product_3686623,16.00,0.30,5.000,0,0,0,2.000
__import__.product_3687498,7.80,0.30,20.000,0,0,0,10.000
__import__.product_3702297,49.00,0.10,48.000,0,0,0,24.000
__import__.product_4007223,23.40,3.60,205.000,0,0,0,79.000
__import__.product_4008024,24.10,3.50,258.000,33.00,25.00,12.00,104.000
__import__.product_4008034,24.10,3.50,109.000,33.00,25.00,12.00,44.000
__import__.product_4009014,24.10,3.50,95.000,33.00,25.00,12.00,39.000
__import__.product_4009034,24.10,3.50,90.000,33.00,25.00,12.00,30.000
__import__.product_4110003,22.80,2.50,149.000,28.30,19.70,11.30,72.000
__import__.product_4150202,18.00,2.00,90.000,0,0,0,30.000
__import__.product_4150203,31.30,4.00,30.000,0,0,0,15.000
__import__.product_4212009,55.80,14.00,147.000,70.00,38.00,12.00,75.000
__import__.product_4220014,55.80,14.00,760.000,70.00,38.00,12.00,400.000
__import__.product_4220114,55.80,14.00,205.000,70.00,38.00,12.00,111.000
__import__.product_4220143,19.90,3.50,314.000,33.00,25.00,12.00,169.000
__import__.product_4230102,32.80,7.50,166.000,60.00,39.00,10.00,80.000
__import__.product_4230122,32.80,7.50,30.000,59.00,36.00,9.00,16.000
__import__.product_4250201,8.30,1.50,73.000,0,0,0,35.000
__import__.product_4270141,8.30,1.50,52.000,25.00,19.00,8.50,25.000
__import__.product_4500204,16.80,4.00,64.000,32.00,25.00,12.00,26.000
__import__.product_4500244,16.80,4.00,31.000,32.00,25.00,12.00,14.000
__import__.product_4500282,7.50,1.50,190.000,25.00,19.00,8.50,77.000
__import__.product_4500304,16.80,4.00,11.000,32.00,24.00,12.00,4.000
__import__.product_4500464,16.80,4.00,83.000,32.00,25.00,12.00,34.000
__import__.product_4610250,193.50,0,5.000,0,0,0,3.000
__import__.product_4629976,8.80,0.72,10.000,10.00,10.00,20.50,6.000
__import__.product_4910036,13.50,0,16.000,0,0,0,8.000
__import__.product_4910046,13.50,0,70.000,0,0,0,30.000
__import__.product_4910047,13.50,0,40.000,0,0,0,20.000
__import__.product_4910101,13.50,0,32.000,0,0,0,16.000
__import__.product_4930040,13.50,0,35.000,0,0,0,19.000
__import__.product_4950043,13.50,0,12.000,0,0,0,7.000
__import__.product_4952070,18.10,4.00,110.000,18.20,12.00,16.50,50.000
__import__.product_4960043,13.50,0,38.000,0,0,0,24.000
__import__.product_4970045,13.50,0,24.000,0,0,0,12.000
__import__.product_4980044,13.50,0,35.000,0,0,0,20.000
__import__.product_4990900,21.00,0.60,30.000,0,0,0,20.000
__import__.product_4990950,21.00,0.60,40.000,0,0,0,20.000
__import__.product_4990951,21.00,0.60,15.000,0,0,0,4.000
__import__.product_4990952,21.00,0.60,14.000,0,0,0,6.000
__import__.product_4990953,21.00,0.60,17.000,0,0,0,3.000
__import__.product_5011736,12.60,0,10.000,0,0,0,5.000
__import__.product_5018869,13.00,0,10.000,0,0,0,2.000
__import__.product_5018870,5.40,0,10.000,0,0,0,2.000
__import__.product_5021023,11.00,0,4.000,0,0,0,2.000
__import__.product_5021024,11.00,0,4.000,0,0,0,2.000
__import__.product_5021025,13.00,0,4.000,0,0,0,2.000
__import__.product_5032400,3.30,0,30.000,0,0,0,10.000
__import__.product_5038005,155.80,0,4.000,0,0,0,2.000
__import__.product_5042200,399.00,0,24.000,0,0,0,4.000
__import__.product_5045148,275.00,0,7.000,0,0,0,2.000
__import__.product_5052032,34.60,1.80,100.000,44.00,24.50,4.30,50.000
__import__.product_5052033,34.60,0,2.000,0,0,0,1.000
__import__.product_5060109,59.00,0,5.000,0,0,0,2.000
__import__.product_5063283,79.00,0,2.000,0,0,0,1.000
__import__.product_5074564,31.20,0,120.000,0,0,0,60.000
__import__.product_5080030,2.70,0.10,10.000,5.50,20.90,5.80,5.000
__import__.product_5080403,55.00,1.10,4.000,6.00,13.80,26.00,2.000
__import__.product_5080422,62.00,0.20,2.000,6.50,6.50,14.00,1.000
__import__.product_5100921,305.40,0,2.000,0,0,0,1.000
__import__.product_5141775,21.50,0,20.000,0,0,0,10.000
__import__.product_5157397,17.90,0,2.000,0,0,0,1.000
__import__.product_5159403,9.60,0.30,90.000,0,0,0,30.000
__import__.product_5161310,14.10,3.00,8.000,0,0,0,4.000
__import__.product_5161401,40.60,12.50,2.000,0,0,0,1.000
__import__.product_5161411,13.70,3.00,2.000,0,0,0,1.000
__import__.product_5161500,37.40,12.50,5.000,0,0,0,3.000
__import__.product_5163501,420.00,5.00,4.000,0,0,0,2.000
__import__.product_5164503,37.40,12.50,65.000,73.00,37.00,11.00,20.000
__import__.product_5164509,14.10,3.00,67.000,36.00,25.00,10.00,21.000
__import__.product_5164511,10.50,3.00,12.000,36.00,25.00,10.00,6.000
__import__.product_5164517,9.30,1.50,18.000,22.00,20.00,8.00,6.000
__import__.product_5164523,11.40,3.00,2.000,36.00,25.00,10.00,1.000
__import__.product_5164537,11.40,3.00,10.000,36.00,25.00,10.00,4.000
__import__.product_5164541,17.80,4.50,177.000,44.00,25.50,10.00,54.000
__import__.product_5164548,38.20,6.00,5.000,25.00,15.00,25.00,2.000
__import__.product_5164561,40.60,12.50,14.000,0,0,0,8.000
__import__.product_5164562,13.70,3.00,12.000,0,0,0,8.000
__import__.product_5166100,12.40,2.50,2.000,0,0,0,1.000
__import__.product_5166110,39.50,10.00,8.000,0,0,0,4.000
__import__.product_5192046,56.70,3.00,6.000,0,0,0,2.000
__import__.product_5192761,46.70,1.50,6.000,0,0,0,2.000
__import__.product_5197068,7.00,0.10,6.000,0,0,0,3.000
__import__.product_5197069,5.00,0.10,6.000,0,0,0,3.000
__import__.product_5221083,12.00,2.00,4.000,0,0,0,2.000
__import__.product_5224530,14.40,0,3.000,0,0,0,1.000
__import__.product_5233009,9.70,1.50,10.000,0,0,0,6.000
__import__.product_5236005,9.70,1.50,101.000,0,0,0,40.000
__import__.product_5239005,9.70,1.50,6.000,0,0,0,3.000
__import__.product_5245400,14.40,0,2.000,0,0,0,1.000
__import__.product_5248004,33.70,0.90,30.000,80.00,2.00,45.00,15.000
__import__.product_5250002,35.40,0,2.000,0,0,0,1.000
__import__.product_5250118,14.90,0.20,6.000,10.30,7.00,15.30,2.000
__import__.product_5266003,8.60,0.50,60.000,0,0,0,30.000
__import__.product_5268501,21.00,0.10,20.000,0,0,0,10.000
__import__.product_5270170,26.00,0,4.000,0,0,0,2.000
__import__.product_5270214,52.80,12.50,8.000,67.00,35.00,10.00,2.000
__import__.product_5270220,52.80,10.00,23.000,57.00,34.00,12.00,6.000
__import__.product_5273405,40.20,0,20.000,0,0,0,10.000
__import__.product_5273420,64.80,0,4.000,0,0,0,2.000
__import__.product_5280808,25.00,2.00,8.000,0,0,0,3.000
__import__.product_5290196,16.20,0.50,2.000,27.70,18.20,18.20,1.000
__import__.product_5301138,43.50,0,2.000,0,0,0,1.000
__import__.product_5301142,42.00,0,6.000,0,0,0,3.000
__import__.product_5301144,42.00,0,4.000,0,0,0,2.000
__import__.product_5301146,42.00,0,2.000,0,0,0,1.000
__import__.product_5312007,20.70,7.50,2.000,0,0,0,1.000
__import__.product_5317639,25.00,5.00,13.000,0,0,0,7.000
__import__.product_5317839,9.70,1.50,48.000,0,0,0,23.000
__import__.product_5317899,9.70,1.50,6.000,0,0,0,3.000
__import__.product_5332150,3.80,0.30,60.000,0,0,0,30.000
__import__.product_5332271,10.00,0,40.000,0,0,0,20.000
__import__.product_5332272,10.00,0,40.000,0,0,0,20.000
__import__.product_5332350,3.80,0.30,60.000,0,0,0,30.000
__import__.product_5332850,3.80,0.30,60.000,0,0,0,30.000
__import__.product_5343020,110.60,0,10.000,0,0,0,5.000
__import__.product_5361760,25.00,5.00,35.000,0,0,0,15.000
__import__.product_5361772,25.00,5.00,80.000,0,0,0,40.000
__import__.product_5361775,25.00,5.00,20.000,0,0,0,11.000
__import__.product_5361791,25.00,5.00,6.000,0,0,0,3.000
__import__.product_5361797,25.00,5.00,2.000,0,0,0,1.000
__import__.product_5376820,14.00,0,40.000,0,0,0,20.000
__import__.product_5394001,105.00,8.60,8.000,41.00,31.60,17.50,4.000
__import__.product_5394002,115.00,1.80,24.000,24.00,20.50,13.50,10.000
__import__.product_5394006,14.50,1.20,24.000,0,0,0,14.000
__import__.product_5394010,105.00,2.70,12.000,33.50,22.00,14.00,6.000
__import__.product_5416430,118.00,1.00,40.000,0,0,0,20.000
__import__.product_5416438,130.00,1.00,40.000,0,0,0,20.000
__import__.product_5416453,106.00,1.00,40.000,0,0,0,20.000
__import__.product_5432002,15.00,0.60,200.000,0,0,0,100.000
__import__.product_5432015,130.00,1.00,50.000,0,0,0,30.000
__import__.product_5439904,36.00,1.00,4.000,0,0,0,2.000
__import__.product_5446054,47.00,0,4.000,0,0,0,2.000
__import__.product_5450049,19.50,0.20,6.000,0,0,0,3.000
__import__.product_5450050,30.00,0.30,2.000,0,0,0,1.000
__import__.product_5477606,13.80,5.00,120.000,0,0,0,40.000
__import__.product_5600803,190.00,10.00,2.000,0,0,0,1.000
__import__.product_5600804,190.00,12.00,2.000,0,0,0,1.000
__import__.product_5603992,12.60,0,4.000,0,0,0,2.000
__import__.product_5690603,79.40,1.00,18.000,0,0,0,6.000
__import__.product_5700015,0.90,0,200.000,0,0,0,100.000
__import__.product_5700016,1.10,0,200.000,0,0,0,100.000
__import__.product_5700017,1.40,0,200.000,0,0,0,100.000
__import__.product_5700092,3.00,0,10.000,0,0,0,5.000
__import__.product_5700094,2.40,0,5.000,0,0,0,2.000
__import__.product_5700095,7.50,0,5.000,0,0,0,2.000
__import__.product_5727815,19.00,0,2.000,0,0,0,1.000
__import__.product_5760345,10.30,0.10,97.000,4.70,4.70,10.00,29.000
__import__.product_5760417,48.40,0,2.000,0,0,0,1.000
__import__.product_5764200,5.70,0.10,2.000,0,0,0,1.000
__import__.product_5764203,5.10,0.10,2.000,0,0,0,1.000
__import__.product_5764204,5.10,0.30,2.000,0,0,0,1.000
__import__.product_5769001,9.00,0.10,2.000,0,0,0,1.000
__import__.product_5820390,5.50,1.50,23.000,30.00,25.00,7.00,7.000
__import__.product_5822842,14.90,1.50,221.000,0,0,0,100.000
__import__.product_5823402,241.80,0.20,6.000,0,0,0,3.000
__import__.product_5826096,28.90,7.50,18.000,48.30,30.40,12.70,8.000
__import__.product_5828686,14.90,1.50,146.000,29.00,19.00,6.00,52.000
__import__.product_5828695,14.90,1.50,32.000,29.00,19.00,6.00,12.000
__import__.product_5829189,14.90,1.50,81.000,29.00,19.00,6.00,35.000
__import__.product_5830214,3.90,0,12.000,0,0,0,4.000
__import__.product_5921400,58.50,0.10,30.000,0,0,0,15.000
__import__.product_5942207,13.50,0,20.000,0,0,0,10.000
__import__.product_5942208,13.50,0,10.000,0,0,0,5.000
__import__.product_6038742,65.00,0.50,4.000,0,0,0,2.000
__import__.product_6260010,242.70,4.59,26.000,24.70,14.30,21.80,13.000
__import__.product_6600900,13.00,0.20,41.000,5.20,5.20,9.80,12.000
__import__.product_6710180,20.00,0.10,20.000,0,0,0,10.000
__import__.product_6778663,9.10,0.50,20.000,0,0,0,10.000
__import__.product_6910430,15.00,0.10,10.000,0,0,0,5.000
__import__.product_6981921,7.00,0.10,6.000,0,0,0,3.000
__import__.product_7031966,8.10,0.60,4.000,0,0,0,2.000
__import__.product_7230000,16.00,0.31,36.000,17.40,11.70,5.00,12.000
__import__.product_7420035,14.00,0.04,20.000,14.80,11.60,1.90,10.000
__import__.product_7760301,21.30,1.12,135.000,8.40,8.40,21.30,33.000
__import__.product_7915000,8.80,0.03,348.000,4.80,2.80,9.80,103.000
__import__.product_7920045,82.50,2.50,8.000,32.00,28.20,7.20,4.000
__import__.product_7920156,122.60,0,10.000,0,0,0,5.000
__import__.product_8003682,38.30,0,2.000,0,0,0,1.000
__import__.product_8003788,57.20,0,8.000,0,0,0,4.000
__import__.product_8003802,72.30,0,2.000,0,0,0,1.000
__import__.product_8003848,10.20,0,2.000,0,0,0,1.000
__import__.product_8003854,10.20,0,12.000,0,0,0,6.000
__import__.product_8003860,11.20,0,6.000,0,0,0,3.000
__import__.product_8003920,39.20,0,3.000,0,0,0,1.000
__import__.product_8011457,4.80,0,6.000,0,0,0,2.000
__import__.product_8016182,32.90,0,2.000,0,0,0,1.000
__import__.product_8017678,19.20,0,4.000,0,0,0,2.000
__import__.product_8017684,19.20,0,4.000,0,0,0,2.000
__import__.product_8017690,19.20,0,4.000,0,0,0,2.000
__import__.product_8019200,21.00,0,20.000,0,0,0,10.000
__import__.product_8020433,1.80,0,20.000,0,0,0,10.000
__import__.product_8021160,11.30,0,20.000,0,0,0,10.000
__import__.product_8021409,1.20,0,5.000,0,0,0,3.000
__import__.product_8021616,15.00,0,2.000,0,0,0,1.000
__import__.product_8021740,5.10,0,3.000,0,0,0,2.000
__import__.product_8025293,21.40,0,2.000,0,0,0,1.000
__import__.product_8025318,51.10,0,4.000,0,0,0,2.000
__import__.product_8028400,4.20,0,120.000,0,0,0,60.000
__import__.product_8030012,7.20,0,2.000,0,0,0,1.000
__import__.product_8030029,7.20,0,2.000,0,0,0,1.000
__import__.product_8030093,7.20,0,2.000,0,0,0,1.000
__import__.product_8030101,7.20,0,2.000,0,0,0,1.000
__import__.product_8030118,7.20,0,2.000,0,0,0,1.000
__import__.product_8030897,41.60,0,2.000,0,0,0,1.000
__import__.product_8030905,20.00,0,2.000,0,0,0,1.000
__import__.product_8031365,0.70,0,6.000,0,0,0,3.000
__import__.product_8031460,9.00,0,13.000,14.50,7.00,1.00,8.000
__import__.product_8031477,9.00,0,22.000,16.30,7.00,1.00,10.000
__import__.product_8031661,5.20,0,4.000,0,0,0,2.000
__import__.product_8031678,5.20,0,6.000,0,0,0,3.000
__import__.product_8031684,5.20,0,2.000,0,0,0,1.000
__import__.product_8031690,5.20,0,4.000,0,0,0,2.000
__import__.product_8032442,5.20,0,10.000,0,0,0,5.000
__import__.product_8035423,10.80,0,2.000,0,0,0,1.000
__import__.product_8035937,87.40,0,5.000,0,0,0,2.000
__import__.product_8035943,59.30,0,2.000,0,0,0,1.000
__import__.product_8036612,17.00,0,10.000,0,0,0,5.000
__import__.product_8036865,45.20,0,2.000,0,0,0,1.000
__import__.product_8037528,6.50,0,20.000,0,0,0,10.000
__import__.product_8037847,2.70,0,10.000,0,0,0,5.000
__import__.product_8037899,3.60,0,12.000,0,0,0,6.000
__import__.product_8038031,23.00,0.90,50.000,26.20,17.40,10.20,25.000
__import__.product_8043078,78.90,0,2.000,0,0,0,1.000
__import__.product_8043598,5.20,0,50.000,0,0,0,25.000
__import__.product_8043960,25.00,0,4.000,0,0,0,2.000
__import__.product_8045249,31.50,0,2.000,0,0,0,1.000
__import__.product_8045255,40.50,0,2.000,0,0,0,1.000
__import__.product_8045261,183.50,0,2.000,0,0,0,1.000
__import__.product_8045686,1.20,0,12.000,0,0,0,8.000
__import__.product_8046993,88.00,0,12.000,0,0,0,2.000
__import__.product_8048934,199.00,0,2.000,0,0,0,1.000
__import__.product_8049520,495.00,0,5.000,0,0,0,3.000
__import__.product_8049632,325.00,0,2.000,0,0,0,1.000
__import__.product_8054596,57.60,0,3.000,0,0,0,1.000
__import__.product_8055408,1030.00,0,5.000,0,0,0,1.000
__import__.product_8062087,22.80,0,2.000,0,0,0,1.000
__import__.product_8069244,22.70,0,4.000,0,0,0,2.000
__import__.product_8102295,6.10,1.50,48.000,30.00,20.00,40.00,24.000
__import__.product_8105276,5.00,1.00,10.000,0,0,0,5.000
__import__.product_8110633,56.50,0.10,5.000,0,0,0,3.000
__import__.product_8110662,74.00,0.10,3.000,0,0,0,1.000
__import__.product_8111762,40.00,10.00,2.000,0,0,0,1.000
__import__.product_8132824,13.70,2.00,16.000,0,0,0,8.000
__import__.product_8132830,6.60,0.50,30.000,0,0,0,15.000
__import__.product_8180941,114.00,0,5.000,0,0,0,2.000
__import__.product_8182029,150.00,0,15.000,0,0,0,5.000
__import__.product_8185186,19.90,0,2.000,0,0,0,1.000
__import__.product_8200282,64.90,0,2.000,0,0,0,1.000
__import__.product_8200365,64.90,0,2.000,0,0,0,1.000
__import__.product_8200589,19.90,0,4.000,0,0,0,2.000
__import__.product_8200595,19.90,0,10.000,0,0,0,5.000
__import__.product_8200603,19.90,0,10.000,0,0,0,5.000
__import__.product_8200690,19.90,0,4.000,0,0,0,2.000
__import__.product_8200709,19.90,0,4.000,0,0,0,2.000
__import__.product_8206014,4.60,0,2.000,0,0,0,1.000
__import__.product_8206043,4.20,0,25.000,0,0,0,20.000
__import__.product_8206103,4.60,0,5.000,0,0,0,3.000
__import__.product_8206310,50.30,0,4.000,0,0,0,2.000
__import__.product_8207841,6.70,0,24.000,0,0,0,12.000
__import__.product_8214284,13.00,0,2.000,0,0,0,1.000
__import__.product_8214568,104.00,0,2.000,0,0,0,1.000
__import__.product_8222958,13.90,0,3.000,0,0,0,2.000
__import__.product_8226755,9.80,0,2.000,0,0,0,1.000
__import__.product_8228694,40.00,0,6.000,0,0,0,3.000
__import__.product_8229647,53.80,0,150.000,0,0,0,100.000
__import__.product_8231667,42.00,0,2.000,0,0,0,1.000
__import__.product_8237894,7.70,0,2.000,0,0,0,1.000
__import__.product_8241855,21.00,0,4.000,0,0,0,2.000
__import__.product_8241950,77.90,0,2.000,0,0,0,1.000
__import__.product_8257974,20.40,0,5.000,0,0,0,1.000
__import__.product_8258175,31.70,0,2.000,0,0,0,1.000
__import__.product_8270043,14.80,2.10,14.000,30.40,22.80,5.80,8.000
__import__.product_8270053,10.20,0.20,288.000,5.20,5.20,9.90,120.000
__import__.product_8270258,15.10,3.00,6.000,37.00,20.90,9.00,2.000
__import__.product_8274694,25.90,0,2.000,0,0,0,1.000
__import__.product_8275038,21.00,0,2.000,0,0,0,1.000
__import__.product_8275305,189.00,0,2.000,0,0,0,1.000
__import__.product_8275311,12.00,0,2.000,0,0,0,1.000
__import__.product_8276256,13.00,0,2.000,0,0,0,1.000
__import__.product_8276262,21.00,0,2.000,0,0,0,1.000
__import__.product_8276397,72.00,0,6.000,0,0,0,3.000
__import__.product_8278522,50.00,0,20.000,0,0,0,10.000
__import__.product_8278775,69.30,0,4.000,0,0,0,2.000
__import__.product_8278798,276.70,0,10.000,0,0,0,5.000
__import__.product_8278924,27.00,0,2.000,0,0,0,1.000
__import__.product_8279272,9.00,0,16.000,0,0,0,8.000
__import__.product_8279711,19.00,0,4.000,0,0,0,2.000
__import__.product_8279728,19.00,0,4.000,0,0,0,2.000
__import__.product_8280826,13.00,0,2.000,0,0,0,1.000
__import__.product_8280855,13.00,0,4.000,0,0,0,2.000
__import__.product_8281582,15.00,0,2.000,0,0,0,1.000
__import__.product_8282073,31.70,0,2.000,0,0,0,1.000
__import__.product_8285781,32.50,0,2.000,0,0,0,1.000
__import__.product_8286119,156.30,0,12.000,0,0,0,2.000
__import__.product_8286177,44.20,0,2.000,0,0,0,1.000
__import__.product_8286183,59.60,0,2.000,0,0,0,1.000
__import__.product_8287490,15.00,0,4.000,0,0,0,2.000
__import__.product_8291830,185.00,0,2.000,0,0,0,1.000
__import__.product_8293148,16.00,0,2.000,0,0,0,1.000
__import__.product_8294656,43.80,0,2.000,0,0,0,1.000
__import__.product_8296709,40.00,0,2.000,0,0,0,1.000
__import__.product_8330013,14.10,0.20,186.000,5.20,5.20,9.70,75.000
__import__.product_8332316,23.90,0,2.000,0,0,0,1.000
__import__.product_8333014,68.40,0,18.000,0,0,0,12.000
__import__.product_8336107,7.80,0,8.000,0,0,0,4.000
__import__.product_8336113,7.80,0,6.000,0,0,0,2.000
__import__.product_8336136,7.80,0,12.000,0,0,0,8.000
__import__.product_8336142,9.60,0,9.000,0,0,0,3.000
__import__.product_8336159,9.60,0,6.000,0,0,0,2.000
