id,orderpoint_min,orderpoint_max,orderpoint_qty_multiple
__import__.product_1122118,200,450,1
__import__.product_1122126,200,400,1
__import__.product_1122191,32,119,1
__import__.product_1124940,96,357,1
__import__.product_1126093,8,16,1
__import__.product_1128966,20,79,1
__import__.product_1128974,89,302,1
__import__.product_1129006,0,1,10
__import__.product_1136498,9,26,12
__import__.product_1146919,5,10,1
__import__.product_1148378,2,4,1
__import__.product_1148394,125,464,120
__import__.product_1148980,10,20,1
__import__.product_1151519,4,8,1
__import__.product_1152891,1,2,1
__import__.product_1154582,4,10,1
__import__.product_1154590,40,100,1
__import__.product_1154608,3,10,1
__import__.product_1155748,20,40,1
__import__.product_1156876,91,338,12
__import__.product_1157346,4,14,8
__import__.product_1160402,5,11,1
__import__.product_1160452,15,25,1
__import__.product_1163393,48,96,12
__import__.product_1164037,60,120,6
__import__.product_1164045,24,48,6
__import__.product_1171487,111,308,12
__import__.product_1179811,4,15,12
__import__.product_1179837,10,24,12
__import__.product_1180033,21,69,1
__import__.product_1180059,0,1,1
__import__.product_1180061,1,3,1
__import__.product_1180062,10,20,1
__import__.product_1180072,10,20,1
__import__.product_1180086,1,3,1
__import__.product_1180280,150,300,30
__import__.product_1180306,30,60,30
__import__.product_1180314,100,200,10
__import__.product_1180322,100,200,10
__import__.product_1180454,200,400,10
__import__.product_1181163,650,1300,10
__import__.product_1182534,13,44,1
__import__.product_1182567,80,160,10
__import__.product_1183318,18,26,12
__import__.product_1183375,63,212,30
__import__.product_1190302,8,19,1
__import__.product_1190308,1,2,1
__import__.product_1190310,63,163,1
__import__.product_1190340,22,54,1
__import__.product_1193457,10,32,1
__import__.product_1193515,64,215,12
__import__.product_1197292,30,70,40
__import__.product_1197300,30,50,20
__import__.product_1198068,198,671,10
__import__.product_1200060,48,96,1
__import__.product_1200583,0,1,1
__import__.product_1200585,2,4,1
__import__.product_1201088,2,7,1
__import__.product_1201091,2,5,1
__import__.product_1201092,2,4,1
__import__.product_1201093,2,6,1
__import__.product_1201094,13,40,1
__import__.product_1201095,4,5,1
__import__.product_1201519,13,26,1
__import__.product_1201524,20,40,1
__import__.product_1202218,4,6,1
__import__.product_1202225,3,5,1
__import__.product_1202266,13,32,1
__import__.product_1202403,0,1,1
__import__.product_1202404,0,1,1
__import__.product_1202407,2,3,1
__import__.product_1202409,1,2,1
__import__.product_1202654,42,140,2
__import__.product_1202787,22,72,10
__import__.product_1202803,52,176,12
__import__.product_1202829,24,64,12
__import__.product_1202860,17,68,1
__import__.product_1202886,28,116,36
__import__.product_1202897,12,42,1
__import__.product_1202898,4,12,1
__import__.product_1202899,1,3,1
__import__.product_1202900,2,8,1
__import__.product_1202969,30,55,6
__import__.product_1203074,158,535,1
__import__.product_1203181,20,68,1
__import__.product_1203199,37,126,12
__import__.product_1203223,240,480,12
__import__.product_1203231,12,24,1
__import__.product_1203232,54,182,1
__import__.product_1203264,30,60,1
__import__.product_1203272,22,91,10
__import__.product_1203280,8,14,12
__import__.product_1203439,100,100,10
__import__.product_1204783,18,40,1
__import__.product_1205182,3,8,1
__import__.product_1205183,3,11,1
__import__.product_1205184,2,6,1
__import__.product_1205185,5,15,1
__import__.product_1206853,12,24,12
__import__.product_1206895,29,97,6
__import__.product_1210186,3,12,1
__import__.product_1211200,3,6,1
__import__.product_1211358,100,338,1
__import__.product_1211366,33,136,1
__import__.product_1211374,30,60,10
__import__.product_1211382,34,80,1
__import__.product_1220268,3,10,1
__import__.product_1220276,21,77,1
__import__.product_1220284,5,15,1
__import__.product_1220292,4,8,1
__import__.product_1220318,5,15,1
__import__.product_1220466,36,94,1
__import__.product_1230031,3,5,1
__import__.product_1230032,3,6,1
__import__.product_1230033,6,15,1
__import__.product_1230041,2,4,1
__import__.product_1230042,4,10,1
__import__.product_1230043,12,26,1
__import__.product_1230063,2,4,1
__import__.product_1230069,2,6,1
__import__.product_1231021,4,9,1
__import__.product_1231022,11,27,1
__import__.product_1231024,14,35,1
__import__.product_1231025,8,18,1
__import__.product_1231202,22,54,1
__import__.product_1231204,42,102,4
__import__.product_1231208,55,137,1
__import__.product_1231403,6,13,1
__import__.product_1231405,12,26,1
__import__.product_1231408,13,31,1
__import__.product_1231963,7,14,1
__import__.product_1232005,6,12,1
__import__.product_1232014,15,37,1
__import__.product_1232204,8,17,1
__import__.product_1232210,10,25,1
__import__.product_1232215,60,147,1
__import__.product_1232404,5,9,1
__import__.product_1232410,2,4,1
__import__.product_1232415,8,12,1
__import__.product_1232512,4,9,1
__import__.product_1233014,10,37,6
__import__.product_1233963,3,6,1
__import__.product_1234005,4,7,1
__import__.product_1234014,28,68,1
__import__.product_1234053,11,23,1
__import__.product_1234204,2,6,1
__import__.product_1234210,2,4,1
__import__.product_1234215,87,214,1
__import__.product_1234415,20,54,1
__import__.product_1234472,12,30,1
__import__.product_1237104,1,3,1
__import__.product_1237115,6,10,1
__import__.product_1237291,2,4,1
__import__.product_1237304,1,2,1
__import__.product_1237315,14,30,1
__import__.product_1237504,4,8,1
__import__.product_1237515,33,81,1
__import__.product_1238005,3,5,1
__import__.product_1238021,8,14,1
__import__.product_1238041,1,2,1
__import__.product_1238042,3,7,1
__import__.product_1238049,4,9,1
__import__.product_1238054,3,4,1
__import__.product_1238060,2,6,1
__import__.product_1238064,4,9,1
__import__.product_1238072,20,40,1
__import__.product_1238076,4,8,1
__import__.product_1238083,2,4,1
__import__.product_1238091,4,8,1
__import__.product_1238097,2,5,1
__import__.product_1238103,2,4,1
__import__.product_1239002,10,19,1
__import__.product_1239007,8,14,1
__import__.product_1239062,4,8,1
__import__.product_1239073,4,6,1
__import__.product_1239082,14,28,1
__import__.product_1239091,1,2,1
__import__.product_1239092,8,12,1
__import__.product_1239099,3,7,1
__import__.product_1239103,7,15,1
__import__.product_1239105,8,18,1
__import__.product_1239112,8,14,1
__import__.product_1239113,2,3,1
__import__.product_1239114,12,30,1
__import__.product_1239303,2,4,1
__import__.product_1239322,3,7,1
__import__.product_1239323,19,35,1
__import__.product_1239335,2,4,1
__import__.product_1239343,2,4,1
__import__.product_1239355,3,5,1
__import__.product_1239362,11,23,1
__import__.product_1239371,2,3,1
__import__.product_1239382,2,3,1
__import__.product_1239392,2,4,1
__import__.product_1239422,2,4,1
__import__.product_1239453,3,5,1
__import__.product_1239482,9,16,1
__import__.product_1239581,0,1,1
__import__.product_1250026,20,40,12
__import__.product_1250804,4,7,1
__import__.product_1250816,2,7,1
__import__.product_1250817,2,4,1
__import__.product_1250832,1,2,1
__import__.product_1250834,0,1,1
__import__.product_1250870,2,4,1
__import__.product_1250882,5,9,1
__import__.product_1250884,4,8,1
__import__.product_1250890,11,19,1
__import__.product_1250902,3,5,1
__import__.product_1250903,0,1,1
__import__.product_1250922,1,2,1
__import__.product_1250923,4,7,1
__import__.product_1250924,1,2,1
__import__.product_1251010,2,4,1
__import__.product_1255058,200,400,130
__import__.product_1255066,20,50,1
__import__.product_1257369,162,547,10
__import__.product_1257583,4,9,5
__import__.product_1258010,4,8,1
__import__.product_1259806,40,70,1
__import__.product_1270123,30,60,60
__import__.product_1271741,8,19,10
__import__.product_1272574,2,4,1
__import__.product_1273176,71,239,10
__import__.product_1274059,3,5,1
__import__.product_1277136,6,12,12
__import__.product_1280320,13,46,48
__import__.product_1283209,40,80,10
__import__.product_1283217,4,13,1
__import__.product_1290204,5,10,6
__import__.product_1294461,78,170,1
__import__.product_1300015,3,6,1
__import__.product_1300185,13,43,1
__import__.product_1300227,15,40,1
__import__.product_1300235,20,42,1
__import__.product_1300318,10,20,1
__import__.product_1300573,1,2,1
__import__.product_1301524,30,60,1
__import__.product_1302231,12,33,12
__import__.product_1308320,1,3,1
__import__.product_1317825,131,540,20
__import__.product_1321355,59,218,12
__import__.product_1322031,40,84,12
__import__.product_1329614,21,79,1
__import__.product_1329622,12,37,1
__import__.product_1331222,16,53,30
__import__.product_1331313,126,425,84
__import__.product_1334821,1,6,1
__import__.product_1336890,0,1,1
__import__.product_1336924,60,120,10
__import__.product_1351469,2,4,1
__import__.product_1351524,5,10,1
__import__.product_1351530,10,20,1
__import__.product_1354307,11,35,10
__import__.product_1354349,22,75,8
__import__.product_1355890,23,95,1
__import__.product_1356229,2,4,1
__import__.product_1357201,200,479,10
__import__.product_1357219,350,740,10
__import__.product_1357227,22,72,10
__import__.product_1357235,200,300,10
__import__.product_1357243,50,105,10
__import__.product_1357276,15,45,10
__import__.product_1357284,12,19,10
__import__.product_1357292,15,59,10
__import__.product_1357888,40,136,1
__import__.product_1357896,1,3,1
__import__.product_1360528,30,64,1
__import__.product_1361179,7,27,1
__import__.product_1362100,2,5,1
__import__.product_1367754,194,657,12
__import__.product_1371814,18,60,1
__import__.product_1371939,10,22,1
__import__.product_1379197,3,9,1
__import__.product_1384023,60,80,8
__import__.product_1384387,2,8,1
__import__.product_1384726,0,1,1
__import__.product_1385236,3,9,1
__import__.product_1388651,2,4,1
__import__.product_1388966,18,38,1
__import__.product_1389741,7,15,1
__import__.product_1391614,3,7,1
__import__.product_1397140,80,140,10
__import__.product_1397223,20,40,10
__import__.product_1397231,40,60,10
__import__.product_1398973,30,50,10
__import__.product_1399476,4,14,10
__import__.product_1399518,3,7,1
__import__.product_1400514,10,24,12
__import__.product_1400522,30,111,12
__import__.product_1400903,8,25,1
__import__.product_1401389,164,675,1
__import__.product_1401536,3,6,1
__import__.product_1401694,3,6,1
__import__.product_1402593,0,1,1
__import__.product_1402594,0,1,1
__import__.product_1403294,8,32,5
__import__.product_1405069,0,1,1
__import__.product_1405179,15,30,10
__import__.product_1405476,3,11,1
__import__.product_1405554,4,11,9
__import__.product_1406412,30,80,10
__import__.product_1406420,60,130,10
__import__.product_1406438,50,120,10
__import__.product_1411375,8,20,1
__import__.product_1413013,8,20,1
__import__.product_1413020,8,20,1
__import__.product_1413082,8,20,1
__import__.product_1416437,141,400,12
__import__.product_1416700,25,85,16
__import__.product_1418276,2,4,1
__import__.product_1418367,60,120,12
__import__.product_1421825,35,80,12
__import__.product_1423763,50,100,10
__import__.product_1423771,10,20,10
__import__.product_1429935,1,2,1
__import__.product_1430297,111,240,6
__import__.product_1435981,35,118,10
__import__.product_1445964,1,2,1
__import__.product_1447416,36,60,12
__import__.product_1448091,2,4,1
__import__.product_1448109,72,144,6
__import__.product_1448117,72,144,6
__import__.product_1448638,4,14,1
__import__.product_1448646,2,5,1
__import__.product_1451350,200,340,10
__import__.product_1451843,209,777,1
__import__.product_1455146,3,14,6
__import__.product_1457498,115,389,10
__import__.product_1457506,102,379,10
__import__.product_1465814,5,16,1
__import__.product_1465822,3,8,1
__import__.product_1465830,30,72,1
__import__.product_1478692,43,146,40
__import__.product_1483890,24,66,12
__import__.product_1483957,5,20,10
__import__.product_1483965,7,24,10
__import__.product_1483973,11,39,10
__import__.product_1484047,70,130,12
__import__.product_1484054,103,384,12
__import__.product_1489301,10,23,1
__import__.product_1500025,3,6,1
__import__.product_1505007,0,1,1
__import__.product_1505010,1,2,1
__import__.product_1509025,33,123,6
__import__.product_1509033,14,52,6
__import__.product_1510627,49,120,10
__import__.product_1510635,180,496,10
__import__.product_1510643,35,93,10
__import__.product_1510650,80,272,10
__import__.product_1510668,26,97,10
__import__.product_1510676,32,120,10
__import__.product_1515253,4,14,1
__import__.product_1525641,25,70,1
__import__.product_1526680,24,60,12
__import__.product_1540855,66,244,6
__import__.product_1549500,150,400,1
__import__.product_1552132,30,50,10
__import__.product_1553155,3,11,1
__import__.product_1553379,2,8,1
__import__.product_1554617,42,154,36
__import__.product_1561448,3,9,1
__import__.product_1575315,2,4,4
__import__.product_1575323,1,2,4
__import__.product_1575331,4,8,4
__import__.product_1575398,4,17,1
__import__.product_1581541,40,150,6
__import__.product_1585215,3,6,1
__import__.product_1589944,6,15,1
__import__.product_1589977,24,60,6
__import__.product_1596816,35,131,12
__import__.product_1623776,40,90,1
__import__.product_1623818,293,905,12
__import__.product_1632389,14,45,1
__import__.product_1633163,9,28,1
__import__.product_1633171,2,4,1
__import__.product_1635598,37,124,6
__import__.product_1635952,12,30,1
__import__.product_1655810,44,164,84
__import__.product_1655828,40,149,1
__import__.product_1656222,20,40,1
__import__.product_1658699,7,21,1
__import__.product_1660380,0,1,1
__import__.product_1662865,25,50,1
__import__.product_1662873,52,194,12
__import__.product_1662881,9,30,1
__import__.product_1664119,15,30,10
__import__.product_1684364,124,461,12
__import__.product_1684372,110,411,12
__import__.product_1685361,40,72,4
__import__.product_1685379,7,13,1
__import__.product_1688795,24,73,1
__import__.product_1688803,12,34,1
__import__.product_1688811,6,10,1
__import__.product_1689074,1,2,1
__import__.product_1691716,8,12,12
__import__.product_1693795,186,400,10
__import__.product_1705557,2,4,1
__import__.product_1710227,6,12,6
__import__.product_1710235,19,63,6
__import__.product_1727346,1,5,1
__import__.product_1730928,30,66,1
__import__.product_1731322,1,2,1
__import__.product_1731488,0,1,1
__import__.product_1731496,0,1,1
__import__.product_1731645,1,2,1
__import__.product_1731652,1,2,1
__import__.product_1735960,10,60,1
__import__.product_1745017,100,220,1
__import__.product_1745033,80,210,21
__import__.product_1745041,41,101,21
__import__.product_1745058,35,75,1
__import__.product_1749175,2,7,1
__import__.product_1751577,27,100,5
__import__.product_1754688,2,6,1
__import__.product_1761832,11,35,1
__import__.product_1761865,218,898,20
__import__.product_1770510,90,177,10
__import__.product_1770528,110,210,10
__import__.product_1770536,20,50,10
__import__.product_1770569,25,75,10
__import__.product_1778109,4,7,1
__import__.product_1778117,11,23,12
__import__.product_1778125,6,14,12
__import__.product_1778133,1,2,1
__import__.product_1778141,20,32,1
__import__.product_1778158,100,200,4
__import__.product_1791698,15,53,1
__import__.product_1796291,2,6,1
__import__.product_1800156,40,80,1
__import__.product_1801190,2,5,1
__import__.product_1802160,5,12,1
__import__.product_1806360,0,12,1
__import__.product_1806530,20,40,1
__import__.product_1807090,10,30,1
__import__.product_1809750,8,15,1
__import__.product_1813620,1,2,1
__import__.product_1813630,2,4,1
__import__.product_1820470,0,2,1
__import__.product_1929927,1,4,1
__import__.product_2016803,3,9,1
__import__.product_2017545,6,18,1
__import__.product_2018187,5,12,1
__import__.product_2021377,2,4,1
__import__.product_2021963,35,70,1
__import__.product_2049146,4,16,6
__import__.product_2049153,6,55,1
__import__.product_2054807,25,59,1
__import__.product_2060424,4,6,1
__import__.product_2061265,16,25,1
__import__.product_2061273,15,30,1
__import__.product_2061281,23,77,60
__import__.product_2061299,82,278,60
__import__.product_2064525,20,30,1
__import__.product_2064533,5,10,1
__import__.product_2064541,30,60,1
__import__.product_2064558,10,20,1
__import__.product_2065688,27,67,1
__import__.product_2071835,22,48,1
__import__.product_2081784,23,94,12
__import__.product_2085397,3,10,1
__import__.product_2087054,144,486,10
__import__.product_2087062,200,500,10
__import__.product_2087070,60,160,10
__import__.product_2087088,344,716,10
__import__.product_2087138,15,30,1
__import__.product_2087146,5,10,1
__import__.product_2092146,2,4,6
__import__.product_2092658,0,1,10
__import__.product_2093391,15,50,1
__import__.product_2094316,14,51,1
__import__.product_2094324,4,9,6
__import__.product_2099919,22,50,1
__import__.product_2099927,13,44,1
__import__.product_2101780,10,15,1
__import__.product_2101798,24,76,6
__import__.product_2104941,11,22,24
__import__.product_2114200,4,12,1
__import__.product_2114981,46,171,8
__import__.product_2115616,51,140,1
__import__.product_2123271,20,40,1
__import__.product_2123420,30,36,12
__import__.product_2123842,21,69,6
__import__.product_2124584,20,40,1
__import__.product_2124592,20,68,1
__import__.product_2139178,25,40,1
__import__.product_2152445,10,20,1
__import__.product_2163459,32,90,1
__import__.product_2164374,70,150,10
__import__.product_2167393,15,30,1
__import__.product_2171874,8,15,1
__import__.product_2171886,4,8,1
__import__.product_2171887,3,8,1
__import__.product_2171888,5,10,1
__import__.product_2171889,3,7,1
__import__.product_2171890,3,8,1
__import__.product_2171892,2,5,1
__import__.product_2172132,3,7,1
__import__.product_2176089,62,157,6
__import__.product_2183143,27,99,10
