id,name,is_business_unit,parent_id/id,property_cost_method
alc_product_category_data.product_categ_mat_img_echo,Imagerie Médicale - échographie,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_img_radio,Imagerie Médicale - radiologie,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_img_endo,Imagerie Médicale - endoscopie,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_occasion,Occasion,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_conso,Consommables,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_petshop,Petshop,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_marge,Marge s/vtes Alcyon,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_finance_frais,Frais accessoires s/achats,,alc_product_category_data.product_categ_finance_divers,average
alc_product_category_data.product_categ_finance_remises_fournisseurs,Remises fournisseurs,,alc_product_category_data.product_categ_finance_divers,average
alc_product_category_data.product_categ_finance_divers_divers,Divers,,alc_product_category_data.product_categ_finance_divers,average
alc_product_category_data.product_categ_finance_bonus_actionnaires,Bonus actionnaire,,alc_product_category_data.product_categ_finance_opcli,average
alc_product_category_data.product_categ_finance_remises_partenariat,Remises partenariat,,alc_product_category_data.product_categ_finance_opcli,average
alc_product_category_data.product_categ_finance_remises_geste_commercial,Remises Geste commerciale,,alc_product_category_data.product_categ_finance_opcli,average
alc_product_category_data.product_categ_finance_cheques_clients,Chèques clients,,alc_product_category_data.product_categ_finance_coope,average
alc_product_category_data.product_categ_finance_divers_service,Service,,alc_product_category_data.product_categ_finance_divers,average
alc_product_category_data.product_categ_undefined,Undefined,,,average
