id,list_price
__import__.product_7920019,14.54
__import__.product_7920057,25.35
__import__.product_7920062,25.35
__import__.product_7920065,27.41
__import__.product_7920071,28.20
__import__.product_7924015,16.32
__import__.product_8003624,3.57
__import__.product_8003630,3.82
__import__.product_8003676,4.22
__import__.product_8036138,1015.50
__import__.product_8036434,150.00
__import__.product_8043799,68.90
__import__.product_8190402,14.08
__import__.product_8201422,13.01
__import__.product_8201512,13.03
__import__.product_8201516,12.34
__import__.product_8213511,32.76
__import__.product_8213712,35.36
__import__.product_8257388,1728.35
__import__.product_8257389,1728.35
__import__.product_8346465,1145.00
