id,alcyon_category_id/id
__import__.customer_5948,specific_partner.partner_category_student
__import__.customer_5969,specific_partner.partner_category_student
__import__.customer_6171,specific_partner.partner_category_student
__import__.customer_6184,specific_partner.partner_category_student
__import__.customer_6191,specific_partner.partner_category_student
__import__.customer_6204,specific_partner.partner_category_student
__import__.customer_6212,specific_partner.partner_category_student
__import__.customer_6224,specific_partner.partner_category_student
__import__.customer_6225,specific_partner.partner_category_student
__import__.customer_6227,specific_partner.partner_category_student
__import__.customer_6244,specific_partner.partner_category_student
__import__.customer_6250,specific_partner.partner_category_student
__import__.customer_6262,specific_partner.partner_category_student
__import__.customer_6269,specific_partner.partner_category_student
__import__.customer_6272,specific_partner.partner_category_student
__import__.customer_6281,specific_partner.partner_category_student
__import__.customer_6288,specific_partner.partner_category_student
__import__.customer_6296,specific_partner.partner_category_student
__import__.customer_6301,specific_partner.partner_category_student
__import__.customer_6309,specific_partner.partner_category_student
__import__.customer_6310,specific_partner.partner_category_student
__import__.customer_6320,specific_partner.partner_category_student
__import__.customer_6321,specific_partner.partner_category_student
__import__.customer_6322,specific_partner.partner_category_student
__import__.customer_6330,specific_partner.partner_category_student
__import__.customer_6357,specific_partner.partner_category_student
__import__.customer_6360,specific_partner.partner_category_student
__import__.customer_6363,specific_partner.partner_category_student
__import__.customer_6364,specific_partner.partner_category_student
__import__.customer_6366,specific_partner.partner_category_student
__import__.customer_6367,specific_partner.partner_category_student
__import__.customer_6368,specific_partner.partner_category_student
__import__.customer_6369,specific_partner.partner_category_student
__import__.customer_6373,specific_partner.partner_category_student
__import__.customer_6374,specific_partner.partner_category_student
__import__.customer_6379,specific_partner.partner_category_student
__import__.customer_6382,specific_partner.partner_category_student
__import__.customer_6383,specific_partner.partner_category_student
__import__.customer_6384,specific_partner.partner_category_student
__import__.customer_6385,specific_partner.partner_category_student
__import__.customer_6389,specific_partner.partner_category_student
__import__.customer_6390,specific_partner.partner_category_student
__import__.customer_6396,specific_partner.partner_category_student
__import__.customer_6400,specific_partner.partner_category_student
__import__.customer_6405,specific_partner.partner_category_student
__import__.customer_6410,specific_partner.partner_category_student
__import__.customer_6411,specific_partner.partner_category_student
__import__.customer_6415,specific_partner.partner_category_student
__import__.customer_6416,specific_partner.partner_category_student
__import__.customer_6417,specific_partner.partner_category_student
__import__.customer_6418,specific_partner.partner_category_student
__import__.customer_6421,specific_partner.partner_category_student
__import__.customer_6422,specific_partner.partner_category_student
__import__.customer_6423,specific_partner.partner_category_student
__import__.customer_6425,specific_partner.partner_category_student
__import__.customer_6426,specific_partner.partner_category_student
__import__.customer_6429,specific_partner.partner_category_student
__import__.customer_6430,specific_partner.partner_category_student
__import__.customer_6431,specific_partner.partner_category_student
__import__.customer_6439,specific_partner.partner_category_student
__import__.customer_6440,specific_partner.partner_category_student
__import__.customer_6442,specific_partner.partner_category_student
__import__.customer_6443,specific_partner.partner_category_student
__import__.customer_6444,specific_partner.partner_category_student
__import__.customer_6445,specific_partner.partner_category_student
__import__.customer_6446,specific_partner.partner_category_student
__import__.customer_6448,specific_partner.partner_category_student
__import__.customer_6450,specific_partner.partner_category_student
__import__.customer_6451,specific_partner.partner_category_student
__import__.customer_6452,specific_partner.partner_category_student
__import__.customer_6455,specific_partner.partner_category_student
__import__.customer_6456,specific_partner.partner_category_student
__import__.customer_6458,specific_partner.partner_category_student
__import__.customer_6459,specific_partner.partner_category_student
__import__.customer_6461,specific_partner.partner_category_student
__import__.customer_6462,specific_partner.partner_category_student
__import__.customer_6463,specific_partner.partner_category_student
__import__.customer_6464,specific_partner.partner_category_student
__import__.customer_6466,specific_partner.partner_category_student
__import__.customer_6468,specific_partner.partner_category_student
__import__.customer_6474,specific_partner.partner_category_student
__import__.customer_6483,specific_partner.partner_category_student
__import__.customer_6484,specific_partner.partner_category_student
__import__.customer_6485,specific_partner.partner_category_student
__import__.customer_6489,specific_partner.partner_category_student
__import__.customer_6490,specific_partner.partner_category_student
__import__.customer_6491,specific_partner.partner_category_student
__import__.customer_6492,specific_partner.partner_category_student
__import__.customer_6494,specific_partner.partner_category_student
__import__.customer_6496,specific_partner.partner_category_student
__import__.customer_6497,specific_partner.partner_category_student
__import__.customer_6498,specific_partner.partner_category_student
__import__.customer_6500,specific_partner.partner_category_student
__import__.customer_6501,specific_partner.partner_category_student
__import__.customer_6502,specific_partner.partner_category_student
__import__.customer_6509,specific_partner.partner_category_student
__import__.customer_6510,specific_partner.partner_category_student
__import__.customer_6512,specific_partner.partner_category_student
__import__.customer_6518,specific_partner.partner_category_student
__import__.customer_6519,specific_partner.partner_category_student
__import__.customer_6524,specific_partner.partner_category_student
__import__.customer_6541,specific_partner.partner_category_student
__import__.customer_6542,specific_partner.partner_category_student
__import__.customer_6545,specific_partner.partner_category_student
__import__.customer_6551,specific_partner.partner_category_student
__import__.customer_656,specific_partner.partner_category_student
__import__.customer_6561,specific_partner.partner_category_student
__import__.customer_6563,specific_partner.partner_category_student
__import__.customer_6566,specific_partner.partner_category_student
__import__.customer_6568,specific_partner.partner_category_student
__import__.customer_6569,specific_partner.partner_category_student
__import__.customer_657,specific_partner.partner_category_student
__import__.customer_6572,specific_partner.partner_category_student
__import__.customer_6573,specific_partner.partner_category_student
__import__.customer_6574,specific_partner.partner_category_student
__import__.customer_6575,specific_partner.partner_category_student
__import__.customer_6576,specific_partner.partner_category_student
__import__.customer_6577,specific_partner.partner_category_student
__import__.customer_6579,specific_partner.partner_category_student
__import__.customer_6582,specific_partner.partner_category_student
__import__.customer_6584,specific_partner.partner_category_student
__import__.customer_6592,specific_partner.partner_category_student
__import__.customer_6600,specific_partner.partner_category_student
__import__.customer_6604,specific_partner.partner_category_student
__import__.customer_6605,specific_partner.partner_category_student
__import__.customer_6607,specific_partner.partner_category_student
__import__.customer_6608,specific_partner.partner_category_student
__import__.customer_6624,specific_partner.partner_category_student
__import__.customer_6626,specific_partner.partner_category_student
__import__.customer_6637,specific_partner.partner_category_student
__import__.customer_6639,specific_partner.partner_category_student
__import__.customer_6641,specific_partner.partner_category_student
__import__.customer_6652,specific_partner.partner_category_student
__import__.customer_6670,specific_partner.partner_category_student
__import__.customer_6675,specific_partner.partner_category_student
__import__.customer_6704,specific_partner.partner_category_student
__import__.customer_6705,specific_partner.partner_category_student
__import__.customer_6721,specific_partner.partner_category_student
__import__.customer_6725,specific_partner.partner_category_student
__import__.customer_6736,specific_partner.partner_category_student
__import__.customer_6746,specific_partner.partner_category_student
__import__.customer_6751,specific_partner.partner_category_student
__import__.customer_6752,specific_partner.partner_category_student
__import__.customer_6759,specific_partner.partner_category_student
__import__.customer_6766,specific_partner.partner_category_student
__import__.customer_6829,specific_partner.partner_category_student
__import__.customer_6856,specific_partner.partner_category_student
__import__.customer_6880,specific_partner.partner_category_student
__import__.customer_689,specific_partner.partner_category_student
__import__.customer_6894,specific_partner.partner_category_student
__import__.customer_6896,specific_partner.partner_category_student
__import__.customer_6905,specific_partner.partner_category_student
__import__.customer_6909,specific_partner.partner_category_student
__import__.customer_6910,specific_partner.partner_category_student
__import__.customer_6915,specific_partner.partner_category_student
__import__.customer_6924,specific_partner.partner_category_student
__import__.customer_6986,specific_partner.partner_category_student
__import__.customer_6993,specific_partner.partner_category_student
__import__.customer_7026,specific_partner.partner_category_student
__import__.customer_7261,specific_partner.partner_category_pharmacy
__import__.customer_7266,specific_partner.partner_category_student
__import__.customer_7345,specific_partner.partner_category_student
__import__.customer_7355,specific_partner.partner_category_student
__import__.customer_7408,specific_partner.partner_category_student
__import__.customer_7415,specific_partner.partner_category_student
__import__.customer_7423,specific_partner.partner_category_student
__import__.customer_7491,specific_partner.partner_category_customerexport
__import__.customer_7517,specific_partner.partner_category_student
__import__.customer_7535,specific_partner.partner_category_customerexport
__import__.customer_7643,specific_partner.partner_category_student
__import__.customer_7672,specific_partner.partner_category_student
__import__.customer_7687,specific_partner.partner_category_pharmacy
__import__.customer_7714,specific_partner.partner_category_student
__import__.customer_7720,specific_partner.partner_category_veterinary
__import__.customer_7734,specific_partner.partner_category_student
__import__.customer_7754,specific_partner.partner_category_student
__import__.customer_7854,specific_partner.partner_category_student
__import__.customer_7898,specific_partner.partner_category_student
__import__.customer_7899,specific_partner.partner_category_student
__import__.customer_7904,specific_partner.partner_category_student
__import__.customer_7908,specific_partner.partner_category_student
__import__.customer_7951,specific_partner.partner_category_student
__import__.customer_7995,specific_partner.partner_category_student
__import__.customer_8002,specific_partner.partner_category_student
__import__.customer_8003,specific_partner.partner_category_customerexport
__import__.customer_8012,specific_partner.partner_category_student
__import__.customer_8039,specific_partner.partner_category_customerexport
__import__.customer_806,specific_partner.partner_category_student
__import__.customer_8079,specific_partner.partner_category_student
__import__.customer_8083,specific_partner.partner_category_student
__import__.customer_8088,specific_partner.partner_category_student
__import__.customer_8136,specific_partner.partner_category_student
__import__.customer_8182,specific_partner.partner_category_student
__import__.customer_8207,specific_partner.partner_category_student
__import__.customer_8211,specific_partner.partner_category_pharmacy
__import__.customer_8233,specific_partner.partner_category_student
__import__.customer_8283,specific_partner.partner_category_student
__import__.customer_832,specific_partner.partner_category_student
__import__.customer_8339,specific_partner.partner_category_student
__import__.customer_8349,specific_partner.partner_category_pharmacy
__import__.customer_837,specific_partner.partner_category_student
__import__.customer_8374,specific_partner.partner_category_pharmacy
__import__.customer_8383,specific_partner.partner_category_student
__import__.customer_8387,specific_partner.partner_category_student
__import__.customer_8411,specific_partner.partner_category_student
__import__.customer_8412,specific_partner.partner_category_student
__import__.customer_8415,specific_partner.partner_category_student
__import__.customer_8418,specific_partner.partner_category_student
__import__.customer_8426,specific_partner.partner_category_student
__import__.customer_8438,specific_partner.partner_category_student
__import__.customer_8453,specific_partner.partner_category_student
__import__.customer_8454,specific_partner.partner_category_student
__import__.customer_8461,specific_partner.partner_category_student
__import__.customer_8466,specific_partner.partner_category_student
__import__.customer_8468,specific_partner.partner_category_student
__import__.customer_8476,specific_partner.partner_category_student
__import__.customer_8483,specific_partner.partner_category_student
__import__.customer_8487,specific_partner.partner_category_student
__import__.customer_8490,specific_partner.partner_category_student
__import__.customer_8491,specific_partner.partner_category_student
__import__.customer_8500,specific_partner.partner_category_student
__import__.customer_8502,specific_partner.partner_category_student
__import__.customer_8503,specific_partner.partner_category_student
__import__.customer_8514,specific_partner.partner_category_student
__import__.customer_8520,specific_partner.partner_category_student
__import__.customer_8530,specific_partner.partner_category_student
__import__.customer_8532,specific_partner.partner_category_student
__import__.customer_8544,specific_partner.partner_category_student
__import__.customer_8550,specific_partner.partner_category_student
__import__.customer_8567,specific_partner.partner_category_student
__import__.customer_8572,specific_partner.partner_category_student
__import__.customer_8587,specific_partner.partner_category_student
__import__.customer_8594,specific_partner.partner_category_student
__import__.customer_8597,specific_partner.partner_category_student
__import__.customer_8599,specific_partner.partner_category_student
__import__.customer_8642,specific_partner.partner_category_student
__import__.customer_8650,specific_partner.partner_category_student
__import__.customer_8658,specific_partner.partner_category_student
__import__.customer_8674,specific_partner.partner_category_student
__import__.customer_8679,specific_partner.partner_category_student
__import__.customer_8681,specific_partner.partner_category_student
__import__.customer_8692,specific_partner.partner_category_student
__import__.customer_8702,specific_partner.partner_category_student
__import__.customer_8703,specific_partner.partner_category_pharmacy
__import__.customer_8705,specific_partner.partner_category_student
__import__.customer_8721,specific_partner.partner_category_student
__import__.customer_8726,specific_partner.partner_category_student
__import__.customer_8766,specific_partner.partner_category_student
__import__.customer_8769,specific_partner.partner_category_pharmacy
__import__.customer_8771,specific_partner.partner_category_student
__import__.customer_8772,specific_partner.partner_category_student
__import__.customer_8779,specific_partner.partner_category_student
__import__.customer_8783,specific_partner.partner_category_student
__import__.customer_8794,specific_partner.partner_category_student
__import__.customer_8795,specific_partner.partner_category_student
__import__.customer_880,specific_partner.partner_category_student
__import__.customer_8800,specific_partner.partner_category_student
__import__.customer_8801,specific_partner.partner_category_student
__import__.customer_8813,specific_partner.partner_category_student
__import__.customer_8818,specific_partner.partner_category_student
__import__.customer_8853,specific_partner.partner_category_pharmacy
__import__.customer_8860,specific_partner.partner_category_student
__import__.customer_8886,specific_partner.partner_category_student
__import__.customer_8904,specific_partner.partner_category_student
__import__.customer_8918,specific_partner.partner_category_student
__import__.customer_8923,specific_partner.partner_category_student
__import__.customer_8927,specific_partner.partner_category_student
__import__.customer_8954,specific_partner.partner_category_student
__import__.customer_8958,specific_partner.partner_category_student
__import__.customer_8969,specific_partner.partner_category_pharmacy
__import__.customer_8989,specific_partner.partner_category_student
__import__.customer_8996,specific_partner.partner_category_student
__import__.customer_8997,specific_partner.partner_category_student
__import__.customer_9012,specific_partner.partner_category_student
__import__.customer_9021,specific_partner.partner_category_student
__import__.customer_9050,specific_partner.partner_category_student
__import__.customer_9058,specific_partner.partner_category_student
__import__.customer_9059,specific_partner.partner_category_student
__import__.customer_9067,specific_partner.partner_category_student
__import__.customer_9084,specific_partner.partner_category_student
__import__.customer_9088,specific_partner.partner_category_student
__import__.customer_9121,specific_partner.partner_category_pharmacy
__import__.customer_9135,specific_partner.partner_category_student
__import__.customer_9150,specific_partner.partner_category_student
__import__.customer_9159,specific_partner.partner_category_student
__import__.customer_9163,specific_partner.partner_category_student
__import__.customer_9167,specific_partner.partner_category_student
__import__.customer_9168,specific_partner.partner_category_student
__import__.customer_9185,specific_partner.partner_category_student
__import__.customer_9200,specific_partner.partner_category_student
__import__.customer_9240,specific_partner.partner_category_student
__import__.customer_9253,specific_partner.partner_category_student
__import__.customer_9268,specific_partner.partner_category_student
__import__.customer_9282,specific_partner.partner_category_student
__import__.customer_936,specific_partner.partner_category_pharmacy
__import__.customer_954,specific_partner.partner_category_student
__import__.customer_963,specific_partner.partner_category_student
